date,open,high,low,close,volume,adj close
18/11/2013,6693.4,6732.1,6671.6,6723.5,539249500,6723.5
15/11/2013,6666.1,6703.1,6665.5,6693.4,588645400,6693.4
14/11/2013,6630,6696.2,6630,6666.1,624198000,6666.1
13/11/2013,6726.8,6726.8,6614,6630,723057200,6630
12/11/2013,6728.4,6728.4,6693.3,6726.8,589417300,6726.8
11/11/2013,6708.4,6744.8,6702,6728.4,633862400,6728.4
08/11/2013,6697.2,6713.9,6643.9,6708.4,605443100,6708.4
07/11/2013,6741.7,6779.2,6680,6697.2,641427800,6697.2
06/11/2013,6746.8,6768.2,6735.6,6741.7,636589100,6741.7
05/11/2013,6763.6,6773.9,6708.5,6746.8,723671000,6746.8
04/11/2013,6734.7,6780.1,6734.6,6763.6,510560500,6763.6
01/11/2013,6731.4,6760.9,6715.3,6734.7,675463600,6734.7
31/10/2013,6777.7,6778.3,6719.5,6731.4,742779000,6731.4
30/10/2013,6774.7,6819.9,6763.7,6777.7,656351600,6777.7
29/10/2013,6725.8,6777.2,6718.9,6774.7,781277300,6774.7
28/10/2013,6721.3,6739.7,6704.2,6725.8,590265200,6725.8
25/10/2013,6713.2,6729.7,6700.4,6721.3,569150500,6721.3
24/10/2013,6674.5,6719.3,6674.2,6713.2,601320900,6713.2
23/10/2013,6695.7,6695.9,6655.2,6674.5,643936600,6674.5
22/10/2013,6654.2,6719.3,6653.7,6695.7,575007200,6695.7
21/10/2013,6622.6,6654.2,6617.8,6654.2,494967100,6654.2
18/10/2013,6576.2,6622.7,6576.2,6622.6,710029000,6622.6
17/10/2013,6571.6,6576.2,6529.2,6576.2,669589600,6576.2
16/10/2013,6549.1,6584.4,6504.3,6571.6,663774200,6571.6
15/10/2013,6507.7,6569.3,6507.7,6549.1,603859600,6549.1
14/10/2013,6487.2,6507.8,6464.4,6507.7,434972100,6507.7
11/10/2013,6430.5,6489.2,6430.5,6487.2,545658000,6487.2
10/10/2013,6337.9,6446.2,6337.9,6430.5,665238500,6430.5
09/10/2013,6365.8,6372.6,6316.9,6337.9,606274000,6337.9
08/10/2013,6437.3,6437.7,6365,6365.8,718272100,6365.8
07/10/2013,6453.9,6453.9,6391.5,6437.3,484158900,6437.3
04/10/2013,6449,6473.6,6429,6453.9,530171800,6453.9
03/10/2013,6437.5,6472.4,6436.2,6449,618471300,6449
02/10/2013,6460,6460,6386.2,6437.5,575169800,6437.5
01/10/2013,6462.2,6466.3,6424.4,6460,599067800,6460
30/09/2013,6512.7,6512.7,6438.7,6462.2,667902900,6462.2
27/09/2013,6565.6,6568.9,6487.3,6512.7,561543500,6512.7
26/09/2013,6551.5,6580.9,6535.8,6565.6,553128300,6565.6
25/09/2013,6571.5,6588,6526.4,6551.5,828370700,6551.5
24/09/2013,6557.4,6585.4,6549.9,6571.5,663765500,6571.5
23/09/2013,6596.4,6601.5,6542.7,6557.4,592407000,6557.4
20/09/2013,6625.4,6629.9,6594.2,6596.4,1538850400,6596.4
19/09/2013,6558.8,6659.1,6558.8,6625.4,799988500,6625.4
18/09/2013,6570.2,6587.6,6532.5,6558.8,795710600,6558.8
17/09/2013,6622.9,6623,6570.2,6570.2,1201089700,6570.2
16/09/2013,6583.8,6652.7,6583.8,6622.9,565475200,6622.9
13/09/2013,6589,6589,6561.8,6583.8,495637800,6583.8
12/09/2013,6588.4,6606.1,6558.6,6589,619446600,6589
11/09/2013,6584,6589.9,6559.7,6588.4,709330400,6588.4
10/09/2013,6530.7,6599.5,6530.7,6584,730044200,6584
09/09/2013,6547.3,6555.9,6508.8,6530.7,586911600,6530.7
06/09/2013,6532.4,6568.2,6492.5,6547.3,606304200,6547.3
05/09/2013,6474.7,6543.2,6461.7,6532.4,758348500,6532.4
04/09/2013,6468.4,6486.4,6423.5,6474.7,717066000,6474.7
03/09/2013,6506.2,6523.2,6457,6468.4,737860200,6468.4
02/09/2013,6412.9,6532.3,6412.9,6506.2,596599000,6506.2
29/08/2013,6430.1,6500.5,6430,6483,876420200,6483
28/08/2013,6441,6441,6393.6,6430.1,748559900,6430.1
27/08/2013,6492.1,6494.2,6424,6441,760395800,6441
23/08/2013,6446.9,6516.7,6422.4,6492.1,486112600,6492.1
22/08/2013,6390.8,6468.9,6390.6,6446.9,501967700,6446.9
21/08/2013,6453.5,6453.6,6386.7,6390.8,607065200,6390.8
20/08/2013,6465.7,6465.7,6398.6,6453.5,620943400,6453.5
19/08/2013,6500,6506.6,6457.7,6465.7,467686800,6465.7
16/08/2013,6483.3,6502.3,6461.3,6500,650228300,6500
15/08/2013,6587.4,6587.9,6460.1,6483.3,667125400,6483.3
14/08/2013,6611.9,6628,6582.6,6587.4,681842200,6587.4
13/08/2013,6574.3,6620.4,6568.4,6611.9,568866700,6611.9
12/08/2013,6583.4,6598.4,6547,6574.3,478927500,6574.3
09/08/2013,6529.7,6601.2,6529.5,6583.4,632996000,6583.4
08/08/2013,6511.2,6558.6,6507.2,6529.7,566013400,6529.7
07/08/2013,6604.2,6625,6511.2,6511.2,641421900,6511.2
06/08/2013,6619.6,6630.1,6562.3,6604.2,698361700,6604.2
05/08/2013,6647.9,6684.9,6590.1,6619.6,606593100,6619.6
02/08/2013,6682,6696.6,6623.9,6647.9,660354300,6647.9
01/08/2013,6621.1,6682,6607.3,6682,977036000,6682
31/07/2013,6570.9,6659.4,6556.6,6621.1,751660500,6621.1
30/07/2013,6560.3,6600.7,6560.3,6570.9,696264200,6570.9
29/07/2013,6554.8,6606.4,6544.1,6560.3,487601000,6560.3
26/07/2013,6588,6629.9,6535.2,6554.8,455317800,6554.8
25/07/2013,6620.4,6625.4,6540.4,6588,505143000,6588
24/07/2013,6597.4,6662.2,6581.6,6620.4,595811200,6620.4
23/07/2013,6623.2,6657.7,6597.4,6597.4,673295800,6597.4
22/07/2013,6630.7,6645,6608.2,6623.2,503256000,6623.2
19/07/2013,6634.4,6635.2,6592.1,6630.7,768285600,6630.7
18/07/2013,6571.9,6657.4,6555.8,6634.4,658456000,6634.4
17/07/2013,6556.4,6595.6,6517.4,6571.9,694631000,6571.9
16/07/2013,6586.1,6606.4,6556.4,6556.4,746494800,6556.4
