Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,4510.00,4639.00,4477.00,4621.00,402900,4621.00
2013-11-18,4562.00,4575.00,4504.50,4532.00,217700,4532.00
2013-11-15,4619.00,4653.00,4582.00,4586.00,353600,4586.00
2013-11-14,4507.00,4606.00,4473.00,4598.00,428900,4598.00
2013-11-13,4587.00,4594.91,4491.00,4509.00,436200,4509.00
2013-11-12,4720.00,4747.00,4590.00,4611.00,449500,4611.00
2013-11-11,4744.00,4744.00,4653.00,4688.00,290500,4688.00
2013-11-08,4771.00,4817.00,4668.00,4735.00,500100,4735.00
2013-11-07,4834.00,5025.00,4805.00,4885.00,802900,4885.00
2013-11-06,4590.00,4658.00,4565.60,4605.00,324300,4605.00
2013-11-05,4618.00,4683.00,4583.00,4613.00,359300,4613.00
2013-11-04,4512.00,4638.00,4505.00,4615.00,318000,4615.00
2013-11-01,4630.00,4645.00,4456.00,4507.00,361000,4507.00
2013-10-31,4770.00,4770.00,4610.00,4640.00,562800,4640.00
2013-10-30,4764.00,4850.00,4742.50,4800.00,388200,4800.00
2013-10-29,4835.00,4850.00,4712.00,4762.00,692400,4762.00
2013-10-28,4732.00,4938.00,4684.62,4851.00,645600,4851.00
2013-10-25,4624.00,4706.00,4624.00,4639.00,232500,4639.00
2013-10-24,4532.00,4656.00,4530.00,4642.00,316000,4642.00
2013-10-23,4646.00,4697.00,4616.00,4640.00,483800,4640.00
2013-10-22,4487.00,4676.00,4463.00,4665.00,487100,4665.00
2013-10-21,4463.00,4515.00,4450.00,4487.00,244800,4487.00
2013-10-18,4471.00,4507.00,4428.00,4463.00,350600,4463.00
2013-10-17,4339.00,4491.00,4245.00,4448.00,562700,4448.00
2013-10-16,4489.00,4535.00,4389.45,4393.00,383400,4393.00
2013-10-15,4380.00,4437.00,4315.00,4400.00,423500,4400.00
2013-10-14,4293.00,4357.00,4264.00,4337.00,242400,4337.00
2013-10-11,4338.00,4366.00,4247.00,4304.00,525400,4304.00
2013-10-10,4312.00,4363.00,4285.00,4336.00,301500,4336.00
2013-10-09,4335.00,4404.00,4278.17,4295.00,376600,4295.00
2013-10-08,4413.00,4424.00,4366.00,4420.00,304100,4420.00
2013-10-07,4341.00,4403.00,4315.00,4380.00,244600,4380.00
2013-10-04,4294.00,4360.00,4263.62,4355.00,248500,4355.00
2013-10-03,4330.00,4359.00,4284.00,4333.00,355300,4333.00
2013-10-02,4265.00,4413.00,4242.00,4396.00,390900,4396.00
2013-10-01,4454.00,4476.00,4262.00,4338.00,437500,4338.00
2013-09-30,4420.00,4470.00,4376.00,4451.00,426400,4451.00
2013-09-27,4500.00,4539.00,4423.00,4511.00,503600,4511.00
2013-09-26,4537.00,4584.00,4527.00,4545.00,321700,4545.00
2013-09-25,4490.00,4552.00,4470.00,4550.00,477300,4550.00
2013-09-24,4535.00,4565.14,4459.00,4493.00,585800,4493.00
2013-09-23,4662.00,4697.00,4548.00,4621.00,360100,4621.00
2013-09-20,4792.00,4809.00,4659.00,4676.00,764000,4676.00
2013-09-19,4885.00,4971.00,4463.00,4841.00,928000,4841.00
2013-09-18,4572.00,4618.00,4462.00,4478.00,413900,4478.00
2013-09-17,4500.00,4604.00,4500.00,4545.00,473900,4545.00
2013-09-16,4563.00,4599.00,4458.00,4486.00,503600,4486.00
2013-09-13,4450.00,4521.00,4405.00,4504.00,817100,4504.00
2013-09-12,4570.00,4603.77,4465.00,4496.00,648900,4496.00
2013-09-11,4685.00,4687.00,4547.00,4614.00,544400,4614.00
2013-09-10,4890.00,4917.00,4683.00,4689.00,789600,4689.00
2013-09-09,4988.00,5015.97,4897.00,4914.00,389700,4914.00
2013-09-06,5025.00,5070.00,4955.00,4989.00,610700,4989.00
