Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,983.50,983.50,962.50,971.00,719600,957.25
2013-11-18,960.00,993.50,959.00,988.50,1216300,974.50
2013-11-15,1030.00,1045.00,917.50,955.50,2268500,941.97
2013-11-14,1014.00,1031.48,1007.00,1024.00,601900,1009.50
2013-11-13,1033.00,1033.00,1008.00,1011.00,882600,996.68
2013-11-12,1050.00,1056.00,1033.00,1040.00,609800,1025.27
2013-11-11,1038.00,1052.00,1031.00,1050.00,1988500,1035.13
2013-11-08,1048.00,1054.00,1023.00,1036.00,846300,1021.33
2013-11-07,1090.00,1090.00,1054.00,1060.00,986800,1044.99
2013-11-06,1096.00,1105.00,1078.00,1089.00,396100,1073.58
2013-11-05,1092.00,1112.00,1087.00,1096.00,775000,1080.48
2013-11-04,1072.00,1094.00,1066.18,1087.00,461000,1071.61
2013-11-01,1071.00,1073.03,1055.00,1064.00,608000,1048.93
2013-10-31,1085.00,1091.00,1062.00,1063.00,619500,1047.95
2013-10-30,1080.00,1089.00,1078.00,1084.00,459300,1068.65
2013-10-29,1085.00,1087.00,1074.00,1080.00,301700,1064.71
2013-10-28,1076.00,1083.00,1065.70,1082.00,696900,1066.68
2013-10-25,1085.00,1089.44,1061.00,1068.00,1268600,1052.88
2013-10-24,1075.00,1092.00,1072.00,1088.00,809400,1072.59
2013-10-23,1082.00,1085.00,1061.00,1065.00,524800,1049.92
2013-10-22,1065.00,1081.00,1053.00,1078.00,660400,1062.73
2013-10-21,1038.00,1084.00,1035.00,1071.00,1039500,1055.83
2013-10-18,1041.00,1048.09,1023.00,1039.00,833800,1024.29
2013-10-17,1047.00,1047.00,1016.00,1033.00,705000,1018.37
2013-10-16,1043.00,1055.00,1024.00,1046.00,664200,1031.19
2013-10-15,1037.00,1055.00,1028.00,1050.00,896700,1035.13
2013-10-14,1016.00,1032.00,1013.00,1029.00,456500,1014.43
2013-10-11,1025.00,1035.05,1011.00,1020.00,850700,1005.56
2013-10-10,1025.00,1039.00,1005.00,1015.00,1351400,1000.63
2013-10-09,1059.00,1059.75,1000.88,1020.00,1394800,1005.56
2013-10-08,1050.00,1078.00,1046.61,1070.00,855000,1054.85
2013-10-07,1050.00,1061.00,1039.00,1061.00,393100,1045.98
2013-10-04,1057.00,1066.00,1044.00,1056.00,858500,1041.05
2013-10-03,1087.00,1096.00,1055.00,1059.00,625000,1044.00
2013-10-02,1066.00,1093.00,1058.00,1090.00,702400,1074.56
2013-10-01,1085.00,1088.00,1063.00,1075.00,485900,1059.78
2013-09-30,1066.00,1092.00,1057.00,1082.00,896000,1066.68
2013-09-27,1104.00,1104.00,1068.00,1073.00,759000,1057.81
2013-09-26,1102.00,1107.00,1092.00,1103.00,543000,1087.38
2013-09-25,1103.00,1122.00,1102.00,1107.00,657500,1091.32
2013-09-24,1120.00,1135.00,1104.00,1111.00,620400,1095.27
2013-09-23,1122.00,1132.00,1107.00,1122.00,378800,1106.11
2013-09-20,1150.00,1159.00,1115.00,1116.00,719300,1100.20
2013-09-19,1176.00,1184.02,1158.00,1167.00,487800,1150.47
2013-09-18,1165.00,1165.00,1136.00,1148.00,452300,1131.74
2013-09-17,1164.00,1178.00,1143.00,1158.00,696200,1141.60
2013-09-16,1178.00,1192.18,1168.30,1183.00,684900,1166.25
2013-09-13,1174.00,1176.00,1139.00,1160.00,686700,1143.57
2013-09-12,1188.00,1199.09,1149.20,1182.00,494200,1165.26
2013-09-11,1184.00,1194.00,1177.08,1194.00,636900,1177.09
2013-09-10,1195.00,1208.00,1185.00,1188.00,785700,1171.18
2013-09-09,1194.00,1203.00,1188.88,1190.00,305100,1173.15
2013-09-06,1182.00,1198.00,1174.00,1190.00,476800,1173.15
2013-09-05,1183.00,1193.00,1174.00,1189.00,318800,1172.16
2013-09-04,1181.00,1230.00,1172.00,1184.00,368000,1167.23
2013-09-03,1191.00,1200.00,1176.00,1186.00,494700,1169.21
2013-09-02,1186.00,1209.00,1178.00,1189.00,395900,1172.16
2013-08-30,1190.00,1197.00,1160.00,1162.00,675000,1145.55
2013-08-29,1211.00,1212.00,1187.00,1187.00,503500,1170.19
2013-08-28,1194.00,1212.00,1180.72,1209.00,387700,1191.88
2013-08-27,1206.00,1206.00,1181.00,1201.00,515700,1183.99
2013-08-26,1211.00,1211.00,1211.00,1211.00,000,1193.85
2013-08-23,1185.00,1218.00,1185.00,1211.00,562600,1193.85
2013-08-22,1156.00,1205.00,1153.00,1194.00,677700,1177.09
2013-08-21,1170.00,1176.00,1158.00,1160.00,502700,1143.57
2013-08-20,1175.00,1178.53,1132.00,1173.00,1561000,1156.39
2013-08-19,1243.00,1243.00,1187.00,1200.00,505600,1183.01
2013-08-16,1205.00,1239.00,1205.00,1235.00,452400,1217.51
2013-08-15,1251.00,1251.00,1201.55,1214.00,636600,1196.81
2013-08-14,1259.00,1263.00,1241.00,1251.00,331000,1233.29
2013-08-13,1265.00,1286.00,1246.00,1253.00,614900,1235.26
2013-08-12,1243.00,1274.00,1238.00,1266.00,715100,1248.07
2013-08-09,1185.00,1254.00,1169.00,1242.00,858300,1224.41
2013-08-08,1150.00,1184.00,1149.00,1178.00,466600,1161.32
2013-08-07,1173.00,1185.00,1144.00,1168.00,594000,1151.46
2013-08-06,1233.00,1239.90,1160.00,1170.00,819100,1153.43
2013-08-05,1206.00,1250.25,1203.38,1240.00,862300,1222.44
2013-08-02,1209.00,1209.00,1185.00,1201.00,256700,1183.99
2013-08-01,1198.00,1220.00,1174.00,1205.00,541000,1187.94
2013-07-31,1172.00,1187.00,1160.00,1163.00,495500,1146.53
2013-07-30,1202.00,1202.00,1171.00,1176.00,477200,1159.35
2013-07-29,1181.00,1208.00,1173.00,1195.00,583600,1178.08
2013-07-26,1178.00,1205.00,1171.00,1180.00,672100,1163.29
2013-07-25,1175.00,1185.00,1136.88,1167.00,1095400,1150.47
2013-07-24,1164.00,1203.00,1161.00,1177.00,1198900,1160.33
2013-07-23,1136.00,1170.00,1128.00,1164.00,796300,1147.52
2013-07-22,1132.00,1137.00,1115.00,1127.00,426700,1111.04
2013-07-19,1134.00,1147.00,1113.00,1129.00,398700,1113.01
2013-07-18,1125.00,1141.00,1111.00,1135.00,537800,1118.93
2013-07-17,1094.00,1126.00,1086.00,1122.00,689000,1106.11
2013-07-16,1096.00,1110.00,1071.00,1101.00,598800,1085.41
2013-07-15,1096.00,1112.00,1094.00,1103.00,704600,1087.38
2013-07-12,1105.00,1114.00,1093.00,1097.00,446500,1081.47
2013-07-11,1091.00,1131.00,1088.79,1106.00,839400,1090.34
2013-07-10,1071.00,1081.00,1058.00,1062.00,853400,1046.96
2013-07-09,1027.00,1108.00,1015.00,1094.00,1546700,1054.73
2013-07-08,1005.00,1019.88,994.50,1008.00,553200,971.82
2013-07-05,1058.00,1058.00,989.12,992.00,1019000,956.39
2013-07-04,1022.00,1053.00,1012.00,1048.00,522400,1010.38
2013-07-03,1023.00,1031.00,991.40,1009.00,983300,972.78
2013-07-02,1067.00,1068.00,1036.00,1039.00,552300,1001.70
2013-07-01,1037.00,1070.00,1017.00,1067.00,917800,1028.70
2013-06-28,1037.00,1049.00,1018.00,1020.00,1124000,983.39
2013-06-27,1034.00,1049.00,1030.00,1033.00,826900,995.92
2013-06-26,1052.00,1052.00,1020.00,1028.00,926600,991.10
2013-06-25,1030.00,1053.00,1030.00,1046.00,766600,1008.45
2013-06-24,1087.00,1095.00,1026.00,1026.00,1209400,989.17
2013-06-21,1125.00,1134.26,1097.00,1097.00,1340300,1057.62
2013-06-20,1143.00,1149.44,1113.00,1118.00,974200,1077.87
2013-06-19,1186.00,1193.00,1153.00,1168.00,623300,1126.07
2013-06-18,1190.00,1196.00,1179.00,1186.00,689500,1143.43
2013-06-17,1210.00,1223.00,1194.00,1195.00,413900,1152.10
2013-06-14,1200.00,1224.00,1189.00,1212.00,816200,1168.49
2013-06-13,1135.00,1190.52,1132.00,1185.00,802700,1142.46
2013-06-12,1182.00,1197.00,1147.00,1149.00,889300,1107.76
2013-06-11,1209.00,1209.00,1169.00,1189.00,698200,1146.32
2013-06-10,1235.00,1235.00,1199.00,1212.00,686400,1168.49
2013-06-07,1234.00,1245.40,1222.00,1241.00,419200,1196.45
2013-06-06,1250.00,1260.42,1229.00,1230.00,396100,1185.85
2013-06-05,1269.00,1292.00,1215.24,1252.00,783000,1207.06
2013-06-04,1292.00,1303.00,1277.00,1284.00,389000,1237.91
2013-06-03,1261.00,1296.00,1243.44,1291.00,676400,1244.66
2013-05-31,1310.00,1310.00,1261.63,1262.00,1838500,1216.70
2013-05-30,1287.00,1307.00,1197.35,1306.00,609600,1259.12
