Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1429.00,1429.00,1396.50,1400.00,2940800,1400.00
2013-11-18,1431.50,1445.50,1414.50,1438.50,2100400,1438.50
2013-11-15,1419.50,1441.50,1387.50,1430.00,2940300,1430.00
2013-11-14,1431.50,1438.00,1386.00,1410.50,3928100,1410.50
2013-11-13,1433.50,1444.00,1402.50,1408.50,4158200,1408.50
2013-11-12,1471.50,1495.00,1436.50,1440.50,4692900,1440.50
2013-11-11,1495.00,1495.00,1462.00,1474.00,2794700,1474.00
2013-11-08,1496.00,1505.50,1463.50,1492.50,3549200,1492.50
2013-11-07,1554.00,1583.50,1504.00,1512.00,4346200,1512.00
2013-11-06,1533.00,1564.50,1533.00,1555.50,3638000,1555.50
2013-11-05,1508.00,1548.50,1504.00,1536.00,5030700,1536.00
2013-11-04,1461.50,1499.50,1461.50,1494.50,2278200,1494.50
2013-11-01,1492.50,1496.12,1455.00,1460.00,3940100,1460.00
2013-10-31,1523.50,1526.50,1482.00,1485.00,3818500,1485.00
2013-10-30,1526.00,1534.00,1516.50,1534.00,3292800,1534.00
2013-10-29,1509.00,1519.00,1496.50,1517.50,2319700,1517.50
2013-10-28,1520.00,1527.00,1491.50,1515.50,2959100,1515.50
2013-10-25,1500.00,1509.00,1490.00,1508.00,2622500,1508.00
2013-10-24,1505.00,1513.00,1494.50,1506.00,2705000,1506.00
2013-10-23,1553.00,1556.00,1486.00,1495.00,4191800,1495.00
2013-10-22,1535.00,1581.50,1521.50,1556.00,4013900,1556.00
2013-10-21,1531.50,1549.50,1523.00,1536.50,3377300,1536.50
2013-10-18,1561.00,1561.00,1506.00,1532.00,3385400,1532.00
2013-10-17,1544.00,1557.50,1534.00,1553.00,2157900,1553.00
2013-10-16,1557.00,1569.00,1530.00,1559.50,2627400,1559.50
2013-10-15,1536.00,1574.00,1536.00,1569.00,2633800,1569.00
2013-10-14,1506.00,1525.00,1490.50,1523.50,2059300,1523.50
2013-10-11,1482.00,1519.00,1440.00,1512.00,2256700,1512.00
2013-10-10,1452.50,1483.50,1440.00,1476.00,2571400,1476.00
2013-10-09,1467.00,1473.00,1439.00,1448.50,1983900,1448.50
2013-10-08,1478.50,1483.00,1459.50,1464.00,2351100,1464.00
2013-10-07,1483.00,1485.50,1457.94,1485.50,1891100,1485.50
2013-10-04,1466.00,1496.00,1455.00,1491.00,2130100,1491.00
2013-10-03,1498.50,1519.00,1467.00,1472.50,2006000,1472.50
2013-10-02,1481.50,1507.00,1453.00,1502.50,3061000,1502.50
2013-10-01,1516.00,1525.50,1459.00,1484.50,3071800,1484.50
2013-09-30,1517.50,1518.00,1491.50,1518.00,2571400,1518.00
2013-09-27,1563.00,1568.00,1513.00,1540.00,2764100,1540.00
2013-09-26,1570.00,1583.50,1548.50,1569.50,2612600,1569.50
2013-09-25,1545.00,1584.00,1545.00,1577.50,3577700,1577.50
2013-09-24,1566.00,1570.50,1539.00,1545.50,2719600,1545.50
2013-09-23,1590.00,1595.50,1556.00,1573.50,2320300,1573.50
2013-09-20,1625.00,1627.00,1585.00,1591.00,4421100,1591.00
2013-09-19,1645.00,1662.50,1627.00,1635.00,4353900,1635.00
2013-09-18,1575.50,1596.50,1557.50,1577.50,2427700,1577.50
2013-09-17,1577.00,1599.50,1557.50,1579.50,3120900,1579.50
2013-09-16,1593.00,1605.50,1580.00,1583.00,2292700,1583.00
2013-09-13,1609.50,1625.58,1555.00,1568.50,4358400,1568.50
2013-09-12,1612.50,1633.29,1609.50,1620.50,3925700,1620.50
2013-09-11,1625.00,1625.00,1596.00,1609.50,2518100,1609.50
2013-09-10,1611.00,1641.00,1611.00,1632.00,3847100,1632.00
2013-09-09,1586.00,1605.50,1585.72,1594.50,2213700,1594.50
2013-09-06,1557.50,1583.00,1542.00,1581.00,4044500,1581.00
2013-09-05,1541.00,1577.50,1536.00,1571.00,3838600,1571.00
2013-09-04,1539.00,1549.00,1525.50,1540.50,1814100,1540.50
2013-09-03,1545.00,1555.50,1519.00,1544.50,3734500,1544.50
2013-09-02,1503.00,1549.50,1502.00,1536.00,2493000,1536.00
2013-08-30,1515.00,1521.50,1472.50,1478.50,3846900,1478.50
2013-08-29,1534.50,1546.00,1500.00,1507.00,2752300,1507.00
2013-08-28,1493.50,1535.50,1486.00,1530.50,3759800,1530.50
2013-08-27,1519.00,1519.50,1491.00,1497.50,3216500,1497.50
2013-08-26,1524.50,1524.50,1524.50,1524.50,000,1524.50
2013-08-23,1500.00,1532.50,1495.00,1524.50,2370400,1524.50
2013-08-22,1475.00,1510.50,1475.00,1504.50,3201100,1504.50
2013-08-21,1490.00,1493.50,1459.00,1474.00,2632600,1474.00
2013-08-20,1476.00,1496.50,1445.00,1494.00,3645400,1494.00
2013-08-19,1539.00,1541.19,1482.00,1492.50,2832100,1492.50
2013-08-16,1493.00,1548.50,1491.30,1547.50,3562800,1547.50
2013-08-15,1540.00,1547.50,1486.00,1495.50,2975000,1495.50
2013-08-14,1550.00,1555.00,1536.00,1545.00,2524900,1545.00
2013-08-13,1569.00,1584.00,1554.50,1572.50,4147600,1551.85
