Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,2347.00,2354.00,2331.00,2340.00,487000,2317.35
2013-11-18,2334.00,2352.00,2315.00,2351.00,561700,2328.24
2013-11-15,2308.00,2345.00,2297.00,2334.00,634000,2311.41
2013-11-14,2280.00,2320.00,2280.00,2311.00,797000,2288.63
2013-11-13,2269.00,2271.00,2242.00,2264.00,663600,2242.09
2013-11-12,2263.00,2275.00,2259.00,2271.00,1047200,2249.02
2013-11-11,2232.00,2280.50,2224.00,2269.00,668200,2247.04
2013-11-08,2247.00,2269.00,2240.00,2260.00,969900,2238.12
2013-11-07,2266.00,2271.00,2246.00,2252.00,702700,2230.20
2013-11-06,2199.00,2349.00,2199.00,2269.00,1832600,2247.04
2013-11-05,2175.00,2220.00,2175.00,2208.00,4775300,2186.63
2013-11-04,2243.00,2269.00,2240.00,2255.00,1117900,2233.17
2013-11-01,2262.00,2262.00,2244.00,2251.00,1043000,2229.21
2013-10-31,2214.00,2269.00,2214.00,2267.00,1598900,2245.06
2013-10-30,2199.00,2224.00,2193.00,2222.00,970700,2200.49
2013-10-29,2153.00,2196.22,2153.00,2196.00,847400,2174.74
2013-10-28,2134.00,2160.00,2126.00,2153.00,511700,2132.16
2013-10-25,2104.00,2134.47,2100.00,2133.00,688400,2112.35
2013-10-24,2089.00,2108.00,2085.00,2105.00,673500,2084.62
2013-10-23,2066.00,2103.00,2064.00,2089.00,734800,2068.78
2013-10-22,2070.00,2073.00,2055.00,2071.00,599300,2050.95
2013-10-21,2059.00,2074.00,2054.91,2073.00,579100,2052.93
2013-10-18,2027.00,2062.00,2017.50,2062.00,1087200,2042.04
2013-10-17,1992.00,2014.00,1990.90,2014.00,751200,1994.51
2013-10-16,1964.00,2005.00,201.50,1995.00,794500,1975.69
2013-10-15,1973.00,1979.00,1959.00,1965.00,477000,1945.98
2013-10-14,1926.00,1971.50,1913.00,1963.00,740700,1944.00
2013-10-11,1912.00,1912.10,1897.00,1911.00,625800,1892.50
2013-10-10,1892.00,1923.00,1885.00,1906.00,687900,1887.55
2013-10-09,1881.00,1890.00,1876.40,1889.00,787000,1870.72
2013-10-08,1902.00,1908.00,1883.00,1893.00,1021400,1874.68
2013-10-07,1880.00,1908.00,1874.00,1905.00,568800,1886.56
2013-10-04,1877.00,1885.00,1870.00,1883.00,351100,1864.77
2013-10-03,1874.00,1883.00,1861.00,1881.00,551100,1862.79
2013-10-02,1876.00,1878.00,1854.00,1866.00,596400,1847.94
2013-10-01,1864.00,1894.00,1856.00,1886.00,969800,1867.74
2013-09-30,1866.00,1884.00,1865.00,1876.00,619100,1857.84
2013-09-27,1872.00,1889.00,1872.00,1882.00,1014300,1863.78
2013-09-26,1861.00,1886.00,1861.00,1877.00,981200,1858.83
2013-09-25,1852.00,1864.00,1850.00,1861.00,1020800,1842.99
2013-09-24,1847.00,1860.00,1825.00,1856.00,1500800,1838.03
