Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1268.00,1269.00,1252.50,1265.00,369600,1265.00
2013-11-18,1282.00,1285.75,1266.00,1273.00,322400,1273.00
2013-11-15,1284.00,1287.00,1276.00,1284.00,306200,1284.00
2013-11-14,1266.00,1288.00,1266.00,1285.00,555700,1285.00
2013-11-13,1258.00,1265.00,1251.00,1262.00,506100,1262.00
2013-11-12,1276.00,1276.00,1254.25,1262.00,478600,1262.00
2013-11-11,1274.00,1280.80,1267.15,1273.00,260500,1273.00
2013-11-08,1286.00,1286.00,1265.00,1277.00,424100,1277.00
2013-11-07,1268.00,1300.00,1266.00,1288.00,570400,1288.00
2013-11-06,1272.00,1273.00,1266.00,1271.00,333700,1271.00
2013-11-05,1276.00,1277.00,1252.00,1268.00,271400,1268.00
2013-11-04,1275.00,1287.42,1274.00,1276.00,237200,1276.00
2013-11-01,1282.00,1286.00,1272.00,1280.00,374400,1280.00
2013-10-31,1271.00,1281.00,1265.00,1279.00,552500,1279.00
2013-10-30,1271.00,1277.00,1261.00,1269.00,440300,1269.00
2013-10-29,1242.00,1278.00,1242.00,1270.00,674300,1270.00
2013-10-28,1266.00,1279.00,1238.00,1240.00,391900,1240.00
2013-10-25,1240.00,1247.08,1233.00,1240.00,297400,1240.00
2013-10-24,1238.00,1247.00,1237.00,1243.00,304700,1243.00
2013-10-23,1232.00,1242.39,1231.00,1238.00,379200,1238.00
2013-10-22,1223.00,1237.00,1219.00,1231.00,594100,1231.00
2013-10-21,1210.00,1221.00,1208.00,1218.00,781100,1218.00
2013-10-18,1215.00,1215.00,1196.20,1208.00,828100,1208.00
2013-10-17,1211.00,1214.75,1204.00,1209.00,553800,1209.00
2013-10-16,1225.00,1228.00,1200.00,1215.00,1361900,1215.00
2013-10-15,1226.00,1233.00,1216.25,1223.00,561100,1223.00
2013-10-14,1225.00,1233.00,1219.00,1229.00,266400,1229.00
2013-10-11,1220.00,1238.00,1218.00,1226.00,488100,1226.00
2013-10-10,1198.00,1220.00,1193.00,1215.00,284400,1215.00
2013-10-09,1193.00,1207.00,1187.66,1195.00,381600,1195.00
2013-10-08,1210.00,1213.00,1196.32,1197.00,376500,1197.00
2013-10-07,1220.00,1221.00,1208.00,1211.00,164700,1211.00
2013-10-04,1218.00,1227.00,1218.00,1222.00,305900,1222.00
