Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,484.20,484.93,470.70,475.20,5943700,465.20
2013-11-18,472.30,494.60,471.48,489.70,17233600,479.39
2013-11-15,421.00,428.40,421.00,426.80,2791700,417.82
2013-11-14,413.30,423.10,411.20,419.20,6047700,410.38
2013-11-13,414.10,414.11,403.60,406.90,4798800,398.34
2013-11-12,436.00,436.00,412.60,416.90,6135200,408.13
2013-11-11,424.00,441.20,423.90,436.60,2550900,427.41
2013-11-08,437.00,437.00,414.10,422.20,7257600,413.32
2013-11-07,439.80,454.20,435.00,442.40,4206700,433.09
2013-11-06,439.30,444.10,437.10,439.40,2139000,430.15
2013-11-05,445.70,445.70,429.20,436.60,2859200,427.41
2013-11-04,442.90,451.20,441.00,445.70,2219000,436.32
2013-11-01,442.90,446.00,438.10,440.40,2642700,431.13
2013-10-31,444.80,446.30,441.29,442.90,2887300,433.58
2013-10-30,448.60,450.41,443.94,444.60,2471800,435.24
2013-10-29,452.10,452.50,444.20,448.30,4755800,438.87
2013-10-28,460.30,463.00,453.50,454.10,3532200,444.54
2013-10-25,451.00,459.30,445.20,459.10,5263800,449.44
2013-10-24,426.50,461.70,421.80,450.40,9162400,440.92
2013-10-23,425.20,427.90,420.50,425.60,1934900,416.64
2013-10-22,416.30,428.40,414.44,426.40,4237600,417.43
2013-10-21,417.50,420.90,414.70,416.80,4373700,408.03
2013-10-18,414.00,417.00,408.81,415.00,3142100,406.27
2013-10-17,414.60,414.60,405.50,409.70,2656400,401.08
2013-10-16,412.70,416.50,403.40,413.50,4268400,404.80
2013-10-15,402.50,412.60,397.70,410.30,4203900,401.67
2013-10-14,393.10,396.90,388.69,396.90,1556500,388.55
2013-10-11,384.20,394.40,384.00,393.40,2791100,385.12
2013-10-10,375.00,383.80,375.00,383.40,2872500,375.33
2013-10-09,367.40,374.90,366.90,372.90,2872100,365.05
2013-10-08,374.40,377.06,368.04,368.90,3301400,361.14
2013-10-07,375.50,376.75,372.80,375.20,2091200,367.30
2013-10-04,381.60,381.70,373.44,377.40,2800400,369.46
