Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1590.00,1597.00,1580.10,1593.00,944100,1593.00
2013-11-18,1587.00,1599.00,1578.00,1590.00,569600,1590.00
2013-11-15,1590.00,1598.00,1583.00,1591.00,637200,1591.00
2013-11-14,1589.00,1599.00,1581.00,1588.00,481900,1588.00
2013-11-13,1579.00,1593.00,1579.00,1583.00,705300,1583.00
2013-11-12,1568.00,1590.42,1568.00,1582.00,698200,1582.00
2013-11-11,1573.00,1580.00,1567.00,1572.00,400300,1572.00
2013-11-08,1547.00,1568.00,1545.00,1567.00,549800,1567.00
2013-11-07,1558.00,1577.00,1544.80,1556.00,652700,1556.00
2013-11-06,1571.00,1582.00,1554.00,1554.00,787100,1554.00
2013-11-05,1556.00,1571.00,1548.00,1566.00,606800,1566.00
2013-11-04,1565.00,1591.00,1540.00,1551.00,918600,1551.00
2013-11-01,1600.00,1631.00,1578.00,1584.00,809900,1584.00
2013-10-31,1600.00,1618.00,1594.00,1610.00,978200,1610.00
2013-10-30,1588.00,1614.00,1586.00,1597.00,899400,1597.00
2013-10-29,1610.00,1612.35,1574.00,1584.00,1239400,1584.00
2013-10-28,1535.00,1615.00,1535.00,1608.00,1775600,1608.00
2013-10-25,1527.00,1543.00,1516.00,1517.00,1178400,1517.00
2013-10-24,1509.00,1538.00,1509.00,1528.00,936400,1528.00
2013-10-23,1490.00,1513.00,1452.00,1513.00,1432800,1513.00
2013-10-22,1470.00,1515.00,1465.00,1503.00,1060000,1503.00
2013-10-21,1460.00,1477.00,1449.00,1473.00,815400,1473.00
2013-10-18,1451.00,1464.81,1447.00,1454.00,1041800,1454.00
2013-10-17,1466.00,1477.00,1452.00,1455.00,466500,1455.00
2013-10-16,1481.00,1482.00,1450.00,1474.00,831600,1474.00
2013-10-15,1471.00,1492.00,1471.00,1485.00,924300,1485.00
2013-10-14,1468.00,1476.00,1452.00,1465.00,424800,1465.00
2013-10-11,1492.00,1496.00,1472.00,1477.00,1481200,1477.00
2013-10-10,1464.00,1517.00,1464.00,1490.00,885400,1490.00
2013-10-09,1464.00,1477.28,1458.00,1461.00,815000,1461.00
2013-10-08,1467.00,1479.00,1456.00,1472.00,768000,1472.00
2013-10-07,1440.00,1469.00,1428.63,1468.00,1059900,1468.00
2013-10-04,1475.00,1481.49,1437.00,1442.00,1426900,1442.00
2013-10-03,1460.00,1515.50,1440.00,1479.00,694400,1479.00
2013-10-02,1536.00,1544.48,1493.72,1508.00,1408100,1508.00
