Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1166.00,1194.00,1146.00,1184.00,843900,1170.50
2013-11-18,1161.00,1176.00,1159.00,1167.00,695500,1153.69
2013-11-15,1165.00,1170.00,1161.00,1165.00,613600,1151.72
2013-11-14,1177.00,1180.00,1161.00,1165.00,689400,1151.72
2013-11-13,1164.00,1177.00,1139.00,1162.00,1003400,1148.75
2013-11-12,1186.00,1186.00,1172.20,1178.00,469800,1164.57
2013-11-11,1196.00,1198.00,1187.00,1187.00,519800,1173.47
2013-11-08,1177.00,1192.00,1177.00,1191.00,680200,1177.42
2013-11-07,1200.00,1203.00,1181.00,1187.00,733700,1173.47
2013-11-06,1210.00,1210.00,1190.00,1194.00,689300,1180.39
2013-11-05,1178.00,1207.00,1175.00,1207.00,928100,1193.24
2013-11-04,1172.00,1180.00,1171.00,1175.00,438200,1161.60
2013-11-01,1183.00,1183.00,1168.00,1173.00,526900,1159.63
2013-10-31,1168.00,1178.00,1152.52,1177.00,1101700,1163.58
2013-10-30,1171.00,1186.00,1168.25,1174.00,576600,1160.61
2013-10-29,1165.00,1176.00,1161.40,1170.00,815800,1156.66
2013-10-28,1165.00,1171.00,1155.00,1161.00,1123300,1147.76
2013-10-25,1159.00,1166.00,1151.25,1164.00,591600,1150.73
2013-10-24,1148.00,1165.58,1145.00,1160.00,751300,1146.77
2013-10-23,1143.00,1148.00,1136.48,1146.00,835300,1132.93
2013-10-22,1145.00,1149.00,1130.00,1142.00,662800,1128.98
2013-10-21,1106.00,1150.00,1106.00,1148.00,1301000,1134.91
2013-10-18,1089.00,1106.00,1085.13,1104.00,886000,1091.41
2013-10-17,1095.00,1098.00,1083.00,1089.00,543600,1076.58
2013-10-16,1105.00,1120.00,1084.00,1100.00,1176100,1087.46
2013-10-15,1092.00,1105.00,1090.00,1103.00,462000,1090.42
2013-10-14,1089.00,1093.00,1079.00,1085.00,393000,1072.63
2013-10-11,1065.00,1087.00,1062.00,1085.00,520800,1072.63
2013-10-10,1050.00,1065.00,1045.00,1061.00,891000,1048.90
2013-10-09,1058.00,1061.00,1047.00,1050.00,1297000,1038.03
2013-10-08,1071.00,1075.00,1060.00,1061.00,555700,1048.90
2013-10-07,1071.00,1076.00,1053.13,1076.00,449100,1063.73
2013-10-04,1070.00,1074.75,1062.00,1072.00,601600,1059.78
2013-10-03,1067.00,1082.00,1065.50,1071.00,502200,1058.79
2013-10-02,1069.00,1073.00,1059.00,1070.00,594000,1057.80
2013-10-01,1075.00,1079.00,1062.00,1073.00,595700,1060.77
2013-09-30,1085.00,1091.00,1071.00,1074.00,873900,1061.75
2013-09-27,1090.00,1094.75,1087.56,1091.00,490400,1078.56
2013-09-26,1093.00,1096.00,1078.00,1089.00,629400,1076.58
2013-09-25,1088.00,1113.00,1081.00,1093.00,558200,1080.54
2013-09-24,1087.00,1104.00,1080.00,1091.00,1238600,1078.56
2013-09-23,1113.00,1118.00,1103.00,1108.00,661700,1095.37
2013-09-20,1103.00,1115.00,1098.00,1110.00,880700,1097.34
2013-09-19,1096.00,1120.00,1096.00,1107.00,770100,1094.38
2013-09-18,1093.00,1097.00,1083.00,1086.00,504500,1073.62
2013-09-17,1085.00,1095.29,1082.00,1090.00,565700,1077.57
2013-09-16,1084.00,1091.00,1082.38,1084.00,407200,1071.64
2013-09-13,1076.00,1082.27,1074.00,1075.00,560300,1062.74
2013-09-12,1061.00,1096.00,1058.00,1078.00,821800,1065.71
2013-09-11,1050.00,1058.00,1045.00,1058.00,668500,1045.94
2013-09-10,1050.00,1057.00,1044.00,1054.00,676300,1041.98
2013-09-09,1047.00,1052.00,1044.00,1050.00,230300,1038.03
2013-09-06,1050.00,1055.00,1041.64,1050.00,444200,1038.03
