Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,809.00,817.00,796.00,805.00,1541800,805.00
2013-11-18,812.50,818.50,808.00,812.50,1296400,812.50
2013-11-15,809.50,826.50,807.50,812.00,2008700,812.00
2013-11-14,825.00,833.50,790.50,804.00,4094800,804.00
2013-11-13,813.50,815.94,802.50,813.50,1978500,813.50
2013-11-12,820.00,825.21,809.00,812.50,2771500,812.50
2013-11-11,834.50,839.50,818.50,818.50,1651400,818.50
2013-11-08,837.00,842.26,821.00,836.50,1790700,836.50
2013-11-07,855.00,865.50,841.50,845.00,2274200,845.00
2013-11-06,895.00,900.50,853.00,858.00,2808700,858.00
2013-11-05,866.50,890.50,865.00,889.00,2329800,889.00
2013-11-04,841.00,864.50,839.08,863.50,1635200,863.50
2013-11-01,856.00,858.50,829.50,837.00,2346000,837.00
2013-10-31,895.00,896.94,847.50,855.00,2530400,855.00
2013-10-30,893.50,898.00,867.00,897.50,1323400,897.50
2013-10-29,868.00,888.59,862.50,888.50,1800300,888.50
2013-10-28,883.50,885.00,864.00,870.00,1704600,870.00
2013-10-25,870.50,881.50,862.19,875.50,995200,875.50
2013-10-24,867.00,880.50,867.00,874.00,1636400,874.00
2013-10-23,904.00,905.50,864.00,865.50,2220500,865.50
2013-10-22,890.00,910.00,880.50,904.00,1306600,904.00
2013-10-21,899.00,910.50,887.00,891.00,1245300,891.00
2013-10-18,896.00,901.50,886.00,899.00,1031000,899.00
2013-10-17,894.00,901.50,884.56,888.50,1431100,888.50
2013-10-16,884.00,894.00,866.00,891.00,1569100,891.00
2013-10-15,875.00,895.50,875.00,888.50,1797200,888.50
2013-10-14,849.00,872.50,844.75,867.00,1321600,867.00
2013-10-11,858.00,865.00,810.75,859.00,1449400,859.00
2013-10-10,835.50,854.50,831.50,852.00,1232500,852.00
2013-10-09,834.00,838.00,825.00,830.50,2259000,830.50
2013-10-08,819.00,839.00,811.50,833.50,2728300,833.50
2013-10-07,820.00,822.50,810.50,820.50,1055100,820.50
2013-10-04,812.00,825.00,806.00,821.50,1291700,821.50
2013-10-03,825.50,831.50,806.50,815.00,1541300,815.00
2013-10-02,810.50,824.50,805.50,824.00,1448100,824.00
2013-10-01,821.00,825.00,807.50,816.00,1404000,816.00
2013-09-30,816.50,823.00,806.00,818.50,1432200,818.50
2013-09-27,846.50,848.00,816.76,830.00,2446800,830.00
2013-09-26,854.00,864.00,848.50,853.50,1249700,853.50
2013-09-25,848.50,858.00,838.50,855.50,1148000,855.50
2013-09-24,852.00,861.50,842.50,850.00,1044300,850.00
2013-09-23,851.50,865.50,846.50,852.00,1123300,852.00
2013-09-20,880.00,884.50,849.82,851.50,2668600,851.50
2013-09-19,900.00,908.00,881.00,886.00,2488700,886.00
2013-09-18,877.00,881.00,851.19,860.50,2309200,860.50
2013-09-17,879.50,889.00,874.50,882.00,1579900,876.46
2013-09-16,859.50,891.00,857.50,883.00,1784900,877.46
2013-09-13,861.50,861.50,840.00,849.50,1315100,844.17
2013-09-12,888.00,890.50,860.50,864.00,1524300,858.58
2013-09-11,899.00,900.00,881.00,886.00,1206700,880.44
2013-09-10,900.00,906.00,894.00,896.50,1838300,890.87
2013-09-09,901.00,905.00,887.50,891.50,979300,885.90
2013-09-06,881.00,905.50,875.50,899.00,2009200,893.36
2013-09-05,884.50,889.78,871.50,881.00,1887500,875.47
2013-09-04,896.00,899.00,874.00,886.00,1323200,880.44
2013-09-03,888.50,901.50,883.00,893.50,1828900,887.89
2013-09-02,872.00,894.00,867.50,885.50,1451000,879.94
2013-08-30,851.00,860.25,846.50,855.00,2590800,849.63
2013-08-29,879.00,879.00,846.00,849.00,3027800,843.67
2013-08-28,880.00,882.50,852.00,874.50,3212500,869.01
2013-08-27,910.00,930.00,868.50,884.50,4547800,878.95
2013-08-26,915.00,915.00,915.00,915.00,000,909.26
2013-08-23,908.00,932.84,903.50,915.00,2003900,909.26
2013-08-22,903.00,924.64,900.50,908.00,3112900,902.30
2013-08-21,915.00,917.00,893.00,895.00,1970800,889.38
2013-08-20,912.50,925.00,892.00,912.00,2098500,906.27
2013-08-19,930.00,937.00,921.50,922.00,2220700,916.21
2013-08-16,942.00,958.50,931.50,936.50,2752100,930.62
2013-08-15,959.00,963.00,926.50,930.00,1813700,924.16
2013-08-14,977.50,985.00,960.00,971.00,1430700,964.90
2013-08-13,964.50,979.00,958.00,979.00,1895800,972.85
2013-08-12,950.00,965.50,931.25,958.00,1892000,951.99
2013-08-09,880.00,944.50,876.50,942.00,3426800,936.09
2013-08-08,860.00,890.00,860.00,876.50,1718600,871.00
2013-08-07,849.50,853.81,832.00,844.50,1554200,839.20
2013-08-06,885.00,888.50,843.50,849.50,2273900,844.17
2013-08-05,902.50,908.00,889.00,893.50,1074400,887.89
2013-08-02,908.50,909.50,888.00,901.00,2387700,895.34
2013-08-01,888.00,914.50,883.50,913.50,1853900,907.76
2013-07-31,877.00,897.11,875.00,882.00,3709400,876.46
2013-07-30,879.50,882.50,869.50,875.00,1896600,869.51
2013-07-29,861.50,878.50,855.00,876.00,1513900,870.50
2013-07-26,877.00,891.50,856.00,858.50,1941100,853.11
2013-07-25,878.50,885.00,864.00,871.50,2346600,866.03
2013-07-24,864.00,890.00,857.50,885.00,3169300,879.44
2013-07-23,857.50,871.64,855.00,857.00,1464700,851.62
2013-07-22,850.00,861.11,840.50,846.00,1302300,840.69
2013-07-19,864.50,867.00,832.00,846.00,1962500,840.69
2013-07-18,834.00,854.00,832.00,848.50,1369700,843.17
2013-07-17,837.00,855.00,830.00,835.00,1667900,829.76
2013-07-16,829.00,838.50,819.50,833.00,2968100,827.77
2013-07-15,835.50,846.50,812.50,823.00,1999800,817.83
2013-07-12,856.00,856.00,827.00,832.50,1419600,827.27
2013-07-11,843.50,864.00,549.50,853.50,2518400,848.14
2013-07-10,815.50,822.00,798.00,814.50,2495400,809.39
2013-07-09,813.00,825.09,809.50,817.50,1458900,812.37
2013-07-08,794.00,807.50,785.00,802.00,1458500,796.96
2013-07-05,839.50,840.00,784.00,784.50,2160500,779.57
2013-07-04,820.00,842.00,811.00,835.00,1359900,829.76
2013-07-03,824.00,827.50,800.50,812.00,1445700,806.90
2013-07-02,834.00,851.50,824.00,825.50,2707900,820.32
2013-07-01,805.00,837.00,795.40,832.50,2903700,827.27
2013-06-28,819.50,826.00,791.00,795.00,2756900,790.01
2013-06-27,807.00,829.50,802.50,816.50,2925100,811.37
2013-06-26,820.50,820.50,783.00,801.50,2398400,796.47
2013-06-25,820.50,834.07,809.00,819.00,1817900,813.86
2013-06-24,827.50,829.40,811.50,813.00,2564800,807.90
2013-06-21,825.00,849.50,822.25,838.50,4172100,833.24
2013-06-20,850.00,850.00,821.50,824.50,3704400,819.32
2013-06-19,885.00,895.00,857.50,869.50,2658000,864.04
2013-06-18,892.50,899.50,877.00,879.00,2396300,873.48
2013-06-17,917.50,917.50,896.50,896.50,1501200,890.87
2013-06-14,902.00,923.50,898.50,904.00,2125000,898.32
2013-06-13,866.00,904.00,864.38,892.00,2087300,886.40
2013-06-12,880.00,900.13,876.50,879.50,1971500,873.98
2013-06-11,903.00,904.50,867.00,884.50,4097900,878.95
2013-06-10,916.50,918.50,899.50,911.00,2038600,905.28
2013-06-07,908.50,931.50,902.99,922.00,2344000,916.21
