Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,953.00,956.00,946.00,950.00,2558400,950.00
2013-11-18,947.50,961.50,941.00,959.50,2517400,959.50
2013-11-15,940.00,944.00,928.00,944.00,3739100,944.00
2013-11-14,932.00,939.50,925.00,929.50,2669500,929.50
2013-11-13,928.50,933.50,917.50,923.50,3352800,923.50
2013-11-12,945.50,951.00,928.50,933.00,3846200,933.00
2013-11-11,950.00,959.00,946.00,949.50,3521200,949.50
2013-11-08,949.00,955.00,939.50,941.00,5171600,941.00
2013-11-07,984.00,992.00,961.92,964.00,4260400,964.00
2013-11-06,982.50,986.50,969.23,980.00,5761700,980.00
2013-11-05,970.00,975.50,960.00,975.50,4039900,975.50
2013-11-04,975.00,979.50,960.50,967.00,2911600,967.00
2013-11-01,983.50,988.50,971.50,976.00,2509000,976.00
2013-10-31,989.00,993.15,975.50,985.50,4604100,985.50
2013-10-30,992.00,1021.00,989.00,994.00,4500800,994.00
2013-10-29,963.50,993.00,955.50,991.00,4258200,991.00
2013-10-28,987.50,989.50,966.50,972.00,4366300,972.00
2013-10-25,956.00,990.00,952.00,983.00,4699500,983.00
2013-10-24,945.50,963.50,944.47,960.50,3800900,960.50
2013-10-23,973.50,994.00,947.00,953.50,8104600,953.50
2013-10-22,1040.00,1059.00,961.00,1004.00,8719800,1004.00
2013-10-21,1018.00,1048.00,1015.00,1039.00,3960400,1039.00
2013-10-18,1019.00,1020.00,1001.00,1014.00,4135200,1014.00
2013-10-17,1024.00,1026.00,994.50,1005.00,3936100,1005.00
2013-10-16,1011.00,1041.00,997.90,1030.00,3940700,1030.00
2013-10-15,990.50,1021.00,989.50,1018.00,2280000,1018.00
2013-10-14,977.00,988.50,969.00,986.50,2142200,986.50
2013-10-11,988.00,988.22,974.00,984.00,1602900,984.00
2013-10-10,955.00,990.00,949.07,983.50,3167000,983.50
2013-10-09,964.50,967.42,940.56,945.50,4648400,945.50
2013-10-08,970.00,989.00,964.50,977.50,2989500,977.50
2013-10-07,981.00,981.00,964.50,970.00,2051300,970.00
2013-10-04,980.50,987.00,974.50,983.00,2798300,983.00
2013-10-03,1000.00,1001.49,981.50,982.00,2616200,982.00
2013-10-02,990.50,996.50,981.82,996.50,2532200,996.50
2013-10-01,989.50,999.00,980.00,998.00,2125600,998.00
2013-09-30,996.50,1001.12,984.50,986.00,3744700,986.00
2013-09-27,1013.00,1013.00,997.50,1010.00,2223900,1010.00
2013-09-26,997.00,1007.00,993.50,1004.00,2022400,1004.00
2013-09-25,992.50,1003.50,984.00,994.00,2006000,994.00
2013-09-24,991.50,1008.00,986.00,993.00,2805400,993.00
2013-09-23,1004.00,1014.00,986.50,992.50,3307600,992.50
2013-09-20,1000.00,1007.00,990.00,1001.00,4145200,1001.00
2013-09-19,996.50,1015.18,983.50,1001.00,4246200,1001.00
2013-09-18,961.00,989.50,959.00,984.00,4202400,984.00
2013-09-17,971.50,971.50,953.21,953.50,3292500,953.50
2013-09-16,986.50,988.50,968.00,972.00,1924400,972.00
2013-09-13,984.50,989.67,965.50,972.00,2342500,972.00
2013-09-12,991.50,996.00,971.61,986.50,4602300,986.50
2013-09-11,996.00,998.00,974.00,986.50,7385400,986.50
2013-09-10,929.50,944.00,926.38,941.00,3379700,941.00
2013-09-09,900.00,918.49,897.50,917.50,4547000,917.50
2013-09-06,897.00,902.00,884.00,892.50,2255300,892.50
2013-09-05,880.00,900.15,880.00,894.00,2921100,894.00
2013-09-04,884.00,884.50,869.00,875.00,3441000,875.00
2013-09-03,900.00,907.50,881.00,884.00,3275300,881.90
2013-09-02,880.00,896.90,880.00,893.50,1810600,891.38
2013-08-30,895.00,898.50,874.50,875.00,3449200,872.92
2013-08-29,868.50,885.50,865.50,882.50,2618900,880.40
2013-08-28,858.50,865.00,848.84,863.50,3759800,861.45
2013-08-27,888.50,897.50,871.00,872.00,2950500,869.93
2013-08-26,890.00,890.00,890.00,890.00,000,887.89
2013-08-23,878.00,895.50,875.59,890.00,1750400,887.89
2013-08-22,869.50,884.50,869.00,878.50,1865200,876.41
2013-08-21,885.00,887.50,871.00,871.50,2049100,869.43
2013-08-20,881.50,890.50,875.00,887.50,2566200,885.39
2013-08-19,874.50,889.50,870.46,889.00,2128600,886.89
2013-08-16,872.50,877.50,857.50,870.00,3682400,867.93
2013-08-15,898.50,900.50,868.25,874.50,2177500,872.42
2013-08-14,900.50,906.18,894.00,897.00,2453600,894.87
2013-08-13,889.00,897.00,881.50,891.50,1882200,889.38
2013-08-12,877.00,887.00,869.50,886.50,1630000,884.39
2013-08-09,883.00,885.00,869.50,875.00,2188800,872.92
2013-08-08,863.50,888.50,862.00,880.00,4016900,877.91
2013-08-07,882.00,888.50,859.50,860.50,3000900,858.46
2013-08-06,872.00,886.50,871.50,886.50,2893000,884.39
2013-08-05,884.50,889.50,869.73,872.00,2110800,869.93
2013-08-02,896.50,896.50,880.00,881.00,2306100,878.91
2013-08-01,882.00,891.00,875.00,889.00,3542200,886.89
2013-07-31,866.50,882.00,859.00,875.00,4353900,872.92
2013-07-30,861.00,868.00,855.86,865.50,2474300,863.44
2013-07-29,869.00,873.00,849.50,858.50,3262400,856.46
2013-07-26,862.00,868.28,842.35,846.00,3567700,843.99
2013-07-25,860.00,868.50,825.50,859.00,9442100,856.96
2013-07-24,927.00,953.00,875.50,888.50,12685700,886.39
2013-07-23,915.00,916.78,893.00,898.00,3584800,895.87
2013-07-22,897.00,916.35,897.00,906.00,2897700,903.85
2013-07-19,906.00,908.70,888.41,897.50,6108000,895.37
2013-07-18,906.50,922.08,903.00,921.00,4382200,918.81
2013-07-17,914.00,917.24,892.50,908.00,7382000,905.84
2013-07-16,913.50,924.00,907.00,912.00,4242500,909.83
2013-07-15,902.00,911.33,898.50,908.00,3428900,905.84
2013-07-12,873.50,898.00,869.00,897.00,4151100,894.87
2013-07-11,865.00,871.00,857.50,869.00,3741100,866.94
2013-07-10,858.50,864.50,844.50,854.50,3412300,852.47
2013-07-09,864.00,871.00,857.50,863.00,3279000,860.95
