Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,431.80,433.00,426.40,427.00,7423700,427.00
2013-11-18,431.90,435.04,430.53,433.00,5229200,433.00
2013-11-15,433.20,435.40,432.50,434.80,6173500,434.80
2013-11-14,434.90,436.00,429.40,432.40,6327400,432.40
2013-11-13,436.50,437.35,426.40,431.80,8366400,431.80
2013-11-12,440.60,442.00,437.40,438.50,5299800,438.50
2013-11-11,441.60,443.33,434.40,441.20,4658300,441.20
2013-11-08,433.90,441.90,430.40,440.00,7316300,440.00
2013-11-07,445.00,446.90,434.20,435.90,10570600,435.90
2013-11-06,442.80,448.50,442.80,445.30,5465300,445.30
2013-11-05,442.00,444.80,438.90,442.00,7795500,442.00
2013-11-04,449.70,453.10,445.90,446.90,4783700,446.90
2013-11-01,448.30,450.01,443.20,447.80,5115400,447.80
2013-10-31,445.00,452.70,445.00,449.10,7749000,449.10
2013-10-30,442.90,447.10,442.60,444.70,5284400,444.70
2013-10-29,435.00,442.90,433.00,442.00,5626200,442.00
2013-10-28,440.00,440.00,432.14,435.80,5307600,435.80
2013-10-25,439.20,442.56,436.27,438.60,6704200,438.60
2013-10-24,439.60,442.30,438.30,440.80,4842700,440.80
2013-10-23,438.10,440.70,434.60,438.90,4257500,438.90
2013-10-22,440.70,442.10,436.59,438.40,9177800,438.40
2013-10-21,441.40,445.50,439.29,440.80,8274900,440.80
2013-10-18,438.00,441.70,433.95,441.70,7457900,441.70
2013-10-17,432.30,436.00,427.90,436.00,6004200,436.00
2013-10-16,427.40,436.72,426.30,435.40,11465200,435.40
2013-10-15,426.60,429.10,425.54,428.20,7491900,428.20
2013-10-14,425.70,426.10,422.45,425.50,5373400,425.50
2013-10-11,429.80,430.40,424.20,426.60,6760600,426.60
2013-10-10,420.90,428.81,420.46,428.20,8995900,428.20
2013-10-09,412.60,421.30,410.86,419.50,10069100,419.50
2013-10-08,422.70,832.63,416.80,418.30,9275600,412.70
2013-10-07,412.80,423.60,410.69,422.60,7602400,416.94
2013-10-04,413.10,417.00,411.70,414.80,3741600,409.25
2013-10-03,415.00,421.10,407.71,413.10,10066800,407.57
2013-10-02,407.00,411.80,401.80,407.50,14611000,402.04
2013-10-01,398.00,409.70,397.70,408.10,8347200,402.64
2013-09-30,398.00,404.90,393.90,396.80,9083100,391.49
2013-09-27,407.90,408.96,402.10,403.40,3866900,398.00
2013-09-26,409.20,410.30,400.00,407.30,4916500,401.85
2013-09-25,404.30,410.90,401.90,409.40,11736700,403.92
2013-09-24,403.60,407.60,399.30,403.70,5200900,398.30
2013-09-23,409.80,410.30,402.40,404.70,5673700,399.28
2013-09-20,411.60,415.40,409.80,409.80,8945200,404.31
2013-09-19,418.40,421.60,413.10,414.10,7754700,408.56
