Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,3296.00,3317.48,3291.50,3308.00,1126400,3308.00
2013-11-18,3296.50,3328.50,3281.50,3317.00,1462700,3317.00
2013-11-15,3295.00,3312.50,3288.00,3306.00,2219700,3306.00
2013-11-14,3293.00,3299.00,3270.00,3286.50,1658800,3286.50
2013-11-13,3270.00,3298.00,3253.00,3267.00,2127800,3267.00
2013-11-12,3281.00,3298.50,3261.22,3284.50,1940800,3284.50
2013-11-11,3278.00,3294.50,3278.00,3292.00,1711800,3292.00
2013-11-08,3267.50,3284.21,3247.50,3278.00,1227200,3278.00
2013-11-07,3296.50,3316.50,3263.50,3272.50,1360100,3272.50
2013-11-06,3287.00,3304.10,3281.00,3299.00,1399400,3299.00
2013-11-05,3304.50,3304.50,3254.00,3291.50,1934800,3291.50
2013-11-04,3251.00,3309.50,3251.00,3288.00,1445800,3288.00
2013-11-01,3295.50,3306.00,3266.00,3292.00,2245300,3292.00
2013-10-31,3290.00,3312.50,3237.50,3309.00,2698100,3309.00
2013-10-30,3318.50,3344.50,3311.50,3330.00,1731000,3330.00
2013-10-29,3311.00,3325.32,3297.00,3312.50,1787300,3312.50
2013-10-28,3275.00,3317.00,3264.00,3301.00,2168700,3301.00
2013-10-25,3210.00,3250.00,3201.00,3248.50,1576100,3248.50
2013-10-24,3207.00,3232.00,3194.50,3225.00,1074200,3225.00
2013-10-23,3191.50,3213.50,3182.50,3210.00,1678300,3210.00
2013-10-22,3166.50,3198.50,3163.00,3187.50,1453000,3187.50
2013-10-21,3155.00,3179.00,3154.00,3175.00,1528400,3175.00
2013-10-18,3156.50,3179.00,3144.18,3149.50,2273600,3149.50
2013-10-17,3145.00,3183.25,3145.00,3150.00,2174800,3150.00
2013-10-16,3167.50,3168.50,3131.91,3159.50,2038300,3159.50
2013-10-15,3181.00,3218.85,3173.00,3183.00,1437400,3183.00
2013-10-14,3177.00,3186.50,3156.00,3186.50,1027400,3186.50
2013-10-11,3148.50,3183.00,3127.50,3176.50,2125500,3176.50
2013-10-10,3119.00,3148.12,3107.50,3133.00,2609900,3133.00
2013-10-09,3138.00,3143.00,3106.00,3113.00,1739000,3113.00
2013-10-08,3173.00,3180.00,3141.50,3143.00,2674200,3143.00
2013-10-07,3170.50,3185.00,3154.00,3170.50,1496200,3170.50
2013-10-04,3202.00,3214.50,3180.50,3182.00,1181100,3182.00
2013-10-03,3190.00,3223.50,3188.00,3199.00,1454600,3199.00
2013-10-02,3195.50,3195.50,3157.00,3190.50,1762600,3190.50
2013-10-01,3211.00,3220.00,3191.00,3211.50,1485100,3211.50
2013-09-30,3181.50,3232.74,3177.00,3215.50,2330400,3215.50
2013-09-27,3242.50,3244.50,3195.00,3201.00,1497700,3201.00
2013-09-26,3212.50,3239.50,3199.50,3239.50,1137400,3239.50
2013-09-25,3211.00,3237.00,3190.00,3209.00,1395700,3209.00
2013-09-24,3206.00,3232.00,3206.00,3218.00,1245200,3218.00
2013-09-23,3255.00,3258.00,3201.00,3210.50,1569600,3210.50
2013-09-20,3235.50,3264.50,3232.50,3257.00,2367600,3257.00
2013-09-19,3232.50,3268.00,3226.50,3240.50,2101400,3240.50
2013-09-18,3219.50,3225.50,3200.50,3213.00,1481200,3213.00
2013-09-17,3231.50,3246.50,442.87,3220.00,2184900,3220.00
2013-09-16,3239.50,3249.00,3200.00,3229.00,1661000,3229.00
2013-09-13,3198.00,3198.00,3165.50,3174.50,1232700,3174.50
2013-09-12,3175.00,3205.33,3162.00,3195.00,2017500,3195.00
2013-09-11,3138.00,3162.00,3123.50,3161.50,1700400,3161.50
2013-09-10,3134.00,3145.00,3101.50,3133.50,1918600,3133.50
2013-09-09,3125.00,3125.00,3085.21,3116.50,1358900,3116.50
2013-09-06,3137.50,3146.00,3096.00,3117.50,2185500,3117.50
