Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,445.00,446.60,439.12,441.00,6074500,441.00
2013-11-18,450.00,452.60,445.02,446.10,5974800,446.10
2013-11-15,454.20,455.00,446.20,449.00,7932500,449.00
2013-11-14,449.20,454.20,447.90,454.20,5407900,454.20
2013-11-13,450.00,451.40,444.40,447.20,5094200,447.20
2013-11-12,452.20,453.70,449.00,452.00,3389800,452.00
2013-11-11,456.50,457.00,450.78,451.70,5977500,451.70
2013-11-08,454.30,457.00,450.60,457.00,4885600,457.00
2013-11-07,456.10,463.70,454.60,460.20,4664200,460.20
2013-11-06,455.20,457.80,454.10,455.80,3913500,455.80
2013-11-05,455.80,457.60,450.90,453.30,4008800,453.30
2013-11-04,4.50,4.50,4.50,4.50,000,4.50
2013-11-01,4.50,4.50,4.50,4.50,000,4.50
2013-10-31,4.50,4.50,4.50,4.50,000,4.50
2013-10-30,4.50,4.50,4.50,4.50,000,4.50
2013-10-29,4.50,4.50,4.50,4.50,000,4.50
2013-10-28,4.50,4.50,4.50,4.50,000,4.50
2013-10-25,4.50,4.50,4.50,4.50,000,4.50
2013-10-24,4.50,4.50,4.50,4.50,000,4.50
2013-10-23,4.50,4.50,4.50,4.50,000,4.50
2013-10-22,4.50,4.50,4.50,4.50,000,4.50
2013-10-21,4.50,4.50,4.50,4.50,000,4.50
2013-10-18,4.50,4.50,4.50,4.50,000,4.50
2013-10-17,4.50,4.50,4.50,4.50,000,4.50
2013-10-16,4.50,4.50,4.50,4.50,000,4.50
2013-10-15,4.50,4.50,4.50,4.50,000,4.50
2013-10-14,4.50,4.50,4.50,4.50,000,4.50
2013-10-11,445.10,447.60,433.00,436.30,9542000,436.30
2013-10-10,4.37,4.55,4.37,4.50,2928100,4.50
2013-10-09,4.46,4.47,4.39,4.40,1373600,4.40
2013-10-08,4.48,4.53,4.45,4.47,2101800,4.47
2013-10-07,4.53,4.53,4.44,4.50,1609300,4.50
2013-10-04,4.50,4.56,4.48,4.53,1491200,4.53
2013-10-03,4.49,4.55,4.47,4.51,2619600,4.51
2013-10-02,4.54,4.55,4.48,4.49,2702800,4.49
2013-10-01,4.56,4.61,4.53,4.55,2084800,4.55
2013-09-30,4.62,4.63,4.53,4.54,3583600,4.54
2013-09-27,4.69,4.71,4.65,4.68,2628300,4.68
2013-09-26,4.64,4.70,4.61,4.68,4140300,4.68
2013-09-25,4.52,4.63,4.51,4.61,3092800,4.61
2013-09-24,4.44,4.52,4.44,4.49,2188500,4.49
2013-09-23,4.48,4.48,4.42,4.44,1821200,4.44
2013-09-20,4.48,4.51,4.47,4.48,2679600,4.48
2013-09-19,4.49,4.49,4.46,4.47,2708100,4.47
2013-09-18,4.44,4.45,4.41,4.44,2971700,4.44
2013-09-17,4.48,4.50,4.43,4.43,2480200,4.43
