Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,249.60,251.80,249.08,250.80,26437600,250.80
2013-11-18,249.40,252.61,248.65,251.40,25979000,251.40
2013-11-15,250.90,252.75,248.55,249.45,36014000,249.45
2013-11-14,252.95,254.41,248.48,250.00,35878900,250.00
2013-11-13,255.50,255.50,247.85,249.50,58800900,249.50
2013-11-12,257.05,258.65,254.00,256.80,25697800,256.80
2013-11-11,256.90,259.40,254.90,257.65,27652700,257.65
2013-11-08,251.05,256.35,250.10,255.30,42434200,255.30
2013-11-07,255.45,258.85,251.40,252.70,40284500,252.70
2013-11-06,250.20,257.35,249.55,254.65,61539200,254.65
2013-11-05,255.50,260.71,246.65,249.00,82628700,248.00
2013-11-04,257.60,259.85,254.75,255.15,77315800,254.13
2013-11-01,263.10,266.16,254.55,256.30,97475900,255.27
2013-10-31,267.65,272.00,261.60,263.60,75351500,262.54
2013-10-30,272.00,276.90,268.05,268.45,87801200,267.37
2013-10-29,260.00,267.83,258.05,266.05,43584200,264.98
2013-10-28,269.25,271.00,260.95,263.25,58359800,262.19
2013-10-25,266.05,271.97,265.15,267.90,46775000,266.82
2013-10-24,269.00,271.27,265.60,266.45,48381700,265.38
2013-10-23,274.10,274.50,266.40,268.20,73910000,267.12
2013-10-22,274.40,276.95,272.24,272.60,39629700,271.51
2013-10-21,277.05,277.28,272.15,274.75,36149400,273.65
2013-10-18,279.05,280.34,272.20,277.85,84387100,276.73
2013-10-17,281.40,281.74,275.04,278.30,72355900,277.18
2013-10-16,278.50,285.58,277.86,283.65,45641600,282.51
2013-10-15,279.65,281.79,277.86,279.85,37613400,278.73
2013-10-14,276.60,279.99,274.46,276.85,28034800,275.74
2013-10-11,276.95,280.49,273.70,278.00,42782900,276.88
2013-10-10,269.45,275.27,267.85,274.50,57356100,273.40
2013-10-09,266.85,272.00,265.59,267.80,33716000,266.72
2013-10-08,271.70,274.10,267.70,268.20,40445500,267.12
2013-10-07,272.00,273.62,267.30,272.55,37428200,271.46
2013-10-04,271.60,274.25,268.00,271.35,67264800,270.26
2013-10-03,272.00,275.50,271.45,273.00,32607200,271.90
2013-10-02,271.00,274.55,268.70,272.55,43893800,271.46
2013-10-01,266.95,272.12,264.00,269.80,53101800,268.72
2013-09-30,262.10,266.23,261.25,265.50,52602600,264.43
2013-09-27,268.35,269.75,263.95,265.80,82937500,264.73
2013-09-26,274.00,274.20,265.00,269.20,74870100,268.12
