Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,3372.00,3384.00,3368.50,3369.50,1763400,3369.50
2013-11-18,3383.00,3395.00,3368.00,3379.00,2814200,3379.00
2013-11-15,3389.50,3397.00,3377.50,3387.00,2817400,3387.00
2013-11-14,3405.00,3413.85,3376.00,3379.50,2663000,3379.50
2013-11-13,3424.00,3434.50,3374.50,3380.00,2292100,3380.00
2013-11-12,3447.00,3447.04,3409.50,3423.00,2996200,3423.00
2013-11-11,3443.50,3453.00,3422.50,3446.50,1360600,3446.50
2013-11-08,3421.00,3434.50,3395.00,3426.00,1780600,3426.00
2013-11-07,3446.00,3466.50,3417.00,3428.00,2045200,3428.00
2013-11-06,3444.50,3454.50,3425.10,3434.50,2453600,3434.50
2013-11-05,3438.00,3438.00,3408.50,3434.00,1621800,3434.00
2013-11-04,3444.00,3454.00,3420.50,3434.50,1467300,3434.50
2013-11-01,3449.50,3449.50,3417.50,3435.50,1486300,3435.50
2013-10-31,3433.00,3461.50,3414.00,3436.00,3010300,3436.00
2013-10-30,3450.00,3459.00,3429.00,3438.50,2058400,3438.50
2013-10-29,3451.50,3480.00,3415.50,3450.00,2436200,3450.00
2013-10-28,3415.00,3445.50,3401.00,3443.50,2151100,3443.50
2013-10-25,3377.50,3417.00,3362.50,3415.00,3539900,3415.00
2013-10-24,3420.00,3420.50,3376.50,3390.00,2083100,3390.00
2013-10-23,3369.00,3400.00,3350.00,3386.00,2132100,3386.00
2013-10-22,3347.50,3416.00,3339.50,3385.00,4098100,3385.00
2013-10-21,3334.00,3340.50,3300.50,3336.00,2340100,3336.00
2013-10-18,3330.00,3332.16,3287.50,3322.00,3102500,3322.00
2013-10-17,3243.00,3314.00,3243.00,3314.00,3283500,3314.00
2013-10-16,3214.00,3259.00,3205.50,3250.00,3791500,3250.00
2013-10-15,3252.50,3262.00,3217.50,3221.00,2817700,3221.00
2013-10-14,3230.00,3251.00,3221.50,3232.00,1953000,3232.00
2013-10-11,3250.00,3250.00,3209.00,3233.00,2166000,3233.00
2013-10-10,3213.50,3244.50,3201.00,3235.00,2309700,3235.00
2013-10-09,3205.00,3222.00,3192.00,3205.00,2654100,3205.00
2013-10-08,3203.50,3232.68,3192.00,3212.00,4413700,3212.00
2013-10-07,3200.00,3201.50,3178.00,3200.00,2019200,3200.00
2013-10-04,3195.50,3231.50,3189.50,3198.00,2815200,3198.00
2013-10-03,3199.50,3209.00,3182.50,3190.00,3692700,3190.00
2013-10-02,3199.00,3206.09,3158.00,3178.00,3898800,3178.00
2013-10-01,3245.00,3269.50,3200.50,3204.00,3453600,3204.00
2013-09-30,3258.50,3285.00,3251.00,3276.50,2328100,3276.50
2013-09-27,3332.00,3340.50,3280.70,3295.00,1847800,3295.00
2013-09-26,3315.00,3337.00,3304.50,3328.50,1516200,3328.50
2013-09-25,3319.00,3339.50,3300.50,3304.00,2015700,3304.00
2013-09-24,3342.50,3348.00,3322.00,3325.50,1585200,3325.50
2013-09-23,3362.50,3380.00,3346.50,3348.00,1577500,3348.00
2013-09-20,3365.00,3380.00,3351.00,3355.50,3797200,3355.50
2013-09-19,3365.00,3421.50,3357.50,3373.50,7819400,3373.50
2013-09-18,3353.00,3356.50,3313.00,3324.50,2654700,3324.50
2013-09-17,3335.50,3375.00,3335.50,3346.00,3049300,3346.00
2013-09-16,3345.00,3364.50,3321.50,3352.00,2002800,3352.00
2013-09-13,3296.00,3316.50,3295.50,3306.00,1644800,3306.00
2013-09-12,3336.50,3398.01,3310.00,3316.00,2589400,3316.00
2013-09-11,3326.50,3381.17,3313.00,3329.00,2894600,3329.00
2013-09-10,3327.00,3344.50,3320.00,3320.00,1870300,3320.00
2013-09-09,3340.50,3351.00,3304.00,3308.00,2266500,3308.00
2013-09-06,3263.50,3289.50,3245.50,3289.50,2541300,3289.50
2013-09-05,3260.00,3285.50,3222.50,3269.50,2268900,3269.50
2013-09-04,3261.50,3261.50,3232.50,3254.00,1698000,3254.00
2013-09-03,3273.50,3303.50,3254.50,3264.00,2249900,3264.00
2013-09-02,3275.00,3312.00,3269.00,3275.00,1678600,3275.00
2013-08-30,3284.50,3302.50,3254.00,3255.00,3110600,3255.00
2013-08-29,3249.00,3280.25,3239.50,3271.00,1975100,3271.00
2013-08-28,3269.00,3286.00,3232.00,3243.00,2424900,3243.00
2013-08-27,3255.00,3317.00,3255.00,3278.00,5056900,3278.00
2013-08-26,3331.00,3331.00,3331.00,3331.00,000,3331.00
2013-08-23,3327.50,3340.00,3309.00,3331.00,2626700,3331.00
2013-08-22,3315.50,3342.50,3306.00,3328.00,2190900,3328.00
2013-08-21,3374.50,3382.00,3317.50,3320.00,2105900,3320.00
2013-08-20,3400.00,3418.00,3377.00,3406.50,1705000,3361.50
2013-08-19,3410.00,3418.65,3373.00,3393.50,1670700,3348.67
2013-08-16,3420.00,3463.62,3385.50,3398.00,2452200,3353.11
2013-08-15,3457.00,3479.50,3402.50,3412.50,2407800,3367.42
2013-08-14,3465.00,3493.00,3448.00,3448.00,2076700,3402.45
2013-08-13,3452.50,3477.50,3438.50,3462.00,1741000,3416.27
2013-08-12,3480.00,3480.00,3434.60,3450.00,1518100,3404.43
2013-08-09,3461.50,3470.00,3428.50,3465.00,1438700,3419.23
2013-08-08,3451.50,3467.00,3414.00,3447.50,2462200,3401.96
2013-08-07,3510.50,3529.00,3443.50,3443.50,2639900,3398.01
2013-08-06,3517.00,3539.00,3491.50,3523.50,2930400,3476.95
2013-08-05,3549.50,3574.50,3511.50,3529.50,1513000,3482.88
2013-08-02,3582.00,3591.10,3525.00,3546.00,2135200,3499.16
2013-08-01,3527.50,3590.78,3525.00,3576.50,2469700,3529.25
2013-07-31,3483.50,3559.00,3454.00,3506.00,2969000,3459.69
2013-07-30,3455.50,3493.00,3455.50,3462.50,1975100,3416.76
2013-07-29,3428.50,3464.00,3428.50,3448.00,1681900,3402.45
2013-07-26,3443.50,3467.00,3413.50,3418.50,1764100,3373.34
2013-07-25,3450.50,3459.50,3395.00,3421.00,1803400,3375.81
2013-07-24,3442.00,3478.50,3432.00,3450.00,2477300,3404.43
2013-07-23,3493.50,3511.14,3446.00,3446.00,3414700,3400.48
2013-07-22,3480.50,3512.55,3466.50,3489.00,1331300,3442.91
2013-07-19,3512.50,3525.50,3455.00,3470.50,3673300,3424.65
2013-07-18,3507.50,3537.00,3471.50,3501.00,3726200,3454.75
2013-07-17,3526.50,3529.00,3459.50,3508.00,2350300,3461.66
2013-07-16,3511.50,3542.50,3491.00,3495.50,2199800,3449.32
2013-07-15,3486.00,3518.50,3468.00,3508.50,1791400,3462.15
2013-07-12,3514.00,3530.00,3470.00,3476.00,2010100,3430.08
2013-07-11,3516.00,3526.50,3470.00,3495.00,2193000,3448.83
2013-07-10,3555.50,3584.50,3477.50,3482.00,3191300,3436.00
2013-07-09,3546.00,3598.00,3525.41,3553.00,2717800,3506.06
2013-07-08,3505.00,3564.61,3483.00,3537.00,1952700,3490.28
2013-07-05,3505.50,3563.00,3375.50,3480.00,3397700,3434.03
2013-07-04,3405.50,3519.50,3405.50,3506.50,2756000,3460.18
2013-07-03,3395.50,3417.00,3353.50,3382.50,2304400,3337.82
2013-07-02,3437.00,3459.00,3404.50,3435.50,1857100,3390.12
2013-07-01,3384.50,3448.50,3381.50,3447.00,2447000,3401.46
2013-06-28,3443.00,3455.50,3367.50,3367.50,4118600,3323.02
2013-06-27,3414.50,3458.00,3388.00,3439.00,3279600,3393.57
2013-06-26,3331.50,3394.50,3326.00,3394.50,3269600,3349.66
2013-06-25,3319.50,3339.50,3287.00,3325.00,4396500,3281.08
2013-06-24,3345.00,3372.50,3288.00,3293.00,3201800,3249.50
2013-06-21,3355.00,3399.50,3327.50,3354.00,8309000,3309.69
2013-06-20,3425.50,3449.50,3330.00,3345.50,4908900,3301.31
2013-06-19,3489.00,3502.50,3443.00,3486.50,1912000,3440.44
2013-06-18,3470.50,3501.00,3466.50,3476.50,2164900,3430.58
2013-06-17,3487.00,3519.00,3467.50,3467.50,2105100,3421.69
2013-06-14,3507.00,3507.00,3441.00,3469.00,2289600,3423.17
2013-06-13,3463.00,3492.50,3447.00,3483.00,2679700,3436.99
2013-06-12,3505.50,3538.50,3498.00,3500.50,1904400,3454.26
2013-06-11,3513.50,3522.50,3455.00,3508.50,2635200,3462.15
2013-06-10,3523.00,3539.00,3515.00,3520.00,1734800,3473.50
2013-06-07,3505.00,3537.50,3460.50,3527.50,3536600,3480.90
2013-06-06,3560.00,3576.50,3498.00,3498.00,2111100,3451.79
2013-06-05,3620.00,3638.00,3556.50,3556.50,2319500,3509.52
2013-06-04,3630.00,3654.00,3603.50,3634.00,2128600,3585.99
2013-06-03,3608.00,3635.50,3577.00,3603.50,2175400,3555.90
2013-05-31,3659.00,3675.78,3621.95,3623.00,3858500,3575.14
2013-05-30,3664.50,3686.00,3628.00,3660.50,2017500,3612.14
2013-05-29,3768.50,3807.50,3651.50,3667.00,2810800,3618.56
2013-05-28,3739.00,3807.00,3736.50,3784.00,2893200,3734.01
2013-05-27,3706.00,3706.00,3706.00,3706.00,000,3657.04
2013-05-24,3719.50,3742.50,3676.00,3706.00,1694400,3657.04
2013-05-23,3737.50,3762.00,3690.00,3715.00,3378300,3665.92
2013-05-22,3752.50,3770.00,3725.00,3752.00,3169800,3702.44
2013-05-21,3778.00,3784.00,3738.50,3758.50,2154200,3708.85
2013-05-20,3776.00,3790.00,3732.50,3772.00,1385500,3722.17
2013-05-17,3739.00,3766.00,3700.00,3762.50,2196600,3712.80
2013-05-16,3752.00,3767.50,3736.50,3744.00,1869400,3694.54
2013-05-15,3763.50,3779.50,3733.50,3757.00,1755500,3707.37
2013-05-14,3738.00,3758.50,3728.00,3746.50,1950500,3697.01
2013-05-13,3724.50,3750.50,3709.50,3740.00,1965400,3690.59
2013-05-10,3687.50,3737.50,3687.50,3725.00,2482000,3675.79
2013-05-09,3669.50,3702.00,3656.00,3684.50,1824500,3635.83
2013-05-08,3646.00,3688.50,3625.50,3674.00,2379500,3625.47
2013-05-07,3657.50,3657.50,3596.00,3633.00,2088600,3585.01
2013-05-06,3628.50,3628.50,3628.50,3628.50,000,3580.57
2013-05-03,3625.50,3644.00,3601.00,3628.50,1739500,3580.57
2013-05-02,3576.50,3643.00,3576.50,3634.00,2447100,3585.99
2013-05-01,3585.00,3621.13,3566.50,3604.50,1548200,3556.88
2013-04-30,3610.50,3610.50,3552.60,3566.00,3261100,3518.89
2013-04-29,3600.00,3600.50,3579.00,3591.00,3197500,3543.56
2013-04-26,3600.50,3607.00,3573.50,3596.50,1899200,3548.99
2013-04-25,3625.00,3660.00,3584.50,3591.00,4537500,3543.56
2013-04-24,3563.00,3563.00,3521.78,3548.00,2481300,3501.13
2013-04-23,3518.00,3572.57,3501.50,3557.50,2940200,3510.51
2013-04-22,3544.00,3547.50,3488.90,3503.00,2314300,3456.73
2013-04-19,3515.00,3528.00,3478.00,3526.50,2592100,3479.91
2013-04-18,3559.00,3564.00,3426.00,3479.50,4159900,3433.54
2013-04-17,3556.50,3567.50,3533.50,3537.50,3076900,3490.77
2013-04-16,3576.50,3584.50,3531.00,3531.00,4857000,3484.36
2013-04-15,3581.50,3615.50,3566.50,3594.50,2307300,3547.02
2013-04-12,3587.50,3611.50,3583.00,3590.00,2018800,3542.58
2013-04-11,3592.50,3618.00,3571.00,3600.50,2212900,3552.94
2013-04-10,3549.50,3585.50,3530.62,3580.00,2335300,3532.71
2013-04-09,3562.00,3562.00,3519.00,3530.50,1782500,3483.86
2013-04-08,3513.50,3551.11,3501.60,3544.00,3320500,3497.18
2013-04-05,3560.50,3564.00,3490.00,3510.00,2447700,3463.63
2013-04-04,3563.50,3586.00,3541.50,3549.50,2008200,3502.61
2013-04-03,3600.00,3606.04,3557.00,3562.00,2373600,3514.95
2013-04-02,3541.00,3599.50,3532.50,3590.00,2229700,3542.58
