Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1255.00,1259.50,1239.50,1258.50,2506400,1258.50
2013-11-18,1251.00,1261.00,1247.50,1258.50,2556500,1258.50
2013-11-15,1249.50,1266.50,1240.00,1257.00,3880800,1257.00
2013-11-14,1265.00,1269.50,1240.06,1246.50,4810200,1246.50
2013-11-13,1262.50,1269.00,1216.25,1248.00,6441000,1248.00
2013-11-12,1278.00,1279.88,1262.50,1269.50,2935300,1269.50
2013-11-11,1269.50,1284.50,1269.00,1282.00,2700400,1282.00
2013-11-08,1260.50,1271.00,1256.50,1266.50,2612800,1266.50
2013-11-07,1276.00,1279.00,1261.50,1268.00,3027200,1268.00
2013-11-06,1290.00,1294.00,1273.50,1276.00,3988300,1276.00
2013-11-05,1285.00,1288.00,1268.00,1279.00,3367100,1279.00
2013-11-04,1275.50,1285.00,1271.50,1283.00,2926100,1283.00
2013-11-01,1288.50,1290.00,1265.75,1270.00,4046100,1270.00
2013-10-31,1250.00,1286.50,1240.00,1273.50,9348800,1273.50
2013-10-30,1250.00,1261.50,1245.50,1245.50,4180100,1245.50
2013-10-29,1237.00,1250.50,1237.00,1248.00,3626400,1248.00
2013-10-28,1258.50,1258.50,1231.08,1237.00,5097300,1237.00
2013-10-25,1239.00,1259.00,1239.00,1254.50,4935700,1254.50
2013-10-24,1235.00,1242.00,1233.50,1240.50,2073800,1240.50
2013-10-23,1238.00,1238.00,1226.50,1232.50,2834000,1232.50
2013-10-22,1233.00,1244.00,1233.00,1240.50,2882500,1240.50
2013-10-21,1233.00,1242.00,1228.50,1238.00,2982700,1238.00
2013-10-18,1222.00,1234.50,1208.00,1233.00,7902300,1233.00
2013-10-17,1223.50,1225.00,1208.50,1220.50,4701200,1220.50
2013-10-16,1212.00,1228.50,1210.50,1225.50,6075400,1225.50
2013-10-15,1213.00,1220.50,1209.00,1217.00,4262000,1217.00
2013-10-14,1186.00,1210.00,1186.00,1205.50,3823100,1205.50
2013-10-11,1187.00,1194.25,1177.00,1190.50,3049300,1190.50
2013-10-10,1160.00,1182.61,1157.00,1178.00,3819300,1178.00
2013-10-09,1152.00,1165.50,1149.40,1157.50,3647300,1157.50
2013-10-08,1167.00,1171.50,1154.50,1154.50,6195400,1154.50
2013-10-07,1168.00,1172.00,1156.00,1169.00,2662000,1169.00
2013-10-04,1177.50,1177.50,1162.50,1170.00,2712600,1170.00
2013-10-03,1186.00,1187.50,1168.50,1176.00,3736200,1176.00
2013-10-02,1173.00,1186.50,1163.50,1183.00,3597800,1183.00
2013-10-01,1184.50,1188.50,1169.22,1175.50,3188900,1175.50
2013-09-30,1179.50,1191.00,1172.00,1180.50,4602300,1180.50
2013-09-27,1197.00,1202.00,1179.50,1192.00,3374400,1192.00
2013-09-26,1204.50,1205.00,1189.91,1196.50,3103000,1196.50
2013-09-25,1205.00,1211.50,1197.50,1204.50,5744400,1204.50
2013-09-24,1188.00,1212.00,1186.00,1208.00,4271300,1208.00
2013-09-23,1201.00,1207.00,1185.00,1188.00,3541300,1188.00
2013-09-20,1198.00,1213.00,1198.00,1200.50,6388700,1200.50
2013-09-19,1205.50,1212.50,1199.00,1204.50,4408200,1204.50
2013-09-18,1186.50,1194.50,1183.00,1192.50,4501100,1192.50
2013-09-17,1203.00,1205.33,1186.64,1187.00,6494400,1187.00
2013-09-16,1214.50,1219.50,1202.00,1206.50,3227800,1206.50
2013-09-13,1201.00,1204.00,1189.50,1204.00,5467300,1204.00
2013-09-12,1206.50,1214.00,1198.50,1207.50,4918700,1207.50
2013-09-11,1191.00,1206.50,1188.89,1206.50,5342300,1206.50
2013-09-10,1211.00,1218.50,1197.00,1205.00,7286400,1205.00
2013-09-09,1222.00,1241.00,1209.00,1217.00,14087100,1217.00
2013-09-06,1283.50,1286.00,1276.50,1282.00,5317100,1282.00
2013-09-05,1270.00,1290.00,1259.50,1280.00,6103700,1280.00
2013-09-04,1257.50,1279.69,1241.50,1271.00,4407800,1271.00
2013-09-03,1244.50,1260.50,1238.50,1247.00,4027700,1247.00
2013-09-02,1229.50,1242.00,1224.00,1239.50,2531700,1239.50
2013-08-30,1243.50,1246.50,1225.00,1227.00,4827200,1227.00
2013-08-29,1265.00,1265.00,1241.50,1245.00,5972200,1245.00
2013-08-28,1205.00,1272.00,1205.00,1267.50,9318100,1267.50
2013-08-27,1177.00,1215.50,1172.13,1210.00,9455100,1210.00
