Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,610.50,613.00,604.44,605.00,2692800,598.25
2013-11-18,616.00,617.50,610.50,614.00,4304300,607.15
2013-11-15,619.00,620.50,614.50,617.50,3445600,610.61
2013-11-14,612.50,618.00,610.50,616.50,3061400,609.62
2013-11-13,620.00,623.50,605.00,606.00,4041800,599.24
2013-11-12,615.00,620.00,612.50,620.00,1751700,613.08
2013-11-11,606.00,615.50,606.00,615.50,2045200,608.63
2013-11-08,608.50,617.50,608.50,615.00,3630700,608.14
2013-11-07,609.00,617.00,602.00,612.00,3183800,605.17
2013-11-06,613.50,613.50,605.00,607.50,1730900,600.72
2013-11-05,615.50,618.00,605.56,610.50,2718200,603.69
2013-11-04,612.50,619.50,612.50,616.50,1571100,609.62
2013-11-01,619.00,622.00,609.00,611.50,3258900,604.68
2013-10-31,627.50,628.50,618.00,622.00,3171500,615.06
2013-10-30,631.50,633.50,626.00,629.00,1884000,621.98
2013-10-29,624.50,632.50,624.50,632.00,1510100,624.95
2013-10-28,628.50,629.25,623.36,624.00,1551300,617.04
2013-10-25,631.50,641.42,625.50,628.00,6597900,620.99
2013-10-24,614.00,629.10,611.50,623.00,4784300,616.05
2013-10-23,603.50,613.00,603.50,613.00,1708000,606.16
2013-10-22,601.50,607.00,601.50,607.00,2206900,600.23
2013-10-21,610.00,610.00,507.00,603.50,2608000,596.77
2013-10-18,610.00,610.50,605.00,608.00,2486700,601.22
2013-10-17,600.50,607.00,599.00,607.00,3280700,600.23
2013-10-16,599.00,606.50,596.50,604.50,2234200,597.76
2013-10-15,600.00,602.00,596.50,600.50,1959700,593.80
2013-10-14,589.00,599.00,588.50,596.50,2085000,589.84
2013-10-11,585.00,592.82,582.50,591.00,2718500,584.41
2013-10-10,571.00,584.50,570.00,584.50,1981500,577.98
2013-10-09,567.00,573.00,562.85,568.00,3007800,561.66
2013-10-08,576.00,576.00,569.00,569.00,2688900,562.65
2013-10-07,575.50,576.62,572.00,575.00,1463800,568.58
2013-10-04,575.00,581.50,572.50,578.00,2007700,571.55
2013-10-03,575.00,579.00,571.78,576.00,1955500,569.57
2013-10-02,575.50,577.50,568.00,577.00,2800700,570.56
2013-10-01,574.00,581.14,574.00,581.00,3125000,567.84
2013-09-30,580.00,582.50,575.50,577.50,2930400,564.42
2013-09-27,588.00,589.50,584.00,586.00,1910700,572.73
2013-09-26,587.00,592.00,581.50,590.50,2474200,577.13
2013-09-25,585.00,585.50,577.95,584.50,2088000,571.26
2013-09-24,583.50,589.50,583.00,585.00,1825300,571.75
2013-09-23,587.00,591.00,582.00,584.00,2056500,570.78
2013-09-20,589.00,596.00,588.50,588.50,4940200,575.17
2013-09-19,595.00,598.50,587.00,591.50,4836300,578.11
2013-09-18,587.00,590.00,577.50,581.50,3305500,568.33
2013-09-17,589.00,591.00,583.00,585.00,3151300,571.75
2013-09-16,590.00,590.00,582.50,586.00,1981900,572.73
2013-09-13,572.50,582.50,572.00,582.50,3071100,569.31
2013-09-12,570.50,577.50,567.68,574.00,2018100,561.00
2013-09-11,577.00,577.00,567.33,570.50,2387300,557.58
2013-09-10,568.00,575.50,562.50,573.00,4683900,560.02
2013-09-09,554.00,558.00,550.86,557.50,2868300,544.88
2013-09-06,548.00,552.50,543.50,549.50,4054000,537.06
2013-09-05,550.00,555.50,548.00,549.00,3261800,536.57
2013-09-04,552.00,556.00,544.50,550.00,3691900,537.55
2013-09-03,562.00,563.00,552.50,552.50,4177300,539.99
2013-09-02,563.50,571.20,562.50,567.00,2572300,554.16
2013-08-30,562.00,564.00,557.50,558.00,3093700,545.36
2013-08-29,565.50,566.50,556.50,561.00,3225900,548.30
2013-08-28,563.00,565.00,560.50,562.00,2965700,549.27
2013-08-27,573.00,573.50,563.50,564.50,3415100,551.72
2013-08-26,571.00,571.00,571.00,571.00,000,558.07
2013-08-23,567.00,572.00,565.00,571.00,3136600,558.07
2013-08-22,565.00,572.00,565.00,566.50,2829100,553.67
2013-08-21,572.00,572.50,565.00,565.00,3037800,552.21
2013-08-20,566.00,572.00,566.00,571.50,3208100,558.56
2013-08-19,575.50,577.00,567.50,568.00,2719500,555.14
2013-08-16,568.50,576.50,566.00,575.00,3332700,561.98
2013-08-15,582.00,584.00,565.50,570.50,3049800,557.58
2013-08-14,586.00,590.50,581.50,581.50,2131000,568.33
2013-08-13,582.50,588.00,582.00,586.00,3061600,572.73
2013-08-12,586.50,588.96,580.00,582.00,1886300,568.82
2013-08-09,587.00,588.33,580.89,584.00,2562000,570.78
2013-08-08,588.00,588.00,583.50,585.00,3171900,571.75
2013-08-07,595.50,595.50,585.50,586.50,3509300,573.22
2013-08-06,596.00,602.45,590.00,594.50,3021100,581.04
2013-08-05,597.00,604.00,596.00,596.00,4001800,582.50
2013-08-02,610.50,610.50,596.00,597.50,2743200,583.97
2013-08-01,601.50,608.00,596.25,608.00,3236000,594.23
2013-07-31,594.50,603.18,591.00,597.50,2537500,583.97
2013-07-30,598.00,601.00,594.18,595.00,2476800,581.53
2013-07-29,597.50,604.50,595.50,598.00,2391900,584.46
2013-07-26,602.00,604.00,594.50,596.50,2126000,582.99
2013-07-25,612.00,612.41,593.00,597.00,4021100,583.48
2013-07-24,618.00,623.50,605.00,611.50,3495000,597.65
2013-07-23,625.00,625.00,616.50,617.00,2376700,603.03
2013-07-22,620.50,624.00,616.50,619.50,2188100,605.47
2013-07-19,614.00,621.00,610.50,618.00,4268100,604.01
2013-07-18,607.00,615.00,605.22,614.00,2466600,600.10
2013-07-17,617.50,618.00,603.00,605.00,2993000,591.30
2013-07-16,620.00,622.50,614.00,614.50,2354100,600.58
2013-07-15,617.00,622.00,615.50,618.50,2108700,604.49
2013-07-12,616.50,619.50,613.35,614.50,2476600,600.58
2013-07-11,611.00,618.50,608.50,617.50,2712100,603.52
2013-07-10,605.00,609.50,602.00,606.00,2814500,592.28
2013-07-09,604.00,612.00,600.24,608.00,3287000,594.23
2013-07-08,595.50,602.00,592.00,598.00,2977400,584.46
2013-07-05,587.50,602.00,587.50,591.50,5889700,578.11
2013-07-04,574.00,589.00,570.36,584.50,3148200,571.26
2013-07-03,570.00,573.50,566.00,569.50,3241700,556.60
2013-07-02,572.00,581.50,571.00,580.00,4819100,560.42
2013-07-01,570.00,578.00,563.50,573.00,4415500,553.65
2013-06-28,568.00,573.82,562.50,566.50,5258400,547.37
2013-06-27,564.00,569.36,559.50,565.00,4043900,545.92
2013-06-26,555.50,566.00,555.36,563.50,5944500,544.47
2013-06-25,558.50,559.50,548.45,554.00,6185900,535.29
2013-06-24,571.50,571.50,553.00,555.00,3438000,536.26
2013-06-21,579.50,586.64,571.39,571.50,6189800,552.20
2013-06-20,590.00,597.00,569.50,576.50,5017400,557.03
2013-06-19,593.50,599.00,587.00,597.00,2564100,576.84
2013-06-18,596.00,599.00,589.50,592.00,2855300,572.01
2013-06-17,593.00,600.50,593.00,597.00,2472700,576.84
2013-06-14,590.00,602.44,583.50,595.50,3889300,575.39
2013-06-13,576.00,589.50,570.60,583.50,4333200,563.80
2013-06-12,584.00,592.50,580.50,582.50,3756300,562.83
2013-06-11,589.50,589.50,579.50,583.50,4199600,563.80
2013-06-10,589.00,595.00,586.50,589.50,2242200,569.59
2013-06-07,586.00,595.50,581.50,591.50,3088700,571.53
2013-06-06,594.50,598.50,579.00,582.00,3295900,562.35
2013-06-05,606.50,606.50,592.50,595.50,4871400,575.39
2013-06-04,611.50,613.62,605.50,608.50,3214500,587.95
2013-06-03,605.50,613.50,598.20,609.50,2901700,588.92
2013-05-31,616.50,616.50,605.50,609.00,4345700,588.44
2013-05-30,622.00,624.00,614.50,616.00,2923500,595.20
2013-05-29,636.50,636.59,618.50,621.50,3379600,600.51
2013-05-28,635.00,647.50,634.00,638.00,3022200,616.46
2013-05-27,631.50,631.50,631.50,631.50,000,610.18
