Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1933.00,1935.50,1912.00,1928.00,3874000,1928.00
2013-11-18,1940.00,1946.00,1926.50,1940.50,3133500,1940.50
2013-11-15,1920.00,1944.00,1914.50,1932.00,5224500,1932.00
2013-11-14,1929.00,1936.00,1892.00,1913.50,5021600,1913.50
2013-11-13,1928.00,1936.00,1881.00,1904.00,8158400,1904.00
2013-11-12,1952.00,1956.50,1931.50,1940.50,5072000,1940.50
2013-11-11,1960.00,1971.00,1940.00,1956.00,3472000,1956.00
2013-11-08,1951.00,1973.84,1939.50,1970.00,5083200,1970.00
2013-11-07,1978.00,2005.50,1959.00,1968.50,6523800,1968.50
2013-11-06,1984.00,2000.00,1963.05,1983.00,5781700,1983.00
2013-11-05,1957.00,1996.00,1957.00,1970.00,7444100,1970.00
2013-11-04,1927.00,1954.50,1927.00,1949.50,4442900,1949.50
2013-11-01,1930.50,1945.50,1909.00,1919.00,6134600,1919.00
2013-10-31,1949.50,1957.50,1924.50,1930.50,6595800,1930.50
2013-10-30,1955.00,1970.50,1944.00,1952.00,3819800,1952.00
2013-10-29,1940.00,1958.00,1918.00,1949.00,4372000,1949.00
2013-10-28,1966.50,1970.50,1934.00,1944.50,5208500,1944.50
2013-10-25,1936.00,1959.00,1917.00,1953.00,4052300,1953.00
2013-10-24,1927.50,1955.00,1922.50,1950.00,5157100,1950.00
2013-10-23,1949.50,1954.50,1911.50,1922.50,6748100,1922.50
2013-10-22,1908.00,1964.50,1904.00,1950.50,10872900,1950.50
2013-10-21,1870.00,1885.00,1865.00,1873.50,4594800,1873.50
2013-10-18,1850.00,1872.35,1848.00,1861.50,5111600,1861.50
2013-10-17,1842.50,1861.21,1829.50,1844.00,4176800,1844.00
2013-10-16,1835.50,1858.50,1817.00,1850.00,6360500,1850.00
2013-10-15,1831.00,1859.00,1829.00,1842.50,6563500,1842.50
2013-10-14,1815.00,1905.00,1799.00,1816.50,2953900,1816.50
2013-10-11,1806.50,1817.50,1793.00,1815.00,4045300,1815.00
2013-10-10,1778.50,1801.50,1765.00,1791.50,5023300,1791.50
2013-10-09,1775.00,1786.50,1760.00,1771.50,5953800,1771.50
2013-10-08,1793.00,1798.00,1758.49,1768.50,6965100,1768.50
2013-10-07,1797.50,1803.50,1777.00,1802.00,4272700,1802.00
2013-10-04,1800.00,1808.73,1781.50,1804.50,3982200,1804.50
2013-10-03,1823.50,1841.50,1796.00,1802.00,4105300,1802.00
2013-10-02,1800.00,1832.50,1777.00,1826.00,5262000,1826.00
2013-10-01,1817.50,1831.00,1787.04,1805.00,5164700,1805.00
2013-09-30,1816.00,1831.00,1806.50,1820.00,4576400,1820.00
2013-09-27,1883.00,1883.00,1833.00,1841.00,4601800,1841.00
2013-09-26,1868.00,1893.00,1863.00,1883.00,3270800,1883.00
2013-09-25,1860.00,1888.00,1854.00,1865.00,6021100,1865.00
2013-09-24,1876.00,1878.00,1852.00,1860.00,4240100,1860.00
2013-09-23,1875.50,1882.00,1861.50,1875.50,2718100,1875.50
2013-09-20,1911.50,1911.50,1875.00,1875.50,8028000,1875.50
2013-09-19,1928.00,1949.00,1906.00,1908.00,7369700,1908.00
2013-09-18,1900.00,1903.50,1876.50,1884.50,4457600,1884.50
2013-09-17,1905.50,1908.00,1887.50,1895.00,5410100,1895.00
2013-09-16,1910.50,1924.00,1905.50,1905.50,4166700,1905.50
2013-09-13,1916.50,1917.50,1871.50,1885.00,6257700,1885.00
2013-09-12,1937.00,1946.50,1912.00,1923.00,6677800,1923.00
2013-09-11,1947.50,1948.09,1920.50,1932.50,4801400,1932.50
2013-09-10,1932.00,1952.00,1891.00,1939.00,5936400,1939.00
2013-09-09,1927.00,1940.50,1899.50,1907.00,6306400,1907.00
2013-09-06,1899.00,1929.00,1889.50,1921.00,6734400,1921.00
2013-09-05,1903.50,1933.70,1885.50,1912.50,4366200,1912.50
2013-09-04,1902.00,1906.00,1882.00,1902.50,3638800,1902.50
2013-09-03,1932.50,1953.50,1888.00,1936.00,5319600,1898.18
2013-09-02,1917.00,1947.00,1872.50,1921.00,5065800,1883.47
2013-08-30,1888.50,1895.50,1873.00,1878.00,5471600,1841.31
2013-08-29,1881.50,1896.00,1870.00,1880.50,4684500,1843.76
2013-08-28,1860.00,1905.71,1854.00,1877.00,5952700,1840.33
2013-08-27,1895.50,1895.50,1869.50,1883.00,6723000,1846.21
2013-08-26,1909.50,1909.50,1909.50,1909.50,000,1872.19
2013-08-23,1897.00,1922.50,1886.00,1909.50,5778900,1872.19
2013-08-22,1879.50,1922.50,1877.50,1908.50,5537900,1871.21
2013-08-21,1894.00,1908.50,1866.50,1873.00,7224200,1836.41
2013-08-20,1920.00,1935.50,1886.50,1923.50,9105500,1885.92
2013-08-19,1978.00,1980.00,1943.50,1956.00,5363600,1917.79
2013-08-16,1970.00,1993.64,1963.00,1987.50,7789900,1948.67
2013-08-15,1999.00,2007.00,1952.00,1975.50,6625100,1936.90
2013-08-14,1985.00,2013.00,1963.00,1994.50,6410700,1955.53
2013-08-13,1985.50,2004.50,1971.00,1990.00,11397600,1951.12
2013-08-12,1979.50,1996.00,1939.86,1983.50,8017200,1944.75
2013-08-09,1911.50,1974.00,1903.00,1963.50,6872000,1925.14
2013-08-08,1851.00,1901.50,1849.00,1899.00,6292100,1861.90
2013-08-07,1862.00,1866.00,1835.00,1844.50,6191300,1808.46
2013-08-06,1898.00,1901.35,1859.00,1875.00,8199000,1838.37
2013-08-05,1894.00,1911.00,1884.00,1901.50,4157300,1864.35
2013-08-02,1911.50,1914.50,1885.50,1894.50,6133100,1857.49
2013-08-01,1884.50,1920.00,1883.00,1920.00,5506900,1882.49
2013-07-31,1882.50,1902.50,1865.23,1879.00,4961400,1842.29
2013-07-30,1890.00,1896.00,1877.50,1880.00,4245800,1843.27
2013-07-29,1877.00,1900.50,1876.00,1892.50,4298200,1855.53
2013-07-26,1887.00,1903.50,1871.50,1878.00,4274600,1841.31
2013-07-25,1889.00,1891.50,1850.50,1878.00,6133400,1841.31
2013-07-24,1909.00,1943.50,1891.50,1907.00,6534800,1869.74
2013-07-23,1893.00,1929.50,1869.17,1913.00,7973900,1875.63
2013-07-22,1867.00,1885.08,1856.50,1876.00,4736600,1839.35
2013-07-19,1851.50,1892.00,1837.00,1869.50,7506600,1832.98
2013-07-18,1852.00,1892.00,1849.50,1881.00,5037700,1844.25
2013-07-17,1850.00,1928.50,1845.50,1868.00,10566700,1831.50
2013-07-16,1813.50,1851.00,1813.00,1832.00,6855500,1796.21
2013-07-15,1797.50,1829.50,1796.00,1807.50,4493800,1772.19
2013-07-12,1800.00,1816.00,1782.82,1800.00,6519800,1764.83
2013-07-11,1790.00,1809.00,1780.00,1800.00,10127500,1764.83
2013-07-10,1726.50,1736.50,1704.00,1721.50,5622700,1687.87
2013-07-09,1723.50,1753.00,1719.00,1729.50,8496100,1695.71
2013-07-08,1675.00,1701.00,1664.00,1689.00,4363100,1656.00
2013-07-05,1733.00,1742.00,1660.50,1666.50,7946300,1633.94
2013-07-04,1678.50,1745.50,1678.50,1729.50,5463300,1695.71
2013-07-03,1688.00,1688.00,1644.00,1670.50,7197100,1637.86
