Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1392.00,1399.38,1384.00,1392.00,214000,1392.00
2013-11-18,1387.00,1400.00,1381.00,1399.00,254200,1399.00
2013-11-15,1395.00,1401.00,1386.00,1391.00,264200,1391.00
2013-11-14,1400.00,1414.00,1388.00,1396.00,383600,1396.00
2013-11-13,1406.00,1412.00,1381.00,1395.00,349400,1395.00
2013-11-12,1413.00,1417.00,1404.00,1409.00,308500,1409.00
2013-11-11,1421.00,1433.00,1399.82,1408.00,306300,1408.00
2013-11-08,1385.00,1426.00,1384.00,1414.00,747400,1414.00
2013-11-07,1373.00,1393.00,1367.35,1391.00,747600,1391.00
2013-11-06,1368.00,1381.00,1354.00,1374.00,323800,1374.00
2013-11-05,1377.00,1380.00,1366.00,1373.00,292300,1363.00
2013-11-04,1379.00,1396.00,1371.00,1373.00,294000,1363.00
2013-11-01,1380.00,1380.00,1362.00,1378.00,261400,1367.96
2013-10-31,1360.00,1377.00,1360.00,1377.00,434000,1366.97
2013-10-30,1368.00,1384.00,1363.00,1369.00,295900,1359.03
2013-10-29,1360.00,1370.00,1347.00,1367.00,373300,1357.04
2013-10-28,1354.00,1369.00,1347.00,1356.00,263400,1346.12
2013-10-25,1369.00,1370.00,1353.00,1357.00,392800,1347.12
2013-10-24,1361.00,1375.00,1361.00,1371.00,293300,1361.01
2013-10-23,1368.00,1387.00,1362.00,1366.00,288000,1356.05
2013-10-22,1359.00,1373.00,1354.00,1367.00,272100,1357.04
2013-10-21,1360.00,1371.00,1355.00,1361.00,347100,1351.09
2013-10-18,1350.00,1358.00,1337.00,1357.00,460500,1347.12
2013-10-17,1330.00,1337.00,1310.00,1334.00,385600,1324.28
2013-10-16,1323.00,1331.00,1288.00,1329.00,790700,1319.32
2013-10-15,1333.00,1349.28,1316.00,1330.00,1082700,1320.31
2013-10-14,1312.00,1329.00,1301.00,1329.00,402600,1319.32
2013-10-11,1319.00,1336.00,1317.00,1334.00,325000,1324.28
2013-10-10,1294.00,1328.00,1294.00,1320.00,261300,1310.39
2013-10-09,1300.00,1306.00,1287.00,1295.00,463000,1285.57
2013-10-08,1325.00,1335.00,1304.00,1305.00,379900,1295.50
2013-10-07,1320.00,1325.00,1303.64,1322.00,258100,1312.37
2013-10-04,1327.00,1331.00,1319.00,1325.00,446100,1315.35
2013-10-03,1327.00,1339.00,1322.38,1330.00,363100,1320.31
2013-10-02,1347.00,1352.00,1328.00,1335.00,323200,1325.28
2013-10-01,1342.00,1369.00,1336.00,1352.00,383200,1342.15
2013-09-30,1330.00,1341.00,1330.00,1338.00,338100,1328.25
2013-09-27,1357.00,1374.00,1341.00,1349.00,293600,1339.17
2013-09-26,1349.00,1355.00,1342.00,1344.00,184600,1334.21
2013-09-25,1355.00,1357.00,1343.00,1350.00,232600,1340.17
2013-09-24,1342.00,1362.00,1342.00,1358.00,336900,1348.11
2013-09-23,1352.00,1359.00,1339.00,1344.00,237600,1334.21
2013-09-20,1347.00,1373.00,1347.00,1352.00,519600,1342.15
2013-09-19,1360.00,1369.00,1348.00,1351.00,261500,1341.16
2013-09-18,1359.00,1368.00,1347.00,1350.00,297400,1340.17
2013-09-17,1372.00,1381.00,1355.59,1356.00,493500,1346.12
2013-09-16,1368.00,1376.00,1364.00,1365.00,416200,1355.06
2013-09-13,1341.00,1354.00,1332.00,1352.00,282900,1342.15
2013-09-12,1350.00,1355.00,1333.00,1346.00,364000,1336.20
2013-09-11,1356.00,1357.00,1344.00,1347.00,419600,1337.19
2013-09-10,1365.00,1374.00,1352.00,1356.00,470000,1346.12
2013-09-09,1364.00,1366.00,1348.00,1357.00,464500,1347.12
2013-09-06,1363.00,1369.00,1349.00,1361.00,350700,1351.09
2013-09-05,1372.00,1387.00,1355.00,1365.00,482600,1355.06
2013-09-04,1373.00,1374.00,1351.00,1371.00,350800,1361.01
2013-09-03,1376.00,1386.00,1369.00,1374.00,323000,1363.99
2013-09-02,1365.00,1387.00,1365.00,1383.00,228400,1372.93
2013-08-30,1374.00,1381.00,1351.00,1361.00,532700,1351.09
2013-08-29,1359.00,1376.00,1344.00,1375.00,377900,1364.99
2013-08-28,1377.00,1381.28,1359.00,1364.00,396800,1354.07
2013-08-27,1363.00,1390.00,1340.59,1376.00,479300,1365.98
2013-08-26,1354.00,1354.00,1354.00,1354.00,000,1344.14
2013-08-23,1348.00,1366.00,1344.00,1354.00,177000,1344.14
2013-08-22,1341.00,1356.00,1341.00,1350.00,231300,1340.17
2013-08-21,1362.00,1362.00,1341.00,1345.00,256000,1335.20
2013-08-20,1336.00,1362.00,1326.00,1362.00,380900,1352.08
2013-08-19,1334.00,1354.00,1330.00,1349.00,267900,1339.17
2013-08-16,1344.00,1350.00,1326.50,1333.00,431400,1323.29
2013-08-15,1375.00,1398.00,1339.00,1343.00,565400,1333.22
2013-08-14,1349.00,1362.00,1346.00,1355.00,235800,1345.13
2013-08-13,1355.00,1373.00,1323.00,1350.00,407400,1340.17
2013-08-12,1360.00,1363.00,1339.00,1349.00,301000,1339.17
2013-08-09,1349.00,1365.00,1341.00,1361.00,559700,1351.09
2013-08-08,1354.00,1354.00,1340.00,1345.00,421900,1335.20
2013-08-07,1367.00,1369.00,1345.00,1346.00,598700,1336.20
2013-08-06,1360.00,1389.00,1355.89,1368.00,691500,1358.04
2013-08-05,1377.00,1388.00,1353.00,1360.00,690000,1350.09
2013-08-02,1402.00,1402.00,1373.00,1379.00,533400,1368.96
2013-08-01,1410.00,1420.00,1388.00,1398.00,518400,1387.82
2013-07-31,1394.00,1423.00,1394.00,1409.00,498400,1398.74
2013-07-30,1387.00,1410.00,1383.00,1403.00,302700,1392.78
2013-07-29,1375.00,1393.00,1375.00,1382.00,247100,1371.93
2013-07-26,1384.00,1389.00,1370.00,1374.00,241600,1363.99
2013-07-25,1372.00,1383.00,1359.42,1371.00,260900,1361.01
2013-07-24,1375.00,1387.00,1369.00,1379.00,203000,1368.96
2013-07-23,1392.00,1392.00,1371.00,1376.00,299400,1365.98
2013-07-22,1390.00,1390.00,1379.00,1386.00,157900,1375.91
2013-07-19,1389.00,1396.00,1376.00,1385.00,400100,1374.91
2013-07-18,1377.00,1399.00,1377.00,1396.00,317900,1385.83
2013-07-17,1369.00,1381.00,1362.00,1376.00,235800,1365.98
2013-07-16,1387.00,1393.00,1367.00,1369.00,350300,1359.03
2013-07-15,1378.00,1396.75,1376.00,1383.00,277800,1372.93
2013-07-12,1378.00,1394.00,1376.00,1378.00,327200,1367.96
2013-07-11,1399.00,1404.00,1375.00,1378.00,485300,1367.96
2013-07-10,1373.00,1396.00,1366.00,1392.00,321100,1381.86
2013-07-09,1373.00,1384.00,1365.00,1377.00,439000,1366.97
2013-07-08,1380.00,1389.00,1370.00,1374.00,438500,1363.99
2013-07-05,1359.00,1390.00,1351.00,1373.00,636900,1363.00
2013-07-04,1335.00,1362.00,1321.00,1362.00,352500,1352.08
2013-07-03,1303.00,1326.00,1303.00,1321.00,446500,1311.38
2013-07-02,1312.00,1319.00,1301.00,1315.00,496500,1305.42
2013-07-01,1286.00,1313.00,1283.00,1312.00,481700,1302.44
2013-06-28,1284.00,1295.00,1278.00,1280.00,624700,1270.68
2013-06-27,1244.00,1292.00,1240.00,1287.00,549000,1277.63
2013-06-26,1251.00,1258.00,1237.00,1246.00,585600,1236.92
