Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,487.80,487.95,484.35,486.75,21046300,486.75
2013-11-18,486.75,490.48,486.13,488.55,23194500,488.55
2013-11-15,483.50,488.60,481.25,488.10,27339100,488.10
2013-11-14,483.95,484.40,480.50,483.30,23265700,483.30
2013-11-13,480.35,483.19,479.10,481.25,31468600,481.25
2013-11-12,479.85,484.25,479.05,483.90,54362700,483.90
2013-11-11,479.55,482.56,477.78,481.15,13951200,481.15
2013-11-08,477.80,478.80,474.10,477.65,20365900,477.65
2013-11-07,484.60,489.45,479.25,480.45,20609300,480.45
2013-11-06,483.00,487.20,482.02,484.45,26392600,484.45
2013-11-05,490.00,490.00,485.15,488.05,21068900,478.55
2013-11-04,487.70,490.45,485.80,489.20,20515600,479.68
2013-11-01,484.75,487.70,483.50,484.75,19292200,475.31
2013-10-31,482.35,487.45,480.16,482.70,38860000,473.30
2013-10-30,478.00,491.27,477.45,482.00,39044700,472.62
2013-10-29,467.00,478.65,455.00,477.50,65063400,468.21
2013-10-28,450.80,452.10,448.10,452.10,18620800,443.30
2013-10-25,449.50,454.55,449.50,451.15,18693100,442.37
2013-10-24,452.70,453.38,448.80,450.15,17643300,441.39
2013-10-23,447.85,450.48,445.85,449.25,14718500,440.51
2013-10-22,449.85,450.21,447.30,448.00,20813500,439.28
2013-10-21,448.90,450.87,446.33,449.55,13109400,440.80
2013-10-18,445.30,447.48,443.45,447.45,24020600,438.74
2013-10-17,443.90,444.90,440.15,443.90,19460200,435.26
2013-10-16,444.55,447.75,444.45,445.75,32736800,437.07
2013-10-15,445.00,447.89,442.65,444.65,17686400,435.99
2013-10-14,438.85,443.89,437.59,443.40,15528200,434.77
2013-10-11,438.50,440.00,435.70,439.65,12752100,431.09
2013-10-10,435.10,437.37,432.90,437.30,19186500,428.79
2013-10-09,434.00,437.64,431.28,433.45,16501400,425.01
2013-10-08,437.40,438.25,432.60,433.70,18275100,425.26
2013-10-07,437.25,439.15,433.95,438.60,15222100,430.06
2013-10-04,437.20,440.80,435.10,438.25,12924800,429.72
2013-10-03,439.00,441.16,435.15,437.15,34067700,428.64
2013-10-02,430.70,434.63,426.55,432.30,18129100,423.89
2013-10-01,434.10,435.40,430.04,432.45,15547000,424.03
2013-09-30,438.00,458.28,430.85,433.10,31548300,424.67
2013-09-27,445.00,445.75,275.44,441.10,18449600,432.51
2013-09-26,441.10,444.92,440.15,444.35,14411700,435.70
2013-09-25,441.30,442.40,438.30,441.50,15007300,432.91
2013-09-24,439.00,443.29,438.95,442.30,15394300,433.69
2013-09-23,442.50,443.95,438.75,440.20,14883600,431.63
2013-09-20,438.60,448.50,438.15,442.05,61781200,433.45
2013-09-19,440.70,442.08,438.10,440.10,21844100,431.53
2013-09-18,438.85,441.45,436.20,438.30,18866200,429.77
2013-09-17,442.70,442.70,439.87,440.00,25235300,431.44
2013-09-16,444.90,448.06,441.70,443.25,16644200,434.62
2013-09-13,441.30,442.69,440.45,442.50,18622700,433.89
2013-09-12,447.10,448.33,444.55,444.70,16669200,436.04
2013-09-11,445.00,453.86,443.59,445.80,20099200,437.12
2013-09-10,447.00,448.00,442.86,443.75,12798100,435.11
2013-09-09,445.60,446.20,442.00,444.10,10366200,435.46
2013-09-06,444.80,446.85,442.25,445.55,12245100,436.88
2013-09-05,442.00,445.75,438.70,445.75,13415300,437.07
2013-09-04,442.75,443.65,439.25,443.15,10241500,434.52
2013-09-03,445.65,446.80,440.65,441.85,19464100,433.25
2013-09-02,446.50,447.05,443.70,445.55,15239800,436.88
2013-08-30,449.05,451.26,444.60,446.20,29731600,437.51
2013-08-29,454.05,454.15,448.25,450.90,17873700,442.12
2013-08-28,447.00,453.60,445.22,452.65,29972400,443.84
2013-08-27,441.50,448.23,439.65,447.10,30354000,438.40
2013-08-26,442.95,442.95,442.95,442.95,000,434.33
2013-08-23,437.10,443.89,434.25,442.95,18568900,434.33
2013-08-22,432.00,438.90,432.00,437.00,15043300,428.49
2013-08-21,436.50,436.90,430.30,432.55,17718100,424.13
2013-08-20,437.05,437.70,434.60,437.20,18064700,428.69
2013-08-19,441.95,442.25,438.25,439.50,11928000,430.95
2013-08-16,440.90,442.12,439.50,441.70,20087700,433.10
2013-08-15,444.00,444.98,440.00,441.20,22491600,432.61
2013-08-14,446.30,448.95,443.45,446.25,27160000,437.56
2013-08-13,443.90,446.93,434.52,446.25,16480000,437.56
2013-08-12,444.50,446.54,442.55,442.90,13442800,434.28
2013-08-09,443.10,446.28,441.50,443.25,17081900,434.62
2013-08-08,445.10,455.66,440.20,441.80,18325700,433.20
2013-08-07,448.00,454.20,443.55,443.55,19418000,434.92
2013-08-06,454.50,456.90,451.60,454.35,35482900,439.86
2013-08-05,457.25,459.69,451.25,455.75,11292100,441.21
2013-08-02,459.45,460.53,454.75,455.40,13258900,440.87
2013-08-01,457.95,459.00,451.85,458.50,20268000,443.87
2013-07-31,454.75,459.30,452.30,454.55,32184500,440.05
2013-07-30,460.00,460.58,443.35,451.45,43964200,437.05
2013-07-29,470.15,473.70,466.45,467.40,13418800,452.49
2013-07-26,474.90,476.45,469.59,471.00,10490300,455.97
2013-07-25,473.30,474.50,468.60,473.55,10737700,458.44
2013-07-24,472.00,477.53,470.13,473.90,15071200,458.78
2013-07-23,471.00,474.61,469.66,470.75,17187300,455.73
2013-07-22,469.80,486.75,467.50,468.45,12411100,453.51
2013-07-19,468.95,470.85,465.00,469.80,21460500,454.81
2013-07-18,465.50,471.85,464.87,470.40,15010000,455.39
2013-07-17,466.25,467.60,463.25,466.50,15835000,451.62
2013-07-16,466.90,469.25,464.70,465.20,17247000,450.36
2013-07-15,464.20,469.73,463.30,465.85,14984500,450.99
2013-07-12,465.35,467.35,462.45,464.15,13607200,449.34
2013-07-11,471.90,473.35,464.30,464.75,21558600,449.92
2013-07-10,465.25,469.88,462.93,469.45,16233100,454.47
2013-07-09,462.45,465.75,460.98,464.80,16194800,449.97
2013-07-08,458.25,462.45,457.80,460.45,13554800,445.76
2013-07-05,457.10,457.65,453.25,454.00,24418300,439.52
2013-07-04,451.25,457.90,449.70,454.75,20784400,440.24
2013-07-03,452.25,453.15,446.35,448.10,18427200,433.80
2013-07-02,458.10,458.10,452.40,455.65,15922800,441.11
2013-07-01,459.50,460.04,455.00,457.95,17602900,443.34
2013-06-28,456.00,458.30,451.80,455.25,23433200,440.73
2013-06-27,453.15,457.65,450.35,456.60,23264400,442.03
2013-06-26,448.85,454.35,446.05,452.00,14342700,437.58
2013-06-25,448.50,452.45,445.64,448.55,35539500,434.24
2013-06-24,447.00,456.32,443.35,444.95,32001200,430.76
2013-06-21,448.50,451.43,445.15,445.85,56107700,431.63
2013-06-20,453.70,455.00,447.70,449.20,27950400,434.87
2013-06-19,461.85,462.80,454.60,455.00,19841100,440.48
2013-06-18,458.65,461.50,456.70,460.40,19306800,445.71
2013-06-17,455.95,460.30,452.15,458.20,23797400,443.58
2013-06-14,455.50,457.90,451.80,453.80,22662700,439.32
2013-06-13,450.05,455.50,449.85,453.45,24428900,438.98
2013-06-12,459.85,462.45,453.65,454.75,16098400,440.24
2013-06-11,461.80,462.65,455.75,460.30,21493900,445.62
2013-06-10,459.60,463.25,458.15,461.85,19287000,447.12
2013-06-07,459.20,463.07,456.85,461.00,30329400,446.29
2013-06-06,465.00,467.95,458.00,458.00,19349400,443.39
2013-06-05,467.55,472.00,462.45,464.10,20148500,449.29
2013-06-04,471.45,472.94,468.45,469.50,18577200,454.52
2013-06-03,470.90,472.20,460.95,469.00,24634500,454.04
2013-05-31,476.50,476.78,473.09,473.45,46982500,458.35
2013-05-30,477.75,481.80,476.20,478.30,21122200,463.04
2013-05-29,482.50,482.50,477.45,477.50,25601100,462.27
2013-05-28,479.15,484.70,477.45,482.65,25761700,467.25
2013-05-27,476.40,476.40,476.40,476.40,000,461.20
2013-05-24,480.40,481.55,475.27,476.40,28304600,461.20
2013-05-23,475.00,480.60,473.90,477.50,38448500,462.27
2013-05-22,479.95,485.43,478.20,483.30,38875400,467.88
