Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1489.00,1490.00,1477.00,1483.00,1194500,1474.20
2013-11-18,1477.00,1500.50,1469.00,1495.00,2043200,1486.13
2013-11-15,1494.00,1495.00,1459.75,1477.00,1507300,1468.24
2013-11-14,1491.00,1513.00,1470.50,1489.00,1989500,1480.16
2013-11-13,1498.00,1508.00,1462.00,1462.00,2206900,1453.32
2013-11-12,1515.00,1516.00,1488.00,1488.00,1312100,1479.17
2013-11-11,1505.00,1522.00,1505.00,1512.00,1020300,1503.03
2013-11-08,1488.00,1504.00,1482.00,1502.00,839200,1493.09
2013-11-07,1500.00,1516.00,1492.00,1494.00,805300,1485.13
2013-11-06,1508.00,1515.00,1495.00,1498.00,1094100,1489.11
2013-11-05,1533.00,1533.00,1492.00,1500.00,1132400,1491.10
2013-11-04,1537.00,1541.00,1523.00,1525.00,492200,1515.95
2013-11-01,1540.00,1540.00,1527.00,1528.00,666600,1518.93
2013-10-31,1524.00,1540.00,1523.00,1535.00,1386700,1525.89
2013-10-30,1519.00,1530.00,1519.00,1526.00,792100,1516.94
2013-10-29,1518.00,1537.00,1518.00,1520.00,1253900,1510.98
2013-10-28,1537.00,1537.75,1523.00,1525.00,765800,1515.95
2013-10-25,1540.00,1552.00,1510.00,1532.00,907700,1522.91
2013-10-24,1555.00,1557.00,1532.00,1547.00,643300,1537.82
2013-10-23,1556.00,1565.00,1543.00,1553.00,700100,1543.78
2013-10-22,1553.00,1563.00,1543.00,1556.00,1000500,1546.77
2013-10-21,1530.00,1557.00,1528.35,1550.00,1445100,1540.80
2013-10-18,1508.00,1533.00,1505.00,1527.00,1361200,1517.94
2013-10-17,1486.00,1521.44,1476.00,1503.00,1895100,1494.08
2013-10-16,1439.00,1474.00,1424.00,1464.00,4374100,1455.31
2013-10-15,1490.00,1542.00,1464.00,1464.00,5330100,1455.31
2013-10-14,1602.00,1605.00,1578.00,1585.00,803200,1575.59
2013-10-11,1595.00,1605.00,1585.00,1605.00,684000,1595.48
2013-10-10,1554.00,1593.00,1548.00,1585.00,913500,1575.59
2013-10-09,1578.00,1578.00,1537.00,1550.00,1306800,1540.80
2013-10-08,1604.00,1611.00,1579.00,1583.00,939900,1573.61
2013-10-07,1606.00,1609.00,1583.00,1608.00,837500,1598.46
2013-10-04,1628.00,1634.00,1615.00,1628.00,495800,1618.34
2013-10-03,1636.00,1642.00,1619.00,1632.00,597100,1622.32
2013-10-02,1655.00,1655.00,1624.00,1639.00,997200,1629.27
2013-10-01,1634.00,1660.00,1622.00,1657.00,971400,1647.17
2013-09-30,1610.00,1634.00,1604.00,1634.00,769300,1624.30
2013-09-27,1620.00,1628.00,1613.00,1623.00,688100,1613.37
2013-09-26,1621.00,1635.00,1607.00,1617.00,490400,1607.40
2013-09-25,1630.00,1635.00,1620.00,1622.00,749500,1612.38
2013-09-24,1632.00,1640.00,1627.00,1632.00,668100,1622.32
2013-09-23,1623.00,1638.00,1622.50,1631.00,769700,1621.32
2013-09-20,1634.00,1641.00,1619.00,1619.00,1061200,1609.39
2013-09-19,1619.00,1642.00,1619.00,1636.00,918100,1626.29
2013-09-18,1605.00,1611.00,1588.00,1605.00,956600,1595.48
2013-09-17,1605.00,1630.00,1599.00,1606.00,1471000,1596.47
2013-09-16,1624.00,1629.00,1582.00,1602.00,2125100,1592.49
2013-09-13,1623.00,1633.65,1601.00,1609.00,1529400,1599.45
2013-09-12,1643.00,1644.00,1611.00,1623.00,950300,1613.37
2013-09-11,1672.00,1674.00,1621.00,1640.00,1237400,1630.27
2013-09-10,1650.00,1687.00,1648.00,1667.00,1092100,1657.11
2013-09-09,1610.00,1644.00,1601.00,1635.00,1231800,1625.30
2013-09-06,1563.00,1600.00,1556.00,1600.00,1278300,1590.51
2013-09-05,1545.00,1576.00,1543.00,1570.00,849900,1560.68
2013-09-04,1557.00,1564.00,1531.50,1538.00,1298600,1528.87
2013-09-03,1579.00,1585.00,1546.00,1560.00,1085700,1550.74
2013-09-02,1553.00,1587.00,1550.00,1578.00,743200,1568.64
2013-08-30,1535.00,1554.00,1531.00,1534.00,1057100,1524.90
2013-08-29,1535.00,1540.00,1526.00,1530.00,910300,1520.92
2013-08-28,1543.00,1543.00,1518.00,1531.00,911100,1521.92
2013-08-27,1579.00,1591.00,1545.00,1545.00,1130400,1535.83
2013-08-26,1584.00,1584.00,1584.00,1584.00,000,1574.60
2013-08-23,1571.00,1589.00,1564.00,1584.00,655600,1574.60
2013-08-22,1585.00,1601.00,1571.00,1574.00,957800,1564.66
2013-08-21,1591.00,1599.00,1586.00,1586.00,785700,1576.59
2013-08-20,1580.00,1592.00,1571.00,1589.00,963600,1579.57
2013-08-19,1588.00,1596.00,1581.00,1590.00,657500,1580.57
2013-08-16,1590.00,1599.00,1573.00,1588.00,1214700,1578.58
2013-08-15,1582.00,1597.00,1575.00,1593.00,1574600,1583.55
2013-08-14,1576.00,1597.00,1570.00,1593.00,1128800,1583.55
2013-08-13,1564.00,1574.00,1552.50,1574.00,764200,1564.66
2013-08-12,1549.00,1556.00,1543.50,1556.00,682400,1546.77
2013-08-09,1570.00,1570.00,1541.00,1547.00,1101500,1537.82
2013-08-08,1550.00,1563.00,1543.00,1563.00,1416100,1553.73
2013-08-07,1559.00,1564.00,1541.00,1550.00,1066000,1540.80
2013-08-06,1550.00,1566.00,1548.00,1561.00,681800,1551.74
2013-08-05,1557.00,1565.00,1545.00,1555.00,519500,1545.77
2013-08-02,1565.00,1565.00,1545.50,1553.00,767100,1543.78
2013-08-01,1538.00,1566.00,1525.00,1563.00,1319300,1553.73
2013-07-31,1533.00,1544.00,1518.00,1530.00,956200,1520.92
2013-07-30,1523.00,1542.00,1521.00,1531.00,937400,1521.92
2013-07-29,1523.00,1541.00,1510.49,1513.00,909600,1504.02
2013-07-26,1516.00,1528.00,1507.00,1515.00,1488600,1506.01
2013-07-25,1504.00,1507.00,1482.00,1504.00,1112600,1495.08
2013-07-24,1487.00,1511.00,1484.00,1505.00,653700,1496.07
2013-07-23,1510.00,1518.00,1480.00,1480.00,920400,1471.22
2013-07-22,1536.00,1540.00,1496.00,1504.00,859300,1495.08
2013-07-19,1528.00,1535.00,1507.00,1534.00,1235300,1524.90
2013-07-18,1493.00,1536.00,1489.35,1532.00,741900,1522.91
2013-07-17,1496.00,1506.00,1474.00,1500.00,913200,1491.10
2013-07-16,1536.00,1536.00,1496.00,1498.00,1079000,1489.11
2013-07-15,1520.00,1538.00,1514.00,1537.00,698900,1527.88
2013-07-12,1531.00,1538.39,1511.00,1514.00,1016900,1505.02
2013-07-11,1525.00,1557.00,1493.00,1524.00,1499100,1514.96
