Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,820.00,843.35,819.04,825.00,3949000,825.00
2013-11-18,818.00,843.84,811.36,822.00,4761700,822.00
2013-11-15,820.50,824.50,818.00,819.50,3914100,819.50
2013-11-14,815.00,822.00,812.00,818.50,6754700,818.50
2013-11-13,822.50,827.50,804.50,805.00,5901000,805.00
2013-11-12,825.00,849.00,824.33,840.00,7135700,821.00
2013-11-11,859.00,865.17,826.50,829.00,15818700,810.25
2013-11-08,930.50,933.50,920.50,930.00,2038900,908.96
2013-11-07,942.50,946.00,933.50,934.50,1579800,913.36
2013-11-06,935.50,944.50,935.50,940.00,1606100,918.74
2013-11-05,943.00,945.00,929.82,933.00,1632200,911.90
2013-11-04,943.00,949.00,937.50,943.50,1530000,922.16
2013-11-01,942.00,949.00,939.50,943.00,2015000,921.67
2013-10-31,932.50,942.50,922.50,937.50,4061000,916.29
2013-10-30,928.00,937.00,927.75,933.50,1740300,912.39
2013-10-29,928.50,934.50,921.50,928.00,1490200,907.01
2013-10-28,928.00,936.75,925.00,925.50,1887800,904.57
2013-10-25,936.00,939.00,922.50,928.50,2725800,907.50
2013-10-24,946.50,950.68,941.50,950.00,1931000,928.51
2013-10-23,943.50,945.50,938.34,943.00,1584700,921.67
2013-10-22,938.50,945.00,935.50,942.50,1772300,921.18
2013-10-21,930.00,939.50,923.00,938.00,2210600,916.78
2013-10-18,945.00,949.50,922.15,928.00,4509300,907.01
2013-10-17,884.50,951.00,877.50,940.00,8755300,918.74
2013-10-16,873.00,883.00,868.50,878.00,4788000,858.14
2013-10-15,882.00,883.50,874.50,874.50,2543800,854.72
2013-10-14,874.50,879.50,869.00,877.00,1723200,857.16
2013-10-11,873.00,876.50,869.00,873.00,1404600,853.25
2013-10-10,863.00,872.00,857.00,869.50,2107900,849.83
2013-10-09,867.00,870.00,854.00,859.50,2636100,840.06
2013-10-08,876.00,882.50,869.00,870.00,1830000,850.32
2013-10-07,876.50,883.00,873.00,877.50,1549500,857.65
2013-10-04,878.50,883.75,871.50,878.00,2379500,858.14
2013-10-03,870.00,883.00,870.00,881.50,1805700,861.56
2013-10-02,877.00,877.50,867.00,873.50,1741800,853.74
2013-10-01,869.50,883.50,869.50,880.50,2256700,860.58
2013-09-30,866.50,875.00,865.00,870.00,2393600,850.32
2013-09-27,872.50,880.50,867.50,873.50,2119200,853.74
2013-09-26,877.00,883.00,876.19,877.50,1406800,857.65
2013-09-25,885.50,886.02,874.50,876.00,1938600,856.19
2013-09-24,872.50,887.50,871.00,885.50,2696200,865.47
2013-09-23,871.00,874.00,868.00,874.00,1477900,854.23
2013-09-20,856.00,871.00,855.50,869.00,2997300,849.34
2013-09-19,865.00,877.00,859.00,861.50,2801200,842.01
2013-09-18,865.50,869.00,857.50,859.00,3152200,839.57
2013-09-17,867.50,875.50,862.50,865.00,2279100,845.43
2013-09-16,872.50,874.00,866.50,869.00,2000300,849.34
2013-09-13,858.50,868.50,857.00,865.00,2741900,845.43
2013-09-12,851.00,861.50,848.50,857.50,2496100,838.10
2013-09-11,825.00,849.50,824.60,849.50,2642900,830.29
