Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,381.00,381.70,378.00,379.80,7898600,376.40
2013-11-18,378.80,382.40,375.21,382.00,10473300,378.58
2013-11-15,379.10,383.02,375.90,379.80,13272400,376.40
2013-11-14,377.00,380.10,375.60,379.00,11679400,375.61
2013-11-13,377.00,378.80,373.10,374.90,12776400,371.54
2013-11-12,375.70,377.77,373.40,377.10,13456700,373.72
2013-11-11,369.20,375.60,362.70,374.10,28496600,370.75
2013-11-08,369.00,373.30,367.70,372.10,8349600,368.77
2013-11-07,374.30,375.90,369.70,371.10,11800300,367.78
2013-11-06,377.80,379.10,373.60,374.50,11627200,371.15
2013-11-05,379.40,379.90,372.05,376.30,11024100,372.93
2013-11-04,388.00,388.00,375.70,377.20,9540400,373.82
2013-11-01,379.70,381.60,376.60,378.60,10738100,375.21
2013-10-31,370.60,382.10,364.10,377.00,26632700,373.63
2013-10-30,370.30,372.67,367.90,369.50,10152200,366.19
2013-10-29,360.60,369.44,360.60,369.40,11454500,366.09
2013-10-28,361.30,363.90,360.00,361.70,9634100,358.46
2013-10-25,361.90,363.00,358.10,359.10,18247600,355.89
2013-10-24,362.80,364.60,360.20,362.70,11690700,359.45
2013-10-23,360.00,363.60,360.00,362.50,15295500,359.25
2013-10-22,366.50,369.10,364.23,367.20,7926800,363.91
2013-10-21,366.00,367.60,364.20,367.40,7522500,364.11
2013-10-18,366.00,366.60,362.33,365.10,15400500,361.83
2013-10-17,357.00,364.40,356.20,364.10,11242300,360.84
2013-10-16,357.80,361.14,354.60,359.00,11381200,355.79
2013-10-15,355.80,358.20,351.30,354.40,11965300,351.23
2013-10-14,346.90,355.10,346.70,353.50,9028900,350.34
2013-10-11,349.50,349.70,347.00,348.10,6344300,344.98
2013-10-10,343.70,348.80,341.40,348.30,8255600,345.18
2013-10-09,340.00,344.60,339.10,342.70,11375700,339.63
2013-10-08,346.40,347.40,340.20,340.60,14337200,337.55
2013-10-07,349.10,349.81,345.00,347.00,7646600,343.89
2013-10-04,347.20,351.90,345.60,350.90,8495700,347.76
2013-10-03,347.00,349.40,346.50,347.70,20769600,344.59
2013-10-02,345.90,347.90,344.20,347.00,8720700,343.89
2013-10-01,342.90,348.30,342.75,347.50,11594100,344.39
2013-09-30,342.50,345.50,341.70,342.40,14399600,339.33
2013-09-27,343.00,347.60,343.00,346.40,10780900,343.30
2013-09-26,342.90,343.60,341.10,343.10,7202600,340.03
2013-09-25,343.00,344.20,340.10,342.50,7756600,339.43
2013-09-24,343.00,344.10,341.00,342.50,8134800,339.43
2013-09-23,344.50,347.80,340.80,342.60,7340300,339.53
2013-09-20,339.50,345.20,339.30,342.50,15213700,339.43
2013-09-19,345.00,347.30,340.70,341.30,8118100,338.24
2013-09-18,344.40,346.10,340.80,342.80,10687400,339.73
2013-09-17,346.00,348.60,344.30,344.40,9451000,341.32
2013-09-16,348.80,349.00,344.20,346.70,10224300,343.60
2013-09-13,347.60,350.68,345.40,345.40,8365600,342.31
2013-09-12,347.30,349.70,345.20,348.20,6501500,345.08
2013-09-11,350.00,350.00,345.51,346.50,7923500,343.40
2013-09-10,345.10,349.00,344.50,348.90,8963400,345.78
2013-09-09,342.50,343.40,340.79,343.00,6552200,339.93
2013-09-06,341.20,350.00,340.10,342.90,11796300,339.83
2013-09-05,340.20,343.92,339.00,342.50,8378200,339.43
2013-09-04,339.70,341.50,334.20,340.40,8238700,337.35
2013-09-03,339.80,346.60,337.10,337.90,15720800,334.88
2013-09-02,330.20,340.26,329.80,338.20,14538500,335.17
2013-08-30,331.50,333.20,325.30,325.30,14895100,322.39
2013-08-29,324.30,331.80,324.00,330.80,12310700,327.84
2013-08-28,324.10,325.50,321.80,323.00,11193300,320.11
2013-08-27,330.70,332.44,325.20,326.20,11527800,323.28
2013-08-26,332.30,332.30,332.30,332.30,000,329.33
2013-08-23,330.20,334.20,329.30,332.30,6531400,329.33
2013-08-22,327.00,331.00,327.00,330.50,8994300,327.54
2013-08-21,328.30,331.80,326.80,327.40,16266400,324.47
2013-08-20,320.00,329.30,320.00,328.20,12151600,325.26
2013-08-19,325.90,327.30,321.70,322.20,7117700,319.32
2013-08-16,324.90,327.70,323.60,325.80,11489000,322.88
2013-08-15,326.10,331.70,324.40,325.60,14725900,322.69
2013-08-14,330.70,627.27,326.00,326.20,32598400,323.28
2013-08-13,329.00,332.90,328.30,331.30,8922700,328.33
2013-08-12,330.00,330.00,325.50,329.00,8664500,326.05
2013-08-09,328.20,333.20,325.67,330.50,8972400,327.54
2013-08-08,329.30,333.80,325.02,326.50,10677800,323.58
2013-08-07,331.00,338.80,328.30,328.50,11432200,325.56
2013-08-06,338.90,340.77,334.39,338.60,15319200,329.13
2013-08-05,340.10,342.70,336.50,338.90,11814700,329.42
2013-08-02,345.00,345.60,338.60,339.60,10689800,330.10
2013-08-01,342.40,346.40,340.40,342.70,13457600,333.11
2013-07-31,341.10,344.00,339.60,340.70,10348900,331.17
2013-07-30,338.90,344.10,338.89,342.10,8721700,332.53
2013-07-29,338.40,340.69,336.20,336.60,8866200,327.18
2013-07-26,336.30,338.20,334.70,336.80,8434300,327.38
2013-07-25,343.60,345.24,331.10,334.40,15835300,325.04
2013-07-24,338.90,344.60,337.20,342.00,10242300,332.43
2013-07-23,345.70,348.70,339.90,339.90,21768000,330.39
2013-07-22,338.00,344.30,336.80,343.20,10722200,333.60
2013-07-19,331.90,338.46,331.60,338.10,19353900,328.64
2013-07-18,333.00,335.20,331.40,332.10,27241000,322.81
2013-07-17,338.50,339.91,333.60,334.00,16504800,324.66
2013-07-16,344.00,345.00,337.10,338.40,12106200,328.93
2013-07-15,341.70,347.10,341.50,344.00,12148400,334.38
2013-07-12,339.80,341.20,337.70,339.20,12160700,329.71
2013-07-11,338.00,340.90,333.30,337.40,11735800,327.96
2013-07-10,334.20,336.26,330.40,335.70,10731800,326.31
2013-07-09,336.60,336.60,330.80,334.00,10796800,324.66
2013-07-08,331.60,335.57,329.90,335.20,11388300,325.82
2013-07-05,330.40,333.20,327.10,329.30,18600600,320.09
2013-07-04,320.00,330.50,319.00,329.10,14114400,319.89
2013-07-03,314.10,317.90,312.80,317.80,14071400,308.91
2013-07-02,315.00,317.54,312.90,316.20,9587000,307.35
2013-07-01,313.20,317.70,311.10,317.50,13065300,308.62
2013-06-28,310.40,311.90,308.20,309.20,17076800,300.55
2013-06-27,305.50,311.57,305.00,309.00,13364300,300.36
2013-06-26,305.40,309.00,304.40,305.40,11364900,296.86
2013-06-25,303.90,307.00,300.20,304.90,12286000,296.37
2013-06-24,306.60,308.50,299.00,300.20,19267200,291.80
2013-06-21,307.10,314.10,305.20,307.40,30641600,298.80
2013-06-20,309.90,312.00,302.50,304.40,17999100,295.88
2013-06-19,319.00,321.82,306.50,313.70,31107000,304.92
2013-06-18,311.30,322.90,310.15,319.30,12988500,310.37
2013-06-17,313.10,315.10,310.80,312.00,11765300,303.27
2013-06-14,310.20,312.50,306.40,312.40,14700500,303.66
