Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1778.00,1787.00,1757.00,1784.00,222400,1784.00
2013-11-18,1730.00,1788.00,1730.00,1782.00,164600,1782.00
2013-11-15,1755.00,1781.00,1735.00,1760.00,254700,1760.00
2013-11-14,1746.00,1760.00,1744.00,1760.00,248500,1760.00
2013-11-13,1754.00,1757.16,1728.00,1742.00,348800,1742.00
2013-11-12,1770.00,1770.00,1728.00,1755.00,404000,1755.00
2013-11-11,1802.00,1802.00,1759.00,1767.00,338400,1767.00
2013-11-08,1782.00,1807.00,1772.80,1792.00,392500,1792.00
2013-11-07,1750.00,1818.00,1715.00,1800.00,370200,1800.00
2013-11-06,1764.00,1781.50,1750.00,1756.00,262400,1756.00
2013-11-05,1771.00,1773.00,1711.00,1762.00,406000,1762.00
2013-11-04,1789.00,1800.00,1767.00,1768.00,149300,1768.00
2013-11-01,1807.00,1807.00,1782.00,1786.00,161700,1786.00
2013-10-31,1812.00,1822.00,1793.00,1802.00,367500,1802.00
2013-10-30,1785.00,1816.50,1784.00,1792.00,145800,1792.00
2013-10-29,1807.00,1815.00,1783.00,1798.00,298800,1798.00
2013-10-28,1823.00,1840.00,1815.00,1823.00,304400,1823.00
2013-10-25,1813.00,1830.00,1813.00,1813.00,237800,1813.00
2013-10-24,1782.00,1826.00,1770.00,1815.00,191200,1815.00
2013-10-23,1764.00,1788.00,1745.00,1787.00,260700,1787.00
2013-10-22,1761.00,1784.00,1715.00,1768.00,250200,1768.00
2013-10-21,1749.00,1783.00,1747.00,1764.00,225000,1764.00
2013-10-18,1765.00,1776.00,1728.00,1761.00,471100,1761.00
2013-10-17,1742.00,1764.00,1739.00,1749.00,228600,1749.00
2013-10-16,1750.00,1755.00,1725.00,1753.00,352000,1753.00
2013-10-15,1749.00,1760.00,1706.00,1730.00,477300,1730.00
2013-10-14,1717.00,1755.00,1717.00,1729.00,467100,1729.00
2013-10-11,1738.00,1740.00,1715.00,1728.00,184400,1728.00
2013-10-10,1722.00,1754.00,1722.00,1735.00,270000,1735.00
2013-10-09,1720.00,1730.00,1707.00,1722.00,212700,1722.00
2013-10-08,1740.00,1749.00,1724.00,1727.00,187600,1727.00
2013-10-07,1751.00,1763.00,1740.00,1747.00,153400,1747.00
2013-10-04,1751.00,1763.00,1747.00,1763.00,224000,1763.00
2013-10-03,1762.00,1776.00,1756.00,1758.00,212100,1758.00
2013-10-02,1818.00,1823.00,1765.00,1771.00,578600,1771.00
2013-10-01,1847.00,1852.00,1806.00,1825.00,394200,1825.00
2013-09-30,1830.00,1861.00,1830.00,1850.00,437500,1850.00
2013-09-27,1840.00,1854.00,1824.50,1854.00,342200,1854.00
2013-09-26,1840.00,1848.00,1822.00,1844.00,289700,1844.00
2013-09-25,1856.00,1859.00,1830.00,1843.00,169400,1843.00
2013-09-24,1824.00,1873.00,1820.00,1864.00,406800,1864.00
2013-09-23,1843.00,1854.00,1811.00,1825.00,866900,1825.00
2013-09-20,1885.00,1900.00,1827.00,1870.00,15879100,1870.00
2013-09-19,1970.00,1973.00,1920.00,1921.00,926900,1921.00
2013-09-18,1952.00,1970.00,1945.00,1970.00,735800,1970.00
2013-09-17,1960.00,1974.00,1944.00,1965.00,557300,1965.00
2013-09-16,1945.00,1979.00,1939.00,1958.00,356500,1958.00
2013-09-13,1912.00,1944.00,1912.00,1938.00,373400,1938.00
2013-09-12,1915.00,1932.00,1847.00,1932.00,696800,1932.00
2013-09-11,1895.00,1914.00,1890.00,1913.00,343600,1913.00
2013-09-10,1875.00,1914.00,1874.00,1892.00,357400,1892.00
2013-09-09,1872.00,1904.00,1872.00,1885.00,344800,1885.00
2013-09-06,1847.00,1874.00,1831.00,1874.00,261600,1874.00
2013-09-05,1842.00,1865.00,1838.00,1856.00,167300,1856.00
2013-09-04,1795.00,1865.00,1790.00,1857.00,475000,1857.00
2013-09-03,1849.00,1849.00,1781.00,1800.00,171200,1800.00
2013-09-02,1755.00,1826.00,1755.00,1803.00,265300,1803.00
2013-08-30,1766.00,1789.13,1741.00,1782.00,880500,1782.00
2013-08-29,1734.00,1777.00,1718.00,1754.00,359000,1754.00
2013-08-28,1761.00,1763.00,1725.00,1740.00,248100,1740.00
2013-08-27,1789.00,1790.00,1740.00,1750.00,330600,1750.00
2013-08-26,1809.00,1809.00,1809.00,1809.00,000,1809.00
2013-08-23,1801.00,1845.00,1779.00,1809.00,346200,1809.00
2013-08-22,1754.00,1807.00,1754.00,1774.00,322700,1774.00
2013-08-21,1765.00,1792.00,1750.00,1771.00,221700,1771.00
2013-08-20,1750.00,1793.00,1675.00,1769.00,1007900,1769.00
2013-08-19,1760.00,1786.00,1730.00,1747.00,302400,1747.00
2013-08-16,1787.00,1791.00,1725.00,1773.00,357000,1773.00
2013-08-15,1825.00,1829.00,1768.00,1774.00,218900,1774.00
2013-08-14,1825.00,1892.00,1807.00,1843.00,374000,1843.00
2013-08-13,1870.00,1890.00,1834.00,1844.00,267600,1844.00
2013-08-12,1900.00,1900.00,1855.00,1870.00,353400,1870.00
2013-08-09,1894.00,1947.00,1855.00,1910.00,284900,1910.00
2013-08-08,1820.00,1921.00,1802.00,1900.00,191500,1900.00
2013-08-07,1810.00,1843.00,1801.00,1836.00,202800,1836.00
2013-08-06,1820.00,1820.00,1789.00,1820.00,300300,1820.00
2013-08-05,1825.00,1868.00,1786.00,1820.00,220100,1820.00
2013-08-02,1750.00,1822.00,1750.00,1800.00,164100,1800.00
2013-08-01,1720.00,1811.00,1715.00,1800.00,266400,1800.00
2013-07-31,1690.00,1738.00,1690.00,1712.00,240100,1712.00
2013-07-30,1691.00,1714.00,1656.00,1690.00,112100,1690.00
2013-07-29,1633.00,1700.00,1611.00,1681.00,139000,1681.00
2013-07-26,1626.00,1680.94,1626.00,1645.00,104200,1645.00
2013-07-25,1600.00,1662.00,1600.00,1654.00,108100,1654.00
2013-07-24,1601.00,1651.00,1601.00,1627.00,85500,1627.00
2013-07-23,1610.00,1635.00,1591.00,1624.00,54700,1624.00
2013-07-22,1600.00,1625.00,1600.00,1615.00,90900,1615.00
2013-07-19,1657.00,1657.00,1594.00,1616.00,92400,1616.00
2013-07-18,1648.00,1669.00,1614.00,1640.00,137100,1640.00
2013-07-17,1613.00,1690.00,1613.00,1673.00,100200,1673.00
2013-07-16,1670.00,1696.00,1620.00,1630.00,162800,1630.00
2013-07-15,1660.00,1703.00,1660.00,1675.00,170600,1675.00
2013-07-12,1719.00,1719.00,1641.00,1679.00,151100,1679.00
2013-07-11,1698.00,1713.00,1678.00,1700.00,205900,1700.00
2013-07-10,1712.00,1712.00,1644.00,1679.00,231100,1679.00
2013-07-09,1740.00,1740.00,1678.00,1702.00,73000,1702.00
2013-07-08,1674.00,1728.00,1648.00,1694.00,169200,1694.00
2013-07-05,1670.00,1702.00,1640.00,1662.00,168200,1662.00
2013-07-04,1630.00,1668.00,1616.00,1650.00,100700,1650.00
2013-07-03,1640.00,1640.00,1585.00,1605.00,150700,1605.00
2013-07-02,1578.00,1632.00,1574.00,1624.00,149500,1624.00
2013-07-01,1542.00,1600.00,1541.00,1582.00,94200,1582.00
2013-06-28,1482.00,1564.00,1482.00,1539.00,336100,1539.00
2013-06-27,1450.00,1509.00,1448.00,1481.00,286300,1481.00
2013-06-26,1490.00,1534.00,1444.00,1465.00,159400,1465.00
2013-06-25,1549.00,1549.00,1467.00,1514.00,126400,1514.00
2013-06-24,1515.00,1516.00,1401.00,1490.00,127400,1490.00
2013-06-21,1599.00,1599.00,1500.00,1500.00,335300,1500.00
2013-06-20,1605.00,1615.00,1538.00,1575.00,221300,1575.00
2013-06-19,1618.00,1671.00,1592.00,1626.00,152500,1626.00
2013-06-18,1593.00,1689.00,1575.00,1638.00,167600,1638.00
2013-06-17,1575.00,1639.00,1555.00,1615.00,171700,1615.00
2013-06-14,1531.00,1610.00,1531.00,1590.00,227300,1590.00
2013-06-13,1612.00,1612.00,1487.00,1529.00,374600,1529.00
2013-06-12,1602.00,1641.00,1541.00,1630.00,189600,1630.00
2013-06-11,1710.00,1710.00,1610.00,1625.00,207800,1625.00
2013-06-10,1763.00,1775.00,1670.00,1710.00,193800,1710.00
2013-06-07,1735.00,1750.00,1700.00,1725.00,115700,1725.00
2013-06-06,1744.00,1774.00,1738.00,1740.00,89100,1740.00
2013-06-05,1730.00,1793.00,1730.00,1753.00,141700,1753.00
2013-06-04,1794.00,1802.00,1736.00,1747.00,215500,1747.00
2013-06-03,1788.00,1801.00,1752.00,1795.00,393600,1795.00
2013-05-31,1735.00,1848.54,1735.00,1848.00,1224700,1848.00
2013-05-30,1758.00,1800.00,1756.00,1768.00,79200,1768.00
2013-05-29,1756.00,1800.00,1756.00,1772.00,87400,1772.00
