Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,2245.00,2256.00,2221.00,2239.00,544100,2214.00
2013-11-18,2273.00,2288.00,2251.00,2251.00,616200,2225.87
2013-11-15,2293.00,2297.00,2264.00,2272.00,469000,2246.63
2013-11-14,2291.00,2298.00,2270.00,2286.00,317200,2260.48
2013-11-13,2290.00,2298.00,2241.00,2268.00,559600,2242.68
2013-11-12,2313.00,2319.00,2285.00,2288.00,531100,2262.45
2013-11-11,2319.00,2342.00,2301.00,2301.00,463400,2275.31
2013-11-08,2272.00,2315.00,2251.00,2314.00,657600,2288.16
2013-11-07,2305.00,2316.00,2288.00,2289.00,558900,2263.44
2013-11-06,2272.00,2296.00,2264.00,2286.00,362200,2260.48
2013-11-05,2257.00,2260.00,2230.00,2255.00,347800,2229.82
2013-11-04,2242.00,2258.00,2242.00,2249.00,301400,2223.89
2013-11-01,2223.00,2243.00,2212.00,2232.00,332100,2207.08
2013-10-31,2220.00,2230.00,2202.00,2224.00,589200,2199.17
2013-10-30,2237.00,2242.00,2217.00,2224.00,401900,2199.17
2013-10-29,2224.00,2243.00,2210.00,2233.00,416100,2208.07
2013-10-28,2210.00,2224.00,2204.52,2218.00,414900,2193.23
2013-10-25,2191.00,2214.00,2189.00,2207.00,580400,2182.36
2013-10-24,2162.00,2199.00,2145.00,2195.00,945600,2170.49
2013-10-23,2149.00,2164.13,2137.00,2162.00,538800,2137.86
2013-10-22,2102.00,2143.00,2102.00,2141.00,620900,2117.09
2013-10-21,2101.00,2101.00,2083.00,2095.00,453300,2071.61
2013-10-18,2076.00,2100.00,2073.00,2092.00,691600,2068.64
2013-10-17,2052.00,2068.00,2048.00,2068.00,356100,2044.91
2013-10-16,2060.00,2068.00,2033.00,2060.00,512400,2037.00
2013-10-15,2069.00,2070.00,2045.00,2067.00,554700,2043.92
2013-10-14,2063.00,2072.00,2053.00,2055.00,416800,2032.05
2013-10-11,2047.00,2064.64,2040.00,2058.00,460700,2035.02
2013-10-10,2034.00,2049.51,2027.00,2040.00,496000,2017.22
2013-10-09,2044.00,2044.00,2022.00,2030.00,599300,2007.33
2013-10-08,2055.00,2059.76,2034.00,2047.00,473500,2024.14
2013-10-07,2052.00,2059.57,2036.00,2057.00,329700,2034.03
2013-10-04,2050.00,2068.00,2037.00,2057.00,578500,2034.03
2013-10-03,2039.00,2054.00,2031.00,2052.00,830000,2029.09
2013-10-02,2067.00,2072.00,2043.00,2044.00,723100,2021.18
2013-10-01,2086.00,2100.00,2064.00,2069.00,544300,2045.90
2013-09-30,2097.00,2104.00,2081.00,2094.00,630300,2070.62
2013-09-27,2100.00,2115.00,2090.00,2113.00,814700,2089.41
2013-09-26,2095.00,2101.11,2077.00,2100.00,680600,2076.55
2013-09-25,2190.00,2190.00,2088.00,2106.00,3043600,2082.49
2013-09-24,2392.00,2421.00,2219.00,2258.00,3051200,2232.79
2013-09-23,2397.00,2403.00,2384.00,2392.00,472400,2365.29
2013-09-20,2420.00,2433.00,2396.00,2398.00,660900,2371.22
2013-09-19,2418.00,2430.00,2400.00,2420.00,582100,2392.98
2013-09-18,2445.00,2451.00,2384.00,2401.00,534100,2374.19
2013-09-17,2447.00,2464.00,2435.00,2445.00,417100,2417.70
2013-09-16,2459.00,2486.00,2439.27,2449.00,393900,2421.66
2013-09-13,2434.00,2440.00,2410.00,2428.00,439500,2400.89
2013-09-12,2439.00,2463.00,2427.00,2430.00,465000,2402.87
2013-09-11,2438.00,2438.00,2393.00,2423.00,680300,2395.95
2013-09-10,2365.00,2454.00,2364.00,2450.00,893600,2422.64
2013-09-09,2352.00,2356.00,2335.00,2350.00,415600,2323.76
2013-09-06,2341.00,2360.00,2336.00,2352.00,764700,2325.74
2013-09-05,2347.00,2358.00,2310.00,2340.00,1121200,2313.87
2013-09-04,2380.00,2395.00,2299.00,2334.00,2087600,2307.94
2013-09-03,2419.00,2428.00,2368.00,2385.00,1320400,2358.37
2013-09-02,2416.00,2439.00,2416.00,2423.00,282400,2395.95
2013-08-30,2433.00,2435.00,2403.00,2412.00,428500,2385.07
