Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,342.30,344.30,340.60,342.00,9370000,342.00
2013-11-18,342.30,348.14,339.68,343.30,14448800,343.30
2013-11-15,344.90,346.54,332.70,343.30,30008000,343.30
2013-11-14,354.90,358.00,340.50,345.30,29136900,345.30
2013-11-13,360.20,366.10,359.90,363.90,20213600,363.90
2013-11-12,354.90,360.70,354.10,360.40,16316100,360.40
2013-11-11,351.20,356.46,350.47,355.30,14997300,355.30
2013-11-08,349.00,353.00,348.40,350.00,7988200,350.00
2013-11-07,353.60,355.00,348.60,350.50,10792800,350.50
2013-11-06,359.10,359.40,350.70,353.20,10408700,353.20
2013-11-05,357.50,358.60,355.00,358.00,10494300,358.00
2013-11-04,353.50,357.70,353.50,355.10,9339800,355.10
2013-11-01,355.20,356.10,352.20,354.80,9849400,354.80
2013-10-31,357.90,359.80,352.50,353.40,13971800,353.40
2013-10-30,361.30,362.50,356.90,358.30,8371200,358.30
2013-10-29,359.50,361.60,357.20,360.70,8977200,360.70
2013-10-28,357.50,359.80,355.71,357.70,8625800,357.70
2013-10-25,357.50,360.90,354.50,356.10,11368900,356.10
2013-10-24,361.20,363.10,354.10,356.70,15874000,356.70
2013-10-23,362.80,365.85,359.50,360.40,13518800,360.40
2013-10-22,363.10,366.70,361.90,364.70,10920600,364.70
2013-10-21,364.20,365.63,362.10,363.00,9971400,363.00
2013-10-18,366.30,367.40,360.83,362.70,12386500,362.70
2013-10-17,365.00,368.53,362.70,364.30,12327000,364.30
2013-10-16,368.00,368.70,361.80,365.40,12663100,365.40
2013-10-15,360.60,371.50,360.60,367.90,13424600,367.90
2013-10-14,362.20,363.33,358.40,358.70,9553400,358.70
2013-10-11,362.90,364.33,360.40,363.30,7535000,363.30
2013-10-10,363.90,368.20,360.10,362.60,12544800,362.60
2013-10-09,361.50,364.90,360.30,360.80,10849800,360.80
2013-10-08,365.20,366.90,361.60,362.50,8861900,362.50
2013-10-07,365.30,366.53,363.30,365.60,7020500,365.60
2013-10-04,364.70,368.03,364.30,366.00,6674700,366.00
2013-10-03,368.60,370.05,365.10,366.30,8760500,366.30
2013-10-02,367.10,371.60,365.90,370.00,8421100,370.00
2013-10-01,369.00,370.44,365.50,368.10,8556000,368.10
2013-09-30,363.90,370.68,363.90,369.70,13098200,369.70
2013-09-27,368.20,375.82,366.99,367.00,12111000,367.00
2013-09-26,368.40,373.12,363.00,366.90,18769100,366.90
2013-09-25,390.70,392.80,374.05,375.60,24138400,375.60
2013-09-24,396.50,400.80,396.00,396.70,7350700,391.78
2013-09-23,400.40,401.00,394.65,397.00,5723700,392.08
