Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,891.00,903.00,891.00,901.00,2541200,901.00
2013-11-18,897.00,900.50,885.50,895.50,2060200,895.50
2013-11-15,890.00,901.00,885.00,897.50,2845500,897.50
2013-11-14,896.50,900.50,882.00,887.00,4573100,887.00
2013-11-13,904.50,905.50,882.50,888.50,3253200,888.50
2013-11-12,903.50,905.50,899.72,905.00,2363600,905.00
2013-11-11,909.00,912.00,902.50,902.50,2373100,902.50
2013-11-08,8.48,8.48,8.48,8.48,000,8.48
2013-11-07,905.00,907.50,897.00,901.50,2024400,901.50
2013-11-06,903.00,908.00,899.00,902.00,2511500,902.00
2013-11-05,904.50,904.50,887.00,898.50,2532500,898.50
2013-11-04,8.48,8.48,8.48,8.48,000,8.48
2013-11-01,8.48,8.48,8.48,8.48,000,8.48
2013-10-31,8.48,8.48,8.48,8.48,000,8.48
2013-10-30,8.48,8.48,8.48,8.48,000,8.48
2013-10-29,8.48,8.48,8.48,8.48,000,8.48
2013-10-28,8.48,8.48,8.48,8.48,000,8.48
2013-10-25,8.48,8.48,8.48,8.48,000,8.48
2013-10-24,8.48,8.48,8.48,8.48,000,8.48
2013-10-23,8.48,8.48,8.48,8.48,000,8.48
2013-10-22,8.48,8.48,8.48,8.48,000,8.48
2013-10-21,8.48,8.48,8.48,8.48,000,8.48
2013-10-18,8.48,8.48,8.48,8.48,000,8.48
2013-10-17,8.48,8.48,8.48,8.48,000,8.48
2013-10-16,8.48,8.48,8.48,8.48,000,8.48
2013-10-15,8.48,8.48,8.48,8.48,000,8.48
2013-10-14,8.48,8.48,8.48,8.48,000,8.48
2013-10-11,853.00,857.50,849.00,855.00,2126800,855.00
2013-10-10,8.32,8.50,8.32,8.48,1476000,8.48
2013-10-09,8.27,8.32,8.23,8.29,1360200,8.29
2013-10-08,8.44,8.47,8.28,8.31,1033600,8.31
2013-10-07,8.41,8.47,8.40,8.45,843900,8.45
2013-10-04,8.46,8.49,8.44,8.46,1187900,8.46
2013-10-03,8.47,8.49,8.40,8.46,967100,8.46
2013-10-02,8.45,8.48,8.39,8.44,918800,8.44
2013-10-01,8.53,8.56,8.48,8.48,1669500,8.48
2013-09-30,8.41,8.52,8.39,8.51,1340300,8.51
2013-09-27,8.52,8.55,8.40,8.49,1560000,8.49
2013-09-26,8.42,8.51,8.33,8.49,1860700,8.49
2013-09-25,8.38,8.38,8.27,8.30,1669700,8.30
2013-09-24,8.39,8.41,8.27,8.39,1861900,8.39
2013-09-23,8.56,8.56,8.35,8.38,1758800,8.38
2013-09-20,8.51,8.59,8.51,8.53,1383800,8.53
2013-09-19,8.55,8.59,8.47,8.48,1710200,8.48
2013-09-18,8.37,8.52,8.31,8.47,2761200,8.47
2013-09-17,8.54,8.61,8.52,8.53,1118400,8.53
2013-09-16,8.54,8.64,8.54,8.60,1327100,8.60
2013-09-13,8.44,8.49,8.41,8.45,1123300,8.45
2013-09-12,8.55,8.58,8.40,8.42,1411600,8.42
2013-09-11,8.55,8.59,8.49,8.52,1753000,8.52
2013-09-10,8.51,8.55,8.48,8.55,1862900,8.55
2013-09-09,8.56,8.56,8.45,8.48,1451500,8.48
2013-09-06,8.56,8.64,8.44,8.52,1464900,8.52
2013-09-05,8.56,8.64,8.47,8.53,1030900,8.53
2013-09-04,8.59,8.67,8.50,8.55,1595200,8.55
2013-09-03,8.66,8.77,8.57,8.57,1037300,8.57
2013-09-02,8.61,8.74,8.61,8.69,680900,8.69
2013-08-30,8.73,8.74,8.56,8.56,1468000,8.56
2013-08-29,8.63,8.75,8.61,8.73,1066500,8.73
2013-08-28,8.65,8.66,8.57,8.62,1627800,8.62
2013-08-27,8.74,8.76,8.67,8.69,1398000,8.69
2013-08-26,8.75,8.75,8.75,8.75,000,8.75
2013-08-23,8.72,8.81,8.68,8.75,873400,8.75
2013-08-22,8.63,8.73,8.63,8.71,1171900,8.71
2013-08-21,8.70,8.73,8.64,8.64,991600,8.64
2013-08-20,8.64,8.70,8.54,8.70,1660700,8.70
2013-08-19,8.61,8.62,8.56,8.57,533100,8.57
2013-08-16,8.52,8.57,8.48,8.56,969600,8.56
2013-08-15,8.70,8.74,8.49,8.53,1321800,8.53
2013-08-14,8.81,8.84,8.68,8.71,1427900,8.71
2013-08-13,8.76,8.81,8.69,8.77,910100,8.77
2013-08-12,8.81,8.84,8.69,8.74,930300,8.74
2013-08-09,8.83,8.83,8.75,8.80,749000,8.80
2013-08-08,8.88,8.89,8.77,8.81,895400,8.81
2013-08-07,9.02,9.07,8.86,8.87,1028800,8.87
2013-08-06,8.98,9.05,8.94,9.02,1322700,9.02
2013-08-05,9.05,9.12,8.94,8.98,819100,8.98
2013-08-02,9.05,9.08,8.99,9.01,753200,9.01
2013-08-01,9.01,9.09,8.97,9.02,1090500,9.02
2013-07-31,8.90,9.06,8.90,8.98,1315100,8.98
2013-07-30,8.89,8.95,8.87,8.94,769600,8.94
2013-07-29,8.85,8.98,8.81,8.84,881900,8.84
2013-07-26,8.77,8.85,8.74,8.75,1227900,8.75
2013-07-25,8.86,8.89,8.72,8.80,1347400,8.80
2013-07-24,8.86,8.95,8.81,8.84,1474300,8.84
2013-07-23,8.82,8.85,8.76,8.78,1045400,8.78
2013-07-22,8.97,8.97,8.81,8.82,1408000,8.82
2013-07-19,8.94,8.97,8.92,8.97,1318500,8.97
2013-07-18,8.83,8.98,8.80,8.96,1386700,8.96
2013-07-17,8.87,8.91,8.78,8.84,900600,8.84
2013-07-16,8.98,8.99,8.79,8.84,1445800,8.84
2013-07-15,8.99,9.02,8.93,8.97,938300,8.97
2013-07-12,8.94,9.04,8.93,8.97,978900,8.97
2013-07-11,9.00,9.06,8.88,8.93,1536500,8.93
2013-07-10,8.88,8.94,8.84,8.88,1497800,8.88
2013-07-09,8.89,8.95,8.82,8.88,1125200,8.88
2013-07-08,8.77,8.88,8.75,8.81,1071400,8.81
2013-07-05,8.78,8.93,8.73,8.74,2107000,8.74
2013-07-04,8.62,8.81,8.60,8.81,1514600,8.81
2013-07-03,8.52,8.60,8.51,8.58,1259600,8.58
2013-07-02,8.62,8.65,8.52,8.57,1351500,8.57
2013-07-01,8.47,8.65,8.45,8.61,1699800,8.61
2013-06-28,8.52,8.55,8.39,8.40,1553800,8.40
2013-06-27,8.32,8.56,8.31,8.53,1901500,8.53
2013-06-26,8.25,8.40,8.22,8.35,1819700,8.35
2013-06-25,8.15,8.28,8.07,8.26,1479300,0.26
2013-06-24,8.18,8.26,8.09,8.10,1486600,0.26
2013-06-21,8.30,8.40,8.19,8.19,1879500,0.26
2013-06-20,8.30,8.40,8.24,8.28,1752600,0.26
2013-06-19,8.46,8.47,8.36,8.40,1319100,0.26
2013-06-18,8.43,8.52,8.42,8.45,888000,0.27
2013-06-17,8.43,8.47,8.37,8.39,1412800,0.26
2013-06-14,8.51,8.54,8.38,8.40,1499300,0.26
2013-06-13,8.31,8.41,8.15,8.40,1545300,0.26
2013-06-12,8.39,8.52,8.38,8.40,1218600,0.26
2013-06-11,8.45,8.51,8.28,8.38,1592800,0.26
2013-06-10,8.49,8.60,8.48,8.56,1077300,0.27
2013-06-07,8.38,8.53,8.36,8.49,1505000,0.27
2013-06-06,8.54,8.56,8.39,8.39,1613600,0.26
2013-06-05,8.64,8.65,8.52,8.56,1708500,0.27
2013-06-04,8.59,8.68,8.55,8.65,1141000,0.27
2013-06-03,8.59,8.60,8.47,8.55,1445800,0.27
2013-05-31,8.71,8.73,8.52,8.68,1813500,0.27
2013-05-30,8.77,8.80,8.71,8.73,1412600,0.27
2013-05-29,8.99,9.09,8.73,8.77,1754100,0.28
2013-05-28,8.97,9.06,8.90,9.01,1910400,0.28
2013-05-27,8.85,8.85,8.85,8.85,000,0.28
2013-05-24,8.95,9.02,8.82,8.85,1795500,0.28
2013-05-23,8.97,9.03,8.86,8.93,1942700,0.28
2013-05-22,9.06,9.17,9.02,9.11,1191400,0.29
2013-05-21,8.97,9.05,8.91,9.05,1348000,0.28
2013-05-20,8.91,8.98,8.86,8.96,868300,0.28
2013-05-17,8.89,8.91,8.80,8.90,1108600,0.28
2013-05-16,8.80,8.91,8.80,8.84,1525300,0.28
2013-05-15,8.64,8.97,8.62,8.78,1544400,0.28
2013-05-14,8.60,8.75,8.56,8.69,1340300,0.27
2013-05-13,8.49,8.60,8.45,8.59,1256600,0.27
2013-05-10,8.41,8.55,8.37,8.52,1477500,0.27
2013-05-09,8.53,8.58,8.36,8.39,1917500,0.26
2013-05-08,8.47,8.58,8.42,8.56,1259800,0.27
2013-05-07,8.59,8.62,8.43,8.44,1491400,0.27
2013-05-06,8.55,8.55,8.55,8.55,000,0.27
2013-05-03,8.55,8.61,8.48,8.55,1037900,0.27
2013-05-02,8.51,8.55,8.44,8.55,911900,0.27
