Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,2352.00,2368.00,2336.00,2368.00,227000,2368.00
2013-11-18,2348.00,2362.00,2315.00,2360.00,321000,2360.00
2013-11-15,2345.00,2367.00,2332.00,2364.00,269800,2364.00
2013-11-14,2382.00,2386.00,2331.00,2341.00,435000,2341.00
2013-11-13,2333.00,2357.00,2332.00,2341.00,971400,2341.00
2013-11-12,2306.00,2346.77,2297.00,2332.00,662000,2332.00
2013-11-11,2276.00,2314.00,2262.00,2305.00,429600,2305.00
2013-11-08,2300.00,2318.00,2273.00,2275.00,956600,2275.00
2013-11-07,2372.00,2382.00,2312.00,2317.00,1189000,2317.00
2013-11-06,2406.00,2428.00,2377.00,2380.00,464800,2380.00
2013-11-05,2465.00,2478.00,2400.00,2413.00,489300,2413.00
2013-11-04,2464.00,2502.00,2437.00,2457.00,588700,2457.00
2013-11-01,2437.00,2468.00,2399.00,2443.00,559100,2443.00
2013-10-31,2400.00,2535.00,2388.00,2436.00,1769800,2436.00
2013-10-30,2627.00,2644.00,2618.00,2635.00,224600,2635.00
2013-10-29,2624.00,2630.00,2598.00,2618.00,269500,2618.00
2013-10-28,2606.00,2631.00,2597.00,2621.00,264200,2621.00
2013-10-25,2552.00,2607.00,2552.00,2597.00,301100,2597.00
2013-10-24,2535.00,2570.00,2533.35,2562.00,217300,2562.00
2013-10-23,2551.00,2564.00,2525.00,2534.00,306900,2534.00
2013-10-22,2557.00,2575.00,2525.00,2552.00,377000,2552.00
2013-10-21,2540.00,2560.00,2523.00,2560.00,305600,2560.00
2013-10-18,2494.00,2541.00,2487.00,2538.00,396600,2538.00
2013-10-17,2499.00,2506.00,2479.00,2490.00,385800,2490.00
2013-10-16,2523.00,2545.00,2487.00,2505.00,316400,2505.00
2013-10-15,2534.00,2545.52,2493.00,2536.00,419700,2536.00
2013-10-14,2460.00,2510.00,2408.00,2510.00,442900,2510.00
2013-10-11,2495.00,2587.00,2466.00,2477.00,1036600,2477.00
2013-10-10,2565.00,2616.00,2558.00,2602.00,222000,2602.00
2013-10-09,2614.00,2614.00,2561.00,2570.00,203900,2570.00
2013-10-08,2631.00,2651.00,2614.00,2619.00,175300,2619.00
2013-10-07,2667.00,2670.00,2630.00,2640.00,164300,2640.00
2013-10-04,2666.00,2692.00,2655.00,2677.00,165700,2677.00
2013-10-03,2644.00,2708.00,2635.00,2677.00,324900,2677.00
2013-10-02,2664.00,2673.00,2642.00,2668.00,192100,2668.00
2013-10-01,2655.00,2676.00,2633.20,2666.00,328200,2666.00
2013-09-30,2643.00,2667.00,2639.00,2655.00,235000,2655.00
2013-09-27,2713.00,2718.00,2664.00,2674.00,218300,2674.00
2013-09-26,2712.00,2731.00,2696.00,2718.00,106300,2718.00
2013-09-25,2728.00,2737.00,2694.00,2712.00,147300,2712.00
2013-09-24,2724.00,2761.00,2708.00,2738.00,205800,2738.00
2013-09-23,2736.00,2761.00,2694.00,2727.00,232500,2727.00
2013-09-20,2670.00,2693.00,2666.00,2680.00,252600,2680.00
2013-09-19,2707.00,2716.20,2671.00,2676.00,221100,2676.00
2013-09-18,2665.00,2691.34,2660.00,2678.00,205400,2678.00
2013-09-17,2654.00,2684.00,2647.00,2661.00,274000,2661.00
2013-09-16,2653.00,2677.00,2647.00,2650.00,107700,2650.00
2013-09-13,2627.00,2647.00,2620.00,2631.00,163300,2631.00
2013-09-12,2652.00,2671.00,2632.00,2639.00,179500,2639.00
2013-09-11,2663.00,2673.00,2646.00,2653.00,193800,2653.00
2013-09-10,2658.00,2671.00,2641.00,2664.00,218000,2664.00
2013-09-09,2630.00,2647.00,2622.00,2640.00,168500,2640.00
2013-09-06,2606.00,2637.00,2599.00,2629.00,239400,2629.00
2013-09-05,2640.00,2642.00,2580.00,2607.00,377100,2607.00
2013-09-04,2653.00,2684.00,2598.00,2640.00,364700,2640.00
2013-09-03,2661.00,2685.00,2635.00,2646.00,249100,2617.00
2013-09-02,2614.00,2668.00,2614.00,2660.00,151900,2630.85
2013-08-30,2619.00,2636.00,2593.00,2599.00,268300,2570.52
2013-08-29,2590.00,2625.00,2583.00,2618.00,167600,2589.31
2013-08-28,2635.00,2635.00,2563.00,2589.00,297600,2560.62
2013-08-27,2667.00,2676.00,2615.00,2636.00,365800,2607.11
2013-08-26,2677.00,2677.00,2677.00,2677.00,000,2647.66
2013-08-23,2590.00,2709.00,2589.00,2677.00,530400,2647.66
2013-08-22,2591.00,2598.00,2562.00,2567.00,282100,2538.87
2013-08-21,2574.00,2605.00,2565.00,2576.00,275400,2547.77
2013-08-20,2570.00,2579.00,2538.00,2573.00,235000,2544.80
2013-08-19,2565.00,2601.00,2556.43,2586.00,165300,2557.66
2013-08-16,2554.00,2566.00,2523.00,2566.00,200500,2537.88
2013-08-15,2578.00,2578.00,2531.00,2553.00,140700,2525.02
2013-08-14,2570.00,2599.00,2561.00,2579.00,194100,2550.73
2013-08-13,2520.00,2570.00,2515.00,2569.00,162900,2540.84
2013-08-12,2538.00,2538.00,2487.00,2519.00,250500,2491.39
2013-08-09,2537.00,2543.00,2526.00,2537.00,165300,2509.19
2013-08-08,2509.00,2531.00,2489.00,2524.00,171200,2496.34
2013-08-07,2519.00,2536.00,2493.00,2508.00,216200,2480.51
2013-08-06,2515.00,2538.00,2508.00,2520.00,386100,2492.38
2013-08-05,2523.00,2540.00,2511.00,2532.00,225200,2504.25
2013-08-02,2534.00,2536.00,2504.00,2524.00,214300,2496.34
2013-08-01,2508.00,2540.00,2482.00,2533.00,164700,2505.24
2013-07-31,2500.00,2552.00,2489.00,2509.00,332700,2481.50
2013-07-30,2420.00,2503.00,2419.00,2495.00,301800,2467.65
2013-07-29,2416.00,2459.00,2407.00,2419.00,301400,2392.49
2013-07-26,2426.00,2439.00,2405.00,2415.00,241200,2388.53
2013-07-25,2409.00,2424.00,2400.00,2421.00,249500,2394.47
2013-07-24,2448.00,2524.81,2379.00,2417.00,704800,2390.51
2013-07-23,2580.00,2594.00,2384.00,2449.00,867600,2422.16
2013-07-22,2553.00,2575.00,2546.00,2569.00,174600,2540.84
2013-07-19,2599.00,2599.00,2546.00,2552.00,398400,2524.03
2013-07-18,2577.00,2601.00,2561.00,2600.00,233400,2571.50
2013-07-17,2597.00,2598.00,2539.00,2578.00,369000,2549.75
2013-07-16,2620.00,2637.00,2599.00,2605.00,194800,2576.45
2013-07-15,2610.00,2637.00,2599.24,2619.00,234900,2590.30
2013-07-12,2600.00,2613.00,2586.00,2601.00,332500,2572.49
2013-07-11,2614.00,2617.00,2584.00,2600.00,277200,2571.50
2013-07-10,2593.00,2600.00,2566.00,2581.00,220300,2552.71
2013-07-09,2589.00,2606.00,2582.00,2599.00,184900,2570.52
2013-07-08,2545.00,2588.00,2543.00,2571.00,209500,2542.82
2013-07-05,2547.00,2563.00,2509.00,2528.00,286800,2500.29
2013-07-04,2495.00,2555.00,2495.00,2546.00,164100,2518.10
2013-07-03,2491.00,2503.00,2468.00,2490.00,218500,2462.71
2013-07-02,2502.00,2508.00,2484.00,2501.00,199700,2473.59
2013-07-01,2490.00,2518.00,2476.00,2501.00,329300,2473.59
2013-06-28,2454.00,2490.00,2441.66,2477.00,427000,2449.85
2013-06-27,2418.00,2442.00,2393.00,2441.00,413700,2414.25
2013-06-26,2409.00,2433.00,2393.00,2429.00,416100,2402.38
2013-06-25,2273.00,2359.00,2268.00,2355.00,470000,2329.19
2013-06-24,2367.00,2379.00,2244.00,2260.00,394100,2235.23
2013-06-21,2404.00,2431.00,2372.00,2374.00,661600,2347.98
2013-06-20,2417.00,2424.00,2399.00,2404.00,356500,2377.65
2013-06-19,2458.00,2460.00,2421.00,2448.00,284900,2421.17
2013-06-18,2389.00,2466.00,2388.00,2461.00,281200,2434.03
2013-06-17,2418.00,2438.00,2386.00,2389.00,226400,2362.82
2013-06-14,2399.00,2423.00,2381.00,2412.00,233300,2385.56
2013-06-13,2377.00,2405.00,2360.09,2397.00,295000,2370.73
2013-06-12,2420.00,2438.00,2395.05,2400.00,178300,2373.70
2013-06-11,2452.00,2455.84,2400.00,2424.00,182600,2397.43
2013-06-10,2457.00,2467.00,2442.00,2459.00,262400,2432.05
2013-06-07,2424.00,2478.00,2403.00,2465.00,424700,2437.98
2013-06-06,2441.00,2454.13,2413.00,2413.00,181500,2386.55
2013-06-05,2459.00,2467.00,2439.00,2440.00,399400,2413.26
2013-06-04,2447.00,2478.00,2442.00,2473.00,334400,2445.90
2013-06-03,2452.00,2460.00,2427.00,2440.00,262300,2413.26
2013-05-31,2510.00,2511.00,2461.00,2463.00,436600,2436.01
2013-05-30,2533.00,2533.00,2506.00,2508.00,385600,2480.51
2013-05-29,2567.00,2567.00,2538.00,2539.00,303700,2511.17
2013-05-28,2558.00,2586.00,2550.00,2571.00,302600,2542.82
2013-05-27,2529.00,2529.00,2529.00,2529.00,000,2501.28
2013-05-24,2547.00,2548.00,2510.65,2529.00,262200,2501.28
2013-05-23,2588.00,2596.00,2526.00,2538.00,319300,2510.18
2013-05-22,2608.00,2614.37,2589.00,2612.00,965600,2583.37
2013-05-21,2601.00,2627.00,2598.00,2614.00,279700,2585.35
2013-05-20,2611.00,2621.00,2590.00,2603.00,221300,2574.47
2013-05-17,2690.00,2690.00,2594.00,2607.00,806800,2578.43
2013-05-16,2589.00,2600.00,2566.00,2597.00,557600,2568.54
2013-05-15,2588.00,2598.00,2563.00,2580.00,372100,2551.72
2013-05-14,2503.00,2602.00,2503.00,2592.00,678200,2563.59
2013-05-13,2483.00,2514.00,2469.00,2506.00,347300,2478.53
2013-05-10,2500.00,2500.00,2460.00,2485.00,437900,2457.76
2013-05-09,2479.00,2481.00,2458.00,2468.00,332900,2440.95
2013-05-08,2498.00,2526.00,2479.00,2484.00,277600,2456.78
2013-05-07,2533.00,2542.00,2495.00,2504.00,459900,2476.56
2013-05-06,2503.00,2503.00,2503.00,2503.00,000,2475.57
2013-05-03,2479.00,2536.00,2468.00,2503.00,496900,2475.57
2013-05-02,2451.00,2476.00,2408.00,2474.00,754100,2446.89
2013-05-01,2446.00,2476.45,2435.00,2460.00,300500,2433.04
2013-04-30,2474.00,2500.00,2447.00,2478.00,1238800,2418.45
2013-04-29,2528.00,2551.00,2445.00,2449.00,535900,2390.15
2013-04-26,2545.00,2579.00,2501.00,2525.00,525400,2464.32
2013-04-25,2582.00,2775.00,2537.00,2588.00,667300,2525.81
2013-04-24,2564.00,2590.00,2554.00,2589.00,489700,2526.78
2013-04-23,2540.00,2588.00,2528.15,2578.00,680400,2516.05
2013-04-22,2553.00,2566.00,2520.00,2536.00,452000,2475.06
2013-04-19,2565.00,2571.00,2532.00,2548.00,535000,2486.77
2013-04-18,2554.00,2569.00,2547.00,2551.00,486900,2489.70
2013-04-17,2601.00,2612.00,2555.00,2560.00,377000,2498.48
2013-04-16,2575.00,2631.00,2538.00,2591.00,483900,2528.73
2013-04-15,2606.00,2609.00,2569.00,2576.00,568300,2514.10
2013-04-12,2644.00,2681.00,2600.00,2608.00,617000,2545.33
2013-04-11,2697.00,2720.00,2683.00,2714.00,444600,2648.78
2013-04-10,2710.00,2710.00,2687.00,2697.00,539300,2632.19
2013-04-09,2705.00,2710.99,2688.00,2697.00,229100,2632.19
2013-04-08,2697.00,2718.94,2694.00,2699.00,338700,2634.14
2013-04-05,2757.00,2757.00,2660.00,2687.00,292900,2622.43
2013-04-04,2802.00,2806.00,2747.00,2750.00,293500,2683.91
2013-04-03,2819.00,2846.00,2787.22,2797.00,400500,2729.78
2013-04-02,2739.00,2842.42,2738.89,2841.00,364000,2772.73
2013-04-01,2743.00,2743.00,2743.00,2743.00,000,2677.08
2013-03-29,2743.00,2743.00,2743.00,2743.00,000,2677.08
2013-03-28,2690.00,2749.00,2689.00,2743.00,290100,2677.08
2013-03-27,2740.00,2743.00,2695.00,2700.00,286400,2635.12
2013-03-26,2704.00,2724.00,2690.00,2721.00,240500,2655.61
2013-03-25,2784.00,2784.00,2696.00,2697.00,220700,2632.19
2013-03-22,2670.00,2699.00,2665.19,2682.00,208700,2617.55
2013-03-21,2681.00,2696.00,2671.00,2684.00,417600,2619.50
2013-03-20,2683.00,2733.00,2683.00,2686.00,264100,2621.45
2013-03-19,2661.00,2690.00,2641.00,2680.00,282100,2615.60
2013-03-18,2623.00,2689.89,2623.00,2665.00,330800,2600.96
2013-03-15,2697.00,2734.00,2632.68,2634.00,955600,2570.70
2013-03-14,2679.00,2705.00,2672.00,2690.00,243100,2625.36
2013-03-13,2680.00,2692.00,2662.54,2680.00,265900,2615.60
2013-03-12,2675.00,2696.46,2660.00,2686.00,253600,2621.45
2013-03-11,2669.00,2680.00,2641.00,2675.00,253300,2610.72
2013-03-08,2671.00,2676.00,2647.00,2676.00,332100,2611.69
2013-03-07,2664.00,2703.00,2655.00,2663.00,406800,2599.00
2013-03-06,2654.00,2675.00,2640.00,2667.00,428400,2602.91
2013-03-05,2634.00,2641.00,2603.00,2641.00,320000,2577.53
2013-03-04,2613.00,2628.00,2574.00,2623.00,279300,2559.97
2013-03-01,2601.00,2626.00,2575.00,2601.00,206200,2538.49
2013-02-28,2570.00,2598.00,2561.00,2592.00,366700,2529.71
2013-02-27,2585.00,2585.00,2542.00,2555.00,457500,2493.60
2013-02-26,2500.00,2641.58,2493.00,2584.00,575700,2521.90
2013-02-25,2591.00,2609.00,2530.00,2556.00,441800,2494.58
2013-02-22,2570.00,2593.00,2561.24,2590.00,284900,2527.76
2013-02-21,2548.00,2562.00,2513.00,2556.00,344400,2494.58
2013-02-20,2550.00,2587.00,2539.00,2558.00,269900,2496.53
2013-02-19,2517.00,2565.00,2512.00,2555.00,285600,2493.60
2013-02-18,2547.00,2552.00,2504.08,2521.00,242500,2460.42
2013-02-15,2516.00,2558.00,2513.82,2548.00,263000,2486.77
2013-02-14,2509.00,2528.00,2500.00,2520.00,366500,2459.44
2013-02-13,2470.00,2522.00,2470.00,2512.00,268100,2451.63
2013-02-12,2458.00,2481.70,2457.00,2469.00,430200,2409.67
2013-02-11,2459.00,2470.00,2435.00,2462.00,193600,2402.83
2013-02-08,2457.00,2469.00,2450.00,2460.00,167600,2400.88
2013-02-07,2450.00,2462.00,2440.00,2450.00,239600,2391.12
2013-02-06,2462.00,2473.95,2438.00,2450.00,181100,2391.12
2013-02-05,2440.00,2460.00,2428.00,2456.00,225100,2396.98
2013-02-04,2460.00,2464.00,2433.00,2436.00,245800,2377.46
2013-02-01,2430.00,2465.00,2430.00,2459.00,280000,2399.91
2013-01-31,2432.00,2440.00,2413.00,2424.00,345500,2365.75
2013-01-30,2431.00,2456.00,2419.00,2435.00,383200,2376.48
2013-01-29,2449.00,2455.95,2419.00,2431.00,283400,2372.58
2013-01-28,2450.00,2461.00,2432.00,2449.00,318200,2390.15
2013-01-25,2432.00,2462.00,2426.00,2451.00,411500,2392.10
2013-01-24,2359.00,2445.00,2359.00,2437.00,681200,2378.44
2013-01-23,2318.00,2361.00,2318.00,2358.00,426300,2301.33
2013-01-22,2325.00,2331.55,2308.00,2317.00,242600,2261.32
2013-01-21,2310.00,2359.00,2302.00,2326.00,501800,2270.10
2013-01-18,2288.00,2326.00,2277.00,2299.00,420600,2243.75
2013-01-17,2243.00,2292.00,2242.00,2278.00,575200,2223.26
2013-01-16,2270.00,2276.00,2244.65,2251.00,408300,2196.91
2013-01-15,2292.00,2309.00,2256.00,2269.00,415400,2214.47
2013-01-14,2312.00,2327.00,2281.00,2294.00,375100,2238.87
2013-01-11,2333.00,2333.00,2281.00,2309.00,326800,2253.51
2013-01-10,2338.00,2360.00,2321.00,2328.00,198000,2272.05
2013-01-09,2329.00,2352.00,2324.00,2339.00,266100,2282.79
2013-01-08,2350.00,2356.00,2313.00,2329.00,206000,2273.03
2013-01-07,2356.00,2358.00,2332.00,2358.00,259300,2301.33
2013-01-04,2355.00,2373.20,2343.00,2364.00,231900,2307.19
2013-01-03,2392.00,2392.00,2351.00,2357.00,223700,2300.36
2013-01-02,2409.00,2419.00,2381.00,2388.00,246900,2330.61
2013-01-01,2376.00,2376.00,2376.00,2376.00,000,2318.90
2012-12-31,2360.00,2380.34,2334.00,2376.00,55700,2318.90
2012-12-28,2380.00,2406.00,2354.00,2369.00,120300,2312.07
2012-12-27,2376.00,2383.00,2360.00,2365.00,111100,2308.17
2012-12-26,2377.00,2377.00,2377.00,2377.00,000,2319.88
2012-12-25,2377.00,2377.00,2377.00,2377.00,000,2319.88
2012-12-24,2381.00,2391.00,2354.00,2377.00,39300,2319.88
2012-12-21,2385.00,2392.00,2344.00,2377.00,411900,2319.88
2012-12-20,2369.00,2422.00,2368.00,2397.00,314100,2339.40
2012-12-19,2344.00,2390.00,2343.00,2382.00,516300,2324.76
2012-12-18,2354.00,2355.00,2334.00,2340.00,199500,2283.77
2012-12-17,2364.00,2375.00,2335.00,2346.00,166700,2289.62
2012-12-14,2347.00,2398.00,2347.00,2361.00,320700,2304.26
2012-12-13,2379.00,2383.00,2327.43,2344.00,291400,2287.67
2012-12-12,2369.00,2380.00,2355.00,2376.00,284400,2318.90
2012-12-11,2365.00,2393.00,2365.00,2368.00,207400,2311.09
2012-12-10,2343.00,2375.00,2335.00,2368.00,175900,2311.09
2012-12-07,2324.00,2347.00,2319.00,2347.00,223900,2290.60
2012-12-06,2352.00,2365.00,2325.00,2327.00,324500,2271.08
2012-12-05,2349.00,2354.00,2331.00,2343.00,231500,2286.69
2012-12-04,2358.00,2365.00,2334.00,2340.00,314200,2283.77
2012-12-03,2379.00,2403.00,2357.00,2363.00,286000,2306.21
2012-11-30,2369.00,2394.00,2350.60,2381.00,463700,2323.78
2012-11-29,2354.00,2359.00,2337.00,2351.00,321500,2294.50
2012-11-28,2330.00,2347.00,2324.00,2343.00,161100,2286.69
2012-11-27,2339.00,2348.00,2308.00,2336.00,295600,2279.86
2012-11-26,2323.00,2336.00,2321.33,2333.00,258000,2276.93
2012-11-23,2301.00,2342.00,2268.00,2332.00,267700,2275.96
2012-11-22,2331.00,2334.00,2300.00,2303.00,315900,2247.66
2012-11-21,2326.00,2326.00,2299.05,2308.00,256000,2252.54
2012-11-20,2302.00,2330.00,2294.00,2327.00,275700,2271.08
2012-11-19,2304.00,2311.00,2262.00,2305.00,420300,2249.61
2012-11-16,2273.00,2303.00,2269.00,2292.00,575100,2236.92
2012-11-15,2258.00,2285.00,2247.00,2278.00,324000,2223.26
2012-11-14,2272.00,2293.00,2256.00,2277.00,455700,2222.28
2012-11-13,2244.00,2285.00,2238.00,2281.00,392800,2226.18
2012-11-12,2271.00,2271.00,2246.84,2256.00,356200,2201.79
2012-11-09,2250.00,2288.00,2220.00,2271.00,730800,2216.42
2012-11-08,2191.00,2230.00,2185.00,2210.00,559900,2156.89
2012-11-07,2227.00,2234.00,2175.00,2181.00,569900,2128.59
2012-11-06,2175.00,2225.00,2174.00,2220.00,501300,2166.65
2012-11-05,2143.00,2187.00,2130.00,2175.00,708700,2122.73
2012-11-02,2138.00,2186.00,2113.00,2164.00,646500,2112.00
2012-11-01,2095.00,2190.00,1998.05,2172.00,1785900,2119.80
2012-10-31,2264.00,2278.00,2197.90,2201.00,629500,2148.11
2012-10-30,2250.00,2280.00,2244.51,2265.00,211300,2210.57
2012-10-29,2262.00,2270.00,2233.00,2254.00,329000,2199.83
2012-10-26,2278.00,2290.00,2262.00,2268.00,239800,2213.50
2012-10-25,2295.00,2310.00,2278.05,2290.00,348300,2234.97
2012-10-24,2278.00,2296.00,2261.00,2289.00,318900,2233.99
2012-10-23,2322.00,2322.00,2257.00,2260.00,505600,2205.69
2012-10-22,2331.00,2339.00,2309.00,2314.00,208200,2258.39
2012-10-19,2319.00,2339.00,2313.00,2325.00,313500,2269.13
2012-10-18,2315.00,2342.00,2311.00,2325.00,440700,2269.13
2012-10-17,2288.00,2328.00,2273.00,2318.00,381300,2262.30
2012-10-16,2280.00,2315.00,2274.00,2286.00,349300,2231.06
2012-10-15,2255.00,2299.00,2255.00,2275.00,289300,2220.33
2012-10-12,2269.00,2320.00,2260.00,2261.00,462400,2206.67
2012-10-11,2223.00,2335.00,2223.00,2322.00,814700,2266.20
2012-10-10,2268.00,2273.00,2199.00,2221.00,706100,2167.63
2012-10-09,2295.00,2306.25,2250.00,2273.00,490800,2218.38
2012-10-08,2349.00,2370.05,2289.00,2290.00,500700,2234.97
2012-10-05,2385.00,2398.00,2358.00,2363.00,348600,2306.21
2012-10-04,2412.00,2431.00,2378.00,2380.00,358100,2322.81
2012-10-03,2435.00,2447.00,2407.00,2409.00,315000,2351.11
2012-10-02,2485.00,2489.00,2439.00,2447.00,311700,2388.20
2012-10-01,2419.00,2503.00,2404.00,2501.00,272800,2440.90
2012-09-28,2424.00,2440.00,2407.00,2425.00,275300,2366.72
2012-09-27,2420.00,2420.00,2389.60,2405.00,208300,2347.20
2012-09-26,2412.00,2430.00,2396.00,2408.00,231700,2350.13
2012-09-25,2411.00,2437.00,2410.00,2430.00,924300,2371.60
2012-09-24,2420.00,2434.00,2402.02,2416.00,195600,2357.94
2012-09-21,2437.00,2437.00,2408.00,2430.00,429100,2371.60
2012-09-20,2409.00,2435.00,2399.00,2427.00,242100,2368.68
2012-09-19,2423.00,2427.00,2402.44,2415.00,252300,2356.96
2012-09-18,2411.00,2425.00,2401.00,2409.00,236800,2351.11
2012-09-17,2420.00,2448.00,2412.00,2412.00,199800,2354.04
2012-09-14,2449.00,2454.00,2403.00,2424.00,395300,2365.75
2012-09-13,2437.00,2455.39,2423.00,2424.00,199900,2365.75
