Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,2010.50,2031.00,1997.50,2028.50,2762800,2028.50
2013-11-18,2006.00,2032.00,1994.00,2030.00,3330500,2030.00
2013-11-15,1991.50,2012.00,1982.83,2012.00,4242100,2012.00
2013-11-14,2006.50,2016.00,1995.50,2000.00,3742900,2000.00
2013-11-13,2016.50,2016.50,1985.50,1992.50,3175300,1992.50
2013-11-12,2015.00,2022.00,1999.00,2014.50,2722000,2014.50
2013-11-11,2007.00,2025.17,2002.50,2022.00,2082300,2022.00
2013-11-08,1990.00,2008.00,1983.83,1998.00,2606000,1998.00
2013-11-07,2006.00,2011.50,1988.50,1999.00,3404400,1999.00
2013-11-06,2001.00,2005.50,1994.50,1998.50,2698600,1998.50
2013-11-05,1998.50,1998.50,1972.50,1993.00,2295200,1993.00
2013-11-04,1990.00,2005.00,1987.50,1990.50,1848800,1990.50
2013-11-01,1991.50,1994.50,1968.93,1979.50,2235800,1979.50
2013-10-31,2019.50,2036.49,1983.00,1987.00,5915200,1987.00
2013-10-30,2031.50,2033.50,2010.25,2016.50,3195200,2016.50
2013-10-29,2027.50,2047.50,2023.00,2027.00,2350600,2027.00
2013-10-28,2023.50,2039.35,2013.50,2029.50,3613000,2029.50
2013-10-25,2013.50,2024.50,2012.00,2017.50,2766600,2017.50
2013-10-24,2015.00,2024.50,1990.50,2012.50,3232200,2012.50
2013-10-23,2027.50,2034.54,2009.99,2029.00,2271700,2029.00
2013-10-22,2016.00,2035.50,2005.00,2024.50,3665900,2024.50
2013-10-21,2000.00,2009.00,1988.00,2009.00,3698400,2009.00
2013-10-18,1967.00,1997.67,1965.50,1989.50,5568700,1989.50
2013-10-17,1929.50,1959.00,1910.00,1954.00,4010900,1954.00
2013-10-16,1919.50,1948.00,1917.50,1938.00,4581800,1938.00
2013-10-15,1954.50,1965.00,1934.83,1935.00,3642000,1935.00
2013-10-14,1957.50,1977.00,1946.50,1953.50,2590800,1953.50
2013-10-11,1956.50,1974.00,1932.00,1973.00,3995300,1973.00
2013-10-10,1901.50,1926.50,1887.00,1921.00,4322400,1921.00
2013-10-09,1917.00,1917.00,1894.33,1899.50,4149500,1899.50
2013-10-08,1951.00,1955.50,1920.50,1921.50,5152900,1921.50
2013-10-07,1944.00,1954.50,1928.50,1954.50,2305600,1954.50
2013-10-04,1946.00,1956.00,1939.00,1948.50,3598700,1948.50
2013-10-03,1946.50,1962.50,1940.00,1946.00,3418800,1946.00
2013-10-02,1958.00,1959.00,1922.50,1938.50,3721500,1938.50
2013-10-01,1945.00,1956.50,1924.00,1956.50,4835600,1956.50
2013-09-30,1962.00,1967.50,1953.50,1965.00,4214400,1965.00
2013-09-27,1987.00,1991.50,1954.50,1977.00,3898900,1977.00
2013-09-26,1994.00,2003.50,1981.00,1987.00,2945300,1987.00
2013-09-25,2021.00,2021.00,1980.50,1988.00,5542900,1988.00
2013-09-24,2045.00,2056.50,2019.00,2019.50,4113900,2019.50
2013-09-23,2036.00,2051.00,2023.00,2050.50,3342900,2050.50
2013-09-20,2045.00,2061.50,2031.00,2034.00,7365700,2034.00
2013-09-19,2057.50,2087.77,2048.00,2060.50,5795600,2060.50
2013-09-18,2030.00,2030.00,2011.50,2020.50,2416000,2020.50
2013-09-17,2008.50,2037.00,2008.50,2025.00,3042300,2025.00
2013-09-16,2022.00,2032.00,2012.00,2012.50,2160200,2012.50
2013-09-13,1995.00,2008.00,1990.49,2001.00,2000800,2001.00
2013-09-12,1992.00,1994.50,1974.00,1990.00,1945700,1990.00
2013-09-11,1986.00,1989.00,1971.00,1988.50,1766500,1988.50
2013-09-10,1985.00,1992.00,1974.50,1980.00,3491100,1980.00
2013-09-09,1987.50,1988.00,1958.00,1972.00,1676800,1972.00
2013-09-06,2007.50,2022.00,1966.50,1982.50,4247300,1982.50
2013-09-05,1977.00,1995.50,1954.00,1977.50,1772100,1977.50
2013-09-04,1979.50,1984.50,1949.00,1972.50,2660200,1972.50
2013-09-03,1995.50,1999.50,1973.00,1980.00,3132200,1980.00
2013-09-02,1993.50,2010.50,1991.50,1994.00,2303800,1994.00
2013-08-30,2006.50,2019.00,1972.50,1974.00,3121900,1974.00
2013-08-29,1993.00,2007.50,1989.00,2001.50,2254800,2001.50
2013-08-28,1984.50,1993.00,1975.50,1989.00,2480600,1989.00
2013-08-27,2005.50,2024.00,1990.50,1999.00,2809500,1999.00
2013-08-26,2005.00,2005.00,2005.00,2005.00,000,2005.00
2013-08-23,2001.00,2015.50,1989.00,2005.00,2164100,2005.00
2013-08-22,1995.50,2016.50,1988.50,2008.50,2965800,2008.50
2013-08-21,2020.00,2020.00,1995.50,1998.00,3403500,1998.00
2013-08-20,2024.50,2031.50,1996.50,2019.00,3058900,2019.00
2013-08-19,2020.50,2039.50,2015.00,2037.00,2508300,2037.00
2013-08-16,2017.00,2025.00,1853.00,2011.00,3872100,2011.00
2013-08-15,2077.50,2083.00,2008.00,2014.00,4253000,2014.00
2013-08-14,2071.00,2091.00,2067.50,2077.50,2855600,2077.50
2013-08-13,2088.50,2110.50,2081.00,2103.00,2366200,2073.70
2013-08-12,2104.50,2105.00,2069.30,2087.00,3117400,2057.92
2013-08-09,2103.00,2118.00,2090.50,2113.00,2436800,2083.56
2013-08-08,2100.00,2122.50,2096.45,2110.00,2423400,2080.60
2013-08-07,2130.00,2152.50,2100.50,2101.50,4038200,2072.22
2013-08-06,2104.50,2152.50,2096.32,2136.50,4299700,2106.73
2013-08-05,2085.00,2115.00,2074.50,2105.50,3347400,2076.17
2013-08-02,2079.50,2082.50,2055.50,2075.00,2739100,2046.09
2013-08-01,2068.00,2084.50,2055.80,2077.00,3591100,2048.06
2013-07-31,1991.00,2059.50,1920.00,2054.00,6771600,2025.38
2013-07-30,2000.00,2023.50,1989.50,1989.50,2894000,1961.78
2013-07-29,1976.00,2002.00,1976.00,1996.50,2372100,1968.68
2013-07-26,1990.00,1993.50,1955.00,1970.50,2788100,1943.05
2013-07-25,2015.00,2020.11,1980.00,1983.00,3325900,1955.37
2013-07-24,2015.00,2033.50,2001.00,2018.50,2888700,1990.38
