Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1199.00,1199.00,1183.00,1195.00,1212300,1183.50
2013-11-18,1203.00,1207.00,1199.00,1201.00,1206100,1189.44
2013-11-15,1200.00,1202.00,1186.00,1197.00,1365900,1185.48
2013-11-14,1207.00,1209.00,1193.00,1195.00,1824900,1183.50
2013-11-13,1204.00,1208.00,1186.00,1195.00,2375900,1183.50
2013-11-12,1207.00,1207.00,1194.00,1205.00,1578400,1193.40
2013-11-11,1185.00,1207.00,1182.00,1205.00,1918200,1193.40
2013-11-08,1190.00,1190.00,1173.00,1183.00,1656100,1171.62
2013-11-07,1188.00,1191.36,1171.00,1180.00,3516000,1168.64
2013-11-06,1187.00,1200.00,1152.00,1182.00,5518100,1170.63
2013-11-05,1262.00,1263.00,1246.00,1263.00,1697000,1250.85
2013-11-04,1246.00,1258.43,1246.00,1258.00,976000,1245.89
2013-11-01,1270.00,1274.00,1244.00,1247.00,1282700,1235.00
2013-10-31,1270.00,1274.00,1265.00,1270.00,2014500,1257.78
2013-10-30,1250.00,1275.00,1240.00,1270.00,2475100,1257.78
2013-10-29,1226.00,1234.00,1217.00,1230.00,1646400,1218.16
2013-10-28,1218.00,1231.00,1215.00,1227.00,1142500,1215.19
2013-10-25,1229.00,1231.00,1218.00,1221.00,1776900,1209.25
2013-10-24,1236.00,1240.00,1225.00,1228.00,1389300,1216.18
2013-10-23,1227.00,1240.00,1227.00,1235.00,1574300,1223.12
2013-10-22,1224.00,1237.00,1215.00,1234.00,1461500,1222.12
2013-10-21,1205.00,1224.00,1202.72,1224.00,1418000,1212.22
2013-10-18,1168.00,1200.00,1168.00,1200.00,1889400,1188.45
2013-10-17,1182.00,1186.00,1161.00,1164.00,1228600,1152.80
2013-10-16,1180.00,1189.00,1163.00,1183.00,2962900,1171.62
2013-10-15,1182.00,1189.28,1176.00,1181.00,1246000,1169.63
2013-10-14,1170.00,1180.00,1164.00,1178.00,1235300,1166.66
2013-10-11,1160.00,1173.00,1156.00,1169.00,1356200,1157.75
2013-10-10,1146.00,1164.00,1142.00,1159.00,2137200,1147.85
2013-10-09,1151.00,1162.64,1142.00,1144.00,1413900,1132.99
2013-10-08,1155.00,1165.00,1152.00,1152.00,1665100,1140.91
2013-10-07,1157.00,1157.00,1142.00,1156.00,1069400,1144.88
2013-10-04,1156.00,1169.00,1153.00,1155.00,1281900,1143.88
2013-10-03,1175.00,1180.00,1156.00,1160.00,1600000,1148.84
