Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1296.00,1366.31,1283.08,1345.00,6170400,1311.50
2013-11-18,1268.00,1288.00,1247.00,1256.00,2004200,1224.72
2013-11-15,1241.00,1265.00,1215.90,1265.00,2276300,1233.49
2013-11-14,1245.00,1251.00,1223.00,1237.00,857900,1206.19
2013-11-13,1224.00,1244.00,1214.00,1233.00,2221900,1202.29
2013-11-12,1218.00,1229.00,1203.00,1227.00,1058700,1196.44
2013-11-11,1229.00,1237.00,1216.00,1217.00,1021400,1186.69
2013-11-08,1199.00,1232.00,1198.04,1225.00,2388600,1194.49
2013-11-07,1221.00,1225.41,1198.00,1200.00,1677900,1170.11
2013-11-06,1225.00,1240.33,1212.00,1214.00,3242700,1183.76
2013-11-05,1236.00,1246.73,1194.00,1203.00,2911000,1173.04
2013-11-04,1232.00,1264.00,1207.00,1230.00,4204100,1199.36
2013-11-01,1314.00,1314.00,1283.00,1296.00,1195200,1263.72
2013-10-31,1321.00,1339.01,1306.00,1309.00,1074500,1276.40
2013-10-30,1330.00,1338.77,1318.00,1321.00,1420700,1288.10
2013-10-29,1293.00,1319.00,1290.00,1311.00,821000,1278.35
2013-10-28,1330.00,1338.00,1293.00,1300.00,1474800,1267.62
2013-10-25,1333.00,1343.10,1325.00,1329.00,847800,1295.90
2013-10-24,1341.00,1355.00,1321.00,1348.00,1018200,1314.43
2013-10-23,1317.00,1348.00,1317.00,1348.00,958300,1314.43
2013-10-22,1336.00,1349.00,1301.00,1336.00,1855100,1302.72
2013-10-21,1363.00,1368.00,1350.00,1358.00,1005100,1324.18
2013-10-18,1339.00,1360.00,1323.00,1360.00,1517300,1326.13
2013-10-17,1266.00,1328.00,1266.00,1328.00,2063500,1294.92
2013-10-16,1265.00,1280.00,1249.00,1279.00,1065800,1247.14
2013-10-15,1271.00,1283.00,1264.00,1272.00,757100,1240.32
2013-10-14,1266.00,1272.90,1253.00,1263.00,454900,1231.54
2013-10-11,1253.00,1273.00,1249.00,1272.00,907200,1240.32
2013-10-10,1221.00,1267.00,1212.14,1253.00,1168300,1221.79
2013-10-09,1225.00,1230.21,1205.00,1216.00,1152100,1185.71
2013-10-08,1256.00,1265.00,1228.00,1230.00,941200,1199.36
2013-10-07,1289.00,1293.84,1248.72,1260.00,949600,1228.62
2013-10-04,1306.00,1313.00,1287.36,1297.00,941600,1264.70
2013-10-03,1323.00,1342.00,1294.00,1308.00,1681800,1275.42
2013-10-02,1311.00,1317.00,1290.00,1314.00,1193700,1281.27
2013-10-01,1278.00,1367.00,1276.00,1318.00,1753000,1285.17
2013-09-30,1257.00,1282.00,1245.00,1278.00,886200,1246.17
2013-09-27,1290.00,1303.00,1263.00,1274.00,919200,1242.27
2013-09-26,1308.00,1320.00,1286.00,1287.00,1201700,1254.94
2013-09-25,1299.00,1311.00,1279.50,1303.00,1233100,1270.55
2013-09-24,1290.00,1304.00,1279.64,1298.00,1110000,1265.67
2013-09-23,1295.00,1314.00,1287.61,1288.00,673400,1255.92
2013-09-20,1290.00,1323.79,1289.00,1296.00,1359500,1263.72
2013-09-19,1332.00,1332.00,1294.00,1294.00,1092600,1261.77
2013-09-18,1329.00,1334.00,1299.00,1310.00,940100,1277.37
2013-09-17,1332.00,1338.00,1324.60,1325.00,779500,1292.00
2013-09-16,1319.00,1335.06,1318.01,1331.00,736300,1297.85
2013-09-13,1313.00,1335.00,1287.00,1300.00,2231400,1267.62
2013-09-12,1328.00,1342.67,1297.72,1321.00,870700,1288.10
2013-09-11,1360.00,1372.00,1319.00,1325.00,1531300,1292.00
2013-09-10,1272.00,1360.00,1264.00,1358.00,2465700,1324.18
2013-09-09,1256.00,1271.00,1251.00,1267.00,1237800,1235.44
2013-09-06,1236.00,1264.00,1236.00,1255.00,1964400,1223.74
2013-09-05,1229.00,1259.00,1225.00,1236.00,1777900,1205.21
2013-09-04,1199.00,1222.00,1181.00,1215.00,4351200,1184.74
2013-09-03,1299.00,1315.00,1277.00,1280.00,1709400,1248.12
2013-09-02,1241.00,1288.86,1241.00,1284.00,995100,1252.02
2013-08-30,1266.00,1267.00,1220.00,1233.00,1158200,1202.29
2013-08-29,1218.00,1261.00,1218.00,1259.00,1138000,1227.64
2013-08-28,1229.00,1229.00,1169.00,1212.00,1988300,1181.81
2013-08-27,1268.00,1278.00,1228.00,1234.00,2171000,1203.26
2013-08-26,1265.00,1265.00,1265.00,1265.00,000,1233.49
2013-08-23,1275.00,1283.00,1263.00,1265.00,838800,1233.49
2013-08-22,1270.00,1290.16,1270.00,1277.00,822400,1245.19
2013-08-21,1274.00,1285.00,1268.00,1271.00,793400,1239.34
2013-08-20,1266.00,1278.00,1245.00,1275.00,1096500,1243.24
2013-08-19,1258.00,1285.27,1257.40,1267.00,772600,1235.44
2013-08-16,1255.00,1264.20,1232.00,1257.00,1694000,1225.69
2013-08-15,1307.00,1314.00,1236.80,1252.00,2282800,1220.82
2013-08-14,1348.00,1364.00,1302.71,1310.00,1282400,1277.37
2013-08-13,1335.00,1357.28,1328.00,1344.00,912400,1310.52
2013-08-12,1379.00,1381.00,1327.35,1328.00,1178500,1294.92
2013-08-09,1386.00,1396.00,1373.00,1377.00,628300,1342.70
2013-08-08,1389.00,1392.30,1365.72,1383.00,1020300,1348.55
2013-08-07,1416.00,1430.30,1380.00,1386.00,1305300,1351.48
2013-08-06,1445.00,1461.00,1419.00,1427.00,1118700,1391.46
2013-08-05,1451.00,1465.00,1431.00,1441.00,730000,1405.11
2013-08-02,1432.00,1456.00,1432.00,1448.00,727200,1411.93
2013-08-01,1421.00,1437.00,1414.00,1431.00,771900,1395.36
2013-07-31,1409.00,1422.00,1388.00,1412.00,1241700,1376.83
2013-07-30,1375.00,1416.00,1373.00,1411.00,1152300,1375.86
2013-07-29,1353.00,1377.81,1350.00,1368.00,711200,1333.93
2013-07-26,1400.00,1409.00,1347.00,1360.00,1160500,1326.13
2013-07-25,1410.00,1415.96,1376.00,1396.00,1118000,1361.23
2013-07-24,1402.00,1459.10,1380.97,1385.00,3252900,1350.50
2013-07-23,1376.00,1380.00,1318.00,1336.00,2138600,1302.72
2013-07-22,1401.00,1404.55,1385.00,1387.00,645000,1352.45
2013-07-19,1399.00,1407.00,1386.00,1402.00,774500,1367.08
2013-07-18,1370.00,1410.00,1365.00,1406.00,1105500,1370.98
2013-07-17,1364.00,1364.00,1312.00,1350.00,993700,1316.38
2013-07-16,1364.00,1370.00,1335.72,1350.00,589000,1316.38
2013-07-15,1357.00,1368.00,1343.00,1358.00,574700,1324.18
2013-07-12,1343.00,1362.00,1343.00,1352.00,472200,1318.33
2013-07-11,1348.00,1354.00,1320.00,1347.00,952300,1313.45
2013-07-10,1334.00,1354.00,1312.48,1336.00,1890200,1302.72
2013-07-09,1359.00,1375.29,1322.00,1335.00,1267100,1301.75
2013-07-08,1351.00,1374.00,1340.00,1354.00,753700,1320.28
2013-07-05,1367.00,1383.00,1333.00,1340.00,1090400,1306.62
2013-07-04,1339.00,1379.00,1332.00,1367.00,1166900,1332.95
2013-07-03,1314.00,1329.00,1309.00,1320.00,1199600,1287.12
2013-07-02,1337.00,1347.00,1314.00,1331.00,871500,1297.85
2013-07-01,1312.00,1347.00,1297.50,1347.00,934800,1313.45
2013-06-28,1293.00,1305.00,1287.00,1296.00,1179000,1263.72
2013-06-27,1284.00,1299.83,1268.00,1295.00,982700,1262.75
2013-06-26,1259.00,1286.00,1251.00,1279.00,1102000,1247.14
2013-06-25,1224.00,1256.52,1211.00,1248.00,1034800,1216.92
2013-06-24,1244.00,1252.00,1201.00,1209.00,1289900,1178.89
2013-06-21,1244.00,1270.00,1235.00,1245.00,2192200,1213.99
2013-06-20,1257.00,1281.27,1238.00,1243.00,1370500,1212.04
2013-06-19,1277.00,1286.45,1260.00,1279.00,771900,1247.14
2013-06-18,1249.00,1299.00,1249.00,1279.00,1262200,1247.14
2013-06-17,1250.00,1272.00,1247.00,1252.00,969000,1220.82
2013-06-14,1240.00,1264.36,1235.00,1252.00,1088500,1220.82
2013-06-13,1196.00,1239.00,1172.00,1238.00,1353800,1207.17
2013-06-12,1225.00,1229.09,1208.00,1214.00,1014600,1183.76
2013-06-11,1233.00,1251.00,1219.25,1229.00,2793600,1198.39
2013-06-10,1196.00,1233.07,1189.32,1226.00,1659800,1195.46
2013-06-07,1190.00,1209.00,1178.00,1194.00,1279100,1164.26
2013-06-06,1232.00,1242.00,1184.00,1184.00,1435900,1154.51
2013-06-05,1260.00,1265.00,1229.00,1234.00,1115000,1203.26
2013-06-04,1234.00,1268.00,1234.00,1263.00,1031100,1231.54
2013-06-03,1262.00,1265.00,1218.72,1221.00,1417900,1190.59
2013-05-31,1272.00,1274.06,1231.79,1266.00,9274000,1234.47
2013-05-30,1255.00,1269.00,1251.00,1269.00,1208100,1237.39
2013-05-29,1299.00,1299.00,1249.78,1258.00,1185900,1226.67
2013-05-28,1267.00,1310.00,1263.00,1300.00,1680800,1267.62
2013-05-27,1250.00,1250.00,1250.00,1250.00,000,1218.87
2013-05-24,1274.00,1280.00,1242.00,1250.00,1032600,1218.87
2013-05-23,1254.00,1285.00,1249.00,1266.00,2655900,1234.47
2013-05-22,1246.00,1291.33,1246.00,1285.00,1546200,1252.99
2013-05-21,1236.00,1255.00,1232.00,1252.00,1740300,1220.82
2013-05-20,1202.00,1246.00,1199.00,1235.00,1240200,1204.24
2013-05-17,1211.00,1211.00,1181.00,1188.00,2437600,1158.41
2013-05-16,1229.00,1276.01,1207.00,1211.00,2300000,1180.84
2013-05-15,1136.00,1228.00,1134.00,1224.00,2467500,1193.51
2013-05-14,1143.00,1146.00,1122.00,1130.00,1667200,1101.86
2013-05-13,1151.00,1151.00,1138.00,1142.00,780200,1113.56
2013-05-10,1150.00,1162.00,1147.00,1153.00,1450200,1124.28
2013-05-09,1146.00,1157.00,1135.00,1153.00,970600,1124.28
2013-05-08,1138.00,1153.00,1134.00,1150.00,2059900,1121.36
2013-05-07,1131.00,1140.00,1124.00,1138.00,1273600,1109.66
2013-05-06,1133.00,1133.00,1133.00,1133.00,000,1104.78
2013-05-03,1138.00,1138.00,1122.38,1133.00,1390600,1104.78
2013-05-02,1129.00,1136.00,1114.00,1134.00,1801600,1105.76
2013-05-01,1128.00,1130.00,1110.76,1130.00,931100,1101.86
2013-04-30,1139.00,1139.28,1107.00,1117.00,1785500,1089.18
2013-04-29,1140.00,1142.00,1125.00,1135.00,804300,1106.73
2013-04-26,1138.00,1140.00,1123.00,1135.00,847100,1106.73
2013-04-25,1142.00,1152.00,1130.35,1138.00,961600,1109.66
2013-04-24,1150.00,1159.16,1132.59,1144.00,1076000,1115.51
2013-04-23,1131.00,1154.50,1123.72,1150.00,991600,1121.36
2013-04-22,1116.00,1143.17,1114.00,1124.00,809300,1096.00
2013-04-19,1111.00,1116.00,1094.00,1109.00,1560800,1081.38
2013-04-18,1147.00,1148.26,1110.00,1110.00,1350100,1082.35
2013-04-17,1159.00,1168.35,1137.00,1140.00,1332900,1111.61
2013-04-16,1128.00,1153.00,1109.42,1149.00,1212900,1120.38
2013-04-15,1101.00,1147.00,1100.06,1138.00,1273800,1109.66
2013-04-12,1107.00,1112.00,1088.00,1103.00,1356500,1075.53
2013-04-11,1084.00,1120.88,1084.00,1108.00,1896100,1080.40
2013-04-10,1052.00,1101.00,1052.00,1090.00,3008800,1062.85
2013-04-09,1035.00,1044.45,1018.00,1022.00,1041600,996.54
2013-04-08,1039.00,1053.00,1022.00,1023.00,1319400,997.52
2013-04-05,1081.00,1084.00,1006.00,1027.00,4389000,1001.42
2013-04-04,1128.00,1130.28,1090.49,1097.00,2154900,1069.68
2013-04-03,1122.00,1143.38,1116.00,1127.00,1154700,1098.93
2013-04-02,1075.00,1132.35,1071.00,1128.00,1573200,1099.90
2013-04-01,1080.00,1080.00,1080.00,1080.00,000,1053.10
2013-03-29,1080.00,1080.00,1080.00,1080.00,000,1053.10
2013-03-28,1052.00,1084.00,1052.00,1080.00,1098500,1053.10
2013-03-27,1064.00,1076.67,1041.00,1056.00,1184800,1029.70
2013-03-26,1042.00,1062.35,1038.00,1059.00,1388200,1032.62
2013-03-25,1040.00,1058.00,1031.00,1039.00,1765900,1013.12
2013-03-22,1023.00,1036.00,1012.00,1031.00,1648800,1005.32
2013-03-21,1049.00,1051.00,1020.00,1028.00,1131100,1002.40
2013-03-20,1065.00,1072.00,1048.00,1050.00,1584500,1023.85
2013-03-19,1065.00,1069.00,1051.00,1060.00,1760300,1033.60
2013-03-18,1057.00,1072.00,1052.42,1066.00,5688900,1039.45
2013-03-15,1069.00,1080.00,1060.00,1072.00,9471600,1045.30
2013-03-14,1074.00,1086.00,1061.00,1069.00,1717000,1042.37
2013-03-13,1063.00,1071.00,1061.72,1071.00,1384100,1044.32
2013-03-12,1060.00,1078.00,1060.00,1065.00,1247600,1038.47
2013-03-11,1059.00,1068.88,1052.00,1064.00,792400,1037.50
2013-03-08,1057.00,1070.00,1049.00,1058.00,1225900,1031.65
2013-03-07,1048.00,1057.39,1038.63,1055.00,1843100,1028.72
2013-03-06,1054.00,1058.00,1035.00,1049.00,1485000,1022.87
2013-03-05,1026.00,1055.00,1026.00,1048.00,993400,1021.90
2013-03-04,1015.00,1026.00,1004.00,1022.00,781000,996.54
2013-03-01,1001.00,1025.00,998.00,1017.00,1121800,991.67
2013-02-28,984.00,1007.00,984.00,997.00,1333200,972.17
2013-02-27,980.00,985.00,964.50,977.50,1070300,953.15
2013-02-26,975.50,1001.00,965.58,997.50,1014800,951.69
2013-02-25,1003.00,1003.84,982.16,990.00,1164700,944.54
2013-02-22,1004.00,1010.32,995.50,999.50,845300,953.60
2013-02-21,1005.00,1009.00,991.85,996.00,1361200,950.26
2013-02-20,1011.00,1017.94,998.50,1015.00,974600,968.39
2013-02-19,989.50,1023.00,985.78,1010.00,1232000,963.62
2013-02-18,999.00,1009.28,987.50,990.50,744200,945.01
2013-02-15,988.50,1003.51,985.50,999.50,837500,953.60
2013-02-14,998.50,1002.90,980.47,991.50,852400,945.97
2013-02-13,985.00,1003.00,984.84,1002.00,940800,955.98
2013-02-12,967.50,987.00,965.50,986.50,837200,941.20
2013-02-11,977.50,978.78,966.00,970.00,636700,925.45
2013-02-08,960.00,983.00,956.00,981.00,1452700,935.95
2013-02-07,961.50,965.00,955.00,958.50,1659600,914.48
2013-02-06,962.00,990.00,946.50,962.00,1894300,917.82
2013-02-05,951.00,957.50,938.50,948.50,834600,904.94
2013-02-04,961.50,967.90,948.00,952.50,995700,908.76
2013-02-01,924.00,963.00,919.50,962.00,1923700,917.82
2013-01-31,929.50,940.00,925.00,931.00,1640700,888.24
2013-01-30,932.50,941.21,925.22,929.50,953500,886.81
2013-01-29,931.00,940.42,923.00,932.00,767900,889.20
2013-01-28,941.50,945.79,912.00,935.50,1740700,892.54
2013-01-25,915.00,948.00,909.00,945.00,3550800,901.60
2013-01-24,884.00,903.50,881.50,898.50,4264400,857.24
2013-01-23,855.00,862.50,853.00,855.00,1226200,815.73
2013-01-22,857.50,865.00,852.50,857.00,1042600,817.64
2013-01-21,860.00,864.00,851.00,857.50,3438600,818.12
2013-01-18,880.00,886.50,868.50,872.00,1372000,831.95
2013-01-17,868.50,874.50,865.00,869.00,789000,829.09
2013-01-16,858.00,870.00,853.50,867.50,2101900,827.66
2013-01-15,844.50,862.08,842.22,861.50,1518000,821.94
2013-01-14,845.00,848.50,838.00,845.00,636600,806.19
2013-01-11,826.00,848.54,819.00,848.00,1239300,809.06
2013-01-10,822.50,840.50,819.55,834.00,2424500,795.70
2013-01-09,823.00,829.00,816.97,822.00,891300,784.25
2013-01-08,830.00,837.00,818.50,821.00,4632900,783.30
2013-01-07,820.00,844.00,820.00,840.50,1717600,801.90
2013-01-04,809.50,823.00,807.50,821.00,839600,783.30
2013-01-03,788.00,817.08,783.00,817.00,1578600,779.48
2013-01-02,770.00,800.15,769.12,794.00,1173900,757.54
2013-01-01,765.50,765.50,765.50,765.50,000,730.35
2012-12-31,762.50,769.00,760.00,765.50,101800,730.35
2012-12-28,777.00,778.50,765.00,767.00,309800,731.78
2012-12-27,779.50,780.00,768.50,778.50,509300,742.75
2012-12-26,779.50,779.50,779.50,779.50,000,743.70
2012-12-25,779.50,779.50,779.50,779.50,000,743.70
2012-12-24,760.50,779.50,760.50,779.50,220100,743.70
2012-12-21,769.00,777.00,762.50,767.50,1238500,732.25
2012-12-20,770.50,776.00,766.00,772.50,1496200,737.02
2012-12-19,750.00,772.50,747.00,772.50,2005500,737.02
2012-12-18,738.50,755.00,738.00,753.50,1168900,718.90
2012-12-17,733.50,740.00,730.46,737.00,1089000,703.15
2012-12-14,725.50,733.00,725.43,732.00,965200,698.38
2012-12-13,728.00,735.00,723.50,727.00,1068700,693.61
2012-12-12,738.50,739.50,729.00,730.50,1237000,696.95
2012-12-11,732.00,745.01,732.00,739.00,801300,705.06
2012-12-10,732.00,738.50,730.00,738.00,1059000,704.11
2012-12-07,740.00,740.00,730.00,732.00,1171300,698.38
2012-12-06,734.00,740.50,731.43,738.50,632300,704.59
2012-12-05,733.00,736.00,728.00,731.00,739400,697.43
2012-12-04,725.00,732.00,723.50,730.00,950000,696.48
2012-12-03,712.00,728.00,710.00,727.50,1025600,694.09
2012-11-30,710.00,718.50,705.00,715.50,1203500,682.64
2012-11-29,709.00,711.00,703.00,709.00,791100,676.44
2012-11-28,702.50,707.00,695.00,706.00,1139000,673.58
2012-11-27,710.00,712.00,698.00,703.00,973100,670.72
2012-11-26,697.50,709.41,695.50,706.50,1817900,674.05
2012-11-23,691.00,697.00,682.00,695.50,766900,663.56
2012-11-22,693.00,694.50,686.50,693.50,713100,661.65
2012-11-21,698.00,699.00,679.00,682.00,1872900,650.68
2012-11-20,667.00,700.00,664.71,692.00,3674700,660.22
2012-11-19,650.00,653.50,637.50,652.50,1250300,622.53
2012-11-16,644.50,649.00,636.50,641.00,1319600,611.56
2012-11-15,654.50,660.00,638.50,646.00,1407300,616.33
2012-11-14,658.00,667.50,653.50,659.50,2168200,629.21
2012-11-13,647.50,656.00,646.00,654.50,861200,624.44
2012-11-12,649.50,653.50,645.40,650.00,1008500,620.15
2012-11-09,640.50,651.00,637.50,649.50,1971500,619.67
2012-11-08,639.00,644.00,635.50,641.50,940500,612.04
2012-11-07,642.50,648.50,635.00,636.50,1401300,607.27
2012-11-06,644.00,647.50,639.00,643.50,1027200,613.95
2012-11-05,646.50,649.50,635.50,641.00,1745400,611.56
2012-11-02,635.50,641.54,632.00,634.00,1625800,604.88
2012-11-01,626.00,636.50,624.00,634.00,1899200,604.88
2012-10-31,618.00,626.00,618.00,625.00,1520200,596.30
2012-10-30,619.50,621.78,616.50,619.00,781000,590.57
2012-10-29,619.00,619.61,615.00,617.50,712600,589.14
2012-10-26,614.00,621.00,611.00,621.00,1829000,592.48
2012-10-25,609.00,624.50,608.00,619.50,2049800,591.05
2012-10-24,602.00,609.00,598.50,608.00,1616600,580.08
2012-10-23,608.50,612.00,598.95,600.50,1048900,572.92
2012-10-22,617.00,620.50,606.50,608.00,1242300,580.08
2012-10-19,614.50,621.50,613.00,617.50,3194800,589.14
2012-10-18,601.00,617.00,596.16,614.50,9045600,586.28
2012-10-17,601.00,602.00,598.00,601.00,2162700,573.40
2012-10-16,600.00,603.00,594.61,600.00,2526700,572.45
2012-10-15,598.50,603.00,596.00,599.50,593500,571.97
2012-10-12,603.50,606.00,597.00,597.50,1007100,570.06
2012-10-11,605.00,608.00,600.50,606.00,1552200,578.17
2012-10-10,609.00,611.23,602.50,606.00,1746800,578.17
2012-10-09,623.50,624.58,601.28,611.00,1304200,582.94
2012-10-08,626.00,629.50,618.50,619.50,2137300,591.05
2012-10-05,617.00,625.50,616.00,619.50,2282800,591.05
2012-10-04,617.00,618.50,613.50,617.00,3512600,588.66
2012-10-03,610.00,627.50,602.00,615.00,5958100,586.76
2012-10-02,586.50,597.50,584.00,594.00,1637500,566.72
2012-10-01,579.50,593.00,578.00,591.50,1088100,564.34
2012-09-28,583.00,588.00,580.50,580.50,806900,553.84
2012-09-27,581.50,583.50,577.50,580.00,975600,553.36
2012-09-26,577.50,584.50,573.50,580.00,1436300,553.36
2012-09-25,591.00,591.00,578.00,580.00,1245400,553.36
2012-09-24,593.00,598.00,585.50,589.00,506900,561.95
2012-09-21,587.50,599.00,584.50,593.50,2406000,566.24
2012-09-20,572.50,587.00,570.50,582.50,1515200,555.75
2012-09-19,570.00,575.00,570.00,573.00,1190800,546.69
2012-09-18,567.50,574.00,565.50,570.00,1101900,543.82
2012-09-17,570.00,578.00,567.50,569.00,1118800,542.87
2012-09-14,570.00,574.00,566.50,572.00,2350400,545.73
2012-09-13,554.50,564.50,553.50,561.50,1155700,535.71
2012-09-12,562.50,562.50,553.00,556.50,668900,530.94
2012-09-11,557.50,570.00,551.50,556.50,529000,530.94
2012-09-10,562.50,567.50,556.50,560.50,592000,534.76
2012-09-07,563.00,571.50,550.08,561.00,992600,535.24
2012-09-06,549.50,564.00,547.78,562.50,1475700,536.67
2012-09-05,532.00,550.00,529.50,544.00,1751500,519.02
2012-09-04,534.00,534.00,528.50,530.00,769200,505.66
2012-09-03,530.00,536.50,524.50,533.50,998500,509.00
2012-08-31,533.00,534.50,529.50,531.00,651500,506.61
2012-08-30,534.00,535.50,531.00,533.00,284900,508.52
2012-08-29,534.00,538.00,528.00,535.00,664900,510.43
