Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,910.00,930.00,893.00,913.50,662900,913.50
2013-11-18,936.50,939.84,908.00,915.50,622400,915.50
2013-11-15,911.00,945.50,910.50,941.50,1098200,941.50
2013-11-14,908.00,918.50,884.00,915.00,1283200,915.00
2013-11-13,910.00,911.50,898.00,902.00,873300,902.00
2013-11-12,947.50,957.50,910.50,915.50,1048300,915.50
2013-11-11,961.50,961.81,948.00,952.50,451900,952.50
2013-11-08,960.50,972.15,948.50,960.50,917300,960.50
2013-11-07,984.00,1021.00,966.50,970.00,1197300,970.00
2013-11-06,1001.00,1008.00,983.40,990.00,568100,990.00
2013-11-05,1002.00,1024.00,999.00,1002.00,772200,1002.00
2013-11-04,964.50,1010.00,962.44,1001.00,941300,1001.00
2013-11-01,979.50,983.41,950.00,957.50,876100,957.50
2013-10-31,1015.00,1015.00,970.00,975.50,1066900,975.50
2013-10-30,1013.00,1025.00,998.50,1019.00,751700,1019.00
2013-10-29,1038.00,1042.20,1009.00,1019.00,648200,1019.00
2013-10-28,1047.00,1050.00,1011.00,1042.00,637400,1042.00
2013-10-25,1035.00,1050.00,1025.57,1037.00,933200,1037.00
2013-10-24,993.50,1031.25,991.00,1022.00,838500,1022.00
2013-10-23,1007.00,1016.00,992.00,994.00,855000,994.00
2013-10-22,978.50,1011.63,961.75,1006.00,1253700,1006.00
2013-10-21,989.00,1000.00,968.00,978.00,1026900,978.00
2013-10-18,970.00,992.50,921.00,988.50,1375300,988.50
2013-10-17,928.50,962.00,921.00,952.50,1039800,952.50
2013-10-16,954.00,962.19,921.50,937.50,924500,937.50
2013-10-15,947.50,958.85,942.50,953.00,1519500,953.00
2013-10-14,920.50,937.00,916.58,937.00,628200,937.00
2013-10-11,940.50,940.50,913.50,927.00,865900,927.00
2013-10-10,938.50,946.00,928.50,935.50,727700,935.50
2013-10-09,940.00,954.50,924.50,932.00,821700,932.00
2013-10-08,933.50,944.50,913.50,942.50,882600,942.50
2013-10-07,930.50,935.00,920.50,931.50,809800,931.50
2013-10-04,910.00,917.00,888.00,913.50,880700,913.50
2013-10-03,950.00,950.00,907.00,910.00,920900,910.00
2013-10-02,915.00,944.00,908.00,935.00,1088500,935.00
2013-10-01,970.00,975.00,919.00,924.50,1228000,924.50
2013-09-30,988.00,997.50,959.81,973.00,942000,973.00
2013-09-27,1008.00,1013.91,987.50,1000.00,1048200,1000.00
2013-09-26,1006.00,1027.00,997.73,1008.00,1200400,1008.00
2013-09-25,975.50,1009.00,974.63,1006.00,1042900,1006.00
2013-09-24,1011.00,1018.00,963.50,971.00,1628000,971.00
2013-09-23,1032.00,1039.60,1009.00,1013.00,811800,1013.00
