Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,256.20,263.71,253.80,260.10,8538000,260.10
2013-11-18,253.90,256.90,253.80,256.80,2965100,256.80
2013-11-15,256.60,256.87,254.30,254.60,4139300,254.60
2013-11-14,258.10,259.00,254.90,257.00,3181400,257.00
2013-11-13,256.30,259.70,256.00,256.00,4346800,256.00
2013-11-12,256.70,257.00,254.70,257.00,4584300,257.00
2013-11-11,259.50,260.15,256.10,256.60,5295300,256.60
2013-11-08,257.60,260.50,255.50,259.10,5103600,259.10
2013-11-07,257.30,259.90,253.70,258.70,8675800,258.70
2013-11-06,250.80,257.70,249.82,257.50,8540700,257.50
2013-11-05,252.00,252.00,245.00,249.70,7509100,249.70
2013-11-04,255.30,255.90,248.10,254.00,7420500,254.00
2013-11-01,260.60,260.60,254.40,254.80,6955200,254.80
2013-10-31,258.70,261.50,256.40,261.50,4064900,261.50
2013-10-30,259.30,259.80,257.60,259.10,2478000,259.10
2013-10-29,257.80,259.40,257.40,258.40,3361700,258.40
2013-10-28,264.10,264.60,257.00,257.20,7142800,257.20
2013-10-25,256.60,263.50,255.30,258.50,5088500,258.50
2013-10-24,253.00,254.40,252.30,253.00,2409900,253.00
2013-10-23,252.90,254.80,252.30,252.70,1863800,252.70
2013-10-22,252.30,254.20,250.50,253.20,3413500,253.20
2013-10-21,247.00,252.22,245.00,250.50,4306700,250.50
2013-10-18,240.40,242.30,240.40,242.00,5646000,242.00
2013-10-17,240.10,241.60,239.00,240.50,2380600,240.50
2013-10-16,241.90,241.90,237.60,240.40,4282300,240.40
2013-10-15,242.50,245.75,240.00,241.70,4955600,241.70
2013-10-14,242.50,243.38,241.20,241.90,1302800,241.90
2013-10-11,240.00,244.10,239.90,243.00,2737000,243.00
2013-10-10,239.10,240.00,235.90,239.80,4713500,239.80
2013-10-09,243.30,244.50,238.20,239.00,4417800,239.00
2013-10-08,249.80,249.80,243.70,243.80,3575600,243.80
2013-10-07,251.90,252.60,248.40,249.30,2562200,249.30
2013-10-04,253.60,255.40,251.60,252.70,3691800,252.70
2013-10-03,253.80,255.30,252.60,253.10,3495100,253.10
