Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,370.90,375.60,368.90,371.00,3739200,371.00
2013-11-18,366.50,373.60,366.40,372.80,2797900,372.80
2013-11-15,368.10,370.40,366.20,367.70,2514600,367.70
2013-11-14,366.80,369.40,363.40,367.30,3246700,367.30
2013-11-13,364.00,366.33,356.80,362.60,3364400,362.60
2013-11-12,366.20,366.30,363.40,365.00,4054500,365.00
2013-11-11,370.50,371.49,365.30,365.30,3220100,365.30
2013-11-08,371.60,372.55,366.30,368.70,3538900,368.70
2013-11-07,371.30,378.50,369.70,374.50,4680800,374.50
2013-11-06,366.80,373.10,366.10,371.70,3257900,371.70
2013-11-05,367.40,367.80,362.00,364.70,3068600,364.70
2013-11-04,371.70,372.80,366.10,366.90,2134900,366.90
2013-11-01,368.40,371.30,366.20,369.80,2658600,369.80
2013-10-31,365.40,369.20,363.30,367.90,3679200,367.90
2013-10-30,363.00,372.30,363.00,365.20,3637200,365.20
2013-10-29,363.90,365.80,361.20,363.40,3801400,363.40
2013-10-28,373.30,374.10,362.90,364.10,3868900,364.10
2013-10-25,374.80,376.70,371.00,372.20,3307100,372.20
2013-10-24,371.70,377.40,369.30,376.20,3766600,376.20
2013-10-23,368.40,371.50,366.90,370.40,3458200,370.40
2013-10-22,367.80,372.10,363.00,368.80,7612900,368.80
2013-10-21,371.60,372.30,360.20,362.50,5012700,362.50
2013-10-18,367.00,370.70,364.76,370.70,3613700,370.70
2013-10-17,365.30,370.00,362.60,364.20,3671000,364.20
2013-10-16,365.80,370.70,362.10,367.70,5003100,367.70
2013-10-15,363.50,370.59,362.80,367.90,3442100,367.90
2013-10-14,359.40,360.78,356.80,360.60,4683100,360.60
2013-10-11,359.50,363.60,358.90,362.30,4191600,362.30
2013-10-10,345.10,358.70,345.10,358.20,5094600,358.20
2013-10-09,342.80,345.10,341.30,343.20,4200200,343.20
2013-10-08,349.10,350.00,343.70,343.70,3451100,343.70
2013-10-07,350.90,351.00,347.10,350.10,2432800,350.10
