Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,324.55,326.35,320.00,321.00,20683400,321.00
2013-11-18,323.10,328.45,323.10,326.90,13780100,326.90
2013-11-15,325.10,329.18,323.25,324.05,22632400,324.05
2013-11-14,329.75,330.30,321.15,324.20,29243100,324.20
2013-11-13,331.00,331.30,323.90,324.90,34173700,324.90
2013-11-12,330.90,332.55,325.88,331.50,16588300,331.50
2013-11-11,332.00,333.00,326.65,330.75,11652000,330.75
2013-11-08,330.20,337.33,324.90,331.30,23510800,331.30
2013-11-07,338.65,342.04,331.45,333.00,45944000,333.00
2013-11-06,343.90,345.00,339.67,341.90,16846700,341.90
2013-11-05,335.55,343.05,330.20,341.80,25151800,341.80
2013-11-04,331.00,335.95,330.95,335.40,20245700,335.40
2013-11-01,336.95,341.00,330.80,332.25,28108800,332.25
2013-10-31,344.90,347.55,337.55,340.00,30754300,340.00
2013-10-30,343.00,346.82,339.45,345.05,22274700,345.05
2013-10-29,340.00,342.80,338.55,342.25,14085000,342.25
2013-10-28,345.00,348.13,338.85,340.95,27858100,340.95
2013-10-25,337.45,343.60,337.25,342.50,21390100,342.50
2013-10-24,340.70,343.60,339.70,340.20,18185300,340.20
2013-10-23,339.80,341.35,337.00,340.20,20017900,340.20
2013-10-22,338.20,345.00,336.28,341.55,19136100,341.55
2013-10-21,336.30,339.55,335.40,337.95,11309200,337.95
2013-10-18,333.30,336.95,330.85,334.90,21181300,334.90
2013-10-17,329.30,331.00,325.90,330.50,14088100,330.50
2013-10-16,335.30,338.10,328.85,331.20,19579200,331.20
2013-10-15,333.05,338.20,333.05,336.00,18587400,336.00
2013-10-14,330.10,335.50,329.15,331.20,18923300,331.20
2013-10-11,330.70,336.85,328.75,335.90,21701700,335.90
2013-10-10,323.50,331.11,321.30,326.65,17704900,326.65
2013-10-09,326.75,329.60,320.60,322.55,15752800,322.55
2013-10-08,330.10,330.55,324.48,327.30,15050400,327.30
2013-10-07,331.00,332.35,326.30,331.45,12750700,331.45
2013-10-04,329.05,331.80,326.25,331.00,10306200,331.00
2013-10-03,334.00,338.00,329.00,330.00,10992100,330.00
2013-10-02,329.30,335.45,323.50,334.15,16786300,334.15
2013-10-01,336.70,338.40,324.80,330.50,22657400,330.50
2013-09-30,337.70,337.80,332.55,336.70,21007500,336.70
2013-09-27,344.00,348.08,338.20,344.00,24055900,344.00
2013-09-26,336.55,346.00,336.10,344.75,21560900,344.75
2013-09-25,336.40,339.45,333.80,339.45,18171400,339.45
2013-09-24,336.25,338.95,333.55,338.10,15356900,338.10
2013-09-23,338.25,340.00,335.10,336.65,13765100,336.65
2013-09-20,337.40,345.00,335.55,340.45,102061700,340.45
2013-09-19,345.00,345.35,338.70,340.30,36696200,340.30
2013-09-18,333.35,335.68,328.30,331.20,19099500,331.20
2013-09-17,336.30,337.20,331.50,334.20,34333500,334.20
2013-09-16,345.00,347.00,341.50,341.90,18479900,341.90
2013-09-13,341.45,350.00,333.20,341.50,30436400,341.50
2013-09-12,339.40,343.85,336.15,343.65,36865900,343.65
2013-09-11,330.50,339.00,319.09,339.00,37968700,339.00
2013-09-10,332.00,339.00,327.35,328.75,40241400,328.75
2013-09-09,320.00,322.32,317.15,321.30,19337600,321.30
2013-09-06,313.85,320.10,313.20,318.35,20200800,318.35
2013-09-05,315.85,319.42,314.30,316.05,18308900,316.05
2013-09-04,314.00,315.35,310.25,315.35,15477300,315.35
2013-09-03,314.60,315.25,299.95,312.20,13708800,312.20
2013-09-02,311.00,316.69,310.05,312.05,15702200,312.05
2013-08-30,309.15,312.45,303.80,305.20,50680900,305.20
2013-08-29,312.55,314.35,307.65,308.05,16126800,308.05
2013-08-28,308.10,311.45,303.86,311.35,17308400,311.35
2013-08-27,316.85,316.95,311.00,314.20,31033700,308.80
2013-08-26,317.00,317.00,317.00,317.00,000,311.55
2013-08-23,312.65,322.20,311.10,317.00,25469000,311.55
2013-08-22,306.25,316.85,304.79,313.85,28718500,308.46
2013-08-21,298.05,306.63,297.75,304.75,32687100,299.51
2013-08-20,297.00,299.55,289.85,297.15,28573500,292.04
2013-08-19,306.00,306.00,299.80,301.95,18724500,296.76
2013-08-16,303.15,310.00,277.03,308.35,23890900,303.05
2013-08-15,307.50,310.05,297.40,301.80,24469900,296.61
2013-08-14,307.00,312.00,302.65,308.20,23197100,302.90
2013-08-13,301.00,309.90,300.85,307.45,29894800,302.17
2013-08-12,297.25,302.76,291.60,301.40,24479000,296.22
2013-08-09,281.50,298.00,279.17,297.50,40775200,292.39
2013-08-08,273.00,282.30,272.55,280.40,25697700,275.58
2013-08-07,274.35,278.00,268.00,270.45,20503300,265.80
2013-08-06,288.25,291.90,273.20,275.65,29292700,270.91
2013-08-05,288.15,295.50,287.00,289.60,11594800,284.62
2013-08-02,294.90,294.90,286.00,287.85,14562700,282.90
2013-08-01,280.20,289.50,279.60,289.55,24545400,284.57
2013-07-31,277.70,283.45,276.13,277.50,14467200,272.73
2013-07-30,282.00,283.20,278.40,278.60,11807800,273.81
2013-07-29,281.20,284.50,279.85,280.80,15361400,275.97
2013-07-26,283.00,285.50,279.27,281.00,15849300,276.17
2013-07-25,285.40,285.93,277.30,280.80,16602300,275.97
2013-07-24,282.00,299.00,281.75,287.25,47107800,282.31
2013-07-23,271.80,284.90,218.80,282.70,34985300,277.84
2013-07-22,272.00,275.00,267.65,269.00,15758000,264.38
2013-07-19,271.90,275.30,268.00,272.40,18068200,267.72
2013-07-18,271.60,276.00,267.85,273.30,22540100,268.60
2013-07-17,266.60,275.05,265.55,271.95,23391900,267.28
2013-07-16,262.05,267.50,260.45,264.55,24886200,260.00
2013-07-15,261.95,267.65,260.55,261.85,29028900,257.35
2013-07-12,267.35,267.95,259.55,260.45,25891600,255.97
2013-07-11,267.50,271.95,263.95,266.30,40335400,261.72
2013-07-10,262.00,263.10,256.05,257.65,21417800,253.22
2013-07-09,262.15,266.35,260.15,264.25,21592300,259.71
2013-07-08,260.00,273.59,256.55,257.65,20132200,253.22
2013-07-05,276.00,277.20,256.85,256.85,34245000,252.44
2013-07-04,271.00,278.65,267.00,274.75,19562100,270.03
2013-07-03,272.80,285.00,263.50,269.00,21772800,264.38
2013-07-02,280.95,286.05,275.20,276.00,15684200,271.26
2013-07-01,276.10,280.75,271.77,279.70,20639700,274.89
2013-06-28,278.60,280.65,269.35,272.15,26953200,267.47
2013-06-27,278.00,283.05,276.40,277.30,22638500,272.53
2013-06-26,276.00,280.00,269.05,276.00,31201800,271.26
2013-06-25,278.90,279.20,274.55,276.40,23985800,271.65
2013-06-24,285.25,285.99,273.30,273.45,25965000,268.75
2013-06-21,294.80,298.46,286.95,286.95,54963100,282.02
2013-06-20,297.00,302.55,289.38,292.70,28375400,287.67
2013-06-19,311.95,313.95,304.25,307.30,18282700,302.02
2013-06-18,310.65,312.90,308.55,310.20,16272500,304.87
2013-06-17,317.75,320.06,312.05,312.05,18859500,306.69
2013-06-14,309.10,317.25,309.10,315.90,25387600,310.47
2013-06-13,295.75,307.80,293.95,306.10,25234700,300.84
2013-06-12,300.00,306.50,299.65,300.55,20396300,295.38
2013-06-11,311.80,312.89,298.70,302.50,37866900,297.30
2013-06-10,314.20,319.20,311.30,314.30,18865100,308.90
2013-06-07,312.00,320.50,310.85,315.05,23722200,309.64
2013-06-06,317.60,322.33,310.70,310.95,18892300,305.61
2013-06-05,322.05,326.00,316.80,317.45,23174900,311.99
2013-06-04,329.95,332.45,325.90,326.40,14237000,320.79
2013-06-03,322.00,329.80,320.05,326.55,16249700,320.94
2013-05-31,332.50,333.80,323.01,323.10,35974800,317.55
2013-05-30,326.70,338.85,325.25,333.35,17670900,327.62
2013-05-29,330.80,338.22,325.70,327.75,17473100,322.12
2013-05-28,328.00,335.96,328.00,331.95,17411100,326.24
2013-05-27,331.85,331.85,331.85,331.85,000,326.15
2013-05-24,337.70,339.40,310.82,331.85,18720300,326.15
2013-05-23,335.45,341.60,334.07,336.90,30564500,331.11
2013-05-22,340.70,357.10,338.54,351.00,31349700,344.97
2013-05-21,335.00,350.60,334.73,346.00,31459600,329.88
2013-05-20,332.20,338.66,332.20,334.95,16076600,319.35
2013-05-17,337.80,347.00,336.50,338.75,27176500,322.97
2013-05-16,337.00,337.45,332.05,337.00,18320100,321.30
2013-05-15,340.00,340.00,330.70,333.80,20433400,318.25
2013-05-14,348.30,348.30,333.85,340.35,22061100,324.49
2013-05-13,346.00,350.45,339.30,345.30,23863600,329.21
2013-05-10,356.00,356.05,342.35,343.90,23595600,327.88
2013-05-09,350.00,356.40,348.55,355.05,15386800,338.51
2013-05-08,348.70,352.45,345.20,350.15,23414700,333.84
2013-05-07,350.00,354.70,345.00,346.95,42285100,330.79
2013-05-06,343.95,343.95,343.95,343.95,000,327.93
2013-05-03,334.25,355.00,329.20,343.95,68066100,327.93
2013-05-02,311.10,335.55,311.00,331.15,36333100,315.72
2013-05-01,318.25,323.65,311.15,314.30,7806000,299.66
2013-04-30,325.00,328.85,308.59,316.95,66037700,302.18
2013-04-29,319.35,328.30,318.00,325.00,21433400,309.86
2013-04-26,329.30,330.00,318.75,319.35,11597300,304.47
2013-04-25,328.85,335.00,324.55,330.75,16542400,315.34
2013-04-24,315.35,329.30,314.05,327.40,20371600,312.15
2013-04-23,307.20,316.25,305.31,313.95,15859900,299.32
2013-04-22,316.20,318.55,305.25,307.40,18082000,293.08
2013-04-19,322.00,322.00,313.60,314.70,18993500,300.04
2013-04-18,315.00,322.06,312.05,314.00,16912900,299.37
2013-04-17,328.55,328.55,311.00,318.20,19245200,303.38
