Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1623.00,1653.50,1617.28,1628.00,6193400,1628.00
2013-11-18,1615.00,1625.00,1604.67,1613.50,4834700,1613.50
2013-11-15,1622.00,1634.50,1606.00,1615.00,7447900,1615.00
2013-11-14,1616.50,1637.50,1610.00,1616.00,5169600,1616.00
2013-11-13,1613.00,1635.50,1608.50,1608.50,6334500,1608.50
2013-11-12,1634.00,1642.00,1622.50,1637.50,6240300,1618.50
2013-11-11,1656.50,1662.50,1645.50,1650.50,4521900,1631.35
2013-11-08,1640.00,1651.50,1636.20,1648.00,3973100,1628.88
2013-11-07,1655.00,1660.00,1634.61,1641.50,5094800,1622.45
2013-11-06,1670.00,1670.00,1647.00,1649.50,5557300,1630.36
2013-11-05,1664.00,1672.00,1649.50,1665.00,4516800,1645.68
2013-11-04,1661.00,1673.50,1652.50,1657.00,5764600,1637.77
2013-11-01,1650.00,1655.00,1627.50,1649.50,6524700,1630.36
2013-10-31,1643.00,1654.50,1635.81,1643.50,6049900,1624.43
2013-10-30,1642.00,1652.50,1638.50,1643.50,6363100,1624.43
2013-10-29,1634.50,1652.00,1631.10,1637.50,5772500,1618.50
2013-10-28,1609.00,1630.50,1607.14,1624.50,6771400,1605.65
2013-10-25,1601.50,1619.88,1579.55,1604.50,8907200,1585.88
2013-10-24,1567.00,1606.08,1565.50,1597.00,8204000,1578.47
2013-10-23,1560.00,1612.00,1560.00,1570.50,12326800,1552.28
2013-10-22,1579.00,1606.50,1576.00,1601.00,6777800,1582.42
2013-10-21,1582.50,1587.50,1575.00,1585.50,6480500,1567.10
2013-10-18,1582.50,1588.00,1574.26,1578.50,9959200,1560.18
2013-10-17,1568.50,1588.75,1564.00,1574.00,6796900,1555.74
2013-10-16,1567.50,1579.35,1558.50,1575.00,10384800,1556.73
2013-10-15,1575.00,1586.43,1568.43,1575.00,5816900,1556.73
2013-10-14,1555.00,1568.50,1549.50,1568.50,5517000,1550.30
2013-10-11,1554.00,1564.50,1541.50,1554.50,6423000,1536.46
2013-10-10,1555.00,1566.27,1536.14,1545.50,8217500,1527.57
2013-10-09,1549.50,1562.85,1540.50,1550.00,6313600,1532.02
2013-10-08,1560.50,1568.50,1543.50,1549.50,9308400,1531.52
2013-10-07,1553.00,1571.50,1543.07,1566.00,6455000,1547.83
2013-10-04,1570.00,1574.00,1555.50,1556.00,6668700,1537.95
2013-10-03,1548.00,1575.50,1548.00,1571.00,8358400,1552.77
2013-10-02,1555.00,1556.70,1537.00,1546.50,6555500,1528.56
2013-10-01,1551.00,1588.35,556.50,1558.50,6508900,1540.42
2013-09-30,1553.00,1569.14,1551.00,1557.50,8075800,1539.43
2013-09-27,1586.50,1589.50,1563.83,1568.50,8443900,1550.30
2013-09-26,1593.00,1603.58,1592.00,1596.50,4951100,1577.98
2013-09-25,1602.00,1618.40,1588.50,1596.00,6391200,1577.48
2013-09-24,1590.00,1607.00,1063.00,1603.00,7048100,1584.40
2013-09-23,1574.00,1593.75,1573.00,1589.50,7250200,1571.06
2013-09-20,1569.00,1590.57,1565.50,1577.00,13082100,1558.70
2013-09-19,1599.00,2076.00,1575.69,1576.00,8787200,1557.71
2013-09-18,1604.50,1612.00,1584.50,1585.00,6507800,1566.61
2013-09-17,1611.00,1628.00,1604.52,1605.00,9284600,1586.38
