Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1167.00,1176.00,1157.00,1176.00,348300,1176.00
2013-11-18,1174.00,1192.00,1170.61,1176.00,1140800,1176.00
2013-11-15,1176.00,1195.00,1170.00,1179.00,334200,1179.00
2013-11-14,1156.00,1168.00,1155.88,1164.00,362100,1164.00
2013-11-13,1167.00,1170.00,1146.00,1149.00,299700,1149.00
2013-11-12,1179.00,1179.50,1167.00,1169.00,175800,1169.00
2013-11-11,1174.00,1180.00,1165.00,1177.00,257500,1177.00
2013-11-08,1174.00,1183.00,1147.00,1165.00,402100,1165.00
2013-11-07,1185.00,1193.00,1173.00,1177.00,423300,1177.00
2013-11-06,1181.00,1191.00,1174.88,1187.00,449200,1187.00
2013-11-05,1174.00,1174.00,1160.00,1174.00,509500,1174.00
2013-11-04,1173.00,1181.00,1164.00,1169.00,277800,1169.00
2013-11-01,1194.00,1196.00,1165.00,1169.00,441200,1169.00
2013-10-31,1182.00,1195.00,1180.00,1190.00,504300,1190.00
2013-10-30,1157.00,1183.00,1157.00,1181.00,317600,1181.00
2013-10-29,1167.00,1177.99,1164.00,1167.00,274500,1167.00
2013-10-28,1161.00,1169.00,1158.00,1166.00,248200,1166.00
2013-10-25,1180.00,1184.26,1152.00,1155.00,768400,1155.00
2013-10-24,1170.00,1185.00,1165.00,1185.00,807000,1185.00
2013-10-23,1153.00,1173.00,1151.00,1171.00,511700,1171.00
2013-10-22,1143.00,1155.12,1111.00,1154.00,530000,1154.00
2013-10-21,1141.00,1142.00,1126.00,1142.00,407400,1142.00
2013-10-18,1122.00,1139.00,1116.00,1137.00,612900,1137.00
2013-10-17,1086.00,1117.00,1077.00,1115.00,530500,1115.00
2013-10-16,1043.00,1093.78,1024.00,1090.00,779000,1090.00
2013-10-15,1030.00,1046.48,1020.00,1040.00,642800,1040.00
2013-10-14,992.00,1009.00,987.00,1009.00,368100,1009.00
2013-10-11,988.50,1004.00,986.00,993.00,370300,993.00
2013-10-10,983.00,998.00,982.50,994.50,603900,994.50
2013-10-09,976.50,981.50,966.50,981.50,471400,981.50
2013-10-08,976.00,982.00,969.19,979.50,424600,979.50
2013-10-07,981.00,982.50,973.00,978.50,181000,978.50
2013-10-04,977.00,986.25,970.50,984.00,348300,984.00
2013-10-03,977.50,987.00,976.50,978.50,242600,978.50
