Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,517.50,519.00,512.50,515.00,737500,515.00
2013-11-18,517.50,521.50,516.00,521.50,980200,521.50
2013-11-15,524.00,526.00,517.50,521.00,2118900,521.00
2013-11-14,520.00,525.00,520.00,522.00,530100,522.00
2013-11-13,519.00,520.65,514.00,517.50,1355500,517.50
2013-11-12,523.00,526.50,519.00,522.00,743100,522.00
2013-11-11,520.50,526.00,518.00,522.00,671600,522.00
2013-11-08,519.00,520.50,515.00,518.00,889500,518.00
2013-11-07,519.00,525.50,516.50,520.00,809100,520.00
2013-11-06,524.00,525.00,516.00,520.00,1395700,520.00
2013-11-05,531.00,531.50,519.94,521.00,1352400,521.00
2013-11-04,530.50,533.00,526.50,528.00,819200,528.00
2013-11-01,533.00,533.00,525.32,527.50,913400,527.50
2013-10-31,544.00,546.00,528.00,529.00,1924800,529.00
2013-10-30,542.00,543.50,540.50,542.00,1165900,542.00
2013-10-29,539.50,544.00,539.00,541.50,722700,541.50
2013-10-28,538.50,539.00,534.50,538.50,755800,538.50
2013-10-25,531.00,540.00,530.00,536.50,1193300,536.50
2013-10-24,530.00,535.50,527.50,530.00,763600,530.00
2013-10-23,527.00,528.00,524.80,528.00,850700,528.00
2013-10-22,523.00,529.00,522.30,527.50,836700,527.50
2013-10-21,527.50,527.50,522.00,525.50,1086900,525.50
2013-10-18,526.50,533.50,523.00,526.00,3639700,526.00
2013-10-17,512.00,522.50,511.00,522.50,2525500,522.50
2013-10-16,505.50,516.50,504.50,514.50,1909700,514.50
2013-10-15,508.00,510.00,505.50,508.50,635400,508.50
2013-10-14,506.00,506.00,503.00,506.00,799700,506.00
2013-10-11,504.00,509.05,504.00,507.00,684300,507.00
2013-10-10,492.50,505.00,492.50,504.00,1026300,504.00
2013-10-09,488.70,494.80,486.10,492.00,1340600,492.00
2013-10-08,495.30,495.80,487.90,490.40,1331900,490.40
2013-10-07,498.50,502.50,494.40,496.00,1230400,496.00
2013-10-04,500.00,504.00,496.30,500.50,1381000,500.50
2013-10-03,493.10,502.00,491.20,501.50,1902500,501.50
2013-10-02,503.00,505.50,496.00,499.50,1146100,499.50
2013-10-01,501.50,506.00,498.40,506.00,1186200,506.00
2013-09-30,505.00,506.00,498.20,501.00,1631300,501.00
2013-09-27,512.50,512.50,505.00,508.50,737900,508.50
2013-09-26,508.00,512.00,501.50,510.00,745300,510.00
2013-09-25,505.50,508.00,500.00,507.50,930700,507.50
2013-09-24,505.00,509.95,503.50,504.50,961400,504.50
2013-09-23,512.00,512.50,502.50,505.00,1496700,505.00
2013-09-20,509.00,515.50,508.50,509.50,2677200,509.50
2013-09-19,504.00,513.50,504.00,511.50,1689400,511.50
2013-09-18,503.00,505.50,495.00,498.00,1146200,498.00
2013-09-17,505.00,507.50,502.00,504.00,1055000,504.00
2013-09-16,506.00,507.00,502.00,506.50,834900,506.50
2013-09-13,498.20,501.50,496.50,501.50,917800,501.50
2013-09-12,498.00,501.50,495.00,499.50,1453800,499.50
2013-09-11,495.70,496.20,492.40,496.20,2197900,496.20
2013-09-10,489.30,493.90,487.45,493.60,1723500,493.60
2013-09-09,488.70,492.00,483.80,486.20,992400,486.20
2013-09-06,489.00,492.30,483.80,488.10,2576700,488.10
2013-09-05,486.30,493.40,485.50,488.00,1591200,488.00
2013-09-04,486.40,486.40,476.80,483.90,2183900,483.90
2013-09-03,492.50,496.00,486.00,486.00,3375200,486.00
2013-09-02,485.90,495.80,485.90,492.60,995700,492.60
2013-08-30,489.10,489.10,483.26,483.50,1985200,483.50
2013-08-29,485.30,487.00,481.10,485.40,1699100,485.40
2013-08-28,484.30,488.30,482.40,485.00,2047300,485.00
2013-08-27,492.60,493.90,485.50,486.20,2167200,486.20
2013-08-26,492.30,492.30,492.30,492.30,000,492.30
2013-08-23,487.30,496.60,487.30,492.30,3030000,492.30
2013-08-22,485.80,491.90,485.70,488.00,2920000,488.00
2013-08-21,492.20,494.10,486.30,488.10,2811800,488.10
2013-08-20,492.00,503.36,492.00,502.00,1562000,493.70
2013-08-19,501.00,505.50,494.40,497.70,1164600,489.47
2013-08-16,497.90,503.00,497.30,499.60,2258200,491.34
2013-08-15,512.00,512.50,495.30,499.80,1208000,491.54
2013-08-14,513.00,517.00,508.50,510.00,1139100,501.57
2013-08-13,508.50,517.00,507.50,514.50,995000,505.99
2013-08-12,512.50,515.00,508.00,509.00,821000,500.58
2013-08-09,519.50,519.78,512.00,513.50,1104200,505.01
2013-08-08,519.50,524.00,513.50,517.50,1424900,508.94
2013-08-07,527.00,528.50,518.00,518.00,1581900,509.44
2013-08-06,528.50,537.95,525.00,528.50,1211400,519.76
2013-08-05,536.50,542.00,531.00,531.50,1995200,522.71
2013-08-02,537.50,542.50,532.00,535.50,1729200,526.65
2013-08-01,532.50,536.75,525.50,536.00,1983200,527.14
2013-07-31,522.50,534.00,521.50,529.50,1598900,520.75
2013-07-30,509.50,526.00,509.50,523.50,1608400,514.84
2013-07-29,524.00,527.00,516.50,520.50,1591300,511.89
2013-07-26,529.50,531.00,519.00,520.50,1147200,511.89
2013-07-25,530.50,534.00,521.00,523.00,1685100,514.35
2013-07-24,535.50,535.50,528.50,531.50,1353000,522.71
2013-07-23,543.00,545.50,536.50,536.50,1044700,527.63
2013-07-22,542.50,543.50,539.00,540.50,1204200,531.56
2013-07-19,535.00,543.50,535.00,541.00,2648300,532.06
2013-07-18,526.50,538.00,526.50,536.50,1262100,527.63
2013-07-17,536.50,537.00,524.00,529.00,1382700,520.25
