Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1867.00,1874.98,1853.00,1860.00,712200,1860.00
2013-11-18,1857.00,1880.00,1843.00,1877.00,553800,1877.00
2013-11-15,1848.00,1870.00,1843.00,1868.00,697800,1868.00
2013-11-14,1833.00,1846.00,1824.00,1840.00,748300,1840.00
2013-11-13,1833.00,1841.20,1805.00,1814.00,1370200,1814.00
2013-11-12,1821.00,1849.00,1815.00,1839.00,1145200,1839.00
2013-11-11,1805.00,1824.00,1803.00,1820.00,594000,1820.00
2013-11-08,1791.00,1802.00,1787.00,1801.00,1000500,1801.00
2013-11-07,1800.00,1817.00,1795.00,1798.00,1076600,1798.00
2013-11-06,1807.00,1810.00,1793.00,1800.00,930900,1800.00
2013-11-05,1800.00,1811.00,1780.00,1806.00,970100,1806.00
2013-11-04,1842.00,1842.00,1791.00,1794.00,707500,1794.00
2013-11-01,1820.00,1830.00,1796.00,1805.00,897600,1805.00
2013-10-31,1829.00,1839.00,1815.00,1817.00,631600,1817.00
2013-10-30,1823.00,1840.00,1821.00,1829.00,455200,1829.00
2013-10-29,1837.00,1840.00,1818.00,1822.00,715600,1822.00
2013-10-28,1850.00,1854.98,1801.00,1823.00,919900,1823.00
2013-10-25,1861.00,1872.00,1859.00,1865.00,465400,1865.00
2013-10-24,1861.00,1873.00,1853.00,1863.00,518400,1863.00
2013-10-23,1876.00,1880.00,1857.00,1860.00,519400,1860.00
2013-10-22,1859.00,1873.00,1847.00,1865.00,695800,1865.00
2013-10-21,1864.00,1867.37,1855.00,1859.00,345300,1859.00
2013-10-18,1840.00,1861.00,1832.00,1856.00,1005900,1856.00
2013-10-17,1845.00,1853.97,1820.00,1830.00,617800,1830.00
2013-10-16,1837.00,1868.00,1827.00,1853.00,802900,1853.00
2013-10-15,1819.00,1854.00,1810.00,1845.00,1103700,1845.00
2013-10-14,1815.00,1819.09,1805.00,1808.00,460500,1808.00
2013-10-11,1780.00,1820.00,1770.00,1815.00,1321300,1815.00
2013-10-10,1788.00,1800.28,1767.00,1788.00,1663000,1788.00
2013-10-09,1758.00,1797.00,1747.00,1785.00,1239100,1785.00
2013-10-08,1795.00,1800.00,1758.00,1763.00,603300,1763.00
2013-10-07,1802.00,1803.84,1783.00,1796.00,920300,1796.00
2013-10-04,1805.00,1812.00,1794.00,1801.00,851600,1801.00
2013-10-03,1805.00,1906.00,1794.00,1798.00,638700,1798.00
2013-10-02,1813.00,1817.00,1796.00,1807.00,784600,1807.00
2013-10-01,1804.00,1823.00,1802.00,1820.00,446800,1820.00
2013-09-30,1783.00,1812.00,1783.00,1802.00,703500,1802.00
2013-09-27,1818.00,1820.00,1793.00,1805.00,581800,1805.00
2013-09-26,1818.00,1830.00,1809.00,1818.00,778700,1818.00
2013-09-25,1837.00,1839.85,1807.00,1820.00,629700,1820.00
2013-09-24,1833.00,1843.00,1827.00,1838.00,775300,1838.00
2013-09-23,1850.00,1852.00,1825.00,1832.00,531500,1832.00
2013-09-20,1860.00,1866.00,1842.00,1852.00,1000200,1852.00
2013-09-19,1860.00,1883.00,1852.00,1869.00,811300,1869.00
2013-09-18,1890.00,1891.00,1814.00,1835.00,1221700,1835.00
2013-09-17,1900.00,1904.00,1889.43,1890.00,459400,1890.00
2013-09-16,1925.00,1929.00,1895.00,1900.00,429300,1900.00
2013-09-13,1897.00,2001.50,1889.00,1903.00,406900,1903.00
2013-09-12,1925.00,1955.00,1892.65,1897.00,708800,1897.00
2013-09-11,1907.00,1916.00,1897.00,1916.00,497000,1916.00
2013-09-10,1891.00,1917.00,1887.00,1910.00,518800,1910.00
2013-09-09,1888.00,1890.00,1872.00,1884.00,524500,1884.00
2013-09-06,1867.00,1891.00,1858.00,1889.00,953600,1889.00
2013-09-05,1897.00,1913.00,1864.00,1875.00,1086800,1875.00
2013-09-04,1824.00,1836.00,1800.00,1836.00,688000,1836.00
2013-09-03,1837.00,1846.00,1813.00,1829.00,750900,1829.00
2013-09-02,1820.00,1859.00,1812.00,1840.00,526300,1840.00
2013-08-30,1844.00,1845.00,1800.00,1803.00,683100,1803.00
2013-08-29,1790.00,1846.00,1786.00,1843.00,828900,1843.00
2013-08-28,1805.00,1806.00,1759.00,1788.00,3037300,1788.00
2013-08-27,1859.00,1960.00,1810.00,1815.00,861200,1815.00
2013-08-26,1865.00,1865.00,1865.00,1865.00,000,1865.00
2013-08-23,1856.00,1956.20,1849.00,1865.00,641000,1865.00
