Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,2425.00,2434.00,2419.00,2429.00,1317900,2347.80
2013-11-18,2425.00,2436.00,2416.00,2426.00,1786900,2344.90
2013-11-15,2400.00,2427.00,2396.00,2426.00,2406200,2344.90
2013-11-14,2379.00,2399.00,2375.00,2399.00,1981400,2318.80
2013-11-13,2370.00,2375.00,2348.00,2363.00,1250200,2284.01
2013-11-12,2389.00,2393.00,2362.00,2370.00,1190000,2290.77
2013-11-11,2385.00,2389.00,2372.00,2382.00,1057100,2302.37
2013-11-08,2340.00,2379.00,2340.00,2374.00,2104100,2294.64
2013-11-07,2360.00,2376.00,2340.00,2340.00,1317100,2261.78
2013-11-06,2372.00,2391.00,2354.29,2355.00,2425200,2276.27
2013-11-05,2275.00,2398.00,2270.00,2382.00,3214000,2302.37
2013-11-04,2309.00,2321.00,2296.00,2310.00,1152800,2232.78
2013-11-01,2333.00,2340.00,2302.00,2305.00,1113200,2227.95
2013-10-31,2310.00,2344.00,2310.00,2329.00,2067400,2251.14
2013-10-30,2334.00,2336.00,2319.00,2329.00,1281400,2251.14
2013-10-29,2350.00,2368.00,2327.44,2332.00,1081600,2254.04
2013-10-28,2337.00,2350.00,2328.00,2344.00,1119600,2265.64
2013-10-25,2309.00,2345.00,2305.00,2341.00,1385300,2262.74
2013-10-24,2291.00,2323.00,2284.00,2319.00,1084800,2241.48
2013-10-23,2284.00,2297.00,2275.50,2295.00,1743800,2218.28
2013-10-22,2278.00,2308.00,2278.00,2292.00,1222300,2215.38
2013-10-21,2280.00,2284.00,2269.00,2280.00,853100,2203.78
2013-10-18,2260.00,2279.00,2249.00,2279.00,2053700,2202.81
2013-10-17,2214.00,2268.00,2213.00,2253.00,2461700,2177.68
2013-10-16,2184.00,2222.00,2183.00,2220.00,1427800,2145.79
2013-10-15,2231.00,2234.00,2184.00,2189.00,1659600,2115.82
2013-10-14,2199.00,2226.00,2199.00,2211.00,1293800,2137.09
2013-10-11,2202.00,2212.00,2168.00,2210.00,1234000,2136.12
2013-10-10,2181.00,2211.00,2175.00,2198.00,1331200,2124.52
2013-10-09,2193.00,2201.50,2165.00,2174.00,1314800,2101.32
2013-10-08,2221.00,2229.00,2181.00,2198.00,1965900,2124.52
2013-10-07,2211.00,2234.00,2206.00,2218.00,1223300,2143.85
2013-10-04,2225.00,2236.00,2214.00,2215.00,1012500,2140.95
2013-10-03,2210.00,2243.00,2198.00,2235.00,1364700,2160.29
2013-10-02,2234.00,2242.00,2209.22,2219.00,1629000,2144.82
2013-10-01,2277.00,2277.28,2233.00,2237.00,1784300,2162.22
2013-09-30,2275.00,2298.00,2261.00,2287.00,1531900,2210.55
2013-09-27,2303.00,2312.00,2272.00,2290.00,1190100,2213.45
2013-09-26,2286.00,2308.50,2278.00,2296.00,1158600,2219.25
2013-09-25,2259.00,2283.00,2253.00,2280.00,1582100,2203.78
