Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,3100.00,3107.00,2965.63,3102.00,1121600,3102.00
2013-11-18,3149.00,3184.00,3149.00,3181.00,241800,3181.00
2013-11-15,3138.00,3165.00,3126.00,3155.00,252500,3155.00
2013-11-14,3190.00,3209.00,3165.00,3170.00,406200,3170.00
2013-11-13,3117.00,3191.00,3108.00,3171.00,334900,3171.00
2013-11-12,3191.00,3204.00,3185.00,3204.00,223700,3204.00
2013-11-11,3193.00,3201.00,3185.00,3193.00,197100,3193.00
2013-11-08,3171.00,3200.00,3167.00,3185.00,281400,3185.00
2013-11-07,3196.00,3217.00,3145.00,3191.00,538600,3191.00
2013-11-06,3234.00,3251.00,3196.00,3219.00,874400,3219.00
2013-11-05,3303.00,3304.00,3235.00,3236.00,434600,3236.00
2013-11-04,3309.00,3324.78,3294.00,3299.00,240300,3299.00
2013-11-01,3337.00,3351.00,3306.00,3312.00,197900,3312.00
2013-10-31,3319.00,3376.00,3309.00,3332.00,450100,3332.00
2013-10-30,3269.00,3318.00,3269.00,3316.00,179000,3316.00
2013-10-29,3196.00,3294.00,3193.00,3284.00,304300,3284.00
2013-10-28,3289.00,3300.45,3274.01,3288.00,267500,3288.00
2013-10-25,3345.00,3345.00,3274.00,3309.00,337100,3309.00
2013-10-24,3329.00,3355.00,3326.00,3345.00,265100,3345.00
2013-10-23,3303.00,3353.00,3299.00,3329.00,179500,3329.00
2013-10-22,3268.00,3315.00,3252.00,3313.00,187900,3313.00
2013-10-21,3229.00,3287.00,3229.00,3275.00,215000,3275.00
2013-10-18,3226.00,3237.00,3200.00,3232.00,388200,3232.00
2013-10-17,3277.00,3301.00,3203.00,3210.00,392500,3210.00
2013-10-16,3294.00,3302.00,3262.00,3294.00,268200,3294.00
2013-10-15,3284.00,3329.00,3277.00,3304.00,358600,3304.00
2013-10-14,3255.00,3272.00,3241.00,3266.00,96900,3266.00
2013-10-11,3233.00,3271.00,3229.00,3270.00,245500,3270.00
2013-10-10,3159.00,3248.00,3158.00,3235.00,312400,3235.00
2013-10-09,3193.00,3204.00,3128.00,3153.00,297900,3153.00
2013-10-08,3225.00,3225.00,3199.00,3202.00,509100,3202.00
2013-10-07,3209.00,3226.00,3199.00,3217.00,264000,3217.00
2013-10-04,3201.00,3267.49,3196.00,3219.00,489600,3219.00
2013-10-03,3255.00,3271.00,3196.00,3201.00,579200,3201.00
2013-10-02,3320.00,3320.00,3255.00,3266.00,369600,3266.00
2013-10-01,3316.00,3359.00,3315.00,3354.00,239700,3339.00
2013-09-30,3309.00,3326.00,3300.58,3305.00,279900,3290.22
2013-09-27,3336.00,3363.00,3330.00,3346.00,131400,3331.04
2013-09-26,3362.00,3377.00,3334.00,3351.00,137300,3336.01
2013-09-25,3367.00,3371.00,3329.00,3361.00,156200,3345.97
2013-09-24,3345.00,3376.00,3342.00,3374.00,149000,3358.91
2013-09-23,3351.00,3379.00,3336.00,3351.00,135400,3336.01
2013-09-20,3383.00,3395.00,3346.00,3351.00,457400,3336.01
2013-09-19,3396.00,3413.00,3385.00,3390.00,246100,3374.84
2013-09-18,3395.00,3400.00,3350.00,3373.00,211700,3357.92
2013-09-17,3390.00,3414.00,3387.00,3392.00,331100,3376.83
2013-09-16,3404.00,3418.00,3388.00,3390.00,195900,3374.84
2013-09-13,3384.00,3415.00,3378.00,3385.00,173000,3369.86
2013-09-12,3394.00,3403.00,3356.00,3392.00,220300,3376.83
2013-09-11,3388.00,3393.00,3376.00,3393.00,251600,3377.83
2013-09-10,3366.00,3388.00,3356.00,3385.00,236200,3369.86
2013-09-09,3350.00,3365.00,3337.99,3349.00,267700,3334.02
2013-09-06,3308.00,3352.00,3308.00,3351.00,405800,3336.01
2013-09-05,3265.00,3319.00,3263.00,3319.00,293000,3304.16
2013-09-04,3234.00,3261.00,3227.00,3254.00,226600,3239.45
2013-09-03,3250.00,3258.00,3227.00,3240.00,307400,3225.51
2013-09-02,3219.00,3265.00,3218.00,3255.00,205900,3240.44
2013-08-30,3216.00,3237.00,3191.00,3202.00,400100,3187.68
2013-08-29,3203.00,3223.00,3195.00,3212.00,211000,3197.64
2013-08-28,3199.00,3209.00,3191.25,3205.00,315500,3190.67
2013-08-27,3248.00,3248.00,3222.00,3230.00,502700,3215.55
2013-08-26,3247.00,3247.00,3247.00,3247.00,000,3232.48
2013-08-23,3223.00,3247.00,3222.00,3247.00,277000,3232.48
2013-08-22,3226.00,3246.00,3217.00,3230.00,412200,3215.55
2013-08-21,3223.00,3261.00,3223.00,3237.00,380500,3222.52
2013-08-20,3180.00,3231.00,3172.00,3224.00,925900,3209.58
