Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,186.70,192.00,176.60,184.70,25637200,184.70
2013-11-18,185.70,187.40,184.90,186.80,7588800,186.80
2013-11-15,186.80,188.65,186.10,186.50,19414500,186.50
2013-11-14,183.70,186.90,183.70,186.40,9575800,186.40
2013-11-13,187.20,187.83,181.60,181.80,12815700,181.80
2013-11-12,187.80,190.00,187.40,188.30,8534100,188.30
2013-11-11,186.00,188.90,183.50,187.40,13616700,187.40
2013-11-08,190.70,191.11,188.30,190.50,9790300,190.50
2013-11-07,194.10,194.90,191.10,191.60,7675500,191.60
2013-11-06,191.90,195.32,191.80,193.80,7903600,193.80
2013-11-05,193.50,193.70,189.86,191.00,6925100,191.00
2013-11-04,191.20,193.50,191.10,193.10,6496800,193.10
2013-11-01,191.40,191.96,190.50,191.00,4870800,191.00
2013-10-31,191.00,193.10,189.85,190.90,11001000,190.90
2013-10-30,190.70,191.52,190.30,190.90,7032400,190.90
2013-10-29,190.30,191.60,188.50,191.40,8333200,190.30
2013-10-28,192.10,193.26,191.10,191.90,4551300,190.80
2013-10-25,192.00,193.30,191.40,191.80,7255300,190.70
2013-10-24,195.30,195.51,192.10,192.60,6688600,191.49
2013-10-23,192.00,195.00,192.00,195.00,5472900,193.88
2013-10-22,193.60,194.66,191.50,192.10,7730000,191.00
2013-10-21,195.00,196.60,194.00,194.20,7056300,193.08
2013-10-18,196.20,197.46,192.70,195.10,8735300,193.98
2013-10-17,190.10,195.60,189.90,195.10,10339300,193.98
2013-10-16,186.10,192.00,185.80,190.10,10753300,189.01
2013-10-15,185.40,187.10,185.40,187.00,8006800,185.93
2013-10-14,183.20,185.10,182.30,184.90,4616400,183.84
2013-10-11,184.20,185.96,183.45,183.90,6335800,182.84
2013-10-10,179.10,184.54,176.50,184.00,8371900,182.94
2013-10-09,183.10,183.70,178.00,178.90,10374700,177.87
2013-10-08,181.90,185.40,180.90,183.60,13064600,182.54
2013-10-07,177.70,181.90,176.80,181.80,9848900,180.76
2013-10-04,175.30,178.50,175.09,178.50,7108200,177.47
2013-10-03,174.70,177.63,174.70,175.50,8378200,174.49
2013-10-02,177.50,178.10,174.00,174.70,10112700,173.70
2013-10-01,176.00,178.70,174.50,178.70,8121700,177.67
2013-09-30,173.50,176.20,172.70,175.30,8482100,174.29
2013-09-27,176.30,177.59,175.37,175.80,5525300,174.79
2013-09-26,175.50,176.90,174.99,176.10,5533400,175.09
2013-09-25,176.30,178.40,174.50,175.10,16684300,174.09
2013-09-24,179.90,180.43,177.00,177.30,14396100,176.28
2013-09-23,180.70,181.50,178.50,178.90,8454000,177.87
2013-09-20,179.80,182.70,179.80,180.30,15837100,179.26
2013-09-19,181.20,182.40,179.60,180.20,10115800,179.16
2013-09-18,181.30,181.76,179.14,180.00,14727200,178.97
2013-09-17,184.50,184.50,180.95,181.00,11282100,179.96
2013-09-16,185.90,186.20,181.60,182.10,10629800,181.05
2013-09-13,180.00,184.40,179.57,183.40,12406200,182.35
2013-09-12,181.60,182.10,178.40,179.60,12339500,178.57
2013-09-11,180.80,182.00,180.00,181.30,10396600,180.26
2013-09-10,178.80,181.20,177.80,181.00,12394600,179.96
2013-09-09,173.50,177.40,172.50,177.40,14064700,176.38
2013-09-06,174.40,175.00,169.90,174.50,11981400,173.50
