Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,3044.00,3090.00,3016.00,3090.00,342600,3090.00
2013-11-18,3015.00,3049.00,2983.00,3049.00,287200,3049.00
2013-11-15,2990.00,3021.00,2984.00,3013.00,243000,3013.00
2013-11-14,3028.00,3054.00,2987.00,2990.00,356400,2990.00
2013-11-13,3049.00,3058.00,2993.00,3004.00,354000,3004.00
2013-11-12,3057.00,3079.65,3036.00,3054.00,245700,3054.00
2013-11-11,3038.00,3062.00,3016.00,3059.00,194000,3059.00
2013-11-08,2978.00,3028.00,2960.50,3020.00,402600,3020.00
2013-11-07,2993.00,3017.00,2976.00,2992.00,238300,2992.00
2013-11-06,3027.00,3034.00,2985.50,2998.00,280500,2998.00
2013-11-05,3042.00,3051.00,2998.00,3020.00,321500,3020.00
2013-11-04,3010.00,3036.80,2986.00,3026.00,212100,3026.00
2013-11-01,3025.00,3039.00,2977.00,2995.00,204600,2995.00
2013-10-31,2981.00,3010.00,2969.00,3004.00,405300,3004.00
2013-10-30,2999.00,2999.00,2972.00,2983.00,247100,2983.00
2013-10-29,2990.00,2995.00,2969.00,2993.00,293600,2993.00
2013-10-28,2966.00,3006.00,2961.50,2984.00,232100,2984.00
2013-10-25,2956.00,2997.10,2948.00,2958.00,224200,2958.00
2013-10-24,2973.00,2986.00,2964.00,2969.00,255200,2969.00
2013-10-23,2984.00,2995.00,2962.00,2970.00,183400,2970.00
2013-10-22,2992.00,3010.00,2969.00,2983.00,233100,2983.00
2013-10-21,2971.00,3007.85,2959.00,2997.00,233300,2997.00
2013-10-18,2950.00,2975.10,2930.00,2973.00,267600,2973.00
2013-10-17,2950.00,2951.00,2915.00,2936.00,325000,2936.00
2013-10-16,2966.00,2974.00,2933.00,2960.00,352800,2960.00
2013-10-15,2998.00,3012.80,2954.00,2978.00,658500,2978.00
2013-10-14,2880.00,2997.90,2880.00,2987.00,769800,2987.00
2013-10-11,2773.00,2827.00,2767.00,2821.00,348700,2821.00
2013-10-10,2720.00,2785.00,2717.00,2778.00,370100,2778.00
2013-10-09,2763.00,2768.00,2704.00,2714.00,404100,2714.00
2013-10-08,2797.00,2805.00,2764.00,2765.00,330100,2765.00
2013-10-07,2808.00,2813.00,2776.00,2802.00,235400,2802.00
2013-10-04,2800.00,2840.00,2792.00,2819.00,354600,2819.00
2013-10-03,2789.00,2821.00,2787.00,2810.00,317200,2810.00
2013-10-02,2806.00,2806.00,2782.00,2791.00,295500,2791.00
2013-10-01,2815.00,2834.00,2801.00,2813.00,343700,2813.00
2013-09-30,2785.00,2809.00,2760.00,2808.00,363900,2808.00
2013-09-27,2851.00,2851.00,2795.00,2813.00,234800,2813.00
2013-09-26,2845.00,2857.00,2819.00,2844.00,218500,2844.00
2013-09-25,2857.00,2879.50,2837.00,2845.00,235200,2845.00
2013-09-24,2873.00,2889.00,2853.00,2867.00,209800,2867.00
2013-09-23,2885.00,2892.00,2864.00,2878.00,235000,2878.00
2013-09-20,2843.00,2892.00,2825.00,2878.00,552400,2878.00
2013-09-19,2905.00,2910.87,2842.00,2852.00,376000,2852.00
2013-09-18,2894.00,2911.00,2874.00,2894.00,328600,2894.00
2013-09-17,2927.00,2945.00,2889.13,2890.00,493200,2890.00
2013-09-16,2957.00,2974.00,2937.00,2937.00,344200,2937.00
2013-09-13,2930.00,2951.00,2918.00,2924.00,397700,2924.00
2013-09-12,2977.00,2995.00,2926.00,2944.00,416200,2944.00
2013-09-11,2999.00,3002.00,2964.00,2977.00,428200,2977.00
2013-09-10,2971.00,3009.00,2971.00,2985.00,461600,2985.00
2013-09-09,2983.00,2998.00,2942.00,2954.00,410600,2954.00
2013-09-06,2970.00,2993.00,2956.00,2967.00,629600,2967.00
2013-09-05,2978.00,3015.00,2961.00,2974.00,744900,2974.00
2013-09-04,2937.00,2981.00,2912.00,2972.00,532600,2972.00
2013-09-03,2931.00,2935.00,2910.15,2917.00,554600,2917.00
2013-09-02,2864.00,2916.00,2856.00,2915.00,419400,2915.00
2013-08-30,2854.00,2859.00,2832.00,2841.00,532700,2841.00
2013-08-29,2805.00,2855.00,2804.35,2848.00,515000,2848.00
2013-08-28,2808.00,2811.00,2783.00,2805.00,470100,2805.00
2013-08-27,2864.00,2896.00,2811.00,2820.00,467800,2820.00
2013-08-26,2854.00,2854.00,2854.00,2854.00,000,2854.00
2013-08-23,2813.00,2880.00,2813.00,2854.00,378400,2854.00
2013-08-22,2773.00,2825.00,2772.00,2814.00,441900,2814.00
2013-08-21,2779.00,2807.00,2758.00,2775.00,578300,2775.00
2013-08-20,2761.00,2768.38,2736.00,2767.00,335600,2767.00
2013-08-19,2764.00,2786.00,2760.00,2781.00,445400,2781.00
2013-08-16,2792.00,2801.00,2762.00,2776.00,411200,2776.00
2013-08-15,2808.00,2821.00,2784.00,2792.00,510000,2792.00
2013-08-14,2823.00,2838.00,2801.00,2805.00,356700,2805.00
2013-08-13,2780.00,2830.00,2774.70,2815.00,337700,2815.00
2013-08-12,2789.00,2796.00,2751.00,2776.00,399600,2776.00
2013-08-09,2793.00,2810.00,2780.00,2787.00,507000,2787.00
2013-08-08,2805.00,2842.00,2781.00,2786.00,519300,2786.00
2013-08-07,2852.00,2873.00,2811.00,2811.00,484100,2811.00
2013-08-06,2873.00,2897.28,2845.00,2860.00,716500,2860.00
2013-08-05,2882.00,2925.00,2874.57,2887.00,441400,2887.00
2013-08-02,2882.00,2894.00,2873.00,2886.00,377100,2886.00
2013-08-01,2835.00,2883.00,2834.00,2883.00,294400,2883.00
2013-07-31,2821.00,2855.00,2812.00,2835.00,688000,2835.00
2013-07-30,2790.00,2842.00,2790.00,2832.00,430200,2832.00
2013-07-29,2782.00,2796.00,2767.00,2778.00,295300,2778.00
2013-07-26,2772.00,2797.00,2768.00,2779.00,315300,2779.00
2013-07-25,2799.00,2815.00,2737.00,2761.00,530600,2761.00
2013-07-24,2742.00,2834.00,2742.00,2803.00,416300,2803.00
2013-07-23,2769.00,2802.00,2750.00,2750.00,350200,2750.00
2013-07-22,2759.00,2791.00,2749.00,2771.00,362400,2771.00
2013-07-19,2735.00,2768.00,2722.00,2762.00,440100,2762.00
2013-07-18,2745.00,2764.00,2727.27,2748.00,654200,2748.00
2013-07-17,2792.00,2793.00,2735.00,2757.00,614700,2757.00
2013-07-16,2847.00,2861.50,2799.00,2806.00,336100,2806.00
2013-07-15,2834.00,2869.00,2825.93,2836.00,251300,2836.00
2013-07-12,2807.00,2844.50,2807.00,2833.00,417900,2833.00
2013-07-11,2849.00,2876.00,2785.00,2807.00,512600,2807.00
2013-07-10,2805.00,2822.00,2775.00,2812.00,684500,2812.00
2013-07-09,2856.00,2856.00,2824.00,2834.00,406600,2834.00
2013-07-08,2778.00,2839.50,2772.00,2824.00,277800,2824.00
2013-07-05,2801.00,2819.00,2744.00,2761.00,529700,2761.00
2013-07-04,2676.00,2786.00,2676.00,2786.00,433600,2786.00
2013-07-03,2650.00,2673.00,2616.00,2668.00,379500,2668.00
2013-07-02,2695.00,2695.00,2661.00,2682.00,369800,2682.00
2013-07-01,2647.00,2689.00,2627.55,2686.00,392400,2686.00
2013-06-28,2610.00,2641.00,2609.60,2628.00,453200,2628.00
2013-06-27,2552.00,2618.00,2511.00,2610.00,486100,2610.00
2013-06-26,2545.00,2578.00,2523.35,2563.00,444800,2563.00
2013-06-25,2499.00,2543.00,2489.00,2541.00,467500,2541.00
2013-06-24,2529.00,2529.00,2470.00,2485.00,408700,2485.00
