Anglo American PLC,aal
Associated British Foods PLC,abf
Admiral Group PLC,adm
Aberdeen Asset Management PLC,adn
Aggreko PLC,agk
AMEC PLC,amec
Antofagasta PLC,anto
ARM Holdings PLC,arm
Aviva PLC,av
AstraZeneca PLC,azn
BAE Systems PLC,ba
Babcock International Group PLC,bab
Barclays PLC,barc
British American Tobacco PLC,bats
BG Group PLC,bg
British Land Co PLC,blnd
BHP Billiton PLC,blt
Bunzl PLC,bnzl
BP PLC,bp
Burberry Group PLC,brby
British Sky Broadcasting Group PLC,bsy
BT Group PLC,bt-a
COCA-COLA HBC N,cch
Carnival PLC,ccl
Centrica PLC,cna
Compass Group PLC,cpg
Capita PLC,cpi
Croda International PLC,crda
CRH PLC,crh
Diageo PLC,dge
Experian PLC,expn
easyJet PLC,ezj
Fresnillo PLC,fres
G4S PLC,gfs
GKN PLC,gkn
GLENCORE XSTRAT,glen
GlaxoSmithKline PLC,gsk
Hargreaves Lansdown PLC,hl
Hammerson PLC,hmso
HSBC Holdings PLC,hsba
INTL. CONS. AIR GRP,iag
InterContinental Hotels Group PLC,ihg
IMI PLC,imi
Imperial Tobacco Group PLC,imt
Intertek Group PLC,itrk
ITV PLC,itv
Johnson Matthey PLC,jmat
Kingfisher PLC,kgf
Land Securities Group PLC,land
Legal General Group PLC,lgen
Lloyds Banking Group PLC,lloy
London Stock Exchange Group PLC,lse
Meggitt PLC,mggt
Marks Spencer Group PLC,mks
Mondi PLC,mndi
Melrose PLC,mro
Wm Morrison Supermarkets PLC,mrw
National Grid PLC,ng
Next PLC,nxt
Old Mutual PLC,oml
Petrofac Ltd,pfc
Prudential PLC,pru
Persimmon PLC,psn
Pearson PLC,pson
Reckitt Benckiser Group PLC,rb
Royal Bank of Scotland Group PLC,rbs
Royal Dutch Shell PLC,rdsb
Reed Elsevier PLC,rel
REXAM PLC,rex
Rio Tinto PLC,rio
Rolls-Royce Group PLC,rr
Randgold Resources Ltd,rrs
RSA Insurance Group PLC,rsa
Resolution Ltd,rsl
SABMiller PLC,sab
Sainsbury (J) PLC,sbry
Schroders PLC,sdr
Sage Group (The) PLC,sge
Shire PLC,shp
Standard Life PLC,sl
Smiths Group PLC,smin
Smit  Nephew PLC,sn
Sports Direct International PLC,spd
SSE PLC,sse
Standard Chartered PLC,stan
Severn Trent PLC,svt
Tate  Lyle PLC,tate
Tullow Oil PLC,tlw
Travis Perkins PLC,tpk
Tesco PLC,tsco
TUI Travel PLC,tt
Unilever PLC,ulvr
United Utilities Group PLC,uu
Vedanta Resources PLC,ved
Vodafone Group PLC,vod
Weir Group PLC,weir
William Hill PLC,wmh
Wolseley PLC,wos
WPP PLC,wpp
Whitbread PLC,wtb
