Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,386.40,392.00,385.10,388.00,4357600,388.00
2013-11-18,388.10,391.90,385.70,389.30,3968700,389.30
2013-11-15,391.80,393.20,386.70,388.20,4111700,388.20
2013-11-14,393.50,394.10,382.80,390.30,4886600,390.30
2013-11-13,392.00,393.30,387.32,389.50,4532800,389.50
2013-11-12,386.00,394.58,386.00,392.50,5406200,392.50
2013-11-11,381.60,386.60,377.70,386.10,3844300,386.10
2013-11-08,378.10,381.10,376.10,380.00,4113500,380.00
2013-11-07,380.90,383.30,376.00,379.20,4574100,379.20
2013-11-06,376.50,380.30,376.00,379.40,3869800,379.40
2013-11-05,378.40,379.60,367.10,373.40,4253000,373.40
2013-11-04,382.00,382.10,376.30,376.50,2841700,376.50
2013-11-01,379.00,380.70,376.30,379.50,3627400,379.50
2013-10-31,381.30,381.60,376.30,377.50,8181700,377.50
2013-10-30,376.70,383.60,376.06,380.60,4673600,380.60
2013-10-29,373.10,376.80,366.60,375.10,5314700,375.10
2013-10-28,371.90,373.30,365.13,371.30,5164700,371.30
2013-10-25,367.80,370.10,364.30,370.10,4846600,370.10
2013-10-24,375.30,377.80,366.80,367.90,3882500,367.90
2013-10-23,374.30,377.60,371.40,373.00,4439400,373.00
2013-10-22,377.20,377.40,371.40,373.80,4802000,373.80
2013-10-21,380.30,383.20,375.30,377.50,5293100,377.50
2013-10-18,382.40,385.70,381.60,385.20,4329400,385.20
2013-10-17,378.40,379.70,373.60,379.40,3841600,379.40
2013-10-16,377.40,380.30,374.40,379.60,3657600,379.60
2013-10-15,375.60,379.60,375.30,379.00,4184800,379.00
2013-10-14,369.50,375.30,369.20,373.80,3123200,373.80
2013-10-11,373.30,373.30,369.20,370.20,4676400,370.20
2013-10-10,365.90,370.50,363.50,370.50,4269700,370.50
2013-10-09,357.70,368.60,357.70,364.80,8119000,364.80
2013-10-08,367.30,367.40,358.80,361.20,7834300,358.08
2013-10-07,367.00,369.30,359.30,368.00,8682700,364.82
2013-10-04,376.40,378.30,368.70,369.00,7874500,365.81
2013-10-03,375.80,380.70,375.80,380.00,4811500,376.72
2013-10-02,388.00,390.10,374.90,376.90,7624300,373.64
2013-10-01,390.10,392.10,384.50,389.50,6432100,386.14
2013-09-30,384.00,388.70,383.30,385.90,6189900,382.57
2013-09-27,391.80,392.50,385.50,387.50,4233000,384.15
2013-09-26,393.40,395.20,390.10,390.40,3918300,387.03
2013-09-25,395.30,395.50,391.40,391.80,5473900,388.42
2013-09-24,391.70,399.80,390.30,395.50,4395700,392.08
2013-09-23,402.20,402.20,391.40,392.10,4972400,388.71
