Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,965.00,965.50,959.00,963.50,1121900,955.90
2013-11-18,973.50,975.00,966.00,969.50,1406300,961.85
2013-11-15,976.00,977.79,968.50,977.50,1489500,969.79
2013-11-14,974.50,981.50,966.00,971.00,1322800,963.34
2013-11-13,972.00,974.00,956.50,967.00,2375300,959.37
2013-11-12,999.50,1009.00,967.00,974.00,2348400,966.32
2013-11-11,977.50,986.00,972.50,980.00,1247800,972.27
2013-11-08,965.50,976.00,964.50,975.00,1376900,967.31
2013-11-07,969.00,979.00,964.00,970.50,1692500,962.84
2013-11-06,980.00,980.00,967.50,972.00,1483200,964.33
2013-11-05,985.00,985.00,968.00,972.00,1913000,964.33
2013-11-04,984.00,990.00,979.01,985.00,1510700,977.23
2013-11-01,989.50,989.50,970.50,976.00,2182400,968.30
2013-10-31,995.00,997.00,984.00,988.50,1743000,980.70
2013-10-30,998.00,1001.00,991.00,995.00,1592300,987.15
2013-10-29,994.50,1000.00,991.50,999.00,1484900,991.12
2013-10-28,995.00,996.50,989.00,993.00,1020600,985.17
2013-10-25,994.00,1007.00,988.30,991.00,2263900,983.18
2013-10-24,987.50,1000.00,985.50,990.50,2422500,982.69
2013-10-23,976.50,987.00,976.50,987.00,1414800,979.21
2013-10-22,977.50,998.00,973.50,981.50,2026300,973.76
2013-10-21,978.00,980.50,971.50,978.50,1267300,970.78
2013-10-18,978.00,980.00,972.00,978.50,2223600,970.78
2013-10-17,964.50,973.00,960.50,973.00,1761500,965.33
2013-10-16,955.00,971.50,954.50,968.00,1942900,960.36
2013-10-15,956.00,962.00,954.50,958.00,957300,950.44
2013-10-14,941.00,958.50,940.00,952.50,1099000,944.99
2013-10-11,934.00,947.00,933.50,945.00,1493800,937.55
2013-10-10,918.50,936.00,917.50,932.00,1311100,924.65
2013-10-09,910.50,920.50,905.50,916.50,868700,909.27
2013-10-08,915.00,919.50,911.00,915.50,1411200,908.28
2013-10-07,916.00,921.00,910.66,914.50,909100,907.29
2013-10-04,917.00,927.50,915.53,920.50,1184200,913.24
2013-10-03,916.50,921.57,911.00,919.00,823900,911.75
2013-10-02,920.00,924.50,911.50,921.00,761300,913.74
2013-10-01,922.00,925.50,913.50,924.50,1564800,917.21
2013-09-30,915.50,921.75,911.50,919.00,1447700,911.75
2013-09-27,935.00,935.00,922.50,926.50,920300,919.19
2013-09-26,923.50,936.50,917.50,933.50,1350500,926.14
2013-09-25,925.50,928.50,915.00,922.00,799900,914.73
2013-09-24,920.00,932.00,920.00,927.00,1226600,919.69
2013-09-23,934.50,934.50,916.50,921.00,1414600,913.74
2013-09-20,926.00,941.08,924.50,932.00,3247900,924.65
2013-09-19,920.00,932.64,919.50,925.50,3353500,918.20
2013-09-18,920.00,924.00,896.00,901.50,2132700,894.39
2013-09-17,933.50,933.50,918.50,920.50,1293000,913.24
2013-09-16,934.50,934.50,921.00,929.00,1407300,921.67
2013-09-13,909.50,922.60,906.50,922.00,1269900,914.73
2013-09-12,905.00,910.00,896.50,908.50,1578900,901.33
2013-09-11,905.00,906.00,895.50,902.00,1325400,894.89
2013-09-10,900.00,915.16,900.00,907.50,1803000,892.80
2013-09-09,889.00,895.50,887.00,893.50,1209600,879.03
2013-09-06,878.00,887.00,875.00,884.00,1552000,869.68
2013-09-05,882.50,887.00,875.00,881.00,1329200,866.73
2013-09-04,881.00,882.00,864.00,878.00,1303300,863.78
2013-09-03,899.50,899.50,881.00,881.00,2394600,866.73
2013-09-02,896.00,911.00,892.00,908.50,1209700,893.79
2013-08-30,894.50,896.50,882.50,883.00,1666700,868.70
2013-08-29,894.50,895.00,877.71,888.00,1395500,873.62
2013-08-28,886.50,891.00,881.50,890.50,1485900,876.08
2013-08-27,900.50,900.50,886.50,886.50,1757800,872.14
2013-08-26,902.00,902.00,902.00,902.00,000,887.39
2013-08-23,889.00,910.50,884.00,902.00,2002000,887.39
2013-08-22,884.00,896.50,883.00,886.50,1711800,872.14
2013-08-21,892.50,897.50,886.06,886.50,1644700,872.14
2013-08-20,890.50,899.50,888.50,895.00,1149500,880.50
2013-08-19,907.00,910.50,891.50,894.00,1155500,879.52
2013-08-16,890.00,905.00,889.00,904.00,1517800,889.36
2013-08-15,915.00,919.00,888.50,892.00,1175000,877.55
2013-08-14,916.50,922.00,911.50,913.50,1315100,898.70
2013-08-13,913.50,923.00,910.00,916.50,1894900,901.66
