Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,210.10,211.30,209.00,210.50,8514200,210.50
2013-11-18,212.20,212.50,210.30,211.50,8400300,211.50
2013-11-15,212.50,213.10,210.80,212.90,6578700,212.90
2013-11-14,211.70,212.73,210.00,212.50,11061000,212.50
2013-11-13,211.00,211.66,208.10,209.70,9182800,209.70
2013-11-12,211.20,212.50,210.40,211.80,7164600,211.80
2013-11-11,210.60,211.40,208.70,211.30,7682600,211.30
2013-11-08,208.00,210.60,207.10,210.60,9198500,210.60
2013-11-07,210.10,210.90,208.23,209.00,13931600,209.00
2013-11-06,214.30,215.27,209.30,209.90,16245500,209.90
2013-11-05,217.80,218.22,210.20,213.10,14782000,213.10
2013-11-04,217.00,218.21,215.80,217.90,8760400,217.90
2013-11-01,216.50,219.40,214.80,216.20,9397200,216.20
2013-10-31,215.90,217.80,215.22,216.30,10643600,216.30
2013-10-30,215.20,216.93,214.50,215.40,12379200,215.40
2013-10-29,212.00,216.40,212.00,215.30,10945500,215.30
2013-10-28,213.90,213.90,211.50,212.00,8849900,212.00
2013-10-25,213.40,214.20,211.50,212.90,10738500,212.90
2013-10-24,213.60,215.83,212.80,214.10,13821500,214.10
2013-10-23,210.00,214.20,210.00,213.00,16589100,213.00
2013-10-22,207.20,211.40,207.20,210.00,12027300,210.00
2013-10-21,207.30,208.16,206.00,207.00,10476100,207.00
2013-10-18,205.90,207.60,204.67,207.30,10865700,207.30
2013-10-17,202.10,204.80,201.14,204.40,7967300,204.40
2013-10-16,200.20,203.70,200.10,202.80,6677300,202.80
2013-10-15,199.60,202.80,199.53,201.20,10861100,201.20
2013-10-14,195.10,199.50,194.60,198.60,10097100,198.60
2013-10-11,194.80,197.49,194.50,195.90,9442000,195.90
2013-10-10,187.10,194.80,187.00,194.50,18444500,194.50
2013-10-09,190.20,190.50,186.10,186.50,14268600,186.50
2013-10-08,195.00,195.80,190.50,190.70,11940900,190.70
2013-10-07,194.80,195.80,193.90,195.40,7003600,195.40
2013-10-04,194.50,196.74,194.50,195.50,10058800,195.50
2013-10-03,194.80,196.50,194.10,195.00,10614900,195.00
2013-10-02,196.40,197.90,194.60,195.80,11576700,195.80
2013-10-01,196.00,198.70,195.70,197.30,8041100,197.30
2013-09-30,196.20,197.50,195.60,196.20,12043000,196.20
