Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1573.00,1576.00,1570.00,1572.00,235400,1561.90
2013-11-18,1575.00,1593.00,1575.00,1585.00,259700,1574.82
2013-11-15,1569.00,1581.00,1564.00,1580.00,666300,1569.85
2013-11-14,1550.00,1578.00,1550.00,1561.00,461400,1550.97
2013-11-13,1598.00,1606.00,1538.00,1555.00,582200,1545.01
2013-11-12,1621.00,1626.00,1600.00,1605.00,197700,1594.69
2013-11-11,1617.00,1620.00,1609.00,1617.00,124500,1606.61
2013-11-08,1594.00,1609.00,1571.00,1608.00,418900,1597.67
2013-11-07,1626.00,1628.00,1600.00,1600.00,413200,1589.72
2013-11-06,1623.00,1632.00,1619.00,1625.00,280900,1614.56
2013-11-05,1632.00,1632.00,1590.00,1611.00,370700,1600.65
2013-11-04,1633.00,1644.00,1626.00,1626.00,299500,1615.55
2013-11-01,1645.00,1647.00,1622.00,1631.00,250800,1620.52
2013-10-31,1650.00,1659.00,1629.00,1642.00,756800,1631.45
2013-10-30,1670.00,1684.09,1634.00,1643.00,324400,1632.44
2013-10-29,1672.00,1672.60,1663.25,1671.00,190200,1660.26
2013-10-28,1706.00,1706.00,1666.01,1672.00,195500,1661.26
2013-10-25,1659.00,1682.00,1659.00,1682.00,318900,1671.19
2013-10-24,1664.00,1668.00,1653.00,1663.00,134100,1652.32
2013-10-23,1653.00,1665.00,1647.00,1665.00,189900,1654.30
2013-10-22,1645.00,1671.34,1644.00,1653.00,302600,1642.38
2013-10-21,1648.00,1651.00,1637.00,1647.00,145100,1636.42
2013-10-18,1656.00,1657.00,1636.00,1650.00,332100,1639.40
2013-10-17,1615.00,1650.00,1612.00,1650.00,340700,1639.40
2013-10-16,1607.00,1623.00,1594.00,1621.00,476500,1610.59
2013-10-15,1593.00,1621.00,1592.00,1620.00,525700,1609.59
2013-10-14,1569.00,1589.00,1558.00,1588.00,179100,1577.80
2013-10-11,1550.00,1578.00,1546.00,1577.00,196400,1566.87
2013-10-10,1517.00,1552.00,1510.00,1552.00,272400,1542.03
2013-10-09,1522.00,1525.00,1501.00,1510.00,263400,1500.30
2013-10-08,1532.00,1539.00,1516.00,1526.00,266500,1516.20
2013-10-07,1543.00,1543.00,1521.00,1537.00,294000,1527.12
2013-10-04,1543.00,1552.00,1542.00,1549.00,197700,1539.05
2013-10-03,1549.00,1562.00,1539.00,1548.00,258000,1538.05
2013-10-02,1563.00,1564.47,1547.00,1557.00,414300,1547.00
2013-10-01,1543.00,1569.00,1536.00,1567.00,389400,1556.93
2013-09-30,1548.00,1550.00,1520.00,1537.00,770100,1527.12
2013-09-27,1570.00,1574.00,1560.00,1566.00,279000,1555.94
2013-09-26,1584.00,1584.00,1556.00,1567.00,285000,1556.93
2013-09-25,1572.00,1590.00,1563.00,1568.00,316400,1557.93
2013-09-24,1564.00,1586.10,1557.00,1576.00,661300,1565.87
2013-09-23,1558.00,1591.46,1556.00,1559.00,831700,1548.98
2013-09-20,1595.00,1607.00,1558.00,1558.00,936300,1547.99
2013-09-19,1622.00,1626.00,1595.00,1600.00,691300,1589.72
2013-09-18,1620.00,1620.00,1598.00,1603.00,170600,1592.70
2013-09-17,1631.00,1635.00,1615.52,1616.00,228000,1605.62
2013-09-16,1642.00,1642.00,1622.00,1624.00,144000,1613.57
2013-09-13,1610.00,1624.00,1607.00,1622.00,180900,1611.58
2013-09-12,1619.00,1629.00,1602.00,1620.00,235500,1609.59
2013-09-11,1654.00,1665.00,1610.00,1618.00,272000,1607.60
2013-09-10,1620.00,1656.00,1618.00,1652.00,173700,1641.39
2013-09-09,1616.00,1619.00,1604.00,1612.00,169100,1601.64
2013-09-06,1596.00,1615.00,1582.00,1613.00,265300,1602.64
2013-09-05,1590.00,1613.00,1574.00,1601.00,573900,1590.71
2013-09-04,1573.00,1574.00,1556.00,1570.00,274600,1559.91
2013-09-03,1584.00,1587.00,1562.00,1574.00,355200,1563.89
2013-09-02,1568.00,1596.00,1568.00,1587.00,214000,1576.80
2013-08-30,1580.00,1580.00,1559.00,1560.00,321000,1549.98
2013-08-29,1569.00,1592.00,1565.00,1576.00,242000,1565.87
2013-08-28,1560.00,1567.00,1554.00,1562.00,233100,1551.96
2013-08-27,1594.00,1603.00,1559.00,1567.00,299600,1556.93
2013-08-26,1602.00,1602.00,1602.00,1602.00,000,1591.71
2013-08-23,1574.00,1610.00,1569.00,1602.00,216900,1591.71
2013-08-22,1559.00,1588.00,1553.00,1580.00,167500,1569.85
2013-08-21,1548.00,1574.00,1547.00,1566.00,306900,1555.94
2013-08-20,1540.00,1545.00,1522.00,1545.00,198100,1535.07
2013-08-19,1566.00,1573.00,1550.00,1555.00,186300,1545.01
2013-08-16,1555.00,1568.00,1552.00,1564.00,220200,1553.95
2013-08-15,1572.00,1578.00,1553.00,1557.00,368900,1547.00
2013-08-14,1559.00,1578.00,1559.00,1573.00,263900,1562.89
2013-08-13,1577.00,1580.00,1551.00,1561.00,300900,1550.97
2013-08-12,1608.00,1613.00,1565.00,1571.00,313500,1560.91
2013-08-09,1622.00,1626.00,1609.00,1614.00,211800,1603.63
2013-08-08,1606.00,1629.00,1606.00,1617.00,302400,1606.61
