Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,505.00,507.00,501.50,506.50,668700,506.50
2013-11-18,503.00,509.50,503.00,507.00,1478200,507.00
2013-11-15,510.00,513.50,504.50,505.00,1084600,505.00
2013-11-14,507.50,512.50,507.50,512.00,763400,512.00
2013-11-13,508.50,512.50,501.00,505.50,1065300,505.50
2013-11-12,510.50,512.50,508.11,510.50,1086800,510.50
2013-11-11,518.00,518.00,508.50,509.50,919300,509.50
2013-11-08,504.00,518.89,504.00,516.00,1821800,516.00
2013-11-07,502.50,517.89,500.00,507.50,2471700,507.50
2013-11-06,496.20,506.50,495.50,503.50,2297900,503.50
2013-11-05,494.00,498.00,490.20,493.50,3192500,493.50
2013-11-04,503.00,509.50,491.47,493.90,9140500,493.90
2013-11-01,525.00,535.50,507.00,509.00,6208100,509.00
2013-10-31,564.00,573.50,563.00,572.50,1152400,572.50
2013-10-30,563.00,567.00,563.00,566.50,751000,566.50
2013-10-29,559.00,563.06,558.00,563.00,421600,563.00
2013-10-28,559.50,561.50,553.50,558.00,654900,558.00
2013-10-25,560.00,564.00,559.10,561.50,986100,561.50
2013-10-24,553.50,563.00,551.00,562.00,886400,562.00
2013-10-23,552.00,556.50,549.00,554.00,732300,554.00
2013-10-22,547.50,553.00,543.50,550.00,584500,550.00
2013-10-21,547.00,552.00,545.50,547.50,882000,547.50
2013-10-18,542.00,545.50,535.50,545.50,913400,545.50
2013-10-17,538.50,541.50,533.00,539.00,555200,539.00
2013-10-16,540.50,548.00,533.50,546.00,1465300,546.00
2013-10-15,543.50,544.80,540.00,543.50,734000,543.50
2013-10-14,540.00,541.50,536.50,541.00,736600,541.00
2013-10-11,544.50,545.50,532.00,541.00,1435300,541.00
2013-10-10,529.00,550.00,529.00,546.00,1341900,546.00
2013-10-09,532.50,537.50,527.00,528.50,886500,528.50
2013-10-08,540.50,543.50,535.00,535.50,677300,535.50
2013-10-07,537.00,543.00,535.00,542.50,627200,542.50
2013-10-04,537.50,541.50,536.33,539.00,820100,539.00
2013-10-03,538.50,542.00,538.00,539.00,895300,539.00
2013-10-02,547.50,549.00,539.00,540.00,1027000,540.00
2013-10-01,550.50,554.00,549.00,549.50,700200,549.50
2013-09-30,551.50,551.50,546.50,549.00,851200,549.00
2013-09-27,556.00,559.00,553.50,555.50,791500,555.50
2013-09-26,553.00,557.50,552.00,555.00,515500,555.00
2013-09-25,556.00,557.00,549.00,553.50,696400,553.50
2013-09-24,550.50,558.00,549.00,557.00,701400,557.00
2013-09-23,555.50,555.50,546.50,550.50,707800,550.50
2013-09-20,551.50,554.00,549.00,552.50,1222400,552.50
2013-09-19,558.50,561.50,551.00,553.00,1282200,553.00
2013-09-18,550.00,552.50,547.50,551.50,907600,551.50
2013-09-17,562.00,564.00,549.34,549.50,1130600,549.50
2013-09-16,564.50,570.50,562.50,564.00,1260200,564.00
2013-09-13,552.50,560.04,552.00,556.00,721600,556.00
2013-09-12,551.50,556.00,547.50,553.00,905400,553.00
2013-09-11,552.50,556.00,549.36,552.50,778400,552.50
2013-09-10,546.00,556.50,546.00,554.50,1043900,554.50
2013-09-09,545.50,546.00,541.00,545.00,700300,545.00
2013-09-06,536.50,548.50,531.50,545.00,1609200,545.00
2013-09-05,526.50,536.50,526.00,533.00,1119800,533.00
2013-09-04,525.00,528.50,522.00,526.50,1468000,526.50
2013-09-03,531.00,531.50,523.00,526.50,1043800,526.50
2013-09-02,526.50,533.50,526.25,532.00,475500,532.00
2013-08-30,532.00,533.50,526.50,526.50,1949300,526.50
2013-08-29,526.50,532.00,524.50,531.00,1182700,531.00
2013-08-28,531.00,531.00,519.00,526.50,1190200,526.50
2013-08-27,534.50,542.00,531.50,532.50,946000,532.50
2013-08-26,538.50,538.50,538.50,538.50,000,538.50
2013-08-23,536.50,542.64,536.50,538.50,1278000,538.50
2013-08-22,534.00,545.00,531.50,538.50,1292400,538.50
2013-08-21,538.00,543.50,534.50,534.50,1093100,534.50
2013-08-20,534.50,547.00,532.50,537.50,1054000,537.50
2013-08-19,533.50,536.50,532.00,532.50,437800,532.50
2013-08-16,533.50,534.50,530.50,533.00,1108000,533.00
2013-08-15,536.50,541.00,530.86,533.50,1326000,533.50
2013-08-14,533.00,539.00,533.00,537.50,760900,537.50
2013-08-13,536.50,544.50,534.50,537.50,888000,533.55
2013-08-12,544.00,544.50,535.50,537.00,813400,533.05
2013-08-09,545.50,545.50,541.50,543.50,1116100,539.51
2013-08-08,542.50,546.00,538.00,543.50,1767500,539.51
2013-08-07,542.00,550.00,535.00,542.00,1418300,538.02
2013-08-06,554.00,575.00,541.00,544.00,2496200,540.00
2013-08-05,555.00,560.00,552.50,554.50,796000,550.43
2013-08-02,555.50,556.50,551.50,553.00,910900,548.94
2013-08-01,551.50,559.50,549.00,555.00,1258500,550.92
2013-07-31,545.00,552.00,541.50,547.50,1342100,543.48
2013-07-30,545.00,549.00,543.50,546.00,1123300,541.99
2013-07-29,544.00,549.00,541.00,543.00,1260100,539.01
2013-07-26,541.00,545.00,535.00,541.50,1446600,537.52
2013-07-25,541.50,544.50,534.50,538.00,1000000,534.05
2013-07-24,546.00,547.00,531.00,540.50,1195700,536.53
2013-07-23,550.00,553.50,547.00,547.00,1615000,542.98
2013-07-22,548.00,552.00,544.50,551.50,1244800,547.45
2013-07-19,547.50,551.50,545.50,548.00,1459400,543.97
