Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,501.50,501.50,492.80,495.10,2613300,495.10
2013-11-18,497.90,506.00,495.62,503.50,3492000,503.50
2013-11-15,497.40,503.60,494.40,498.50,3099600,498.50
2013-11-14,493.20,502.40,492.20,497.30,3282200,497.30
2013-11-13,491.10,496.20,487.40,489.20,4590300,489.20
2013-11-12,497.60,502.00,496.20,498.10,2787000,491.90
2013-11-11,502.50,503.50,499.30,499.30,2329400,493.09
2013-11-08,506.50,507.00,497.00,500.00,3260500,493.78
2013-11-07,500.50,515.00,496.95,508.50,3740500,502.17
2013-11-06,511.00,513.00,497.30,499.40,6712300,493.18
2013-11-05,495.70,511.00,488.00,509.00,6249800,502.66
2013-11-04,496.00,500.50,487.10,487.10,3784100,481.04
2013-11-01,505.00,505.35,494.50,494.70,3310800,488.54
2013-10-31,492.90,509.62,488.60,503.50,6692400,497.23
2013-10-30,488.00,497.20,487.80,493.20,4268800,487.06
2013-10-29,475.90,486.50,474.40,485.60,3087500,479.56
2013-10-28,477.40,480.00,475.00,475.00,2284100,469.09
2013-10-25,476.40,479.10,473.00,475.80,2638400,469.88
2013-10-24,485.00,487.70,475.10,476.70,3243200,470.77
2013-10-23,489.30,490.65,484.90,485.40,2268900,479.36
2013-10-22,486.30,490.90,485.10,488.60,2783600,482.52
2013-10-21,495.00,495.45,482.20,487.10,2977200,481.04
2013-10-18,491.00,495.80,489.59,495.10,3138200,488.94
2013-10-17,483.70,488.30,480.60,487.90,2260600,481.83
2013-10-16,481.20,487.80,478.70,485.80,3195300,479.75
2013-10-15,478.00,484.20,476.70,483.40,3056100,477.38
2013-10-14,476.90,479.60,475.30,475.60,2192500,469.68
2013-10-11,474.30,479.10,472.20,477.70,3094300,471.75
2013-10-10,470.10,474.20,467.70,473.00,4117800,467.11
2013-10-09,463.00,468.80,460.30,468.70,4004800,462.87
2013-10-08,470.00,472.60,462.37,463.80,8961100,458.03
2013-10-07,490.50,491.33,476.50,480.30,6637900,474.32
2013-10-04,496.70,498.60,493.90,494.00,2822700,487.85
2013-10-03,498.20,501.50,497.00,499.20,2055300,492.99
2013-10-02,498.90,502.00,496.40,499.20,2832200,492.99
2013-10-01,498.40,504.00,497.30,501.00,3645900,494.76
2013-09-30,490.60,497.00,490.60,496.60,2694300,490.42
2013-09-27,498.30,501.50,493.38,496.30,1591500,490.12
2013-09-26,495.10,498.80,493.60,497.00,2139700,490.81
2013-09-25,501.50,503.50,495.30,495.30,3407800,489.13
2013-09-24,500.00,507.50,500.00,503.50,1819300,497.23
2013-09-23,503.50,504.50,497.60,500.00,1890600,493.78
2013-09-20,508.50,512.50,502.50,503.50,4430400,497.23
2013-09-19,508.50,514.00,507.00,510.00,3211600,503.65
2013-09-18,508.50,510.55,501.00,504.00,2982900,497.73
2013-09-17,514.00,518.00,508.85,509.00,3819200,502.66
2013-09-16,517.50,520.50,512.50,513.50,3332300,507.11
2013-09-13,505.50,511.50,503.50,511.50,2438000,505.13
2013-09-12,509.00,513.14,503.50,506.00,3868400,499.70
2013-09-11,510.50,512.50,504.73,509.00,3078300,502.66
2013-09-10,503.00,515.50,501.86,510.50,3574200,504.15
2013-09-09,497.60,500.63,494.80,500.50,3305200,494.27
2013-09-06,493.60,502.50,493.39,498.70,6325000,492.49
2013-09-05,485.00,495.90,484.50,494.90,6045600,488.74
2013-09-04,480.50,481.70,476.50,478.70,4243300,472.74
2013-09-03,482.10,484.90,477.80,480.00,2070500,474.03
2013-09-02,473.60,485.80,473.60,482.50,2775400,476.49
2013-08-30,477.50,483.70,471.50,471.70,3314700,465.83
2013-08-29,476.00,479.20,475.20,477.00,3292700,471.06
2013-08-28,476.70,477.00,473.10,475.00,4870800,469.09
2013-08-27,478.70,487.00,476.90,479.10,8085600,473.14
2013-08-26,471.60,471.60,471.60,471.60,000,465.73
2013-08-23,458.90,473.10,458.30,471.60,3694500,465.73
2013-08-22,457.40,464.10,456.40,459.30,3341000,453.58
2013-08-21,460.40,464.60,456.70,457.00,2631700,451.31
2013-08-20,456.80,463.00,455.40,459.90,2985300,454.18
2013-08-19,453.40,463.00,453.23,459.50,3473300,453.78
2013-08-16,454.00,457.40,450.30,453.30,3221600,447.66
2013-08-15,467.00,468.50,451.50,454.20,3923400,448.55
2013-08-14,472.10,474.70,466.30,467.30,3467700,461.48
2013-08-13,471.40,478.12,469.90,472.60,2314200,466.72
2013-08-12,477.30,477.76,469.00,470.70,2036500,464.84
2013-08-09,487.70,488.72,472.80,476.40,3364500,470.47
2013-08-08,483.70,487.70,482.90,486.10,2436800,480.05
2013-08-07,483.30,490.40,481.20,482.10,2653700,476.10
2013-08-06,482.30,488.60,480.80,483.60,2229000,477.58
2013-08-05,489.60,491.70,482.60,483.40,2358300,477.38
2013-08-02,486.00,490.12,481.60,488.80,2415400,482.72
2013-08-01,483.10,487.60,481.30,485.10,3153600,479.06
2013-07-31,477.40,483.00,476.50,481.50,3793600,475.51
2013-07-30,476.00,480.40,476.00,476.40,2442200,470.47
2013-07-29,471.90,477.50,469.50,472.60,2454800,466.72
2013-07-26,480.40,482.20,469.30,469.80,3563600,463.95
2013-07-25,483.00,484.80,476.10,478.60,3189300,472.64
2013-07-24,481.80,486.50,481.20,485.40,2382100,479.36
2013-07-23,486.20,487.00,477.50,481.70,3023200,475.70
2013-07-22,485.90,485.90,482.20,482.50,1961300,476.49
2013-07-19,480.90,485.30,476.80,484.10,4388500,478.07
2013-07-18,473.00,485.10,471.76,482.40,6152000,476.40
2013-07-17,462.60,474.50,456.83,473.60,5478400,467.70
2013-07-16,470.60,471.20,459.20,460.50,3321000,454.77
2013-07-15,465.10,472.20,464.60,469.00,3695100,463.16
2013-07-12,464.40,468.30,464.40,466.10,4132300,460.30
2013-07-11,458.90,463.90,453.70,463.90,4617100,458.13
2013-07-10,452.10,455.00,446.80,452.80,4343600,447.16
2013-07-09,460.50,464.80,448.20,453.20,10714400,447.56
2013-07-08,466.60,470.10,458.80,459.70,3481800,453.98
2013-07-05,459.10,468.90,456.60,462.70,5008800,456.94
2013-07-04,444.30,461.50,442.38,459.80,4820300,454.08
2013-07-03,435.80,443.40,434.12,441.30,2703400,435.81
2013-07-02,443.40,443.50,434.30,439.60,2283900,434.13
2013-07-01,434.90,442.50,433.00,442.10,3035800,436.60
2013-06-28,431.80,434.60,428.60,430.70,3765800,425.34
2013-06-27,427.20,435.30,425.30,432.70,2976500,427.31
2013-06-26,426.70,435.60,426.30,427.70,4636000,422.38
2013-06-25,419.30,426.20,418.40,426.00,3426000,420.70
2013-06-24,417.90,420.10,414.70,417.80,4150100,412.60
2013-06-21,432.50,432.50,418.16,418.20,9470600,412.99
2013-06-20,437.70,438.40,429.87,430.00,4727600,424.65
2013-06-19,446.40,447.70,438.20,442.30,4339900,436.79
2013-06-18,448.80,450.30,444.20,445.40,3908700,439.86
2013-06-17,448.50,457.63,448.30,449.40,3752900,443.81
2013-06-14,445.10,453.30,441.89,448.40,4065200,442.82
2013-06-13,433.70,443.80,431.00,442.80,3974600,437.29
2013-06-12,445.60,446.30,438.20,439.60,4580400,434.13
2013-06-11,450.70,453.80,440.90,445.70,4458200,440.15
2013-06-10,451.50,456.30,448.97,451.40,4559800,445.78
2013-06-07,443.30,455.30,438.00,452.40,4507600,446.77
2013-06-06,453.10,456.07,441.90,442.10,5851700,436.60
2013-06-05,462.80,462.90,451.71,453.40,25303400,447.76
2013-06-04,468.50,469.40,462.40,466.30,3487700,460.50
2013-06-03,470.40,471.50,466.00,466.80,3463800,460.99
2013-05-31,474.60,479.70,467.90,470.90,4520300,465.04
2013-05-30,470.80,482.40,467.40,475.70,3923300,469.78
2013-05-29,472.90,480.90,467.98,472.00,6992200,466.12
2013-05-28,484.50,491.14,481.67,485.00,6666700,468.30
2013-05-27,475.00,475.00,475.00,475.00,000,458.64
2013-05-24,479.70,482.70,474.13,475.00,7937100,458.64
2013-05-23,468.70,473.60,464.60,472.10,5393700,455.84
2013-05-22,470.00,479.72,466.40,475.20,9709500,458.83
2013-05-21,439.00,471.90,438.21,467.90,11714200,451.79
2013-05-20,451.40,451.60,439.70,440.50,5799300,425.33
2013-05-17,439.40,452.60,439.40,451.00,4959300,435.47
2013-05-16,436.60,442.20,436.15,440.70,5062100,425.52
