Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1018.00,1021.00,1009.00,1011.00,513000,1011.00
2013-11-18,1016.00,1027.00,1010.00,1025.00,735000,1025.00
2013-11-15,1000.00,1020.10,991.50,1019.00,1241500,1019.00
2013-11-14,1022.00,1027.00,987.00,996.00,1622800,996.00
2013-11-13,1043.00,1049.00,1008.00,1010.00,2342100,1010.00
2013-11-12,1049.00,1050.00,1037.00,1045.00,1557800,1045.00
2013-11-11,1028.00,1050.00,1026.00,1049.00,1330000,1049.00
2013-11-08,1018.00,1023.00,1009.00,1019.00,2049800,1019.00
2013-11-07,1070.00,1071.00,1022.00,1025.00,1712300,1025.00
2013-11-06,1112.00,1120.00,1063.00,1070.00,2978100,1070.00
2013-11-05,1127.00,1127.00,1106.00,1116.00,1947200,1116.00
2013-11-04,1115.00,1128.00,1105.00,1122.00,717000,1122.00
2013-11-01,1111.00,1119.00,1103.00,1108.00,670400,1108.00
2013-10-31,1115.00,1120.01,1110.00,1114.00,804500,1114.00
2013-10-30,1112.00,1125.00,1110.00,1120.00,702700,1120.00
2013-10-29,1101.00,1114.00,1094.00,1107.00,902400,1107.00
2013-10-28,1120.00,1128.00,1097.00,1101.00,811900,1101.00
2013-10-25,1110.00,1116.00,1108.00,1115.00,693300,1115.00
2013-10-24,1110.00,1131.00,1108.00,1116.00,1881000,1116.00
2013-10-23,1110.00,1111.00,1102.00,1109.00,2827900,1109.00
2013-10-22,1107.00,1118.00,1100.00,1112.00,831300,1112.00
2013-10-21,1094.00,1110.00,1090.00,1110.00,741900,1110.00
2013-10-18,1104.00,1104.00,1088.00,1096.00,815500,1096.00
2013-10-17,1087.00,1102.00,1087.00,1096.00,751700,1096.00
2013-10-16,1084.00,1098.00,1072.00,1094.00,1294200,1094.00
2013-10-15,1080.00,1090.00,1066.00,1084.00,819100,1084.00
2013-10-14,1044.00,1084.00,1043.00,1066.00,969700,1066.00
2013-10-11,1054.00,1061.00,1052.00,1052.00,723000,1052.00
2013-10-10,1025.00,1052.00,1021.00,1050.00,937300,1050.00
2013-10-09,1032.00,1043.00,1017.00,1022.00,903200,1022.00
2013-10-08,1065.00,1067.00,1036.00,1038.00,839200,1038.00
2013-10-07,1055.00,1071.00,1055.00,1065.00,919100,1065.00
2013-10-04,1041.00,1063.00,1039.00,1061.00,1026500,1061.00
2013-10-03,1053.00,1059.00,1041.00,1045.00,780300,1045.00
2013-10-02,1034.00,1044.00,1029.00,1043.00,738700,1043.00
2013-10-01,1046.00,1057.00,1031.00,1037.00,2195900,1037.00
2013-09-30,1037.00,1048.00,1029.52,1043.00,1144200,1043.00
2013-09-27,1061.00,1061.00,1038.66,1048.00,698400,1048.00
2013-09-26,1069.00,1075.00,1052.00,1066.00,651000,1066.00
2013-09-25,1070.00,1088.00,1062.00,1068.00,933000,1068.00
2013-09-24,1059.00,1078.00,1044.00,1077.00,753900,1077.00
2013-09-23,1058.00,1062.00,1043.00,1059.00,847800,1059.00
2013-09-20,1082.00,1083.00,1051.00,1055.00,10180600,1055.00
2013-09-19,1114.00,1114.00,1078.00,1084.00,1224900,1084.00
2013-09-18,1100.00,1100.00,1083.00,1090.00,739600,1090.00
2013-09-17,1102.00,1102.00,1093.00,1101.00,1282300,1101.00
2013-09-16,1100.00,1111.00,1098.00,1100.00,1253400,1100.00
2013-09-13,1096.00,1098.20,1087.00,1093.00,1147800,1093.00
2013-09-12,1100.00,1112.00,1096.00,1097.00,912100,1097.00
2013-09-11,1098.00,1117.00,1089.64,1102.00,1364400,1102.00
2013-09-10,1088.00,1107.00,1077.00,1095.00,1485600,1095.00
2013-09-09,1068.00,1078.00,1059.00,1078.00,748300,1078.00
2013-09-06,1055.00,1075.00,1046.00,1070.00,915900,1070.00
2013-09-05,1047.00,1055.00,1039.00,1055.00,758200,1055.00
2013-09-04,1045.00,1050.00,1028.00,1046.00,751500,1046.00
2013-09-03,1022.00,1042.00,1011.00,1038.00,872600,1038.00
2013-09-02,1008.00,1025.00,1008.00,1022.00,888100,1022.00
2013-08-30,1001.00,1007.00,987.00,994.50,810400,994.50
2013-08-29,1000.00,1012.00,988.50,997.50,1127900,997.50
2013-08-28,1022.00,1025.00,987.50,989.00,1520700,989.00
2013-08-27,1055.00,1058.00,1023.00,1028.00,2995700,1028.00
2013-08-26,1058.00,1058.00,1058.00,1058.00,000,1058.00
2013-08-23,1029.00,1061.00,1029.00,1058.00,560400,1058.00
2013-08-22,1016.00,1034.00,1013.00,1033.00,591500,1033.00
2013-08-21,1009.00,1020.00,1007.00,1015.00,528400,1015.00
2013-08-20,1015.00,1027.00,1007.00,1026.00,630900,1016.45
2013-08-19,1034.00,1035.00,1021.00,1027.00,450000,1017.44
2013-08-16,1016.00,1035.10,1016.00,1035.00,549600,1025.37
2013-08-15,1035.00,1042.00,1015.50,1021.00,478800,1011.50
2013-08-14,1044.00,1044.00,1033.00,1036.00,730900,1026.36
2013-08-13,1032.00,1044.00,1026.00,1034.00,1106600,1024.38
2013-08-12,1055.00,1055.00,1033.00,1033.00,782500,1023.38
2013-08-09,1022.00,1056.00,1022.00,1053.00,670300,1043.20
2013-08-08,990.00,1031.00,990.00,1017.00,992500,1007.53
2013-08-07,983.00,993.50,976.36,985.50,884900,976.33
2013-08-06,981.50,994.50,977.50,987.50,1220200,978.31
2013-08-05,981.50,991.00,979.50,985.50,1656600,976.33
2013-08-02,1000.00,1000.00,976.50,981.00,1047500,971.87
2013-08-01,980.50,995.50,978.50,990.50,1464200,981.28
2013-07-31,977.00,981.00,963.86,979.00,1659600,969.89
2013-07-30,940.00,978.50,940.00,977.50,1167300,968.40
2013-07-29,912.50,921.00,909.00,920.00,295500,911.44
2013-07-26,926.00,930.00,908.00,912.00,445100,903.51
2013-07-25,925.00,928.50,917.00,923.00,487000,914.41
2013-07-24,918.00,933.50,918.00,928.00,728900,919.36
2013-07-23,918.00,927.50,916.50,918.00,527800,909.46
2013-07-22,911.00,922.50,910.00,915.50,414100,906.98
2013-07-19,913.50,918.50,906.50,912.50,466400,904.01
2013-07-18,920.00,921.98,910.50,917.50,685400,908.96
2013-07-17,922.00,924.50,898.50,920.00,692200,911.44
2013-07-16,902.50,922.00,899.00,920.00,1240400,911.44
2013-07-15,891.00,913.00,882.00,904.50,1017200,896.08
2013-07-12,895.50,910.00,895.50,903.50,780200,895.09
2013-07-11,903.50,914.00,893.00,897.50,910300,889.15
2013-07-10,882.00,894.00,874.50,887.50,723800,879.24
2013-07-09,870.00,893.00,869.00,884.50,867700,876.27
2013-07-08,846.50,865.00,841.50,861.00,593800,852.99
2013-07-05,850.00,864.50,841.00,842.00,723500,834.16
2013-07-04,813.50,849.50,813.50,847.50,916300,839.61
2013-07-03,832.50,834.50,808.50,810.50,1579100,802.96
2013-07-02,835.50,842.50,828.00,842.00,848900,834.16
2013-07-01,823.00,834.50,806.50,834.50,1071700,826.73
2013-06-28,812.50,823.50,811.50,818.00,1203800,810.39
2013-06-27,794.00,812.00,794.00,810.00,1426800,802.46
2013-06-26,779.50,799.00,772.50,796.00,894800,788.59
