Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,301.70,306.47,301.40,303.80,1333500,303.80
2013-11-18,304.40,308.68,299.61,304.50,2280000,304.50
2013-11-15,309.50,313.10,305.50,306.10,1399800,306.10
2013-11-14,313.20,315.60,307.80,310.20,1345800,310.20
2013-11-13,313.70,318.41,308.40,309.10,1274000,309.10
2013-11-12,318.40,318.40,314.80,316.20,669000,316.20
2013-11-11,319.90,321.20,315.80,317.50,568100,317.50
2013-11-08,314.30,317.30,310.73,317.00,1223000,317.00
2013-11-07,317.60,323.40,315.30,316.00,1688300,316.00
2013-11-06,318.60,320.00,316.39,318.80,1198900,318.80
2013-11-05,321.50,321.50,313.27,316.60,1747900,316.60
2013-11-04,317.60,322.40,317.60,319.50,738900,319.50
2013-11-01,321.00,321.00,317.10,317.80,876900,317.80
2013-10-31,322.20,322.20,318.30,320.20,2043500,320.20
2013-10-30,316.40,323.20,316.40,321.70,3840900,321.70
2013-10-29,314.90,317.18,313.50,316.80,1084500,316.80
2013-10-28,314.30,315.00,310.80,313.40,1150500,313.40
2013-10-25,314.30,316.60,312.60,315.40,888100,315.40
2013-10-24,314.50,316.90,313.30,316.40,887200,316.40
2013-10-23,312.80,315.70,311.50,314.60,978500,314.60
2013-10-22,307.80,313.74,307.80,312.00,1167600,312.00
2013-10-21,308.40,312.30,306.12,309.20,1197700,309.20
2013-10-18,299.50,308.46,299.50,306.60,1923700,306.60
2013-10-17,301.50,302.52,296.90,300.60,1904900,300.60
2013-10-16,300.90,304.20,298.70,303.60,1170300,303.60
2013-10-15,301.90,304.70,301.90,303.50,1406900,303.50
2013-10-14,293.20,300.50,292.50,300.00,1389300,300.00
2013-10-11,289.50,297.00,289.50,296.00,966400,296.00
2013-10-10,284.60,296.42,219.90,295.20,3480100,295.20
2013-10-09,290.90,294.40,287.50,290.10,1850000,290.10
2013-10-08,301.10,304.40,292.90,292.90,1311800,292.90
2013-10-07,295.20,298.16,292.80,296.60,872400,296.60
2013-10-04,294.20,298.12,294.20,296.50,1413700,296.50
2013-10-03,297.90,301.70,296.10,296.10,1460100,296.10
2013-10-02,299.20,301.00,296.30,298.20,1316300,298.20
2013-10-01,301.00,302.70,298.10,302.50,1064200,302.50
2013-09-30,294.40,299.80,292.80,299.80,2036100,299.80
2013-09-27,301.30,302.70,298.20,299.20,1220600,299.20
2013-09-26,302.40,304.70,300.00,302.60,762500,302.60
2013-09-25,302.30,304.80,302.00,303.40,712300,303.40
2013-09-24,302.00,303.80,300.31,303.60,954800,303.60
2013-09-23,303.00,304.30,301.20,302.00,1528800,302.00
2013-09-20,301.70,306.80,301.70,304.50,1802400,304.50
2013-09-19,304.90,308.40,302.90,303.50,1667800,303.50
2013-09-18,303.70,304.90,300.20,302.80,1449300,302.80
2013-09-17,306.40,309.80,303.71,303.80,1512400,301.05
2013-09-16,308.80,312.50,307.40,308.50,952500,305.71
2013-09-13,304.30,308.10,303.50,306.80,1528000,304.02
2013-09-12,305.60,309.44,302.20,307.00,2426400,304.22
2013-09-11,309.70,312.70,309.60,312.70,2321500,309.87
2013-09-10,304.50,311.00,304.10,310.50,2056600,307.69
2013-09-09,302.60,304.40,301.60,303.70,1695600,300.95
2013-09-06,302.90,304.49,298.90,302.50,2483800,299.76
2013-09-05,297.00,303.00,296.20,303.00,2077000,300.26
2013-09-04,300.70,301.40,296.90,300.70,1280900,297.98
2013-09-03,297.90,301.13,296.30,300.80,1635100,298.08
2013-09-02,295.10,299.49,295.10,298.00,2460100,295.30
