Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,268.00,268.90,266.04,268.40,5289200,268.40
2013-11-18,267.60,269.50,266.50,268.90,4893600,268.90
2013-11-15,267.00,269.10,264.80,267.30,9304700,267.30
2013-11-14,275.40,276.10,265.45,266.20,14270400,266.20
2013-11-13,275.00,275.70,273.80,274.00,6780900,274.00
2013-11-12,275.30,276.28,274.40,274.80,5635300,274.80
2013-11-11,278.00,279.00,275.30,275.70,7857100,275.70
2013-11-08,279.20,280.17,277.60,278.40,8183200,278.40
2013-11-07,280.00,281.90,277.10,280.10,11634000,280.10
2013-11-06,280.60,282.10,280.00,281.00,7033200,281.00
2013-11-05,281.60,281.80,278.60,280.20,4316200,280.20
2013-11-04,282.40,282.40,280.00,281.00,4818000,281.00
2013-11-01,282.30,282.55,280.10,281.50,3621400,281.50
2013-10-31,285.40,286.73,280.60,281.60,8985500,281.60
2013-10-30,286.10,287.90,284.33,285.40,6216800,285.40
2013-10-29,285.30,287.40,284.52,286.50,6725000,286.50
2013-10-28,283.10,284.80,281.20,284.50,6045700,284.50
2013-10-25,283.10,284.49,280.90,282.00,5633500,282.00
2013-10-24,282.90,284.60,281.70,282.30,4938100,282.30
2013-10-23,284.10,284.50,280.60,283.10,10882000,283.10
2013-10-22,281.30,285.20,281.10,283.70,6300600,283.70
2013-10-21,280.00,282.30,278.30,282.00,6023500,282.00
2013-10-18,284.50,285.60,281.00,282.50,10000200,282.50
2013-10-17,280.20,285.20,279.90,283.50,7574300,283.50
2013-10-16,281.70,282.40,279.61,281.10,6142700,281.10
2013-10-15,280.40,284.70,280.40,281.70,7151300,281.70
2013-10-14,274.70,280.83,274.70,279.40,5586700,279.40
2013-10-11,276.00,276.10,274.60,275.60,3668000,275.60
2013-10-10,275.30,276.40,274.50,275.00,4882300,275.00
2013-10-09,273.80,275.10,272.90,274.40,4252400,274.40
2013-10-08,276.80,276.91,274.10,274.10,5519000,274.10
2013-10-07,278.40,279.20,275.07,276.60,2926700,276.60
2013-10-04,276.50,281.40,276.40,278.50,6145300,278.50
2013-10-03,274.40,277.90,274.10,276.10,6919400,276.10
2013-10-02,276.40,276.40,273.40,274.80,6557600,274.80
2013-10-01,280.10,280.60,279.17,279.80,5501200,275.96
2013-09-30,279.10,281.00,278.60,280.00,7846100,276.16
2013-09-27,284.80,285.50,279.60,280.00,8149700,276.16
2013-09-26,285.90,286.00,284.10,285.00,5086200,281.09
2013-09-25,287.80,287.80,284.20,285.00,5801800,281.09
2013-09-24,289.50,290.10,286.80,287.60,9522200,283.65
2013-09-23,289.00,290.15,288.00,289.30,3939800,285.33
2013-09-20,291.80,293.10,287.90,288.60,10615200,284.64
2013-09-19,294.00,295.00,291.50,292.50,6024300,288.49
2013-09-18,295.00,295.00,290.60,291.50,7513400,287.50
2013-09-17,296.50,299.00,294.70,294.90,6244800,290.85
2013-09-16,297.60,297.70,294.20,296.40,5526300,292.33
2013-09-13,299.00,301.21,293.10,295.30,8417600,291.25
2013-09-12,296.00,312.30,295.00,302.50,19805500,298.35
2013-09-11,295.00,297.30,293.79,297.20,4540900,293.12
2013-09-10,293.00,297.00,293.00,294.50,4977300,290.46
