Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,775.00,784.50,774.00,779.50,4668000,765.01
2013-11-18,772.00,779.50,766.00,774.50,4899600,760.10
2013-11-15,779.00,781.49,773.00,774.00,4952200,759.61
2013-11-14,782.50,783.68,774.62,781.50,6456500,766.97
2013-11-13,777.00,784.14,771.50,776.50,7019300,762.07
2013-11-12,776.50,781.00,771.29,781.00,4840600,766.48
2013-11-11,774.50,780.00,771.50,778.00,4827100,763.54
2013-11-08,772.00,781.00,768.00,774.00,6909400,759.61
2013-11-07,786.00,786.00,772.50,775.50,5683000,761.08
2013-11-06,786.50,788.00,777.50,783.50,5760900,768.94
2013-11-05,783.50,789.50,777.10,788.00,5591800,773.35
2013-11-04,780.50,788.00,776.62,780.50,4814200,765.99
2013-11-01,787.00,789.50,778.50,780.50,5358600,765.99
2013-10-31,784.50,788.50,780.17,784.50,6890900,769.92
2013-10-30,788.50,792.16,783.50,786.00,4527400,771.39
2013-10-29,787.50,790.50,782.56,788.00,4074900,773.35
2013-10-28,785.00,787.00,779.00,783.50,3654800,768.94
2013-10-25,776.50,783.82,776.00,782.00,4084300,767.46
2013-10-24,780.00,782.50,777.00,779.00,4351700,764.52
2013-10-23,771.50,778.50,768.46,776.50,5880800,762.07
2013-10-22,763.00,772.50,758.00,772.00,6620500,757.65
2013-10-21,764.50,770.50,761.00,766.00,5524100,751.76
2013-10-18,755.00,761.00,749.00,760.50,6907600,746.36
2013-10-17,750.00,755.04,748.37,751.50,4363800,737.53
2013-10-16,757.00,758.00,748.00,752.00,5690400,738.02
2013-10-15,754.00,758.81,750.00,757.00,4199400,742.93
2013-10-14,749.00,756.31,749.00,750.50,3692900,736.55
2013-10-11,750.50,751.00,742.28,748.00,4535900,734.10
2013-10-10,745.00,747.50,735.00,746.50,5559600,732.62
2013-10-09,733.00,745.50,729.50,743.50,6002900,729.68
2013-10-08,742.00,745.18,734.50,735.50,8834600,721.83
2013-10-07,740.50,744.21,736.36,740.50,3518400,726.73
2013-10-04,739.50,746.50,737.00,743.50,4199100,729.68
2013-10-03,745.50,746.50,736.50,739.50,4740900,725.75
2013-10-02,729.00,746.50,725.16,743.00,6875200,729.19
2013-10-01,730.50,732.89,727.50,731.00,4034400,717.41
2013-09-30,732.50,739.11,727.45,730.50,6860800,716.92
2013-09-27,743.00,744.89,735.50,739.00,4208100,725.26
2013-09-26,740.50,746.50,735.50,743.00,6057300,729.19
2013-09-25,747.50,753.50,730.50,737.50,8246100,723.79
2013-09-24,747.50,750.00,744.00,746.50,3866600,732.62
2013-09-23,740.00,749.50,740.00,747.00,5336300,733.11
2013-09-20,757.00,767.00,756.60,758.50,13154800,744.40
2013-09-19,758.00,768.00,756.53,761.50,8553700,747.34
2013-09-18,749.00,751.00,741.00,747.50,5450000,733.60
2013-09-17,746.50,756.08,746.00,747.50,6652200,733.60
2013-09-16,744.00,750.57,741.68,746.00,4035200,732.13
2013-09-13,743.00,748.18,739.50,741.50,5067800,727.72
2013-09-12,738.50,745.06,737.00,743.00,4675600,729.19
2013-09-11,740.00,746.97,736.50,739.00,5291900,725.26
2013-09-10,740.50,744.94,735.12,737.00,5855100,723.30
2013-09-09,742.50,745.00,730.18,737.00,11384000,723.30
2013-09-06,737.00,745.50,733.97,742.00,4241700,728.21
2013-09-05,740.50,744.50,731.50,738.50,5354800,724.77
2013-09-04,748.00,748.50,735.50,737.00,5885500,723.30
2013-09-03,752.00,757.00,744.50,747.00,4700100,733.11
2013-09-02,745.50,754.50,745.50,751.50,2414700,737.53
2013-08-30,747.50,749.47,741.18,742.50,7103400,728.70
2013-08-29,742.00,753.00,739.00,747.00,4270100,733.11
2013-08-28,740.00,745.00,735.50,742.50,4510300,728.70
2013-08-27,745.00,745.50,734.61,740.00,5088100,726.24
2013-08-26,742.50,742.50,742.50,742.50,000,728.70
2013-08-23,739.00,744.75,738.00,742.50,4650000,728.70
2013-08-22,741.00,746.97,733.50,737.50,4794100,723.79
2013-08-21,744.00,744.50,738.00,740.00,7996300,726.24
2013-08-20,730.00,744.94,727.50,743.50,5568300,729.68
2013-08-19,736.00,738.88,732.50,733.50,4278300,719.87
2013-08-16,740.00,766.36,734.00,736.00,7768900,722.32
2013-08-15,750.50,754.50,738.50,740.00,7127400,726.24
2013-08-14,758.00,762.08,748.00,749.00,5120300,735.08
2013-08-13,759.50,764.50,752.50,758.50,4188600,744.40
2013-08-12,768.00,768.50,755.50,758.00,4987500,743.91
2013-08-09,772.50,774.00,766.00,768.00,3674900,753.72
2013-08-08,773.50,775.50,766.50,769.50,5737500,755.20
2013-08-07,779.00,783.00,769.50,771.50,5654500,757.16
2013-08-06,782.00,785.00,775.32,781.00,6581300,766.48
2013-08-05,785.00,791.50,779.00,780.00,3918500,765.50
2013-08-02,793.00,817.75,781.50,783.50,4224800,768.94
2013-08-01,790.00,817.11,788.00,790.50,5354700,775.81
2013-07-31,769.50,791.00,768.50,786.50,7747600,771.88
2013-07-30,766.50,779.09,765.50,769.50,5939400,755.20
2013-07-29,764.50,774.50,760.36,763.00,3926500,748.82
