Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,5490.00,5490.00,5460.00,5470.00,161200,5434.00
2013-11-18,5470.00,5515.00,5440.00,5490.00,248700,5453.87
2013-11-15,5465.00,5505.00,5435.00,5495.00,213500,5458.84
2013-11-14,5470.00,5520.00,5470.00,5485.00,159100,5448.90
2013-11-13,5475.00,5480.00,5425.00,5450.00,236700,5414.13
2013-11-12,5480.00,5500.00,5453.60,5480.00,166100,5443.93
2013-11-11,5525.00,5539.90,5465.00,5480.00,156200,5443.93
2013-11-08,5525.00,5525.00,5455.00,5505.00,295800,5468.77
2013-11-07,5535.00,5605.00,5510.00,5540.00,269200,5503.54
2013-11-06,5515.00,5555.00,5515.00,5535.00,295600,5498.57
2013-11-05,5525.00,5535.00,5464.45,5510.00,257200,5473.74
2013-11-04,5515.00,5555.00,5495.00,5515.00,274800,5478.70
2013-11-01,5455.00,5515.00,5425.00,5475.00,287400,5438.97
2013-10-31,5495.00,5550.00,5380.00,5445.00,522500,5409.16
2013-10-30,5385.00,5620.00,5385.00,5450.00,1133400,5414.13
2013-10-29,5235.00,5250.00,5185.00,5205.00,1060700,5170.74
2013-10-28,5210.00,5235.00,5200.00,5215.00,173900,5180.68
2013-10-25,5210.00,5240.00,5170.00,5205.00,372300,5170.74
2013-10-24,5245.00,5265.00,5195.00,5210.00,222400,5175.71
2013-10-23,5230.00,5270.00,5225.00,5250.00,308200,5215.45
2013-10-22,5195.00,5250.00,5190.00,5225.00,280300,5190.61
2013-10-21,5165.00,5205.00,5155.00,5190.00,251500,5155.84
2013-10-18,5165.00,5180.00,5125.00,5160.00,326000,5126.04
2013-10-17,5085.00,5155.00,5060.00,5150.00,319300,5116.11
2013-10-16,5050.00,5121.30,5015.00,5120.00,277100,5086.30
2013-10-15,5040.00,5080.00,5039.35,5070.00,195200,5036.63
2013-10-14,5055.00,5075.00,5010.00,5025.00,151800,4991.93
2013-10-11,4977.00,5060.00,4954.00,5040.00,323400,5006.83
2013-10-10,4928.00,4978.00,4911.00,4960.00,382400,4927.36
2013-10-09,4937.00,4955.00,4916.00,4940.00,402000,4907.49
2013-10-08,5020.00,5020.00,4908.00,4955.00,419200,4922.39
2013-10-07,5070.00,5080.00,4985.00,5030.00,391000,4996.90
2013-10-04,5125.00,5125.00,5070.00,5090.00,348700,5056.50
2013-10-03,5120.00,5165.00,5105.00,5140.00,191100,5106.17
2013-10-02,5160.00,5175.00,5120.00,5140.00,207600,5106.17
2013-10-01,5165.00,5185.00,5124.20,5175.00,218300,5140.94
2013-09-30,5110.00,5160.00,5100.00,5160.00,350000,5126.04
2013-09-27,5175.00,5200.00,5150.00,5170.00,311600,5135.97
2013-09-26,5150.00,5175.00,5135.00,5175.00,221800,5140.94
2013-09-25,5130.00,5160.00,5105.00,5140.00,276000,5106.17
2013-09-24,5105.00,5180.00,5095.00,5150.00,254600,5116.11
2013-09-23,5120.00,5124.97,5095.00,5110.00,202000,5076.37
2013-09-20,5115.00,5131.40,5090.00,5115.00,748800,5081.34
2013-09-19,5195.00,5215.00,5105.00,5115.00,301700,5081.34
2013-09-18,5180.00,5205.00,5130.00,5140.00,197900,5106.17
2013-09-17,5195.00,5226.67,5153.45,5155.00,285000,5121.07
2013-09-16,5235.00,5255.00,5175.00,5200.00,355000,5165.78
2013-09-13,5200.00,5230.00,5165.00,5185.00,218400,5150.88
2013-09-12,5110.00,5225.00,5105.00,5205.00,318400,5170.74
2013-09-11,5160.00,5200.00,5140.00,5190.00,319000,5155.84
2013-09-10,5100.00,5175.00,5085.00,5160.00,370300,5126.04
2013-09-09,5045.00,5090.00,5035.00,5075.00,215900,5041.60
2013-09-06,5050.00,5075.00,5005.00,5050.00,333300,5016.76
2013-09-05,5015.00,5075.00,4998.00,5075.00,253900,5041.60
2013-09-04,4969.00,5000.97,4939.00,4988.00,278200,4955.17
2013-09-03,4985.00,5010.00,4936.00,4974.00,305800,4941.26
2013-09-02,4919.00,4995.00,4915.00,4991.00,188700,4958.15
2013-08-30,4952.00,4955.00,4878.00,4894.00,387300,4861.79
2013-08-29,4922.00,4965.00,4900.00,4942.00,305400,4909.47
2013-08-28,4980.00,4980.00,4877.00,4916.00,483900,4883.65
2013-08-27,4996.00,5040.00,4961.00,4990.00,792300,4957.16
2013-08-26,4916.00,4916.00,4916.00,4916.00,000,4883.65
2013-08-23,4850.00,4930.00,4838.00,4916.00,299900,4883.65
2013-08-22,4790.00,4885.00,4790.00,4860.00,280200,4828.01
2013-08-21,4817.00,4835.00,4796.00,4800.00,217900,4768.41
2013-08-20,4791.00,4828.00,4781.00,4817.00,235900,4785.30
2013-08-19,4827.00,4865.00,4798.00,4800.00,204600,4768.41
2013-08-16,4811.00,4832.00,4793.50,4832.00,281000,4800.20
2013-08-15,4867.00,4867.00,4775.00,4812.00,342900,4780.33
2013-08-14,4871.00,4896.00,4846.00,4859.00,463400,4827.02
2013-08-13,4870.00,4902.00,4840.00,4864.00,235800,4831.99
2013-08-12,4956.00,4956.00,4839.00,4855.00,321000,4823.05
2013-08-09,4981.00,4981.00,4906.00,4934.00,365800,4901.53
2013-08-08,5025.00,5035.00,4966.53,4998.00,263800,4965.11
2013-08-07,4998.00,5065.00,4994.00,5025.00,291000,4991.93
2013-08-06,5010.00,5025.00,4981.00,5015.00,323600,4981.99
2013-08-05,5030.00,5040.00,4999.00,5020.00,169500,4986.96
2013-08-02,5025.00,5035.00,4999.00,5020.00,278700,4986.96
2013-08-01,5005.00,5030.00,4980.00,5030.00,449200,4996.90
2013-07-31,4970.00,5055.00,4898.00,4990.00,503100,4957.16
2013-07-30,5050.00,5080.00,4989.00,5020.00,564600,4986.96
2013-07-29,4874.00,4927.52,4854.50,4902.00,284600,4869.74
2013-07-26,4885.00,4908.00,4837.00,4851.00,240800,4819.07
2013-07-25,4847.00,4877.00,4811.00,4869.00,289800,4836.96
2013-07-24,4844.00,4871.00,4836.25,4859.00,195400,4827.02
2013-07-23,4891.00,4891.00,4843.00,4843.00,280700,4811.13
2013-07-22,4854.00,4879.00,4840.00,4865.00,178000,4832.98
2013-07-19,4856.00,4872.00,4825.00,4861.00,377700,4829.01
2013-07-18,4806.00,4894.00,4791.00,4872.00,380500,4839.94
2013-07-17,4763.00,4805.00,4724.00,4795.00,272600,4763.44
2013-07-16,4802.00,4834.00,4757.00,4757.00,198700,4725.69
2013-07-15,4788.00,4824.00,4775.23,4800.00,340500,4768.41
2013-07-12,4801.00,4820.00,4759.00,4766.00,184200,4734.63
2013-07-11,4809.00,4812.00,4729.00,4791.00,251400,4759.47
2013-07-10,4758.00,4784.00,4727.00,4769.00,300700,4737.61
2013-07-09,4796.00,4801.34,4733.00,4770.00,277400,4738.61
2013-07-08,4761.00,4819.00,4740.00,4772.00,397400,4740.59
2013-07-05,4736.00,4811.00,4712.00,4740.00,695500,4708.80
2013-07-04,4680.00,4743.00,4657.00,4730.00,408000,4698.87
2013-07-03,4611.00,4718.00,4609.00,4659.00,513300,4628.34
2013-07-02,4665.00,4681.00,4609.00,4633.00,336500,4602.51
2013-07-01,4600.00,4662.00,4586.00,4648.00,416600,4617.41
2013-06-28,4590.00,4596.00,4541.00,4558.00,855100,4528.00
2013-06-27,4509.00,4616.00,4497.00,4587.00,389600,4556.81
2013-06-26,4458.00,4500.72,4439.00,4495.00,340500,4465.42
2013-06-25,4454.00,4530.00,4431.00,4523.00,377600,4419.72
2013-06-24,4448.00,4473.56,4410.00,4425.00,243700,4323.96
2013-06-21,4529.00,4617.00,4467.00,4467.00,713700,4365.00
2013-06-20,4568.00,4581.00,4486.00,4506.00,365400,4403.11
2013-06-19,4597.00,4616.00,4563.00,4605.00,521300,4499.85
2013-06-18,4577.00,4600.00,4558.00,4599.00,590300,4493.98
2013-06-17,4573.00,4615.00,4571.00,4585.00,331300,4480.30
2013-06-14,4602.00,4602.00,4532.00,4553.00,327700,4449.03
2013-06-13,4566.00,4593.00,4535.00,4588.00,296200,4483.24
2013-06-12,4581.00,4628.00,4581.00,4600.00,370800,4494.96
2013-06-11,4648.00,4648.00,4551.00,4590.00,440600,4485.19
2013-06-10,4593.00,4684.00,4578.00,4666.00,323000,4559.45
2013-06-07,4591.00,4630.44,4543.00,4601.00,340700,4495.94
2013-06-06,4605.00,4646.00,4576.00,4580.00,335900,4475.42
2013-06-05,4664.00,4664.00,4592.70,4603.00,276900,4497.89
2013-06-04,4641.00,4695.00,4635.00,4687.00,240000,4579.97
2013-06-03,4610.00,4658.00,4588.00,4624.00,343100,4518.41
2013-05-31,4660.00,4660.00,4586.00,4619.00,669200,4513.53
2013-05-30,4629.00,4659.00,4614.00,4659.00,413400,4552.61
2013-05-29,4671.00,4674.00,4629.00,4638.00,556800,4532.09
2013-05-28,4632.00,4693.00,4629.00,4673.00,575800,4566.29
2013-05-27,4580.00,4580.00,4580.00,4580.00,000,4475.42
2013-05-24,4630.00,4654.00,4565.00,4580.00,567100,4475.42
2013-05-23,4705.00,4719.00,4670.00,4691.00,370400,4583.88
2013-05-22,4707.00,4780.00,4698.00,4749.00,436200,4640.56
2013-05-21,4675.00,4715.00,4662.00,4715.00,389600,4607.34
2013-05-20,4605.00,4675.00,4587.00,4675.00,790700,4568.25
2013-05-17,4658.00,4698.00,4633.00,4693.00,511400,4585.84
2013-05-16,4616.00,4666.00,4615.21,4655.00,411600,4548.71
2013-05-15,4588.00,4621.00,4557.00,4615.00,572300,4509.62
