Date,Open,High,Low,Close,Volume,Adj Close
2013-11-05,203.80,203.80,197.50,199.60,7774300,199.60
2013-11-04,203.00,204.20,201.60,202.70,5276300,202.70
2013-11-01,204.40,204.70,200.40,201.20,7398000,201.20
2013-10-31,203.70,204.90,201.80,203.60,8750800,203.60
2013-10-30,204.60,205.40,201.90,202.70,6322500,202.70
2013-10-29,205.40,205.40,203.80,204.80,6521800,204.80
2013-10-28,204.80,206.10,203.80,204.80,5950000,204.80
2013-10-25,202.90,204.70,202.90,204.60,4565600,204.60
2013-10-24,202.70,205.40,202.40,203.90,5632900,203.90
2013-10-23,202.30,202.40,200.50,202.40,4022800,202.40
2013-10-22,199.40,202.40,198.80,202.40,7208300,202.40
2013-10-21,201.00,201.00,198.80,200.40,5981800,200.40
2013-10-18,197.90,201.20,196.00,200.50,9063800,200.50
2013-10-17,195.80,197.40,195.10,197.20,7172500,197.20
2013-10-16,195.20,198.40,194.50,197.20,8400300,197.20
2013-10-15,192.00,196.50,191.60,196.10,11819600,196.10
2013-10-14,189.40,191.40,188.90,191.00,5772400,191.00
2013-10-11,190.10,191.80,189.50,190.40,10196000,190.40
2013-10-10,184.20,190.10,184.10,189.90,11694300,189.90
2013-10-09,183.80,185.50,183.40,184.20,6392800,184.20
2013-10-08,187.30,187.60,184.60,184.60,7738600,184.60
2013-10-07,186.70,188.10,185.90,187.90,4504700,187.90
2013-10-04,186.50,188.90,186.50,187.70,5276400,187.70
2013-10-03,184.80,187.88,184.80,186.70,7006200,186.70
2013-10-02,186.00,186.70,183.70,186.00,17675300,186.00
2013-10-01,187.50,187.90,186.00,187.10,6702000,187.10
2013-09-30,185.70,187.60,184.70,187.60,7262100,187.60
2013-09-27,191.40,191.40,187.00,188.00,9466100,188.00
2013-09-26,191.70,192.30,189.00,190.70,5404700,190.70
2013-09-25,190.60,192.30,189.50,190.50,5865000,190.50
2013-09-24,192.90,194.60,192.20,193.80,3176800,191.70
2013-09-23,192.70,193.20,191.40,193.00,5398600,190.91
2013-09-20,194.60,195.00,191.80,191.90,8666100,189.82
2013-09-19,194.00,198.00,194.00,195.60,7826700,193.48
2013-09-18,191.80,193.00,189.60,191.30,5451600,189.23
2013-09-17,191.70,193.60,191.10,192.00,6780500,189.92
2013-09-16,195.10,195.10,191.90,192.40,4516600,190.32
2013-09-13,191.70,192.60,190.20,191.80,3808800,189.72
2013-09-12,191.10,192.80,189.20,192.20,6070900,190.12
2013-09-11,190.40,191.40,189.50,191.40,5122900,189.33
2013-09-10,190.00,191.70,188.60,191.00,6989700,188.93
