Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1210.00,1210.00,1160.57,1177.00,3082100,1177.00
2013-11-18,1244.00,1270.00,1188.78,1200.00,5714900,1200.00
2013-11-15,1418.00,1442.27,1417.00,1439.00,557800,1439.00
2013-11-14,1415.00,1430.00,1407.57,1418.00,512600,1418.00
2013-11-13,1422.00,1426.00,1402.58,1403.00,456200,1403.00
2013-11-12,1441.00,1442.00,1410.00,1424.00,519800,1424.00
2013-11-11,1450.00,1456.00,1443.00,1444.00,459800,1444.00
2013-11-08,1440.00,1451.36,1436.00,1445.00,371100,1445.00
2013-11-07,1451.00,1474.00,1442.00,1452.00,659600,1452.00
2013-11-06,1446.00,1465.00,1440.00,1458.00,407200,1458.00
2013-11-05,1448.00,1457.00,1426.00,1440.00,551500,1440.00
2013-11-04,1443.00,1450.00,1437.00,1443.00,862500,1443.00
2013-11-01,1468.00,1471.00,1432.73,1442.00,580400,1442.00
2013-10-31,1470.00,1474.00,1438.00,1463.00,1179400,1463.00
2013-10-30,1501.00,1525.00,1476.00,1478.00,1191300,1478.00
2013-10-29,1479.00,1491.46,1466.00,1468.00,632300,1468.00
2013-10-28,1460.00,1476.12,1457.43,1473.00,604600,1473.00
2013-10-25,1459.00,1477.00,1459.00,1471.00,518800,1471.00
2013-10-24,1431.00,1462.00,1429.00,1462.00,714200,1462.00
2013-10-23,1438.00,1443.60,1417.00,1424.00,569700,1424.00
2013-10-22,1440.00,1444.00,1426.08,1438.00,347700,1438.00
2013-10-21,1413.00,1445.00,1413.00,1442.00,528500,1442.00
2013-10-18,1392.00,1415.00,1380.00,1415.00,608200,1415.00
2013-10-17,1400.00,1409.00,1385.00,1388.00,342700,1388.00
2013-10-16,1404.00,1415.60,1389.00,1409.00,382400,1409.00
2013-10-15,1371.00,1416.00,1368.00,1410.00,618100,1410.00
2013-10-14,1364.00,1375.00,1355.00,1360.00,367900,1360.00
2013-10-11,1368.00,1374.00,1354.00,1371.00,418200,1371.00
2013-10-10,1339.00,1362.00,1336.00,1361.00,581900,1361.00
2013-10-09,1335.00,1336.25,1315.00,1336.00,760300,1336.00
2013-10-08,1368.00,1375.00,1340.00,1341.00,566100,1341.00
2013-10-07,1375.00,1380.00,1362.00,1373.00,471600,1373.00
2013-10-04,1397.00,1399.06,1371.50,1380.00,588300,1380.00
2013-10-03,1407.00,1415.00,1399.00,1401.00,396900,1401.00
2013-10-02,1407.00,1415.29,1404.00,1413.00,577400,1413.00
2013-10-01,1410.00,1417.00,1395.00,1415.00,909600,1415.00
2013-09-30,1393.00,1405.00,1391.00,1405.00,885800,1405.00
2013-09-27,1399.00,1412.27,1393.00,1410.00,961600,1410.00
2013-09-26,1408.00,1411.70,1399.00,1400.00,731400,1400.00
2013-09-25,1408.00,1413.00,1400.00,1406.00,733300,1406.00
2013-09-24,1405.00,1409.00,1384.00,1409.00,652300,1409.00
2013-09-23,1414.00,1423.00,1399.00,1405.00,763400,1405.00
2013-09-20,1401.00,1420.07,1398.00,1418.00,1170800,1418.00
2013-09-19,1359.00,1430.00,1354.00,1412.00,1475500,1412.00
2013-09-18,1379.00,1382.00,1346.00,1349.00,668100,1349.00
2013-09-17,1393.00,1402.00,1387.58,1388.00,539800,1373.90
2013-09-16,1408.00,1412.28,1398.00,1399.00,430100,1384.79
2013-09-13,1400.00,1410.75,1389.00,1390.00,547500,1375.88
2013-09-12,1412.00,1416.00,1406.00,1412.00,501200,1397.66
2013-09-11,1407.00,1426.00,1406.00,1411.00,685500,1396.67
2013-09-10,1402.00,1414.00,1398.00,1406.00,999800,1391.72
2013-09-09,1412.00,1418.00,1396.00,1397.00,467000,1382.81
2013-09-06,1420.00,1426.00,1408.00,1416.00,757700,1401.62
2013-09-05,1417.00,1429.00,1403.42,1425.00,1123000,1410.52
2013-09-04,1403.00,1421.00,1390.00,1418.00,1349500,1403.60
2013-09-03,1408.00,1412.00,1385.00,1396.00,849800,1381.82
2013-09-02,1388.00,1412.00,1381.64,1410.00,1016700,1395.68
2013-08-30,1421.00,1421.75,1384.00,1385.00,1010200,1370.93
2013-08-29,1375.00,1439.00,1372.00,1423.00,1750700,1408.54
2013-08-28,1375.00,1408.00,1360.00,1375.00,1829900,1361.03
2013-08-27,1311.00,1384.27,1304.00,1373.00,3374600,1359.05
2013-08-26,1265.00,1265.00,1265.00,1265.00,000,1252.15
2013-08-23,1249.00,1267.00,1234.00,1265.00,845800,1252.15
2013-08-22,1236.00,1244.00,1222.00,1242.00,1087500,1229.38
2013-08-21,1263.00,1267.00,1227.00,1234.00,881800,1221.46
2013-08-20,1245.00,1265.00,1226.08,1263.00,719300,1250.17
2013-08-19,1248.00,1275.75,1244.00,1262.00,584800,1249.18
2013-08-16,1235.00,1249.00,1225.00,1245.00,691100,1232.35
2013-08-15,1272.00,1272.00,1232.00,1235.00,721800,1222.45
2013-08-14,1294.00,1299.45,1272.00,1273.00,626100,1260.07
2013-08-13,1275.00,1301.00,1272.00,1292.00,472800,1278.88
2013-08-12,1277.00,1280.00,1263.54,1274.00,321600,1261.06
2013-08-09,1261.00,1281.70,1251.00,1275.00,652800,1262.05
2013-08-08,1259.00,1277.00,1253.00,1260.00,818900,1247.20
2013-08-07,1252.00,1268.00,1243.00,1252.00,656400,1239.28
2013-08-06,1271.00,1277.25,1247.00,1253.00,638100,1240.27
2013-08-05,1290.00,1304.00,1261.00,1273.00,639800,1260.07
2013-08-02,1340.00,1340.00,1287.00,1290.00,700600,1276.90
2013-08-01,1317.00,1342.00,1317.00,1340.00,795300,1326.39
2013-07-31,1302.00,1326.12,1297.00,1313.00,679000,1299.66
2013-07-30,1310.00,1319.00,1303.88,1309.00,395200,1295.70
2013-07-29,1284.00,1315.00,1284.00,1308.00,471900,1294.71
2013-07-26,1290.00,1312.00,1285.00,1287.00,483200,1273.93
2013-07-25,1311.00,1316.00,1282.00,1285.00,501600,1271.95
2013-07-24,1317.00,1320.00,1308.00,1315.00,567700,1301.64
2013-07-23,1308.00,1318.29,1304.00,1314.00,523100,1300.65
