Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1266.00,1269.54,1256.00,1266.00,2849400,1266.00
2013-11-18,1264.00,1276.00,1260.00,1274.00,3366900,1274.00
2013-11-15,1266.00,1273.00,1259.00,1264.00,2583300,1264.00
2013-11-14,1259.00,1290.00,1258.00,1266.00,4820500,1266.00
2013-11-13,1248.00,1252.00,1226.00,1243.00,3816000,1243.00
2013-11-12,1252.00,1261.65,1245.00,1255.00,2232200,1255.00
2013-11-11,1268.00,1270.65,1246.00,1255.00,2898700,1255.00
2013-11-08,1251.00,1262.00,1236.00,1261.00,2574900,1261.00
2013-11-07,1260.00,1265.00,1247.00,1257.00,3978600,1257.00
2013-11-06,1279.00,1285.00,1257.00,1260.00,3402500,1260.00
2013-11-05,1294.00,1294.00,1258.00,1270.00,4349600,1270.00
2013-11-04,1292.00,1292.58,1280.00,1290.00,1970400,1290.00
2013-11-01,1281.00,1288.00,1273.00,1285.00,2488600,1285.00
2013-10-31,1277.00,1286.00,1273.50,1279.00,3698600,1279.00
2013-10-30,1276.00,1286.00,1273.00,1280.00,3244400,1280.00
2013-10-29,1264.00,1278.00,1263.00,1275.00,2140700,1275.00
2013-10-28,1276.00,1276.00,1258.00,1263.00,2231800,1263.00
2013-10-25,1278.00,1282.00,1258.00,1270.00,3739800,1270.00
2013-10-24,1274.00,1280.50,1269.27,1276.00,2487500,1276.00
2013-10-23,1252.00,1273.00,1249.15,1269.00,2991800,1269.00
2013-10-22,1244.00,1260.58,1244.00,1255.00,2344000,1255.00
2013-10-21,1262.00,1262.00,1239.00,1247.00,3379100,1247.00
2013-10-18,1231.00,1265.00,1231.00,1264.00,7086100,1264.00
2013-10-17,1202.00,1214.00,1195.00,1214.00,2904200,1214.00
2013-10-16,1191.00,1216.00,1186.00,1208.00,4787100,1208.00
2013-10-15,1191.00,1202.00,1190.00,1195.00,2449500,1195.00
2013-10-14,1178.00,1184.00,1168.00,1183.00,1711300,1183.00
2013-10-11,1182.00,1185.00,1172.00,1178.00,2727100,1178.00
2013-10-10,1142.00,1186.00,1138.00,1177.00,3344300,1177.00
2013-10-09,1146.00,1149.00,1131.00,1138.00,3799400,1138.00
2013-10-08,1174.00,1179.00,1150.00,1150.00,3905000,1150.00
2013-10-07,1174.00,1182.20,1166.00,1176.00,2469100,1176.00
2013-10-04,1179.00,1196.00,1177.00,1181.00,3612700,1181.00
2013-10-03,1176.00,1192.00,1176.00,1181.00,3056700,1181.00
2013-10-02,1183.00,1188.00,1165.54,1183.00,4418100,1183.00
2013-10-01,1155.00,1186.00,1147.00,1185.00,5051700,1185.00
2013-09-30,1145.00,1154.00,1140.00,1151.00,3260100,1151.00
2013-09-27,1172.00,1175.85,1151.00,1158.00,2292500,1158.00
2013-09-26,1177.00,1182.00,1167.00,1172.00,2449300,1172.00
2013-09-25,1169.00,1186.00,1167.00,1176.00,2371500,1176.00
2013-09-24,1177.00,1189.00,1171.00,1179.00,2389500,1179.00
2013-09-23,1188.00,1190.44,1169.83,1178.00,1964700,1178.00
2013-09-20,1195.00,1203.00,1181.00,1185.00,4513100,1185.00
2013-09-19,1198.00,1220.00,1187.00,1202.00,6003500,1202.00
2013-09-18,1178.00,1184.00,1162.00,1172.00,2385200,1172.00
2013-09-17,1191.00,1199.00,1172.65,1173.00,4585700,1173.00
2013-09-16,1182.00,1198.00,1179.00,1189.00,3522300,1189.00
2013-09-13,1156.00,1170.00,1151.00,1167.00,2301400,1167.00
2013-09-12,1165.00,1174.00,1154.00,1160.00,3524200,1160.00
2013-09-11,1177.00,1178.00,1154.00,1163.00,3110500,1163.00
2013-09-10,1145.00,1178.00,1141.00,1171.00,4495200,1171.00
2013-09-09,1124.00,1141.00,1118.00,1137.00,4498300,1137.00
2013-09-06,1113.00,1127.00,1107.83,1121.00,3237500,1121.00
2013-09-05,1109.00,1130.00,1107.00,1124.00,3727800,1124.00
2013-09-04,1105.00,1110.00,1085.00,1104.00,3776400,1104.00
2013-09-03,1124.00,1124.00,1091.85,1102.00,3669000,1102.00
2013-09-02,1089.00,1121.00,1089.00,1116.00,3343200,1116.00
2013-08-30,1107.00,1109.00,1078.00,1078.00,3630900,1078.00
2013-08-29,1098.00,1107.00,1092.00,1103.00,3258100,1103.00
2013-08-28,1106.00,1110.00,1087.00,1094.00,7748700,1094.00
2013-08-27,1141.00,1147.00,1111.50,1114.00,4366700,1114.00
2013-08-26,1142.00,1142.00,1142.00,1142.00,000,1142.00
2013-08-23,1124.00,1150.00,1123.00,1142.00,4636600,1142.00
2013-08-22,1121.00,1142.80,1115.00,1121.00,5451100,1121.00
2013-08-21,1139.00,1150.73,1124.00,1125.00,4803000,1125.00
2013-08-20,1181.00,1184.00,1134.00,1148.00,7084800,1138.27
2013-08-19,1196.00,1205.00,1181.00,1186.00,2773200,1175.95
2013-08-16,1187.00,1207.00,1187.00,1199.00,4787100,1188.84
