Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1159.00,1193.00,1156.00,1185.00,1114200,1185.00
2013-11-18,1150.00,1166.00,1133.00,1165.00,734900,1165.00
2013-11-15,1165.00,1179.00,1153.00,1159.00,519200,1159.00
2013-11-14,1166.00,1188.60,1156.00,1163.00,1366700,1163.00
2013-11-13,1199.00,1199.92,1150.72,1154.00,1181500,1154.00
2013-11-12,1202.00,1206.70,1193.00,1200.00,704800,1200.00
2013-11-11,1195.00,1203.00,1190.00,1202.00,985200,1202.00
2013-11-08,1173.00,1198.00,1162.00,1197.00,1041800,1197.00
2013-11-07,1189.00,1190.00,1162.00,1172.00,2239200,1172.00
2013-11-06,1246.00,1259.00,1183.00,1186.00,2096200,1186.00
2013-11-05,1272.00,1277.00,1213.00,1215.00,1608400,1215.00
2013-11-04,1273.00,1283.00,1264.00,1267.00,968100,1267.00
2013-11-01,1271.00,1282.00,1250.00,1273.00,1010100,1273.00
2013-10-31,1262.00,1280.10,1261.00,1265.00,1800400,1265.00
2013-10-30,1262.00,1268.00,1256.00,1264.00,1371700,1264.00
2013-10-29,1232.00,1255.13,1225.00,1255.00,706300,1255.00
2013-10-28,1248.00,1250.00,1224.00,1224.00,535500,1224.00
2013-10-25,1245.00,1257.28,1237.00,1243.00,655200,1243.00
2013-10-24,1257.00,1263.00,1248.00,1254.00,651200,1254.00
2013-10-23,1226.00,1256.00,1223.24,1256.00,814700,1256.00
2013-10-22,1248.00,1256.00,1224.95,1227.00,872900,1227.00
2013-10-21,1233.00,1262.00,1229.00,1250.00,1287500,1250.00
2013-10-18,1219.00,1230.00,1208.00,1230.00,2635700,1230.00
2013-10-17,1201.00,1221.84,1192.00,1210.00,907700,1210.00
2013-10-16,1196.00,1219.00,1181.00,1211.00,1055700,1211.00
2013-10-15,1198.00,1212.16,1194.00,1202.00,946000,1202.00
2013-10-14,1190.00,1198.00,1174.00,1195.00,966400,1195.00
2013-10-11,1202.00,1206.00,1189.00,1197.00,858400,1197.00
2013-10-10,1137.00,1207.00,1134.64,1195.00,1944200,1195.00
2013-10-09,1093.00,1144.00,1090.00,1131.00,1724800,1131.00
2013-10-08,1072.00,1091.00,1061.00,1077.00,940400,1077.00
2013-10-07,1072.00,1072.00,1043.00,1067.00,759100,1067.00
2013-10-04,1084.00,1091.00,1073.00,1077.00,681600,1077.00
2013-10-03,1099.00,1106.00,1088.00,1089.00,782400,1089.00
2013-10-02,1098.00,1105.00,1089.00,1102.00,703600,1102.00
2013-10-01,1086.00,1107.00,1079.00,1106.00,853500,1106.00
2013-09-30,1079.00,1088.00,1060.34,1086.00,1204800,1086.00
2013-09-27,1109.00,1110.00,1057.00,1061.00,1929100,1061.00
2013-09-26,1116.00,1118.00,1099.45,1109.00,738200,1109.00
2013-09-25,1122.00,1129.00,1102.00,1115.00,672200,1115.00
2013-09-24,1117.00,1129.00,1112.00,1123.00,868900,1123.00
2013-09-23,1121.00,1132.00,1110.00,1115.00,713700,1115.00
2013-09-20,1109.00,1133.00,1108.80,1127.00,1284500,1127.00
2013-09-19,1126.00,1154.00,1110.00,1111.00,1915500,1111.00
2013-09-18,1145.00,1150.00,1100.00,1112.00,740500,1112.00
2013-09-17,1155.00,1162.00,1139.00,1146.00,921700,1146.00
2013-09-16,1178.00,1178.00,1147.00,1153.00,788700,1153.00
2013-09-13,1149.00,1167.00,1146.30,1162.00,569900,1162.00
2013-09-12,1159.00,1160.00,1139.00,1150.00,824100,1150.00
2013-09-11,1177.00,1177.50,1148.77,1154.00,853700,1154.00
2013-09-10,1185.00,1203.00,1178.00,1178.00,907400,1178.00
2013-09-09,1158.00,1178.00,1156.00,1173.00,831800,1173.00
2013-09-06,1150.00,1160.00,1130.00,1160.00,1024200,1160.00
2013-09-05,1115.00,1152.00,1112.00,1152.00,1524800,1152.00
2013-09-04,1139.00,1140.00,1097.00,1111.00,2426600,1111.00
2013-09-03,1145.00,1150.02,1127.65,1142.00,1258300,1142.00
2013-09-02,1110.00,1145.00,1110.00,1145.00,1198300,1145.00
2013-08-30,1108.00,1120.75,1088.00,1099.00,1294800,1099.00
2013-08-29,1102.00,1111.00,1087.00,1102.00,1030200,1102.00
2013-08-28,1103.00,1104.76,1072.00,1096.00,1376900,1096.00
2013-08-27,1133.00,1144.00,1098.00,1113.00,1411300,1113.00
2013-08-26,1133.00,1133.00,1133.00,1133.00,000,1133.00
2013-08-23,1138.00,1146.67,1131.00,1133.00,1206500,1133.00
2013-08-22,1141.00,1163.62,1133.00,1140.00,1178800,1140.00
2013-08-21,1161.00,1166.75,1137.00,1142.00,739600,1142.00
2013-08-20,1185.00,1188.39,1129.00,1150.00,1006000,1150.00
2013-08-19,1188.00,1203.00,1160.00,1167.00,957800,1167.00
2013-08-16,1100.00,1192.00,1100.00,1188.00,2351400,1188.00
2013-08-15,1184.00,1184.00,1065.36,1097.00,2557800,1097.00
2013-08-14,1228.00,1239.00,1180.00,1184.00,893700,1184.00
2013-08-13,1238.00,1243.00,1223.99,1227.00,570400,1227.00
2013-08-12,1237.00,1238.00,1216.00,1230.00,664500,1230.00
2013-08-09,1254.00,1254.00,1224.36,1232.00,956500,1232.00
2013-08-08,1245.00,1271.00,1242.00,1247.00,779800,1247.00
2013-08-07,1274.00,1288.00,1247.00,1247.00,963900,1247.00
2013-08-06,1276.00,1291.00,1269.00,1280.00,891400,1280.00
2013-08-05,1265.00,1282.00,1261.77,1273.00,596500,1273.00
2013-08-02,1250.00,1262.00,1241.00,1260.00,465800,1260.00
2013-08-01,1246.00,1250.00,1237.00,1242.00,730500,1242.00
2013-07-31,1238.00,1255.00,1233.00,1236.00,725400,1236.00
2013-07-30,1239.00,1250.00,1236.00,1244.00,649700,1244.00
2013-07-29,1226.00,1247.00,1218.00,1225.00,493300,1225.00
2013-07-26,1257.00,1272.00,1218.00,1219.00,766300,1219.00
2013-07-25,1255.00,1272.00,1242.50,1265.00,800400,1265.00
2013-07-24,1262.00,1274.00,1247.00,1260.00,562100,1260.00
2013-07-23,1266.00,1277.00,1254.00,1256.00,605800,1256.00
2013-07-22,1260.00,1267.72,1250.00,1258.00,565300,1258.00
2013-07-19,1264.00,1264.92,1239.00,1255.00,678300,1255.00
2013-07-18,1234.00,1269.00,1230.00,1268.00,833800,1268.00
2013-07-17,1237.00,1261.00,1221.00,1234.00,1196600,1234.00
2013-07-16,1313.00,1321.00,1238.00,1241.00,1429700,1241.00
2013-07-15,1299.00,1306.00,1293.91,1305.00,759500,1305.00
2013-07-12,1281.00,1300.00,1278.00,1293.00,618000,1293.00
2013-07-11,1286.00,1291.00,1266.00,1276.00,683400,1276.00
2013-07-10,1281.00,1302.03,1257.50,1265.00,749300,1265.00
2013-07-09,1280.00,1293.00,1254.00,1273.00,803900,1273.00
2013-07-08,1269.00,1289.00,1262.00,1267.00,870700,1267.00
2013-07-05,1272.00,1276.32,1248.00,1256.00,691200,1256.00
2013-07-04,1225.00,1270.00,1223.05,1266.00,654200,1266.00
2013-07-03,1223.00,1228.00,1173.00,1213.00,1068100,1213.00
2013-07-02,1261.00,1266.00,1206.00,1224.00,2129800,1224.00
2013-07-01,1186.00,1240.00,1184.00,1240.00,1251900,1240.00
2013-06-28,1160.00,1187.00,1160.00,1181.00,1217300,1181.00
2013-06-27,1158.00,1176.00,1155.00,1158.00,772200,1158.00
2013-06-26,1138.00,1180.00,1135.00,1161.00,1039500,1161.00
2013-06-25,1091.00,1138.73,1079.38,1136.00,3013800,1136.00
2013-06-24,1100.00,1118.00,1082.00,1088.00,1125800,1088.00
2013-06-21,1158.00,1170.00,1107.00,1107.00,8184800,1107.00
2013-06-20,1204.00,1208.00,1148.00,1148.00,1390200,1148.00
2013-06-19,1216.00,1226.00,1211.63,1224.00,1314700,1224.00
2013-06-18,1218.00,1230.00,1212.00,1216.00,646300,1216.00
2013-06-17,1209.00,1222.00,1203.00,1218.00,625400,1218.00
2013-06-14,1197.00,1221.00,1193.00,1204.00,994100,1204.00
2013-06-13,1193.00,1196.12,1170.00,1183.00,1282500,1183.00
2013-06-12,1213.00,1222.00,1199.00,1205.00,627600,1205.00
2013-06-11,1230.00,1230.00,1200.00,1214.00,1161500,1214.00
2013-06-10,1207.00,1229.00,1195.00,1223.00,878800,1223.00
2013-06-07,1179.00,1218.00,1174.25,1205.00,1401400,1205.00
2013-06-06,1160.00,1179.28,1160.00,1174.00,1050300,1174.00
2013-06-05,1177.00,1203.00,1159.00,1160.00,1362800,1160.00
2013-06-04,1186.00,1203.00,1175.00,1181.00,1232500,1181.00
2013-06-03,1213.00,1218.00,1162.00,1174.00,1899500,1174.00
2013-05-31,1200.00,1226.00,1168.00,1220.00,18697600,1220.00
2013-05-30,1237.00,1241.20,1197.00,1225.00,1305900,1225.00
2013-05-29,1278.00,1278.00,1234.00,1242.00,1081100,1242.00
2013-05-28,1236.00,1280.00,1236.00,1280.00,1386400,1280.00
2013-05-27,1220.00,1220.00,1220.00,1220.00,000,1220.00
2013-05-24,1245.00,1245.19,1205.25,1220.00,763900,1220.00
2013-05-23,1235.00,1240.00,1202.36,1233.00,1202800,1233.00
2013-05-22,1238.00,1255.00,1214.00,1251.00,1046300,1251.00
2013-05-21,1250.00,1253.00,1229.22,1235.00,717600,1235.00
2013-05-20,1275.00,1286.14,1242.00,1245.00,1178400,1245.00
2013-05-17,1219.00,1272.00,1206.93,1272.00,1663400,1272.00
2013-05-16,1204.00,1223.19,1180.00,1206.00,2301000,1206.00
2013-05-15,1101.00,1150.00,1091.00,1147.00,787700,1147.00
2013-05-14,1086.00,1100.00,1076.00,1098.00,600900,1098.00
2013-05-13,1103.00,1103.00,1077.00,1080.00,704800,1080.00
2013-05-10,1108.00,1118.00,1095.00,1102.00,469500,1102.00
2013-05-09,1095.00,1110.00,1086.00,1109.00,543600,1109.00
2013-05-08,1083.00,1092.00,1073.00,1092.00,613800,1092.00
2013-05-07,1107.00,1107.00,1057.00,1079.00,919000,1079.00
2013-05-06,1099.00,1099.00,1099.00,1099.00,000,1099.00
2013-05-03,1081.00,1106.00,1076.00,1099.00,812000,1099.00
2013-05-02,1085.00,1089.00,1070.00,1081.00,660000,1081.00
2013-05-01,1077.00,1093.00,1076.00,1090.00,334400,1090.00
2013-04-30,1100.00,1120.00,1077.00,1080.00,937700,1080.00
2013-04-29,1100.00,1137.00,1091.00,1097.00,806800,1097.00
2013-04-26,1074.00,1088.00,1065.00,1080.00,658600,1080.00
2013-04-25,1086.00,1100.00,1075.00,1076.00,920600,1076.00
2013-04-24,1071.00,1091.00,1059.00,1086.00,1156100,1086.00
2013-04-23,1060.00,1082.00,1053.00,1068.00,1531600,1068.00
2013-04-22,1072.00,1078.00,1051.00,1055.00,2777100,1055.00
2013-04-19,1122.00,1153.00,1101.00,1130.00,1141200,1130.00
2013-04-18,1118.00,1135.00,1102.00,1109.00,1057100,1109.00
2013-04-17,1116.00,1124.00,1084.00,1106.00,853500,1106.00
2013-04-16,1132.00,1132.00,1096.00,1108.00,1465200,1108.00
2013-04-15,1130.00,1145.97,1112.00,1132.00,978800,1132.00
2013-04-12,1102.00,1141.00,1071.53,1123.00,890000,1123.00
2013-04-11,1067.00,1116.00,1061.00,1098.00,965700,1098.00
2013-04-10,1041.00,1067.00,1015.64,1063.00,653800,1063.00
2013-04-09,1015.00,1039.00,1009.02,1033.00,1217500,1033.00
2013-04-08,1019.00,1039.88,1002.00,1004.00,1199400,1004.00
2013-04-05,1028.00,1040.38,1008.00,1011.00,798500,1011.00
2013-04-04,1066.00,1074.48,1027.00,1032.00,944400,1032.00
2013-04-03,1065.00,1074.00,1057.37,1068.00,762000,1068.00
2013-04-02,1065.00,1086.00,1061.50,1073.00,750300,1073.00
2013-04-01,1069.00,1069.00,1069.00,1069.00,000,1069.00
2013-03-29,1069.00,1069.00,1069.00,1069.00,000,1069.00
2013-03-28,1039.00,1077.00,1039.00,1069.00,661800,1069.00
2013-03-27,1039.00,1052.73,1028.25,1039.00,864700,1039.00
2013-03-26,1026.00,1040.00,1021.00,1032.00,572600,1032.00
2013-03-25,1035.00,1039.00,1024.00,1027.00,607700,1027.00
2013-03-22,1032.00,1037.00,1026.00,1029.00,654100,1029.00
2013-03-21,1015.00,1036.00,1014.00,1033.00,1231200,1033.00
2013-03-20,977.00,1053.84,970.50,1010.00,1845200,1010.00
2013-03-19,962.50,984.00,958.18,971.50,697800,971.50
2013-03-18,938.00,968.00,937.81,966.00,582800,966.00
2013-03-15,968.00,972.50,949.00,953.00,2025900,953.00
2013-03-14,960.00,967.00,952.00,965.50,719900,965.50
2013-03-13,948.00,959.00,943.50,957.00,587700,957.00
2013-03-12,937.00,948.00,935.00,946.00,632900,946.00
2013-03-11,947.00,952.00,926.00,936.50,780900,936.50
2013-03-08,950.50,965.00,941.68,950.00,455300,950.00
2013-03-07,955.50,955.50,942.00,948.00,650200,948.00
2013-03-06,959.50,967.50,949.50,950.00,1184000,950.00
2013-03-05,941.50,962.50,935.10,956.50,952600,956.50
2013-03-04,928.00,942.00,926.90,935.00,1048400,935.00
2013-03-01,911.00,943.96,907.75,934.50,1052800,934.50
2013-02-28,892.50,916.50,892.00,913.50,858100,913.50
2013-02-27,886.00,904.81,881.50,889.00,726300,889.00
2013-02-26,891.50,895.93,873.50,885.50,1053800,885.50
2013-02-25,932.00,932.00,893.00,898.50,919700,898.50
2013-02-22,868.50,914.00,865.50,909.50,927800,909.50
2013-02-21,870.00,872.00,854.50,862.50,480300,862.50
2013-02-20,870.50,881.00,868.50,871.00,726500,871.00
2013-02-19,865.00,878.00,862.02,869.50,423600,869.50
2013-02-18,880.50,881.20,856.00,862.00,293400,862.00
2013-02-15,869.50,881.77,861.00,875.50,466300,875.50
2013-02-14,875.50,879.50,861.50,869.50,338200,869.50
2013-02-13,866.00,879.00,856.50,873.50,792600,873.50
2013-02-12,851.00,868.50,851.00,868.50,456300,868.50
2013-02-11,862.00,867.30,854.00,854.00,447000,854.00
2013-02-08,862.50,869.50,862.50,863.50,350400,863.50
2013-02-07,862.50,871.50,854.12,863.50,488100,863.50
2013-02-06,853.50,875.50,852.63,862.50,728000,862.50
2013-02-05,840.50,856.00,835.70,851.00,461100,851.00
2013-02-04,859.00,859.00,840.00,841.50,442400,841.50
2013-02-01,844.00,861.00,843.58,860.00,693900,860.00
2013-01-31,840.00,852.00,837.00,842.50,613400,842.50
2013-01-30,858.50,860.50,838.00,840.00,756500,840.00
2013-01-29,865.50,867.50,850.00,855.50,566200,855.50
2013-01-28,872.50,876.00,860.50,864.50,453000,864.50
2013-01-25,862.50,883.00,862.00,874.50,771600,874.50
2013-01-24,840.00,871.50,834.50,865.50,534800,865.50
2013-01-23,857.50,858.23,837.00,840.50,690200,840.50
2013-01-22,883.50,883.50,856.50,857.50,824500,857.50
2013-01-21,889.00,893.60,874.00,885.50,485200,885.50
2013-01-18,876.50,888.50,868.50,888.50,429200,888.50
2013-01-17,874.00,874.92,862.50,871.00,424900,871.00
2013-01-16,872.00,874.00,859.00,873.00,734300,873.00
2013-01-15,862.00,876.50,860.75,874.00,559800,874.00
2013-01-14,873.00,879.50,861.00,863.00,695700,863.00
2013-01-11,847.50,870.50,847.50,870.50,1000400,870.50
2013-01-10,835.50,853.00,833.50,847.00,745100,847.00
2013-01-09,837.50,840.00,828.67,835.50,577800,835.50
2013-01-08,840.00,854.00,823.00,836.00,859900,836.00
2013-01-07,825.00,841.50,822.50,837.00,719500,837.00
2013-01-04,819.00,831.66,806.14,829.00,571700,829.00
2013-01-03,817.50,834.00,812.00,822.50,507100,822.50
2013-01-02,814.00,827.50,809.27,820.50,533500,820.50
2013-01-01,800.00,800.00,800.00,800.00,000,800.00
2012-12-31,798.00,806.00,794.82,800.00,140500,800.00
2012-12-28,805.00,811.50,799.50,800.00,237200,800.00
2012-12-27,803.50,808.50,798.00,804.00,257800,804.00
2012-12-26,808.50,808.50,808.50,808.50,000,808.50
2012-12-25,808.50,808.50,808.50,808.50,000,808.50
2012-12-24,783.00,812.00,783.00,808.50,129800,808.50
2012-12-21,815.50,818.50,790.50,800.50,964700,800.50
2012-12-20,811.50,828.37,808.00,820.00,924400,820.00
2012-12-19,813.50,816.00,808.50,812.00,910600,812.00
2012-12-18,798.50,814.50,798.00,812.00,735700,812.00
2012-12-17,801.00,812.03,791.00,797.00,431600,797.00
2012-12-14,792.50,808.50,791.00,801.50,382800,801.50
2012-12-13,789.50,797.00,785.00,791.50,358700,791.50
2012-12-12,788.50,799.50,784.00,794.00,626000,794.00
2012-12-11,788.00,793.00,786.00,789.50,201400,789.50
2012-12-10,792.00,798.00,785.00,789.00,345800,789.00
2012-12-07,787.50,798.00,787.50,798.00,577200,798.00
2012-12-06,786.50,797.00,784.00,787.00,385900,787.00
2012-12-05,785.00,794.50,781.00,784.00,380700,784.00
2012-12-04,791.50,792.50,782.50,788.00,373500,788.00
2012-12-03,801.00,804.50,790.50,793.50,453600,793.50
2012-11-30,802.00,809.00,799.43,801.00,627700,801.00
2012-11-29,818.50,823.50,791.50,796.50,1015200,796.50
2012-11-28,756.00,773.00,754.27,772.00,431800,772.00
