Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,1328.00,1333.00,1324.00,1329.00,1910700,1329.00
2013-11-18,1334.00,1336.00,1319.00,1328.00,1609500,1328.00
2013-11-15,1326.00,1380.00,1322.00,1338.00,2906800,1338.00
2013-11-14,1310.00,1330.82,1310.00,1325.00,2314000,1325.00
2013-11-13,1309.00,1314.00,1296.00,1301.00,1678200,1301.00
2013-11-12,1304.00,1311.00,1300.00,1311.00,1331700,1311.00
2013-11-11,1303.00,1309.00,1293.00,1306.00,898700,1306.00
2013-11-08,1290.00,1305.00,1284.00,1303.00,2450800,1303.00
2013-11-07,1303.00,1308.13,1291.00,1293.00,1409700,1293.00
2013-11-06,1298.00,1312.00,1295.00,1306.00,1203600,1306.00
2013-11-05,1291.00,1298.84,1283.00,1292.00,1835700,1292.00
2013-11-04,1299.00,1309.00,1295.00,1297.00,1471800,1297.00
2013-11-01,1302.00,1314.00,1295.00,1298.00,1275600,1298.00
2013-10-31,1302.00,1311.00,1292.00,1304.00,2987200,1304.00
2013-10-30,1345.00,1354.00,1291.00,1316.00,3969900,1316.00
2013-10-29,1366.00,1373.00,1351.00,1365.00,1577600,1365.00
2013-10-28,1365.00,1369.00,1360.00,1362.00,1215700,1362.00
2013-10-25,1354.00,1365.00,1348.00,1364.00,1231400,1364.00
2013-10-24,1348.00,1362.00,1344.00,1355.00,1217000,1355.00
2013-10-23,1352.00,1357.00,1337.00,1343.00,1364700,1343.00
2013-10-22,1349.00,1356.00,1342.00,1351.00,1832700,1351.00
2013-10-21,1340.00,1347.00,1335.00,1347.00,2103000,1347.00
2013-10-18,1326.00,1337.00,1322.00,1336.00,1761600,1336.00
2013-10-17,1314.00,1323.00,1308.00,1317.00,960300,1317.00
2013-10-16,1314.00,1319.00,1297.00,1314.00,2095000,1314.00
2013-10-15,1310.00,1318.00,1306.00,1311.00,1325500,1311.00
2013-10-14,1291.00,1308.00,1286.00,1306.00,1443000,1306.00
2013-10-11,1309.00,1309.00,1284.00,1292.00,2663300,1292.00
2013-10-10,1260.00,1299.00,1255.00,1297.00,2584300,1297.00
2013-10-09,1245.00,1260.00,1236.00,1254.00,2611600,1254.00
2013-10-08,1239.00,1244.00,1236.60,1243.00,1562700,1243.00
2013-10-07,1235.00,1242.00,1225.00,1240.00,1146400,1240.00
2013-10-04,1224.00,1246.00,1221.00,1239.00,1577700,1239.00
2013-10-03,1222.00,1240.00,1219.55,1226.00,1469000,1226.00
2013-10-02,1247.00,1251.00,1212.49,1225.00,1866900,1225.00
2013-10-01,1257.00,1258.00,1241.00,1250.00,1479300,1250.00
2013-09-30,1246.00,1259.00,1246.00,1257.00,2074000,1257.00
2013-09-27,1254.00,1261.00,1250.00,1258.00,1388400,1258.00
2013-09-26,1262.00,1262.00,1249.00,1253.00,2072200,1253.00
2013-09-25,1274.00,1279.00,1259.00,1262.00,1437200,1262.00
2013-09-24,1283.00,1285.00,1277.64,1280.00,1095800,1280.00
2013-09-23,1303.00,1303.00,1277.00,1284.00,979600,1284.00
2013-09-20,1277.00,1303.00,1276.00,1301.00,2382000,1301.00
2013-09-19,1295.00,1299.00,1279.00,1286.00,1573400,1286.00
2013-09-18,1282.00,1291.00,1279.00,1286.00,1498900,1286.00
2013-09-17,1274.00,1280.00,1269.00,1277.00,2239900,1277.00
2013-09-16,1291.00,1291.00,1274.00,1277.00,2008900,1277.00
2013-09-13,1274.00,1291.00,1274.00,1283.00,1958800,1283.00
2013-09-12,1288.00,1291.00,1273.00,1275.00,1462300,1275.00
2013-09-11,1307.00,1307.00,1279.00,1291.00,1294600,1291.00
2013-09-10,1286.00,1305.00,1285.00,1299.00,1068100,1299.00
2013-09-09,1290.00,1290.00,1277.00,1282.00,1117300,1282.00
2013-09-06,1286.00,1291.00,1276.00,1291.00,1421400,1291.00
2013-09-05,1287.00,1298.00,1282.00,1285.00,1107500,1285.00
2013-09-04,1279.00,1287.00,1268.66,1283.00,1097000,1283.00
2013-09-03,1298.00,1298.00,1274.00,1278.00,1358200,1278.00
2013-09-02,1276.00,1300.00,1274.00,1299.00,1295000,1299.00
2013-08-30,1284.00,1286.00,1269.00,1271.00,2403400,1271.00
2013-08-29,1290.00,1299.00,1274.00,1280.00,2866100,1280.00
2013-08-28,1313.00,1322.00,1310.72,1316.00,1160100,1316.00
2013-08-27,1330.00,1338.00,1317.00,1317.00,1930100,1317.00
2013-08-26,1330.00,1330.00,1330.00,1330.00,000,1330.00
2013-08-23,1326.00,1337.00,1321.00,1330.00,1151300,1330.00
2013-08-22,1313.00,1330.00,1313.00,1325.00,1029400,1325.00
2013-08-21,1313.00,1324.00,1308.00,1308.00,770300,1308.00
2013-08-20,1312.00,1317.00,1302.00,1311.00,936500,1311.00
2013-08-19,1313.00,1325.00,1306.00,1320.00,902900,1320.00
2013-08-16,1311.00,1333.00,1307.31,1314.00,1436700,1314.00
2013-08-15,1330.00,1340.00,1308.00,1313.00,1804900,1313.00
2013-08-14,1330.00,1339.00,1320.00,1332.00,1501300,1332.00
2013-08-13,1338.00,1349.00,1333.00,1347.00,1018000,1331.00
2013-08-12,1323.00,1341.00,1323.00,1341.00,964800,1325.07
2013-08-09,1327.00,1347.50,1320.00,1340.00,1184600,1324.08
2013-08-08,1327.00,1328.00,1318.00,1324.00,962500,1308.27
2013-08-07,1334.00,1335.00,1312.00,1325.00,1250800,1309.26
2013-08-06,1334.00,1337.00,1322.00,1337.00,1701800,1321.12
2013-08-05,1339.00,1342.00,1323.00,1334.00,1990300,1318.15
2013-08-02,1350.00,1350.00,1330.15,1336.00,1178700,1320.13
2013-08-01,1354.00,1356.00,1325.00,1344.00,2982800,1328.04
2013-07-31,1325.00,1362.00,1324.00,1350.00,2531500,1333.96
2013-07-30,1314.00,1335.00,1312.00,1329.00,1605800,1313.21
2013-07-29,1340.00,1347.00,1309.00,1312.00,2386100,1296.42
2013-07-26,1290.00,1370.00,1288.00,1329.00,6221900,1313.21
2013-07-25,1256.00,1261.00,1243.00,1252.00,1632000,1237.13
2013-07-24,1252.00,1264.00,1251.00,1260.00,1183700,1245.03
2013-07-23,1263.00,1263.00,1250.00,1250.00,1099600,1235.15
2013-07-22,1261.00,1264.28,1251.00,1254.00,947500,1239.10
2013-07-19,1262.00,1268.00,1251.00,1263.00,1775400,1248.00
2013-07-18,1241.00,1268.00,1239.00,1264.00,1155800,1248.99
2013-07-17,1272.00,1280.11,1242.00,1245.00,1873300,1230.21
2013-07-16,1254.00,1261.00,1234.00,1248.00,1367100,1233.18
2013-07-15,1248.00,1268.00,1248.00,1255.00,1139500,1240.09
2013-07-12,1242.00,1257.00,1241.00,1247.00,1554300,1232.19
2013-07-11,1240.00,1249.00,1233.00,1242.00,2218900,1227.25
2013-07-10,1217.00,1233.00,1215.00,1230.00,1491400,1215.39
2013-07-09,1202.00,1231.00,1202.00,1221.00,1475700,1206.50
2013-07-08,1216.00,1227.00,1212.00,1214.00,2717300,1199.58
2013-07-05,1211.00,1227.00,1203.00,1209.00,1273600,1194.64
2013-07-04,1200.00,1213.00,1193.49,1206.00,1465300,1191.67
2013-07-03,1184.00,1196.00,1179.00,1195.00,2371700,1180.81
2013-07-02,1165.00,1193.00,1163.00,1192.00,2032300,1177.84
2013-07-01,1170.00,1181.00,1145.00,1162.00,3306400,1148.20
2013-06-28,1153.00,1184.55,1152.00,1171.00,4629200,1157.09
2013-06-27,1157.00,1159.00,1126.00,1154.00,3736200,1140.29
2013-06-26,1156.00,1159.00,1145.00,1156.00,2861700,1142.27
2013-06-25,1158.00,1160.00,1147.00,1155.00,2097400,1141.28
2013-06-24,1161.00,1165.00,1151.00,1152.00,2226500,1138.32
2013-06-21,1167.00,1181.00,1160.00,1160.00,3248200,1146.22
2013-06-20,1180.00,1180.00,1150.72,1162.00,3457300,1148.20
2013-06-19,1201.00,1203.00,1176.00,1188.00,2041400,1173.89
2013-06-18,1199.00,1216.00,1196.00,1200.00,1576500,1185.75
2013-06-17,1184.00,1208.00,1183.00,1200.00,1742500,1185.75
2013-06-14,1184.00,1186.00,1172.00,1182.00,1362800,1167.96
2013-06-13,1169.00,1183.00,1164.00,1179.00,1621300,1165.00
2013-06-12,1181.00,1197.00,1170.00,1175.00,2009800,1161.04
2013-06-11,1193.00,1198.00,1169.50,1181.00,1891600,1166.97
2013-06-10,1174.00,1199.00,1173.00,1193.00,1430100,1178.83
2013-06-07,1179.00,1179.00,1164.00,1179.00,2702100,1165.00
2013-06-06,1191.00,1193.00,1174.00,1177.00,1707500,1163.02
2013-06-05,1210.00,1213.00,1187.00,1190.00,2550200,1175.86
2013-06-04,1212.00,1226.00,1205.00,1213.00,1568500,1198.59
2013-06-03,1225.00,1226.28,1203.00,1203.00,2434500,1188.71
2013-05-31,1231.00,1245.00,1223.00,1229.00,2335100,1214.40
2013-05-30,1226.00,1241.00,1224.00,1238.00,1469100,1223.29
2013-05-29,1243.00,1243.00,1208.00,1225.00,2778700,1210.45
2013-05-28,1230.00,1246.00,1225.00,1241.00,2070400,1226.26
2013-05-27,1223.00,1223.00,1223.00,1223.00,000,1208.47
2013-05-24,1220.00,1227.00,1210.46,1223.00,1890100,1208.47
2013-05-23,1255.00,1258.03,1217.00,1217.00,3323300,1202.54
2013-05-22,1267.00,1278.00,1252.00,1265.00,2552900,1249.97
2013-05-21,1223.00,1262.00,1217.00,1262.00,3809800,1247.01
2013-05-20,1206.00,1221.00,1200.00,1220.00,2002500,1205.51
2013-05-17,1206.00,1214.00,1198.38,1202.00,2517700,1187.72
2013-05-16,1210.00,1210.00,1198.00,1204.00,1785100,1189.70
2013-05-15,1197.00,1216.00,1190.03,1206.00,2499500,1191.67
2013-05-14,1201.00,1205.00,1188.62,1195.00,2834200,1180.81
2013-05-13,1203.00,1209.00,1187.00,1197.00,1778100,1182.78
2013-05-10,1188.00,1210.00,1187.00,1206.00,3008900,1191.67
2013-05-09,1181.00,1187.00,1174.00,1186.00,1104800,1171.91
2013-05-08,1178.00,1179.00,1164.00,1178.00,1973200,1164.01
2013-05-07,1175.00,1183.00,1170.00,1178.00,2754500,1164.01
2013-05-06,1171.00,1171.00,1171.00,1171.00,000,1157.09
2013-05-03,1169.00,1174.00,1165.00,1171.00,2513700,1157.09
2013-05-02,1175.00,1181.00,1162.00,1169.00,1935300,1155.11
2013-05-01,1171.00,1186.00,1164.00,1183.00,1336800,1168.95
2013-04-30,1150.00,1173.00,1147.00,1171.00,3015300,1157.09
2013-04-29,1145.00,1157.00,1135.00,1150.00,2137300,1136.34
2013-04-26,1144.00,1165.00,1140.00,1144.00,2286200,1130.41
2013-04-25,1138.00,1158.00,1137.00,1149.00,2015800,1135.35
2013-04-24,1130.00,1142.21,1126.00,1140.00,1998500,1126.46
2013-04-23,1126.00,1130.00,1116.00,1130.00,2609700,1116.58
2013-04-22,1126.00,1128.00,1116.00,1124.00,1369300,1110.65
2013-04-19,1120.00,1125.00,1110.00,1120.00,2159600,1106.70
2013-04-18,1138.00,1140.00,1115.00,1119.00,2474600,1105.71
2013-04-17,1142.00,1145.00,1125.00,1132.00,2051100,1118.55
2013-04-16,1135.00,1139.58,1127.75,1135.00,1763300,1121.52
2013-04-15,1101.00,1148.00,1090.00,1138.00,2917700,1124.48
2013-04-12,1152.00,1152.00,1135.48,1143.00,2018800,1129.42
2013-04-11,1155.00,1158.00,1146.00,1155.00,1772700,1141.28
2013-04-10,1146.00,1155.00,1139.00,1151.00,1904300,1137.33
2013-04-09,1146.00,1148.00,1134.00,1138.00,1236200,1124.48
2013-04-08,1146.00,1151.00,1133.00,1141.00,1996700,1127.45
2013-04-05,1143.00,1146.00,1123.00,1138.00,2444500,1124.48
2013-04-04,1150.00,1177.00,1135.00,1142.00,2525500,1128.44
2013-04-03,1154.00,1189.00,1135.00,1143.00,2388500,1129.42
2013-04-02,1182.00,1196.54,1181.00,1181.00,1810200,1137.33
2013-04-01,1184.00,1184.00,1184.00,1184.00,000,1140.22
2013-03-29,1184.00,1184.00,1184.00,1184.00,000,1140.22
2013-03-28,1178.00,1203.00,1173.03,1184.00,2420400,1140.22
2013-03-27,1182.00,1182.00,1155.00,1176.00,2373400,1132.51
2013-03-26,1186.00,1190.00,1168.00,1176.00,2752500,1132.51
2013-03-25,1182.00,1189.00,1176.00,1185.00,1996100,1141.18
2013-03-22,1169.00,1184.00,1164.00,1177.00,1787600,1133.48
2013-03-21,1169.00,1174.00,1165.00,1172.00,2407600,1128.66
2013-03-20,1180.00,1181.75,1163.19,1170.00,4757800,1126.73
2013-03-19,1204.00,1213.00,1191.00,1191.00,3444000,1146.96
2013-03-18,1194.00,1211.00,1189.00,1204.00,2005400,1159.48
2013-03-15,1207.00,1209.00,1199.00,1208.00,3148400,1163.33
2013-03-14,1204.00,1209.00,1198.00,1204.00,2293900,1159.48
2013-03-13,1190.00,1199.00,1179.32,1199.00,2645900,1154.66
2013-03-12,1187.00,1195.00,1182.00,1186.00,1972600,1142.14
2013-03-11,1166.00,1192.94,1161.00,1187.00,2857800,1143.11
2013-03-08,1170.00,1175.00,1158.19,1165.00,2687000,1121.92
2013-03-07,1174.00,1179.00,1165.00,1165.00,1937100,1121.92
2013-03-06,1181.00,1185.00,1174.00,1175.00,2066800,1131.55
2013-03-05,1172.00,1184.00,1169.50,1180.00,2069800,1136.37
2013-03-04,1174.00,1182.00,1162.00,1168.00,2518600,1124.81
2013-03-01,1158.00,1175.00,1153.00,1172.00,2227100,1128.66
2013-02-28,1153.00,1164.00,1148.00,1155.00,3146000,1112.29
2013-02-27,1156.00,1159.00,1136.97,1145.00,3359300,1102.66
2013-02-26,1152.00,1172.00,1148.00,1153.00,4262700,1110.36
2013-02-25,1160.00,1188.00,1131.00,1171.00,9285100,1127.70
2013-02-22,1229.00,1229.00,1208.00,1216.00,2868100,1171.03
2013-02-21,1203.00,1224.00,1193.00,1222.00,3203900,1176.81
2013-02-20,1207.00,1218.00,1203.00,1205.00,1750800,1160.44
2013-02-19,1190.00,1209.00,1189.00,1205.00,1324300,1160.44
2013-02-18,1193.00,1195.98,1185.00,1190.00,1212400,1146.00
2013-02-15,1205.00,1212.00,1178.00,1184.00,3261600,1140.22
2013-02-14,1213.00,1214.00,1202.00,1207.00,1482400,1162.37
2013-02-13,1220.00,1221.00,1209.00,1212.00,2189700,1167.18
2013-02-12,1209.00,1219.00,1199.00,1218.00,1874800,1172.96
2013-02-11,1208.00,1211.00,1203.00,1209.00,1221500,1164.29
2013-02-08,1210.00,1211.00,1198.00,1204.00,1261000,1159.48
2013-02-07,1214.00,1215.90,1199.00,1203.00,1868200,1158.51
2013-02-06,1203.00,1268.00,1200.00,1212.00,3695500,1167.18
2013-02-05,1194.00,1205.00,1190.38,1197.00,1918600,1152.74
2013-02-04,1210.00,1211.00,1190.00,1191.00,1533200,1146.96
2013-02-01,1198.00,1217.64,1198.00,1210.00,1985100,1165.26
2013-01-31,1188.00,1205.90,1187.00,1194.00,4371400,1149.85
2013-01-30,1182.00,1202.00,1176.00,1192.00,3022200,1147.92
2013-01-29,1175.00,1187.00,1171.00,1178.00,3703900,1134.44
2013-01-28,1190.00,1190.00,1174.00,1180.00,2101400,1136.37
2013-01-25,1188.00,1193.82,1179.00,1185.00,1904200,1141.18
2013-01-24,1165.00,1190.36,1165.00,1187.00,2807500,1143.11
2013-01-23,1187.00,1189.00,1165.00,1168.00,4111600,1124.81
2013-01-22,1191.00,1193.00,1174.00,1181.00,3138600,1137.33
2013-01-21,1205.00,1218.90,1184.00,1202.00,5449600,1157.55
2013-01-18,1240.00,1250.45,1235.00,1238.00,2743800,1192.22
2013-01-17,1220.00,1248.00,1215.00,1232.00,2474900,1186.44
2013-01-16,1224.00,1227.00,1213.00,1216.00,1553800,1171.03
2013-01-15,1191.00,1228.00,1190.00,1221.00,3739800,1175.85
2013-01-14,1204.00,1205.00,1177.00,1182.00,1959400,1138.29
2013-01-11,1195.00,1206.00,1191.00,1199.00,1606100,1154.66
2013-01-10,1197.00,1206.00,1189.00,1193.00,1691900,1148.88
2013-01-09,1196.00,1204.00,1177.00,1199.00,2011800,1154.66
2013-01-08,1211.00,1222.00,1203.00,1207.00,1750100,1162.37
2013-01-07,1218.00,1221.00,1207.00,1210.00,1227400,1165.26
2013-01-04,1211.00,1222.00,1203.00,1222.00,1318500,1176.81
2013-01-03,1206.00,1219.00,1202.00,1211.00,1608400,1166.22
2013-01-02,1200.00,1217.00,1197.00,1205.00,1375500,1160.44
2013-01-01,1188.00,1188.00,1188.00,1188.00,000,1144.07
2012-12-31,1189.00,1199.00,1185.00,1188.00,276200,1144.07
2012-12-28,1197.00,1199.00,1189.00,1193.00,750000,1148.88
2012-12-27,1202.00,1211.00,1195.00,1196.00,692300,1151.77
2012-12-26,1208.00,1208.00,1208.00,1208.00,000,1163.33
2012-12-25,1208.00,1208.00,1208.00,1208.00,000,1163.33
2012-12-24,1189.00,1212.20,1186.00,1208.00,300500,1163.33
2012-12-21,1201.00,1201.00,1189.00,1195.00,2258500,1150.81
2012-12-20,1200.00,1203.00,1190.00,1200.00,3116100,1155.63
2012-12-19,1205.00,1205.00,1195.00,1199.00,2043200,1154.66
2012-12-18,1187.00,1208.00,1182.00,1205.00,3343600,1160.44
2012-12-17,1190.00,1191.00,1173.00,1175.00,1487400,1131.55
2012-12-14,1188.00,1193.00,1179.00,1185.00,2094300,1141.18
2012-12-13,1190.00,1191.62,1181.00,1184.00,1092900,1140.22
