Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,4845.00,4863.00,4834.00,4853.00,867800,4853.00
2013-11-18,4808.00,4862.28,4765.00,4855.00,1237900,4855.00
2013-11-15,4788.00,4822.00,4772.50,4818.00,1031100,4818.00
2013-11-14,4795.00,4820.00,4773.00,4773.00,1209000,4773.00
2013-11-13,4826.00,4838.00,4726.25,4748.00,1235100,4748.00
2013-11-12,4851.00,4851.00,4802.00,4836.00,856400,4836.00
2013-11-11,4830.00,4863.00,4812.00,4839.00,490800,4839.00
2013-11-08,4776.00,4840.00,4741.18,4815.00,825200,4815.00
2013-11-07,4826.00,4863.00,4786.00,4800.00,647200,4800.00
2013-11-06,4821.00,4830.00,4784.00,4797.00,758000,4797.00
2013-11-05,4781.00,4814.00,4747.00,4813.00,744600,4813.00
2013-11-04,4803.00,4835.00,4751.00,4771.00,827100,4771.00
2013-11-01,4833.00,4856.00,4762.00,4780.00,849500,4780.00
2013-10-31,4756.00,4862.50,4754.00,4848.00,1254900,4848.00
2013-10-30,4860.00,4872.00,4779.00,4789.00,828700,4789.00
2013-10-29,4845.00,4878.00,4831.00,4857.00,1162400,4857.00
2013-10-28,4799.00,4844.00,4779.52,4833.00,1064700,4833.00
2013-10-25,4782.00,4807.00,4771.00,4780.00,1161700,4780.00
2013-10-24,4751.00,4812.00,4731.00,4805.00,1422700,4805.00
2013-10-23,4766.00,4794.00,4716.00,4732.00,1227300,4732.00
2013-10-22,4675.00,4800.00,4674.00,4734.00,2618500,4734.00
2013-10-21,4540.00,4548.00,4459.00,4500.00,1306900,4500.00
2013-10-18,4440.00,4514.00,4390.00,4502.00,1572000,4502.00
2013-10-17,4298.00,4364.00,4261.00,4356.00,1126600,4356.00
2013-10-16,4350.00,4352.00,4261.00,4309.00,1421300,4309.00
2013-10-15,4360.00,4381.50,4343.00,4364.00,821900,4364.00
2013-10-14,4349.00,4383.00,4334.00,4344.00,715600,4344.00
2013-10-11,4319.00,4356.00,4283.00,4349.00,791400,4349.00
2013-10-10,4279.00,4324.00,4255.00,4300.00,1009900,4300.00
2013-10-09,4257.00,4283.00,4225.00,4270.00,1444100,4270.00
2013-10-08,4362.00,4366.00,4263.00,4269.00,1561800,4269.00
2013-10-07,4353.00,4370.00,4324.00,4370.00,651800,4370.00
2013-10-04,4387.00,4388.00,4344.00,4353.00,1036500,4353.00
2013-10-03,4399.00,4441.00,4377.00,4390.00,767500,4390.00
2013-10-02,4434.00,4441.00,4376.00,4404.00,854400,4404.00
2013-10-01,4490.00,4490.00,4382.00,4463.00,1262200,4463.00
2013-09-30,4489.00,4523.00,4472.00,4520.00,1080800,4520.00
2013-09-27,4557.00,4557.00,4480.00,4518.00,778000,4518.00
2013-09-26,4530.00,4559.00,4495.00,4545.00,661500,4545.00
2013-09-25,4545.00,4555.00,4487.00,4527.00,700800,4527.00
2013-09-24,4550.00,4570.00,4540.00,4546.00,641900,4546.00
2013-09-23,4599.00,4615.00,4537.00,4549.00,743000,4549.00
2013-09-20,4565.00,4619.00,4546.00,4600.00,1549100,4600.00
2013-09-19,4580.00,4645.12,4533.00,4576.00,939400,4576.00
2013-09-18,4558.00,4575.00,4509.00,4532.00,751500,4532.00
2013-09-17,4558.00,4600.00,4536.00,4550.00,999600,4550.00
2013-09-16,4600.00,4603.00,4531.00,4548.00,710600,4548.00
2013-09-13,4459.00,4586.00,4459.00,4554.00,1327400,4554.00
2013-09-12,4424.00,4478.00,4391.00,4452.00,844200,4452.00
2013-09-11,4459.00,4459.00,4386.00,4428.00,944700,4428.00
2013-09-10,4389.00,4482.00,4389.00,4445.00,1184100,4445.00
2013-09-09,4376.00,4388.00,4323.00,4364.00,693700,4364.00
2013-09-06,4379.00,4403.00,4342.00,4379.00,676500,4379.00
2013-09-05,4382.00,4418.00,4350.00,4373.00,678000,4373.00
2013-09-04,4429.00,4439.00,4358.00,4383.00,691100,4383.00
2013-09-03,4444.00,4470.00,4419.00,4426.00,841900,4426.00
2013-09-02,4403.00,4439.00,4392.00,4423.00,500900,4423.00
2013-08-30,4436.00,4481.00,4373.00,4385.00,1117800,4385.00
2013-08-29,4407.00,4441.00,4346.00,4431.00,1021600,4431.00
2013-08-28,4452.00,4459.00,4390.00,4407.00,835000,4407.00
2013-08-27,4507.00,4526.00,4457.00,4468.00,938600,4468.00
2013-08-26,4499.00,4499.00,4499.00,4499.00,000,4499.00
2013-08-23,4508.00,4536.00,4454.00,4499.00,846700,4499.00
2013-08-22,4498.00,4540.00,4478.24,4519.00,759900,4519.00
2013-08-21,4498.00,4514.00,4472.00,4495.00,810500,4495.00
2013-08-20,4468.00,4504.00,4450.00,4499.00,713000,4499.00
2013-08-19,4467.00,4515.00,4457.90,4491.00,713100,4491.00
2013-08-16,4479.00,4487.00,4425.00,4460.00,1135100,4460.00
2013-08-15,4548.00,4559.00,4448.00,4489.00,1024900,4489.00
2013-08-14,4556.00,4591.00,4539.00,4539.00,664400,4539.00
2013-08-13,4547.00,4578.00,4510.00,4547.00,831400,4547.00
2013-08-12,4590.00,4590.00,4535.00,4546.00,633400,4546.00
2013-08-09,4616.00,4616.00,4556.00,4591.00,824900,4591.00
2013-08-08,4610.00,4635.00,4589.00,4600.00,808700,4600.00
2013-08-07,4668.00,4693.00,4590.00,4590.00,1357200,4590.00
2013-08-06,4674.00,4727.00,4660.00,4720.00,799600,4660.00
2013-08-05,4637.00,4708.00,4637.00,4666.00,657900,4606.69
2013-08-02,4726.00,4728.03,4615.00,4635.00,1062800,4576.08
2013-08-01,4711.00,4723.00,4672.00,4717.00,806900,4657.04
2013-07-31,4641.00,4713.00,4621.00,4679.00,1095200,4619.52
2013-07-30,4698.00,4705.00,4630.00,4637.00,817900,4578.06
2013-07-29,4652.00,4700.00,4550.00,4588.00,1390800,4529.68
2013-07-26,4700.00,4711.00,4611.00,4626.00,876200,4567.19
2013-07-25,4677.00,4692.00,4665.00,4670.00,782900,4610.64
2013-07-24,4638.00,4686.00,4624.00,4678.00,743000,4618.53
2013-07-23,4690.00,4690.00,4628.00,4630.00,1485400,4571.14
2013-07-22,4700.00,4718.00,4673.00,4698.00,413400,4638.28
2013-07-19,4694.00,4713.00,4663.00,4700.00,1021200,4640.25
2013-07-18,4663.00,4702.00,4643.00,4693.00,1114100,4633.34
2013-07-17,4617.00,4696.07,4611.00,4651.00,1041000,4591.88
2013-07-16,4725.00,4750.00,4638.00,4645.00,1131400,4585.95
2013-07-15,4689.00,4725.00,4670.00,4705.00,1528300,4645.19
2013-07-12,4800.00,4804.00,4669.00,4677.00,3381400,4617.55
2013-07-11,4952.00,4970.00,4895.00,4929.00,1358400,4866.34
2013-07-10,4942.00,4986.00,4911.00,4950.00,1318900,4887.08
2013-07-09,4894.00,4946.00,4887.00,4923.00,960900,4860.42
2013-07-08,4806.00,4880.00,4804.00,4850.00,712400,4788.35
2013-07-05,4770.00,4863.00,4741.00,4780.00,1087200,4719.24
2013-07-04,4701.00,4771.00,4620.00,4762.00,1209800,4701.47
2013-07-03,4713.00,4734.00,4668.00,4706.00,784400,4646.18
2013-07-02,4729.00,4757.00,4667.00,4732.00,837700,4671.85
2013-07-01,4672.00,4738.00,4632.00,4709.00,1052600,4649.14
2013-06-28,4717.00,4719.00,4624.49,4648.00,1743600,4588.92
2013-06-27,4681.00,4743.00,4670.00,4704.00,1387400,4644.20
2013-06-26,4618.00,4698.00,4589.00,4665.00,989300,4605.70
2013-06-25,4547.00,4626.00,4524.00,4595.00,1904600,4536.59
2013-06-24,4640.00,4664.00,4555.00,4580.00,1289000,4521.78
2013-06-21,4635.00,4734.00,4624.00,4654.00,2862900,4594.84
2013-06-20,4691.00,4691.00,4576.00,4602.00,1306200,4543.50
2013-06-19,4764.00,4764.60,4698.00,4742.00,881100,4681.72
2013-06-18,4676.00,4770.00,4653.00,4748.00,1148000,4687.64
2013-06-17,4603.00,4710.00,4600.00,4679.00,1104700,4619.52
2013-06-14,4613.00,4613.00,4528.00,4579.00,791800,4520.79
2013-06-13,4549.00,4593.00,4518.00,4590.00,1149200,4531.65
2013-06-12,4574.00,4639.00,4565.00,4589.00,991800,4530.67
2013-06-11,4565.00,4579.00,4505.00,4567.00,1234800,4508.94
2013-06-10,4526.00,4596.00,4522.00,4576.00,778700,4517.83
2013-06-07,4487.00,4562.00,4454.00,4546.00,1477700,4488.21
2013-06-06,4587.00,4613.00,4487.00,4487.00,1342800,4429.96
2013-06-05,4669.00,4689.00,4582.00,4582.00,1336000,4523.75
2013-06-04,4698.00,4735.47,4672.00,4694.00,677200,4634.33
2013-06-03,4702.00,4753.00,4653.00,4681.00,741600,4621.50
2013-05-31,4791.00,4795.00,4718.00,4722.00,1471000,4661.97
2013-05-30,4824.00,4835.00,4761.00,4803.00,988000,4741.94
2013-05-29,4900.00,4910.00,4812.00,4825.00,844400,4763.67
2013-05-28,4895.00,4956.00,4876.00,4921.00,1060700,4858.44
2013-05-27,4850.00,4850.00,4850.00,4850.00,000,4788.35
2013-05-24,4883.00,4883.00,4810.00,4850.00,1167000,4788.35
2013-05-23,4885.00,4921.00,4840.00,4869.00,2426200,4807.11
2013-05-22,4825.00,4958.00,4790.00,4926.00,2515400,4863.38
2013-05-21,4780.00,4828.00,4737.00,4828.00,1075500,4766.63
2013-05-20,4733.00,4779.00,4731.00,4770.00,483300,4709.36
2013-05-17,4720.00,4743.00,4659.00,4718.00,956800,4658.03
2013-05-16,4799.00,4836.00,4726.00,4743.00,850700,4682.71
2013-05-15,4810.00,4867.00,4771.00,4780.00,947000,4719.24
2013-05-14,4718.00,4800.00,4714.00,4800.00,1121400,4738.98
2013-05-13,4658.00,4729.00,4646.00,4709.00,1163100,4649.14
2013-05-10,4639.00,4662.00,4620.00,4659.00,1257400,4599.78
2013-05-09,4636.00,4644.00,4608.00,4625.00,533100,4566.21
2013-05-08,4648.00,4665.00,4628.00,4639.00,948600,4580.03
2013-05-07,4703.00,4708.00,4621.00,4633.00,1232100,4574.11
