Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,330.70,331.50,326.36,327.60,7420000,327.60
2013-11-18,330.00,335.40,329.70,333.30,7041800,333.30
2013-11-15,327.60,332.30,327.00,330.00,6065800,330.00
2013-11-14,329.60,330.13,325.10,326.80,7399300,326.80
2013-11-13,330.70,332.80,322.70,324.90,10412100,324.90
2013-11-12,335.00,336.56,329.26,331.60,13190400,331.60
2013-11-11,324.30,341.30,323.50,339.80,22571800,339.80
2013-11-08,320.00,326.40,316.50,322.50,8100300,322.50
2013-11-07,327.40,332.10,320.70,321.80,10902100,321.80
2013-11-06,326.30,330.20,322.50,328.00,14396800,328.00
2013-11-05,330.00,331.30,318.80,326.00,24490700,326.00
2013-11-04,345.30,345.30,329.80,331.70,20358100,331.70
2013-11-01,361.00,361.90,335.70,340.00,48673200,340.00
2013-10-31,364.20,369.00,362.74,367.60,11497500,367.60
2013-10-30,365.90,370.90,365.00,366.50,13577000,366.50
2013-10-29,359.30,366.60,356.00,364.80,13294700,364.80
2013-10-28,371.00,374.64,364.80,368.50,11650800,368.50
2013-10-25,356.10,373.31,355.93,368.40,18730300,368.40
2013-10-24,355.10,359.10,353.58,356.50,8150500,356.50
2013-10-23,360.00,363.58,346.80,352.10,18635000,352.10
2013-10-22,352.00,365.70,349.72,362.00,14262200,362.00
2013-10-21,371.30,371.30,346.30,353.10,27808200,353.10
2013-10-18,380.00,380.10,367.90,372.70,10081400,372.70
2013-10-17,377.30,379.10,372.80,376.90,7378800,376.90
2013-10-16,375.20,380.60,371.00,379.10,9278500,379.10
2013-10-15,374.40,379.94,373.00,377.00,6285600,377.00
2013-10-14,365.80,375.00,365.80,371.70,12570400,371.70
2013-10-11,387.50,387.50,374.60,376.90,8316600,376.90
2013-10-10,372.20,387.40,370.40,384.90,12645600,384.90
2013-10-09,369.50,372.90,367.20,369.70,5980000,369.70
2013-10-08,373.00,374.60,370.70,371.40,8188700,371.40
2013-10-07,372.40,373.90,363.51,373.60,8817600,373.60
2013-10-04,366.70,375.00,365.50,373.20,10560400,373.20
2013-10-03,365.90,368.70,363.80,366.70,5795800,366.70
2013-10-02,367.40,371.80,363.90,366.90,7315100,366.90
2013-10-01,359.70,369.40,359.26,368.30,9098300,368.30
2013-09-30,360.50,363.10,357.60,359.90,9275000,359.90
2013-09-27,370.00,371.30,362.60,366.50,9653800,366.50
2013-09-26,373.50,374.80,361.80,371.10,8660900,371.10
2013-09-25,367.30,380.60,365.00,372.70,16746000,372.70
2013-09-24,361.00,371.00,359.70,367.90,10931600,367.90
2013-09-23,364.00,365.00,359.10,361.00,7866500,361.00
2013-09-20,366.20,366.93,363.20,364.40,10763700,364.40
2013-09-19,370.10,374.60,366.80,369.00,12343700,369.00
2013-09-18,363.80,366.60,361.20,365.50,8728400,365.50
2013-09-17,356.80,365.44,356.10,362.50,14717700,362.50
2013-09-16,365.00,367.73,361.40,366.50,10035200,366.50
2013-09-13,360.20,361.45,354.70,361.40,6884800,361.40
2013-09-12,357.40,361.20,355.10,360.40,11066000,360.40
2013-09-11,356.00,357.00,349.10,357.00,12809200,357.00
2013-09-10,342.30,356.79,342.30,356.00,20827900,356.00
2013-09-09,336.00,341.71,331.64,340.00,12432400,340.00
2013-09-06,335.90,340.20,333.20,337.00,9597300,337.00
2013-09-05,331.60,336.40,330.79,335.80,10101100,335.80
2013-09-04,333.00,333.20,323.30,328.60,8787200,328.60
2013-09-03,336.00,337.00,327.93,331.30,8811200,331.30
2013-09-02,336.80,340.28,332.80,334.80,7433500,334.80
2013-08-30,340.00,341.60,332.95,333.70,8121300,333.70
2013-08-29,337.70,340.80,332.20,339.20,9515500,339.20
2013-08-28,329.10,337.90,324.92,336.00,13701500,336.00
2013-08-27,340.60,342.30,328.07,330.10,11161800,330.10
2013-08-26,344.30,344.30,344.30,344.30,000,344.30
2013-08-23,344.20,347.80,339.00,344.30,8746000,344.30
2013-08-22,332.10,345.00,332.10,343.00,10283800,343.00
2013-08-21,337.90,340.60,333.30,334.10,9218400,334.10
2013-08-20,338.00,340.00,330.50,338.60,13618000,338.60
2013-08-19,343.60,344.20,337.00,339.90,8079300,339.90
2013-08-16,335.00,343.30,331.20,343.00,13735300,343.00
2013-08-15,345.90,346.11,337.60,340.60,14264300,340.60
2013-08-14,335.00,345.70,332.74,344.70,15880100,344.70
2013-08-13,331.80,333.60,330.19,333.00,7894600,333.00
2013-08-12,327.10,330.88,326.56,329.50,14273800,329.50
2013-08-09,323.90,327.50,321.20,325.60,6876800,325.60
2013-08-08,320.80,324.30,318.89,322.90,7653700,322.90
2013-08-07,317.40,323.08,315.80,320.90,11850600,320.90
2013-08-06,316.10,320.80,315.50,317.70,10139900,317.70
2013-08-05,320.00,323.07,314.07,317.40,14048600,317.40
2013-08-02,335.20,335.40,312.40,322.50,27917800,322.50
2013-08-01,318.80,334.45,317.30,333.50,19222100,333.50
2013-07-31,318.60,320.20,315.20,317.60,9557400,317.60
2013-07-30,325.00,325.47,316.40,317.40,11646000,317.40
2013-07-29,328.80,330.36,321.90,325.60,10304500,325.60
2013-07-26,337.90,338.50,325.80,328.00,10834900,328.00
2013-07-25,341.20,343.17,334.00,338.10,9114300,338.10
2013-07-24,335.80,341.90,335.80,341.20,6227700,341.20
2013-07-23,336.80,342.66,335.80,335.80,9295400,335.80
2013-07-22,336.70,339.50,332.40,334.90,9532300,334.90
2013-07-19,329.30,338.08,326.79,337.10,17822400,337.10
2013-07-18,320.00,336.20,320.00,334.40,14347600,334.40
2013-07-17,323.70,324.20,313.50,321.60,14468000,321.60
2013-07-16,321.40,326.90,318.60,319.10,13037300,319.10
2013-07-15,305.80,320.40,305.30,320.00,15267800,320.00
2013-07-12,305.10,315.60,303.30,304.40,15431600,304.40
2013-07-11,306.20,307.80,299.70,304.00,9596900,304.00
2013-07-10,301.10,309.00,300.08,301.30,10637500,301.30
2013-07-09,290.00,307.80,290.00,304.40,22569600,304.40
2013-07-08,278.00,293.70,277.70,288.80,14354300,288.80
2013-07-05,282.00,286.00,275.70,276.70,13223000,276.70
2013-07-04,273.00,285.08,271.60,284.10,16800300,284.10
2013-07-03,271.30,273.46,267.00,270.00,17749100,270.00
2013-07-02,283.20,285.00,273.14,274.30,10900200,274.30
2013-07-01,277.10,283.68,271.57,281.90,19248000,281.90
2013-06-28,278.10,279.89,272.00,273.50,18346000,273.50
2013-06-27,280.90,283.00,273.10,275.80,20556000,275.80
2013-06-26,282.90,283.93,280.30,280.30,12722000,280.30
2013-06-25,284.90,285.45,279.90,281.50,12623600,281.50
2013-06-24,285.60,286.96,279.10,280.90,17622200,280.90
2013-06-21,300.40,303.80,281.70,281.70,31319900,281.70
2013-06-20,312.80,319.54,302.30,303.70,19389100,303.70
2013-06-19,324.00,324.00,318.80,319.50,8889700,319.50
2013-06-18,316.00,324.70,311.20,323.00,10772700,323.00
2013-06-17,317.30,320.30,312.70,316.00,10099100,316.00
2013-06-14,318.00,319.24,311.00,316.00,15545300,316.00
2013-06-13,312.50,315.70,298.90,315.00,34608100,315.00
2013-06-12,334.90,335.00,324.70,325.60,8856800,325.60
2013-06-11,332.50,333.90,323.26,327.50,11091700,327.50
2013-06-10,335.00,335.70,328.65,334.00,13523100,334.00
2013-06-07,318.20,328.80,310.30,327.40,11698700,327.40
2013-06-06,327.00,329.00,316.80,316.90,8472500,316.90
2013-06-05,331.50,334.90,324.62,328.40,41079600,328.40
2013-06-04,336.20,338.80,332.87,335.40,6290000,335.40
2013-06-03,335.50,338.10,331.50,332.60,12142600,332.60
2013-05-31,332.70,339.80,329.76,336.60,16384800,336.60
2013-05-30,325.00,331.97,324.45,331.50,7185100,331.50
2013-05-29,331.00,331.00,325.70,326.00,8134200,326.00
2013-05-28,330.40,337.10,327.50,332.30,11753200,332.30
2013-05-27,327.00,327.00,327.00,327.00,000,327.00
2013-05-24,339.60,345.00,325.40,327.00,16221700,327.00
2013-05-23,339.10,341.16,331.80,337.20,19344900,337.20
2013-05-22,343.00,352.85,340.22,349.60,22577900,349.60
2013-05-21,350.10,351.10,336.66,342.20,17825000,342.20
2013-05-20,346.60,353.50,329.00,351.90,27169400,351.90
2013-05-17,318.60,337.06,316.12,336.80,25617000,336.80
2013-05-16,308.50,320.40,305.50,318.80,21697700,318.80
2013-05-15,302.80,309.60,299.80,307.00,15294000,307.00
2013-05-14,296.90,302.62,292.80,302.50,20068400,302.50
2013-05-13,299.40,300.79,292.20,297.40,9619600,297.40
2013-05-10,294.30,303.44,294.00,299.50,17996100,299.50
2013-05-09,291.40,295.30,285.48,293.80,16244200,293.80
2013-05-08,290.50,291.80,283.60,285.40,11754900,285.40
2013-05-07,292.10,293.70,282.80,289.60,20108600,289.60
2013-05-06,289.80,289.80,289.80,289.80,000,289.80
2013-05-03,298.00,299.80,280.00,289.80,35769400,289.80
