Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,2189.50,2211.00,2177.00,2190.00,2423300,2190.00
2013-11-18,2177.00,2219.50,2174.50,2197.00,4514900,2197.00
2013-11-15,2148.50,2198.50,2146.00,2185.50,3725100,2185.50
2013-11-14,2135.50,2171.60,2129.00,2142.50,4808600,2142.50
2013-11-13,2138.50,2168.25,2108.50,2108.50,5334600,2108.50
2013-11-12,2157.00,2165.00,2148.00,2165.00,3569700,2120.00
2013-11-11,2143.50,2163.50,2143.50,2155.50,2913300,2110.70
2013-11-08,2150.00,2150.00,2134.00,2139.00,4989400,2094.54
2013-11-07,2176.00,2185.50,2155.50,2156.00,4027800,2111.19
2013-11-06,2184.50,2191.16,2174.50,2174.50,4739200,2129.30
2013-11-05,2193.50,2193.50,2164.50,2176.00,4043000,2130.77
2013-11-04,2192.50,2204.00,2186.50,2189.00,4128500,2143.50
2013-11-01,2154.00,2194.66,2154.00,2189.50,6204200,2143.99
2013-10-31,2210.50,2215.00,2154.50,2159.50,12601700,2114.61
2013-10-30,2268.50,2297.00,2267.50,2277.00,4938000,2229.67
2013-10-29,2245.00,2279.38,2243.00,2264.50,4438100,2217.43
2013-10-28,2238.00,2243.50,2224.40,2240.00,3094600,2193.44
2013-10-25,2212.00,2245.00,2211.98,2237.50,3760900,2190.99
2013-10-24,2211.50,2234.00,2208.00,2218.50,2907100,2172.39
2013-10-23,2199.00,2205.00,2181.00,2200.50,3157900,2154.76
2013-10-22,2179.00,2202.00,2172.50,2200.00,2983900,2154.27
2013-10-21,2170.50,2180.50,2159.50,2178.50,3189700,2133.22
2013-10-18,2149.50,2172.64,2141.50,2164.50,4055900,2119.51
2013-10-17,2155.00,2158.50,2132.00,2141.00,3333400,2096.50
2013-10-16,2140.00,2172.00,2139.00,2163.50,5207600,2118.53
2013-10-15,2134.50,2155.32,2127.00,2143.00,3209900,2098.46
2013-10-14,2113.00,2132.48,2111.50,2124.50,1869500,2080.34
2013-10-11,2116.50,2122.97,2091.86,2115.00,2053600,2071.04
2013-10-10,2084.50,2110.48,2080.00,2105.00,3649600,2061.25
2013-10-09,2081.50,2093.00,2069.50,2077.50,3298200,2034.32
2013-10-08,2107.50,2112.50,2086.84,2088.50,3446600,2045.09
2013-10-07,2116.00,2120.04,2094.00,2108.50,2655500,2064.67
2013-10-04,2113.50,2132.00,2110.00,2122.50,2133000,2078.38
2013-10-03,2104.00,2119.61,2098.00,2115.00,3323600,2071.04
2013-10-02,2107.00,2110.50,2088.00,2105.00,4073400,2061.25
2013-10-01,2132.00,2134.38,2104.50,2116.00,4048100,2072.02
2013-09-30,2132.00,2151.14,2117.00,2134.50,4432700,2090.13
2013-09-27,2155.00,2155.25,2136.50,2146.00,3914000,2101.39
2013-09-26,2137.50,2159.00,2136.09,2159.00,2633300,2114.12
2013-09-25,2151.00,2155.00,2134.00,2139.00,3882000,2094.54
2013-09-24,2152.50,2163.06,2149.00,2150.00,3900700,2105.31
2013-09-23,2160.00,2164.50,2146.50,2154.50,2763100,2109.72
2013-09-20,2173.00,2189.00,2167.50,2167.50,9601400,2122.45
2013-09-19,2166.50,2187.00,2155.00,2177.00,4161800,2131.75
2013-09-18,2144.50,2168.50,2143.50,2149.00,4169300,2104.33
2013-09-17,2161.50,2162.82,2147.50,2148.50,5081000,2103.84
2013-09-16,2177.50,2185.50,2161.00,2166.50,3055500,2121.47
2013-09-13,2155.50,2168.50,2149.00,2166.50,3195000,2121.47
